user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Vicki Li ,https://www.google.com/maps/contrib/115701834829143874629/reviews?hl=zh-TW,5,True,593,店內非常乾淨，老闆與店員的服務態度都很親切，排骨飯的配菜與肉質配的剛剛好，每次來北投奇岩站附近，都會刻意繞過來吃一下，雖然是小店，他們的態度總是讓這一餐吃的特別暖心，大推特推，深得我心❤️
 看Lucifer ,https://www.google.com/maps/contrib/110855658778176334679/reviews?hl=zh-TW,5,True,432,"排骨炒飯超級推薦！
排骨不知是滷的還是有點微碳烤刷醬的，超級推薦超級好吃！
炒飯粒粒分明！很久沒吃到那麼美味的超爛了😻😻
老闆跟老闆娘人都超好的很親切，還有一隻超可愛的店狗叫阿肥！都會衝過來跟你打招呼
很喜歡的一家店🥰"
 Mars Chiu ,https://www.google.com/maps/contrib/107673053616836177600/reviews?hl=zh-TW,5,True,84,"老闆人超好
雞腿飯搭配的是滷肉飯、雞腿炒飯也有配菜
有洗手檯和自己倒冬瓜茶
平價美食，大推！"
 Stella Huang ,https://www.google.com/maps/contrib/115829754549593048989/reviews?hl=zh-TW,4,True,104,"排骨炒飯蠻好吃的，飯粒有彈性，雖然有點油，但調味適中，排骨肉片不厚但口感紮實。今天配菜是番茄炒蛋跟絲瓜，跟炒飯搭配是蠻好吃的，但是如果碰到不吃絲瓜的人，可能有點尷尬就是了。

冬瓜茶跟蘿蔔湯都蠻有誠意的，吃完飯又喝完湯其實很飽了，但是貪心又加點了一塊“知高”，就是豬腳，其實應該算腿庫肉吧？滷得很透，瘦肉的部分稍柴，但豬皮跟肥肉部分就很好吃。

老闆聽說我是看Googlemap的評論來的，就很高興，一直說要幫他介紹，哈哈"
 Christine Chen ,https://www.google.com/maps/contrib/117595240956360983107/reviews?hl=zh-TW,4,True,75,"難得小吃店的雞腿飯是把菜和飯分開裝。飯不會濕濕的很加分。
雞腿炸的剛好很酥不會太硬
配菜可自選（6選3）
附贈的湯尚可，但有附飲料（居然是好久不見的冬瓜茶）很優"
 江慈蓉 ,https://www.google.com/maps/contrib/114076604642864606776/reviews?hl=zh-TW,4,True,88,今天外帶排骨便當主菜排骨我吃到瘦肉+肥肉真是非常的美味啊配菜四季豆+紅蘿蔔炒蛋+高麗菜都是很好吃的配菜(因為我是外食族實在是太常吃到其他便當店很雷到配菜了所以221的配菜我個人感到是很不錯的👍)白飯上面淋到滷肉會讓我想起小時候常在基隆廟口吃到的滷肉飯好吃😋老闆很親切而且還可以裝湯喔是佛心的店家❤️
 Warmer Ok ,https://www.google.com/maps/contrib/116048850041354966076/reviews?hl=zh-TW,5,False,55,真的very營養好吃！之前住了5年吃了5年。現在每月特地回來吃，順便外帶排骨10片，防疫追劇好物推推：）
 Rita Hsiao ,https://www.google.com/maps/contrib/112505357223200747992/reviews?hl=zh-TW,5,True,137,"-排骨炒飯$95
-雞腿飯$95

炒飯是很家常的味道，
口感偏濕黏，不是粒粒分明那種。
配菜6選2，排骨很夠味。

雞腿炸得皮薄脆肉嫩，更推薦雞腿🍗！
搭配的滷肉飯，可以免費續滷肉。

老闆親切，如果有去附近，會再去吃～"
 White Cat ,https://www.google.com/maps/contrib/115000670581807622754/reviews?hl=zh-TW,5,True,23,"首先房子的裝潢配色走海洋風格的淺藍，有放鬆用餐的巧思。
再來是菜單的部分，以台北的價位帶而言算是中規中矩，不過有加分的地方—內用有兩種湯可以自己無限取用，蕃茄湯跟排骨湯的樣子（沒有喝這個），以及冬瓜茶，不會有澀澀的口感不錯，對於解油膩有幫助～
接著主餐的部分是沒聽過的知高飯，原來是跟粽子差不多高大的控肉。配菜6選3，飯可以選擇要不要加滷汁（也就是滷肉飯）。

滷肉飯：醬汁偏多，若是想充分利用醬汁可能需要多一碗白飯比較剛好
菜：一般家常菜味道，茄子處理的不錯不會過於軟爛
肉：應該是該店特色了，跟粽子大小差不多。若有點知高飯者不建議配滷肉飯，因為吃起來很有負擔😅，外層皮的部分處理很乾淨，且肥肉部分算少的，內層瘦肉部分沒有到入口即化的層次，但是也蠻好咬斷，邊邊角角的肉比較硬而已，算是美中不足的地方
#提摩食記1081127"
 施玉婷 ,https://www.google.com/maps/contrib/113677574573317648534/reviews?hl=zh-TW,5,False,4,"上星期點了五個排骨炒飯外帶，覺得超鹹，配菜都不一樣，但每個都像是剩菜，豆芽菜跟胡蘿波絲誰吃得下去
老闆加油"
