user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Lily Pan ,https://www.google.com/maps/contrib/118427414226348458694/reviews?hl=zh-TW,4,True,194,水蘿蔔原汁原味複製韓國，讚！辣味海鮮pizza料多味美，半半炸雞也不錯，可惜這家分店只有四張桌子，而且餐點品項比起慶城店少，沒有炒冬粉。
 PEI CHEN ,https://www.google.com/maps/contrib/110721427357182695581/reviews?hl=zh-TW,5,False,4,"喜歡吃蒜味的朋友，蠻推薦點蜂蜜蒜味的口味吃吃看！很香很蒜帶一點點的蜂蜜香，加上脆皮的炸雞，會吃得很過癮

半半的炸雞，份量蠻大的，食量比較小的朋友要考慮一下😅

如果點餐時對餐點有疑問的地方，服務員在點餐的時候會做口味和炸雞份量的回答☺️

服務滿分💯
炸雞的美味也滿分啦😍😍😍"
 LYNN YU ,https://www.google.com/maps/contrib/106874027267005151269/reviews?hl=zh-TW,3,True,386,"皮太厚了😭容易膩
但真的很脆
種類多元
（個人偏愛起家雞）
不過這家仍然還是會點來吃"
 Ana Chan ,https://www.google.com/maps/contrib/102132736287491274086/reviews?hl=zh-TW,5,False,7,交通位置很好，坐公車或捷運都很方便，唯機車可能要找一下停車位。餐點現點現做，好吃美味，適合聚餐，但座位數不多，內用的話，建議事先預約。
 Yun Chia Tsao ,https://www.google.com/maps/contrib/100254714779156174220/reviews?hl=zh-TW,5,False,10,因為我們是2個人，所以點了雙味全雞，我們選的是起司跟蜂蜜蒜味炸雞。炸雞的外皮很酥，裡面的雞肉鮮嫩多汁，尤其是雞胸完全不柴，但因為本身沒有調味，所以我覺得單吃會稍微單調一點，這時候醃蘿蔔就是很棒的配角了，而且是可以無限續的，很解膩超好吃。
 陳奎郡 ,https://www.google.com/maps/contrib/103594001759473117283/reviews?hl=zh-TW,5,False,4,"肉質多汁，蜂蜜蒜味好吃
韓式甘味酸辣本人不吃辣都可以吃
起司炸雞也好吃"
 捲捲 ,https://www.google.com/maps/contrib/103599917925841215788/reviews?hl=zh-TW,5,True,30,"一直很想來吃的韓國炸雞店~
肉質多汁，吃起來外酥內嫩👍
韓式甘醬是甜辣口味，蜂蜜蒜味也好吃。
大推💯💯"
 Matilda Ouyang ,https://www.google.com/maps/contrib/110300197268266963492/reviews?hl=zh-TW,5,False,5,"家裡附近的連鎖店一條街連bbqchicken也加入戰場了，食物很新鮮，品質很好！
店員也很親切，推薦大家來吃唷"
 HSIAOWEN HUNG ,https://www.google.com/maps/contrib/107119819097618045961/reviews?hl=zh-TW,5,False,5,裝潢的很明亮乾淨，內用起來很舒適，食物是現炸的要耐心等待~非常好吃，推薦半半可以同時吃到特製醬料口味以及原味
 蘇詩媚 ,https://www.google.com/maps/contrib/114658349428803025766/reviews?hl=zh-TW,5,False,5,去骨系列蜂蜜蒜味超好吃，韓式甘醬小辣但很香，起司部分就是很多起司粉。
 Li-Yun Tseng ,https://www.google.com/maps/contrib/105805063008139765298/reviews?hl=zh-TW,5,True,34,今天吃去骨雞肉拼盤，三種口味都很好吃，而且三種一起吃比較不會因為單一口味而感到膩
 cindy su ,https://www.google.com/maps/contrib/116541466949604338650/reviews?hl=zh-TW,5,False,46,"被韓國YT影片燒到，想說買來吃吃看。
假日打電話詢問訂餐，的確要等非常久才能取餐，因此作罷。平日晚上六點打電話訂餐，大約半小時就能取餐，接電話的女店員態度也很好。

這次買了半半炸雞，蜂蜜蒜味炸雞外皮非常酥脆，外皮裹上的醬汁甜而不膩，雞肉多汁不乾柴，很讚！
另一個原味炸雞，外表也是非常酥脆多汁，調味較淡但不至於沒味道。

價位的確不便宜，但這是台式炸雞吃不到的口味；若是平日想再吃韓式炸雞，會願意再回購。"
 張泱泱 ,https://www.google.com/maps/contrib/110076701539997140813/reviews?hl=zh-TW,5,False,8,"新的韓式炸雞店期待很久了
服務人員仔細細心介紹的
菜單多元化很貼心！
食物很好吃😋
推薦大家來品嚐！"
 張世昌 ,https://www.google.com/maps/contrib/108423316595615423986/reviews?hl=zh-TW,5,False,7,開幕這麼久，因為生意太好不論是外帶或內用幾乎都要等超級久，今天終於等到能正常內用了，因為還沒吃過，所以先點一份拼盤（甘醬、蒜味、起司）試水溫，期待！
 孫柏傑 ,https://www.google.com/maps/contrib/110699036513039991312/reviews?hl=zh-TW,5,False,9,週六在外跑業務到晚上，想說要慰勞自己罪惡一下看到bbq，想說之前要吃都沒來吃，今天就來個外帶拼盤和點心炸物。
 Chiea Tang ,https://www.google.com/maps/contrib/110282274780109837520/reviews?hl=zh-TW,4,True,44,"服務人員態度很好、解說很仔細。
菜單上註明是2-3人份，打開有嚇到，份量蠻多的，4-5人吃都沒問題。原味的外皮酥脆好吃，甘醬則感覺裹粉裹太厚，加上偏甜的醬汁，會覺得非常膩，吃一塊是極限。肉質是屬於很軟沒有口感的那種、沒有雞肉香。滿心期待享用韓國有名的bbq，吃了挺失望的，第一次吃炸雞這麼沒有戰鬥力，可惜了。"
 joyce7cats isa ,https://www.google.com/maps/contrib/100871570300978765479/reviews?hl=zh-TW,5,True,27,以前在三重常吃～搬來北投後終於吃到了！一樣的美味與口感！外酥內多汁～超愛❤️
 黃宜軒 ,https://www.google.com/maps/contrib/116209444843501626706/reviews?hl=zh-TW,5,False,3,北投店雖然不大，但交通方便，外帶的客人絡繹不絕，而且餐點是真的好吃，店員們的態度也很好，已經光顧了很多次，推推
 Vanessa Chen ,https://www.google.com/maps/contrib/102814445450986380829/reviews?hl=zh-TW,5,True,52,"點了韓式甘醬半雞，店內內用吃真的讚。皮還是脆的，趁熱吃，配上微辣甜甜的辣醬～超爽！！
有夠好吃🥹"
 Weichen Chen ,https://www.google.com/maps/contrib/117830339332852929244/reviews?hl=zh-TW,5,False,17,推一個服務親切，食物好吃❤️披薩料超多，炸雞酥脆多汁。推推推
 stopone Lee ,https://www.google.com/maps/contrib/103444858023253802469/reviews?hl=zh-TW,5,False,6,太開心了北投開了韓式炸雞每個口味都想嘗試這次是起司炸雞
 張芮瑄 ,https://www.google.com/maps/contrib/111324752117304916949/reviews?hl=zh-TW,5,False,2,去骨拼盤對於我這種選擇障礙的真的很友善耶，同時享有三種口味。白葡萄果汁裡面有果肉耶！
 yun ,https://www.google.com/maps/contrib/117747366056983791063/reviews?hl=zh-TW,5,False,1,首次到訪新北投bbqChichen，用餐環境不錯，炸雞現炸大概等20-30分鐘，打卡送甜心QQ球喔～
 江Boy ,https://www.google.com/maps/contrib/116056107201146045390/reviews?hl=zh-TW,2,False,6,炸雞太柴，醬料尚可，多一顆星是給蘿蔔跟服務
 111吳宏霖Daniel ,https://www.google.com/maps/contrib/102536873623498465395/reviews?hl=zh-TW,5,False,6,份量足夠口味不錯，服務生服務不錯，多點一些吃不完再外帶
 Huang Bob ,https://www.google.com/maps/contrib/104582418674104976180/reviews?hl=zh-TW,5,False,9,環境很乾淨，服務人員態度也很好，一直覺得bbq是個人最愛的韓式炸雞，第一次嘗試內用，體驗很棒！
 赵露 ,https://www.google.com/maps/contrib/107048593693170377625/reviews?hl=zh-TW,5,False,1,這是我吃過最好吃的一家韓式炸雞，味道非常棒
 Miniear ,https://www.google.com/maps/contrib/111992498966962269391/reviews?hl=zh-TW,5,False,2,很喜歡吃這裡的韓式炸雞，這次特別和媽咪來附近，她說好想吃，我們就過來了！服務不錯～
 胡彥慈 ,https://www.google.com/maps/contrib/117799613568926108885/reviews?hl=zh-TW,5,True,34,晚餐低消一人200元，很輕鬆可以達到，店員態度親切～店內還是播放韓國音樂～很韓喔～哈哈
 102凱捷麻 ,https://www.google.com/maps/contrib/105138689505215470564/reviews?hl=zh-TW,5,False,3,點了半半炸雞：黃金炸雞微辣、蜂蜜蒜味，都微辣，現炸的鮮嫩多汁，好吃
 Ace Yen ,https://www.google.com/maps/contrib/105264760851913330928/reviews?hl=zh-TW,5,False,2,"原來年糕用炸的這麼好吃
黃金炸雞，脆脆香，好吃。
秘製炸雞醬料特別，好吃。"
 喬琳 ,https://www.google.com/maps/contrib/114740924277721879360/reviews?hl=zh-TW,5,True,28,柚香披薩味道很特別，薄皮的好吃，打卡五星評價還有送甜心QQ球
 羊莎莎 ,https://www.google.com/maps/contrib/111891136415473425706/reviews?hl=zh-TW,5,False,1,"雖不大間，幸運的在連假有位置🫶內部乾淨，空氣中沒有油炸物的味道👍
服務人員親切，秘製炸雞好食吶～～～～～"
 Billy Lin ,https://www.google.com/maps/contrib/109064038617417390284/reviews?hl=zh-TW,5,False,3,炸雞腿好吃，去骨炸雞（蜂蜜）也很推薦，蘿蔔很脆，推推！
 Lili Zhou ,https://www.google.com/maps/contrib/112197601132390723602/reviews?hl=zh-TW,5,False,24,原味炸雞真的是鮮嫩多汁真心好吃起司球會拉絲也好好吃
 劉德才 ,https://www.google.com/maps/contrib/104252462927447049182/reviews?hl=zh-TW,5,False,16,"東西很好吃...
柚香鮮蝦披薩很清爽，大推
蜂蜜蒜味炸雞這種甜中帶鹹的口味，超吸引我的味蕾"
 Nathon奈森 ,https://www.google.com/maps/contrib/117016925560214736436/reviews?hl=zh-TW,4,True,160,味道很夠，蠻不錯吃的，三個人吃有點多，價格偏高，有機會會再購買。
 Caesar ,https://www.google.com/maps/contrib/118133784785498344832/reviews?hl=zh-TW,5,True,202,首吃，非常棒！外帶等20分鐘滿正常的，店員很親切，半半秘製醬炸雞很讚，原味還不錯，輪流吃很搭不然單吃一種口味會膩，薯條跟年糕是贈送的，味道也不錯，整體來說，如果有優惠會再來購買的！北投又有新餐廳入駐，開心啦！*目前吃過韓式炸雞排名(包含韓國)：Nene(炸皮無敵)>起家雞(送飲料跟海苔加分)>b.b.q=橘村>烤頂鶏(口味較淡)
 Tang Hu ,https://www.google.com/maps/contrib/106969422281154201594/reviews?hl=zh-TW,5,False,6,朋友激推的BBQ，第一次吃，炸雞需要現場等20分鐘，先來了地瓜薯條，還不錯👍🏻
 joe chang ,https://www.google.com/maps/contrib/106215638890279841435/reviews?hl=zh-TW,5,True,150,水蘿蔔很美味（可以續加），秘製雞甜美的，味道很鮮美
 Peace Chang ,https://www.google.com/maps/contrib/116082924356329073916/reviews?hl=zh-TW,5,True,46,第一次吃，好好吃！四人分享餐，四個大男人吃不完！
 -谷- ,https://www.google.com/maps/contrib/112712895763727495499/reviews?hl=zh-TW,5,False,1,半雞香甜多汁，原味雞軟嫩，酸味雞是真的好吃上面的醬料甜配裡面的雞真的讚
 陳禹璇 ,https://www.google.com/maps/contrib/110781677462965412602/reviews?hl=zh-TW,5,False,5,"非常推“去骨炸雞拼盤”！
蜂蜜蒜味五星級好吃！
起司跟韓式甘醬也不輸它！"
 安餅乾 ,https://www.google.com/maps/contrib/104569365159090770276/reviews?hl=zh-TW,5,True,42,"剛到新北投發現有BB.Q真的超開心的：）
工作人員的服務態度超好的～用app下單可以時間到再拿唷"
 Sonia Hung ,https://www.google.com/maps/contrib/108631052368598543599/reviews?hl=zh-TW,5,False,1,服務生親切的帶位，位置靠牆邊設計上空間舒適，另送餐快速，炸雞新鮮好吃
 錢信宏 ,https://www.google.com/maps/contrib/112511249534983830881/reviews?hl=zh-TW,5,False,1,我今天心血來潮路過這條街，看到這間bbq看到店內地板非常乾淨燈光優美找了一群朋友臨時進來了這間店服務態度非常好可樂氣很多炸雞很脆
 黃敬以 ,https://www.google.com/maps/contrib/114267135417631155939/reviews?hl=zh-TW,5,False,5,店員服務良好，依顧客想先食用小點心的需求，主動貼心提醒打卡送QQ球，下次會想再回訪！
 張文馨 ,https://www.google.com/maps/contrib/106336526057871721813/reviews?hl=zh-TW,5,False,13,內用雙人餐飲料免費暢飲，點秘醬口味，好吃不會膩👍
 王瓊畦 ,https://www.google.com/maps/contrib/102063577061891025056/reviews?hl=zh-TW,5,False,3,"新的韓式炸雞店
菜單多元化
食物也很好吃
推薦大家來品嚐！"
