user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 BB的快樂冒險 ,https://www.google.com/maps/contrib/108721738173717735131/reviews?hl=zh-TW,4,True,319,"有前後門的中式餐廳
前門的位置不佳，要先穿過牛肉麵店的小走道
店面上都溼溼油油的
要小心走以免滑倒
建議從後門走進去（靠近停車場的一側）
雖然會需要穿過很多內用顧客的旁邊
但至少乾淨明亮許多

假日菜單只有一面菜單
選擇不是很多有點可惜
或是只能考慮桌菜的形式
上菜速度很慢建議斟酌自己的時間
當天的服務不太佳
點菜中間服務人員又被其他事情打斷了兩次
雖然能理解真的很忙，但是若能先點完菜再去做其他的事情可能會比較有效率
送餐速度也需要留意
有一道菜也是等了很久很久才送上來
催了兩次終於吃到了非常不容易

整體來說餐點口味不錯
但是份量也偏少
當日餐點：
脆皮雞（半隻）$550：每桌都會點的脆皮雞，要沾旁邊的胡椒鹽才會比較有味道，個人感覺很普

👍橙汁焗肉排$320：這個超好吃！酸甜的味道很剛好，唯一缺點就是份量很少，圖片中的就是實際份量

錫紙牛柳$360：很普通，大概就是洋蔥牛柳，一般般

蒜蓉鮮鮑魚$360：六顆，調味的不錯

👍蝦仁粉絲煲$300：當天最喜歡的兩道菜之一，很下飯，蝦仁也蠻大的，咖哩味道很讚，一定要點這個

飯後會有甜點，一小碗甜甜的豆花，不得不說這個真的很好吃，感覺可以到專賣的程度了"
 陳心陳意FUN生活 ,https://www.google.com/maps/contrib/103908144305030409264/reviews?hl=zh-TW,4,False,8,"訂位時提早預定脆皮雞果然沒有令人失望，熱騰騰的脆皮雞上桌吃得到雞皮的酥脆，雞肉的軟嫩，我覺得本身口味已足，不用沾胡椒鹽也很美味。
鹹酥蝦表現極佳，整隻蝦炸的香酥，不會刺口，錫紙牛肉超級嫩，十分驚艷!酸菜肚片湯料多實在，搭配餐點很適合。
最讓人喜歡的是最後招待的甜品綿密豆花與濃醇糖漿，非常完美的ending。已經期待下次再訪了

門口有附停車位，不過數量不多"
 Tao Tao ,https://www.google.com/maps/contrib/102551803944989806648/reviews?hl=zh-TW,5,True,154,"脆皮雞好吃，建議訂位時要先訂喔！和朋友們四個人點了五道菜，都很喜歡，第一喜歡脆皮雞，服務態度也很親切，如果有壽星還訂位時提前告知，會幫忙準備可愛兔兔壽桃喔

牛肉粉絲煲
干貝雙蔬
橙汁焗肉排
脆皮雞半隻
百花釀豆腐
共$2233"
 劉思妤 ,https://www.google.com/maps/contrib/117922682769934975635/reviews?hl=zh-TW,4,True,65,"椒鹽排骨(小)$320
排骨芋頭煲(小)$300
干煎牛小排(小)$320
百花釀豆腐(小)$360
茶資$20/位白飯$20/碗另+10%服務費
椒鹽排骨好吃，排骨肉很嫩，排骨芋頭煲有加入椰奶烹調味道香濃，餐後贈黑糖豆花很好吃。
入口有點難找，旁邊有專用停車場，車位不多，價位偏中上。"
 楊凌紋 ,https://www.google.com/maps/contrib/104717971206322752745/reviews?hl=zh-TW,5,True,42,"謝謝神秘客
介紹太美味了
幸福的滋味
每一道菜都有獨特的料理風味
媲美米其林餐廳味道

#美食饕客
#愛吃鬼
#就是愛分享
#愛拍照的設計師
楊凌紋Tiffany分享"
 阿唐 ,https://www.google.com/maps/contrib/105885914268611562364/reviews?hl=zh-TW,5,True,34,"這裡的茄子煲,看不到茄子！
因為衣服被脫掉了（削皮）
茄子的衣服除了會變色，還會影響口感。所以，認真負責的老闆把他們都脫光光了！更猛的是，還有素茄子煲！
大腸煲也是超級下飯，更別提好吃脆皮雞還有可以配上三碗白飯的鹹魚肉餅！
為什麼沒有照片？因為被我們秒殺了！
你知道蒸飯嗎？
我不想跟你說太多,免得下次換我點不到了•••"
 Meme Chan ,https://www.google.com/maps/contrib/109679952873812245430/reviews?hl=zh-TW,5,True,370,終於！來吃了，真的很令人驚艷，位置很隱密，真的是只有老饕才知道了😂😂，必點陶瓷碗飯，脆皮雞，都要提前預約才吃的到啊～，茄子襃讓我小小失望，沒大家講的那⋯麼好吃😂，店家固定休禮拜三喔，想喝酒的，店家還有紅酒櫃，超讚的啦，飯後甜點真的很不賴
 TONY CHI ,https://www.google.com/maps/contrib/114546209754134819159/reviews?hl=zh-TW,1,True,50,"不太理解為什麼小朋友也要計算茶資
明明小朋友也沒有喝茶
可以要求個人低消這點我認同
但是小朋友一定要算茶資這點我就不懂了
蒜蓉蒸蝦特別交代因為有小朋友所以有兩隻蝦麻煩不要放蒜
最後也都是全部放滿滿的蒜
即使我們用湯匙把蒜頭通通刮掉
小朋友還是吃到吐出來
跟小姐反應也是也是沒有後續任何作為"
 Zeng chi ,https://www.google.com/maps/contrib/102501992676903800799/reviews?hl=zh-TW,4,True,165,"餐點好吃，吃第二次了
只是衛生需有待加強！！"
 李玉梅 ,https://www.google.com/maps/contrib/105595432527403544767/reviews?hl=zh-TW,5,True,68,必點脆皮雞（我吃過最好吃的脆皮雞，晚餐請預訂）、咖哩蟹、蒸魚。菜色無雷，來很多次只失望一次（因為脆皮雞賣完了）。
