user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Nancy ,https://www.google.com/maps/contrib/106176568458924430445/reviews?hl=zh-TW,4,True,69,"▪️陽春麵$50

就是陽春麵的配置，麵條的口感非常好，我超愛這種有點嚼勁又不會太硬的麵條，泡久了也不會覺得爛爛的，青菜份量也蠻多，湯喝起來也不會說沒有味道，反而有一種清甜的口感！

▪️單點炸豬排$80

酥脆的麵衣，不得不說這家的炸物起鍋時間剛剛好，非常酥脆非常好吃，配上他們的蜂蜜芥末醬，更是一絕！

▪️泰式酸辣雞柳麵$130

真的夠酸，裡面有很多種菇類，喜歡吃菇的應該會很喜歡這一碗哈哈哈哈哈，炸雞柳的肉不會柴柴的而且肉的份量也比豬排來得多～

這次來訪其實是想試試看網路評論說很厲害的茶葉蛋，拿到菜單之後發現茶葉蛋被劃掉了，問了老闆才知道因為最近雞蛋的供應量不穩定，就暫時沒有販售茶葉蛋，覺得有點可惜😢

下次可能會點雞柳，而不會點豬排~~~~(>_<)~~~~

然後蜂蜜芥末醬不夠都可以再跟老闆娘反應！"
 Rou Rou ,https://www.google.com/maps/contrib/113526686642563297476/reviews?hl=zh-TW,5,True,29,"老闆人手不多，餐點約等20分鐘才陸續上菜，但是好口味不影響用餐心情。
剝皮辣椒拉麵跟酸辣拉麵口味都很讚👍
剝皮辣椒雞湯微辣、泰式酸辣口味酸味也很開胃，拉麵麵體Q彈很好吃😋
如果天氣冷冷的來一碗，讚讚讚～
炸物炸的酥脆，沾醬也很好吃，感覺是蜂蜜芥末口味～
老闆一家人都很客氣、友善，店家還有提供愛心待用餐，值得支持！👍👍"
 Meme Chan ,https://www.google.com/maps/contrib/109679952873812245430/reviews?hl=zh-TW,5,True,370,終於！終於！讓我發現北投的新美食😆😆😆，也太好吃！太滿足了！不起眼的店面，真的是隱藏版美食，我po了，又要排更久了，老闆每樣餐點都是新鮮現做～我吃的是泰式酸辣雞柳，夠酸夠味，雞柳香酥脆，咖哩豬排更是ㄧ絕～剝皮辣椒麵ㄧ般，豬肉炒泡麵！超。好。吃。～老闆忙歸忙人很親切的啦😭😭😭😭很滿足❤️，對了，店內辣椒好好吃
 陳彥廷 ,https://www.google.com/maps/contrib/112870326091879101208/reviews?hl=zh-TW,5,True,979,有許多融合台式及東南亞口味的料理，剝皮辣椒雞麵湯頭濃郁，微辣順口，非常好吃。炸物亦相當酥脆多汁。
 cat cat ,https://www.google.com/maps/contrib/115828218296036681628/reviews?hl=zh-TW,4,True,163,"食材還算可以但主要賣點是量很多@@咖哩炒飯價格是一般炒飯一點五倍份量也是,而且老闆用料很實在每一口都吃到肉絲,麵加大之後超大一碗臉盆大小XDDD剝皮辣椒很好吃！"
 Yu Feng Su ,https://www.google.com/maps/contrib/104512947447076674789/reviews?hl=zh-TW,5,True,191,"豬排炸的很剛好欸，配上黃芥末醬，超讚的啦推推
相較豬排來說，咖喱比較清淡，但份量很大，其實蠻飽的"
 Chengli Liu ,https://www.google.com/maps/contrib/108550998130672484875/reviews?hl=zh-TW,5,True,36,"看到網友推薦來的。本來想說會不會有雷，但看到端上來的炒飯就放下心了。還點了很多別的菜不過只有拍炒飯。

餐點都好吃，可以試看看。"
 kaokao kao ,https://www.google.com/maps/contrib/110887078413713978593/reviews?hl=zh-TW,3,False,4,食物不錯吃，但等了30分鐘三碗麵才做好，不確定老闆是不是習慣先做外帶
 看Lucifer ,https://www.google.com/maps/contrib/110855658778176334679/reviews?hl=zh-TW,5,True,432,"咖哩豬排飯$130元
豬排炸的酥脆，咖哩醬給的很夠，拌飯剛剛好🥰濃郁的咖哩配上紅蘿蔔及馬鈴薯，讚！
馬鈴薯還是微微炸過的，外皮有酥酥的口感特別好吃，老闆人很好還加碼送我們薯餅吃💕
看到熟客都來買茶葉蛋，好奇也跟風點了，滷的入味，很推走過路過都可以帶走幾顆，好吃！"
 GuoHua Lyu ,https://www.google.com/maps/contrib/101351961535940469215/reviews?hl=zh-TW,5,True,73,"非常棒的一間小店
價格親民口味也很好
可惜沒吃到秘密配方的炸雞
跟結帳的阿姨約好下次會再訪"
 于采晴 ,https://www.google.com/maps/contrib/107538595855161688059/reviews?hl=zh-TW,4,False,4,"小管絲瓜麵好吃！
湯頭有絲瓜的鮮甜，小管新鮮～"
 Fecia Cu ,https://www.google.com/maps/contrib/102650912863061253447/reviews?hl=zh-TW,4,True,397,"咖喱豬排飯份量非常大調味感覺是學生會喜歡的那一種
包肉的生菜給的非常大方
咖喱炒飯非常香
感覺還蠻多客人點絲瓜麵的下次也來嚐嚐"
 Hanns Wu ,https://www.google.com/maps/contrib/104656657826839755753/reviews?hl=zh-TW,5,True,24,"小管絲瓜麵($130):小管新鮮熟度剛好，湯很鮮甜
越式香茅炸雞($150)的配菜搭得很好
都很好吃，北投難得好吃的店。老闆雖然很忙，態度依然很好。強推!!"
 Johnny Chen (強尼) ,https://www.google.com/maps/contrib/109013140303628725703/reviews?hl=zh-TW,4,True,134,餐點多樣乾淨平價量多夠吃可以再訪
 Peggy Chu ,https://www.google.com/maps/contrib/105914295615593931996/reviews?hl=zh-TW,5,False,26,"豬排咖哩飯超級好吃，小朋友一個人吃了一大碗！
酸辣雞柳麵真的很夠味，不得不說雞肉炸的剛剛好❤️
獅子頭也很好吃"
 曾rita ,https://www.google.com/maps/contrib/103423670000961571357/reviews?hl=zh-TW,5,True,121,紅燒獅子頭麵不錯，湯底好喝
 Zanta Ho ,https://www.google.com/maps/contrib/100848040982758501140/reviews?hl=zh-TW,5,True,497,評分很高的店，果然令人驚艷。剝皮辣椒雞麵湯頭鮮甜帶有一點微辣的風味，麵條軟Q有嚼勁，大推！咖哩豬排飯雖然看起來很普通但真的好吃，豬排肉質很好不會粉粉然後柴柴的，馬鈴薯是帶皮的我喜歡，非常值得推薦。
 Olivia Chang ,https://www.google.com/maps/contrib/115337819932514012249/reviews?hl=zh-TW,5,True,155,特別推薦最愛的泰式酸辣麵跟越式香茅炸雞，泰式酸辣麵不太敢吃辣的，小辣就好了唷！
 漫步慢步 ,https://www.google.com/maps/contrib/117704868273774310242/reviews?hl=zh-TW,5,True,472,辣蘿蔔跟眷村茶葉蛋真的是超好吃，茶葉蛋本身的香氣濃，蛋本身又很Q彈，口齒留香，另外今天點的越南春捲跟瓠瓜水餃也都很棒，咖哩牛肉麵湯本身較稀，味道仍在，但是比較不不沾麵條，但是拉麵很彈牙，整個值得推薦
 Alicia ,https://www.google.com/maps/contrib/101150994003909800897/reviews?hl=zh-TW,5,True,62,第一次用餐經驗，喜歡拉麵口感Q彈有勁不是細拉麵、炸豬排外皮酥脆、咬下去有湯汁，可以收到口袋名單的店👍
 張琬琦 ,https://www.google.com/maps/contrib/115532032291017395828/reviews?hl=zh-TW,5,True,170,"北投在地好吃小吃店，推薦遊客來北投玩可以品嚐。選擇多樣、價格便宜、老闆娘熱情招待。
推薦泰式湯品類和咖哩飯。份量十足
越式生菜春捲更是美味～
店內提供廁所，飲料販賣"
 楊岱軒 ,https://www.google.com/maps/contrib/104958434177167217794/reviews?hl=zh-TW,4,True,157,"看到評論第一次來吃。果然如評，食材新鮮有料，雖然是第一個客人，但仍需等待10分鐘才上桌。東西現點現煮，等待是可以接受的。雞柳排外酥內嫩，沾上蜂蜜芥末醬清爽不油漆膩。列入口袋名單…
9/22更新，小管絲瓜麵"
 Paddy Shu ,https://www.google.com/maps/contrib/113093281332223251272/reviews?hl=zh-TW,5,True,16,很好吃的台式咖哩炒麵，咖哩夠台味也夠濃，麵煮的恰到好處，店家也很客氣，下次再來吃吃看別的東西
 Jed Kuo ,https://www.google.com/maps/contrib/111104134253855393913/reviews?hl=zh-TW,5,True,37,出遊中午找餐廳雖然外觀看似普通但餐點出乎預料好吃炒飯粒粒分明拉麵Q彈有嚼勁老闆員工都很親切之後有機會一定會再來光顧😎
 Kai ,https://www.google.com/maps/contrib/108373142801181147775/reviews?hl=zh-TW,4,True,107,泰式酸辣雞柳條麵=泰式酸辣湯頭+雞柳條一份，對的，兩件事是分開的，很妙。不過麵的湯頭很濃郁夠味，重口味者會很愛。辣度可客製。
 Han Huang ,https://www.google.com/maps/contrib/117171714358268816962/reviews?hl=zh-TW,5,True,227,剝皮辣椒雞湯頭很棒，可惜雞肉不是入味的那種，會再訪
 許宸熏 ,https://www.google.com/maps/contrib/107796114327954258069/reviews?hl=zh-TW,5,True,7,"今天難得當跟班的來到北投區，做完正事後，店長丁崑庭林易宗還有恩娜一同吃當地小吃美食，麵條很Q彈，香茅葉包炸雞腿、超嫩的腿呀，
說真的，我的嘴很挑，這家真的很推▶️▶️▶️1️⃣0️⃣0️⃣分
#36私房麵
#北投小吃
#文林北路店面要出租
親切的老板娘最後送了好彈牙的水餃超級好吃😋
下次有機會可以再吃吃😋😋😋"
 王小璇 ,https://www.google.com/maps/contrib/111368552647881315007/reviews?hl=zh-TW,5,True,45,好吃，份量也很足夠，親子友善餐廳，可惜牛肉部分有點硬
 Jen Huang ,https://www.google.com/maps/contrib/112591680798115187989/reviews?hl=zh-TW,5,False,7,今天跟家人共5人去用餐，真的每道都很好吃，老闆也很親切，價格也便宜，cp值超高👍👍👍
 夏綠蒂 ,https://www.google.com/maps/contrib/111300853865341437928/reviews?hl=zh-TW,5,True,24,"推剝皮辣椒雞湯麵很好吃👍
店裡環境乾淨老闆很親切"
 張良裕 ,https://www.google.com/maps/contrib/112685534525557674196/reviews?hl=zh-TW,5,False,26,"咖喱豬排湯麵的咖喱味濃淡適中，湯好好喝
豬排不沾醬好吃，沾醬也好吃
燙青菜菠菜一般般

推薦咖喱湯麵系列跟豬排!!!!"
 Ting Xuan liu ,https://www.google.com/maps/contrib/109147795581692648019/reviews?hl=zh-TW,4,True,302,"一家蠻平價的店!
推泰式酸辣豬排麵130~
超愛這種酸辣酸辣的味道…超開胃的!
麵也不軟爛非常Q彈還可以自由選喔!(拉麵細麵冬粉
上面有給一些青菜切片杏鮑菇紅蘿蔔(雖然量很少
不過整體份量很足~
豬排的部分蠻優秀的!
雖然上菜時發現真的很小…
不過外皮超酥脆而且麵衣也超薄!
剛炸好的豬排沾上黃芥末醬超對味~

冰箱裡小菜真的就還好了…不建議點喔…"
 余仲淇 ,https://www.google.com/maps/contrib/108856142889669514560/reviews?hl=zh-TW,5,True,199,"超高評價，
怎麼能不進來品嚐呢！

真的很好吃，
走過路過千萬別錯過！"
 蔡志揚 ,https://www.google.com/maps/contrib/116085255954502460639/reviews?hl=zh-TW,5,False,26,理想的炒泡麵型式，不油不軟不膩，只有泡麵的Q彈爽口和香氣
 沈彥儒-小個 ,https://www.google.com/maps/contrib/103074587279632669461/reviews?hl=zh-TW,4,True,525,咖喱豬排飯醬很多，炸豬排好吃
 恐龍 ,https://www.google.com/maps/contrib/100903632649021279133/reviews?hl=zh-TW,4,True,100,可以一直來吃的味道
 Duke Hsieh ,https://www.google.com/maps/contrib/110847498753457405629/reviews?hl=zh-TW,4,True,379,"咖哩豬排飯不錯吃,水餃普通,用餐時刻人多需要等一陣子."
 Erin Kang ,https://www.google.com/maps/contrib/115900326510690907001/reviews?hl=zh-TW,4,True,338,湯頭美味，料多實在，剝皮辣椒微微的辣度很順口，好吃！
 李宓竹 ,https://www.google.com/maps/contrib/105536179710916733136/reviews?hl=zh-TW,5,False,6,"老闆超親切～人又帥👍
每一道菜都超好吃😋
飲料verygood!"
 馮誠 ,https://www.google.com/maps/contrib/107331209144424862334/reviews?hl=zh-TW,5,True,146,"驚豔！
能在北投巷弄間尋得這集合眷村/台/陸麵點及越南口味於一家，值！"
 高小敏 ,https://www.google.com/maps/contrib/109447641441235231409/reviews?hl=zh-TW,5,True,69,豬排的蜂蜜芥末醬好吃～酸辣麵湯頭夠味
 陳奕倫 ,https://www.google.com/maps/contrib/101678222175896988570/reviews?hl=zh-TW,5,True,97,"路過來吃吃看，真的不錯
份量多，價格適中"
 XXX LO ,https://www.google.com/maps/contrib/112342980987105471802/reviews?hl=zh-TW,5,False,18,很喜歡私房麵的餐點，咖喱、酸辣湯頭都很好吃！豬排炸的很剛好，配上蜂蜜芥末醬非常搭🥰蛤蜊絲瓜麵的料超多，炸雞也很讚👍。生意很好，但等待是值得的～
 Daily天天 ,https://www.google.com/maps/contrib/114109654027182291363/reviews?hl=zh-TW,3,True,419,親切人情味小店，泰式酸辣海鮮湯頭不錯。
 Carz ,https://www.google.com/maps/contrib/103518766711087428587/reviews?hl=zh-TW,5,True,85,簡單的美味，會想再回訪。
 Christy Liu ,https://www.google.com/maps/contrib/101605387606411617704/reviews?hl=zh-TW,5,True,74,"平價CP值高，口味偏台式，整體乾淨切的店家
咖喱豬排飯有滿滿的醬，配料馬鈴薯也用炸的好好吃
之前來吃過麵食很大碗，來用餐都會交代飯麵減半
茶葉蛋很香很入味，等上桌時可以先吃

小菜盒子可以環保化會更好"
 陳哈姆 ,https://www.google.com/maps/contrib/104557363039693705505/reviews?hl=zh-TW,4,True,120,"不錯吃的店
酸辣湯麵湯頭蠻不錯的"
 Lance HSU (風秤子) ,https://www.google.com/maps/contrib/116866179821428692541/reviews?hl=zh-TW,4,True,"1,034","咖哩湯麵很大碗CP值不錯
只是不夠濃牛肉不夠嫩
微辣口感的台式咖哩"
 Christina Tsai ,https://www.google.com/maps/contrib/110489374261075007814/reviews?hl=zh-TW,3,True,30,等候的時間過長，絲瓜蛤仔湯頭沒有海鮮的甜味，價格有點高的珈哩也不夠濃郁豬排很小塊，缺乏眷村的人情味和家常的好味道！
 陳奕銘 ,https://www.google.com/maps/contrib/110355314948381644371/reviews?hl=zh-TW,2,True,74,認真說有點過譽，絲瓜蛤蜊麵的絲瓜很小片，蛤蜊也不多，價格也不算有CP值。咖喱豬排就還可以，但北投有更好選擇，不會有特地要來買的誘因，另外外帶等很久，1145到，大概等了半小時……
 AMY AA ,https://www.google.com/maps/contrib/106858359517164223515/reviews?hl=zh-TW,5,True,86,好吃的家常台式咖哩，
 林鑫 ,https://www.google.com/maps/contrib/101155283261631426117/reviews?hl=zh-TW,5,False,22,豬排超超超好吃，又酥又脆，團員們都說每道料理很美味，謝謝老板還招待我們現炸蝦片，祝福老板生意興隆賺大錢。
 高凱筠 ,https://www.google.com/maps/contrib/109957403635486668181/reviews?hl=zh-TW,5,False,8,好吃、乾淨、料理誠意十足
 蘇桂花 ,https://www.google.com/maps/contrib/107600719993888538541/reviews?hl=zh-TW,4,True,453,麵條不錯，豬排超好吃!
 陳政逸 ,https://www.google.com/maps/contrib/110481075565945899640/reviews?hl=zh-TW,5,False,4,餐點好吃尤其炸物
 陳俊佑 ,https://www.google.com/maps/contrib/109005551817014763188/reviews?hl=zh-TW,5,True,354,相當美味，春捲口感很清爽好吃😋
 W.C. L. ,https://www.google.com/maps/contrib/105198820036714797958/reviews?hl=zh-TW,5,True,"1,060",超推絲瓜小卷麵，小卷新鮮軟嫩，湯頭清爽甘甜不油膩，炒飯也不錯，粒粒分明，調味適中，茶葉蛋也是必點，感覺是用多種中藥熬煮，風味獨特
 Li-Yen Lin ,https://www.google.com/maps/contrib/110641764149136109617/reviews?hl=zh-TW,5,True,60,"咖哩鮮菇飯份量很足夠，馬鈴薯好吃~
泰式酸辣豬排麵CP質高"
 Kent Chen ,https://www.google.com/maps/contrib/115590163210037858228/reviews?hl=zh-TW,5,True,159,"首推剝皮辣椒雞麵
再推咖哩豬排炒麵咖哩豬排飯（醬汁稍空虛）"
 Sapphic Hsiao ,https://www.google.com/maps/contrib/114794663324671553710/reviews?hl=zh-TW,5,True,773,炒麵湯麵都不錯雞排豬排好吃
 蔡正華 ,https://www.google.com/maps/contrib/115850069652597685153/reviews?hl=zh-TW,5,True,30,"北投在地好吃小吃店，推薦遊客來北投玩可以品嚐。選擇多樣、價格便宜、老闆娘熱情招待。
推薦泰式湯品類和咖哩飯。份量十足"
 Jeng-chiang Wang ,https://www.google.com/maps/contrib/110360116663984735366/reviews?hl=zh-TW,5,True,64,家庭式小店，人多時要有耐心等一下。越式炸雞好吃，韭菜眷村水餃很有誠意，韭菜香又多汁。榨菜肉絲麵少見是用白菜熬湯的，很清甜。是推薦的好店！
