user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 阿泰 ,https://www.google.com/maps/contrib/106909144216519738678/reviews?hl=zh-TW,4,True,49,第一次來這用餐，用餐環境整潔，服務態度都很好😊點了香煎雞腿、炒花枝、炒蝦仁和松阪豬肉，全部都是套餐，有附白飯、小菜、青菜兩樣、味增湯和飲料（飲料可以續杯）！口味都OK，香煎雞腿非常好吃，海鮮部分也新鮮，真要說有意見的，大概就是松阪豬肉實在太少了，是我們點的四樣餐裡價格最高的，雖然食材成本可能較高，但份量大概就一小薄片豬排的量，連我女兒（國一生）也沒吃飽😅好在有多點荷包蛋和杏鮑菇！所以個人建議店家這一個品項是可能有些調整的空間的！
 陳勇豪 ,https://www.google.com/maps/contrib/113427245241791829176/reviews?hl=zh-TW,3,True,70,就平價鐵板燒來說口味就是一般，油煙味稍重，本次點商業午餐內用，結帳有收服務費(店家說因為內用)，建議可以提前和客人先說。
 GENE KUO ,https://www.google.com/maps/contrib/114948264514751133330/reviews?hl=zh-TW,3,True,93,"2021_11月週末中午用餐，整體而言是給予三個⭐⭐⭐星星；一間快速用餐的地方，熱騰騰的料理飽餐一頓。

從蔥爆牛肉180元的價格帶在台北市來說不算貴（沒有收服務費），屬於正常範圍，部分網友給予較低的分數稍後也會加上個人觀點參考。套餐附有白飯、味噌湯、青菜兩樣、主食（肉類），白飯的份量是類似魯肉飯的碗大小，份量也是夠的，味噌湯方面是屬於台式風味，味道偏甜及味增的百分比或是調理方式跟日式味噌湯不太一樣，柴魚粉味道也是相當的淡，可接受程度。所有照片均附上比例尺對照。

附餐的青菜是高麗菜及豆芽菜，還有一個煎得有點焦脆的荷包蛋，部分留言覺得菜量太少，如果要跟大埔鐵板燒（連鎖店）配菜比是稍微少了一點，不過有附上全熟的的荷包蛋作為額外的配菜應該有加分，配菜的鹹度當天食用沒有太大的問題。

主食的蔥爆牛肉內有洋蔥提味，肉質算是可以吃，沒有明顯纖維（筋）的口感。但是醬汁口味稍微濃郁些，建議搭配白飯一起吃會平衡許多，中規中矩的料理方式。

接著，網友反映的問題，油煙味：用餐當天整體稍微有料理的味道在空氣當中，冷氣空調是有正常運作，舒適可以接受（當天冬季，室外溫度27°C)，服務品質是有耐心接待及安排，防疫措施也是有執行的。座位過於擁擠：是的，不可否認這個分店的座位數大約15-18人，為了最大翻桌率及空間考量，坐下去後與隔壁陌生人幾乎不小心就可能碰到，所以要小心動作不要太大。這樣會有種想要快點把食物吃完，然後結帳離開的用餐隱形壓力。

最後也附上老闆的調整價格的照片，他們預計2021年12月1號起，反映物料成本因素（附圖），故你們之後看到我附圖的價格可能到時候不太一樣了。新北投捷運站出來步行約莫12分鐘走路可到的地方，吃飽後對面還有公園散步，或是對面大樓一樓有路易莎咖啡可以轉換心情喝杯咖啡。

以上個人心得。"
 黃子哲 ,https://www.google.com/maps/contrib/117281838184989089287/reviews?hl=zh-TW,3,True,41,"這家鐵板燒給我的感覺像是一家“便當店”，整體調味非常的油。

這次點雞腿套餐，附湯是蘿蔔湯，紅茶是那種死甜的紅茶，可以想像成普遍便當店的那樣。

豆芽高麗菜過於油膩，雞腿還行，此店需要一成服務費。"
 Su Su ,https://www.google.com/maps/contrib/116922551140005369213/reviews?hl=zh-TW,2,True,33,"優點：上菜快速，套餐飲料可續杯
缺點：份量超級少⋯⋯

以這個價位與份量還要收10%服務費？
去大埔鐵板燒還比較值得還吃的飽"
 Bayrider JJ ,https://www.google.com/maps/contrib/110330918141124150623/reviews?hl=zh-TW,4,True,300,價錢很公道的一個鐵板燒店。他的東西也還不錯。環境也算是ok.
 鄭師傅 ,https://www.google.com/maps/contrib/118243200058127397274/reviews?hl=zh-TW,5,True,51,吃完才想到要拍全部掃完兩大碗飯菜炒的汁多又香又脆完全到位非常下飯
 林凱西 ,https://www.google.com/maps/contrib/114118602641582529989/reviews?hl=zh-TW,4,True,"1,075",乾淨，服務親切，食材新鮮，份量女生吃剛好，不多。看起來很美味，回購率85%，還有很多家可試試。
 ivy shen ,https://www.google.com/maps/contrib/103705907118845293345/reviews?hl=zh-TW,1,False,9,"1.炒豬肉套餐180元，只有8片豬肉，洋蔥蠻多的，大推
2.蟹肉套餐220元，蟹肉不知道冷凍多久了，口感軟爛，而且每個都很小隻，懇請老闆或廚師花一份成本的錢，體驗客人吃到的感受
3.今晚5:30進入店內用餐，5:55左右離開，離開時只有我們兩位客人，店裡至少6位服務人員沒有一位說謝謝，遑論謝謝光臨這四個字
4.石牌商城的二姐鐵板燒外帶便當120元完勝！
5.祝永遠高朋滿座
6.對了！建議要吃的人最好是不太餓的時候去用餐，不然應該也會想來留負評
7.以上為10/2晚上真實的用餐心得"
 Kuanghao Chen ,https://www.google.com/maps/contrib/104149833326697598174/reviews?hl=zh-TW,4,True,105,口味還可以，不過用餐時看到6位店員，有的在櫃檯聊天、有的蹲在餐檯後滑手機。客人來時，大家開始裝忙，有人攤開塑膠袋、有人拿餐盤去接炒好的菜。建議老闆最多4人即可，2人炒菜、1人櫃檯、1人備料。
