user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 weiju wang ,https://www.google.com/maps/contrib/105702948893460127048/reviews?hl=zh-TW,5,True,71,"定食180元，超級超級佛心，謝謝老闆～～～單點鯖魚烤得很美，米飯好吃，整體味道清爽～定食的鯖魚會比較小塊，雞腿肉質不錯，調味不會太重。

醬燒香魚是下酒菜，味道比較重，鹹甜～

泡菜牛肉是可以當燴飯的那種，口味不重～（牛肉較少，想多吃菜的可以選）"
 慕溪 ,https://www.google.com/maps/contrib/117197525429469935796/reviews?hl=zh-TW,3,True,27,"涼菜用的醬是一醬到底同一味，沒有到非常驚艷，軟殼蟹麵皮可能可以考慮換一種，叫兩種不同的做法愣是沒吃出軟殼蟹的殼酥脆，感覺上在吃炸過的麵皮……
另外一個個人非常不能接受的部分：花壽司即便中央是楊物，也不能擠“蕃茄醬”，太台式創意，上菜挺傻眼的，蕃茄醬完全喧賓奪主
定食來說，今天點照燒雞腿排，老實說雖然有生菜水果加醬當做沙拉，及茶碗蒸，關東煮料及味增湯，若要以CP值來說價格偏高，但店家生存不易……"
 Viki Ku ,https://www.google.com/maps/contrib/110738762607257618603/reviews?hl=zh-TW,5,True,119,店主很客氣，餐點美味，連茶碗蒸都超級入味！拉麵的排骨燉的很軟，不塞牙，高湯都很香甜，推薦👍偶然走進來讓人驚艷
 Jessica Chen ,https://www.google.com/maps/contrib/112587364609243024460/reviews?hl=zh-TW,5,False,24,環境還算乾淨，價格平實，丼飯是用醋飯，味道和口感都很剛好，有送味增湯，豬排定食也很好吃，是會再回訪的店家！
 fan Hsu ,https://www.google.com/maps/contrib/106944406402701684248/reviews?hl=zh-TW,5,False,13,"超級好吃的日本料理
芋頭炸蝦壽司的芋頭鬆軟得宜，搭配剛炸好的炸蝦口感極佳，內襯的玉子燒很棒，高湯味很爽口，吃完有滿滿的幸福感"
 lin kuanfu ,https://www.google.com/maps/contrib/114158924108586641310/reviews?hl=zh-TW,4,True,123,"以餐點品質來說
算很好吃
我是點叉燒溫泉蛋拉麵跟炙燒鮭魚壽司
湯頭不會很鹹很好喝，豬肉蠻厚的但燉得很好入口
只是蛋是全熟的小缺點
鮭魚壽司也是好吃

這家店的缺點就是時間上等太久了
跟我同時間進來的客人都吃完離開
還有一個比我晚10分鐘來的外帶客人也都走了就我的餐點還沒上
等了30分鐘吧!
真的很想問你們到底怎麼安排出菜的
我還聽到客人問壽司要等很久嗎
師傅回說不用???"
 陳俊淵 ,https://www.google.com/maps/contrib/102155966688105551015/reviews?hl=zh-TW,3,True,457,湯喝起來就是紫菜湯，麵和豬排還好，價格貴了一點
 june H ,https://www.google.com/maps/contrib/108146674866898845793/reviews?hl=zh-TW,4,True,137,湯頭是鍋燒麵的那種鰹魚昆布～夏日吃也舒服😌麵也好吃♥️，但可惜的是叉燒有點太老，內用空間也蠻小的
 JC Chou ,https://www.google.com/maps/contrib/107728102911242543139/reviews?hl=zh-TW,3,True,135,服務與用餐空間需加強，二樓有免費熱麥茶。單人只能坐一樓，但一樓空間不大有油煙味，座位=走道，用餐環境拘束。海鮮相撲烏龍麵湯頭是微甜的味噌湯，料有蛋、台灣雕魚肉、雞肉、豬肉、文蛤2顆、白蝦1隻、花枝腳3根、魚板、甜不辣、高麗菜、海帶芽，豬肉稍有腥味，整體口味尚可，加些豆腐或豆皮更搭配。
 Wei Wen Lai ,https://www.google.com/maps/contrib/115969686390092678953/reviews?hl=zh-TW,4,True,342,口味較為台式的日本料理，主餐份量十足
