user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Annie Wu ,https://www.google.com/maps/contrib/116235141446312301125/reviews?hl=zh-TW,4,False,135,"裡面小菜齊全
擔仔麵有粄條米粉麵可以選
還可以加一顆滷蛋
魯肉飯也很飽
每到小菜我都覺得蠻好吃的
推吃中餐"
 Joy Tseng ,https://www.google.com/maps/contrib/114234281041084642809/reviews?hl=zh-TW,3,True,102,"小菜就在攤子前像自助餐一字排開
鴨血豆腐還會放小爐子保溫很特別
擔仔麵、切仔麵味道清淡
擔仔麵都是瘦肉不錯
當主食配小菜還可以"
 樂樂 ,https://www.google.com/maps/contrib/104703157751301976617/reviews?hl=zh-TW,5,True,187,"上菜迅速，料好味美
擔仔麵35，豬心湯50，經濟實惠
店內寬敞乾淨，吃的舒服😋"
 WEN HAO LUN ,https://www.google.com/maps/contrib/110843303900859594756/reviews?hl=zh-TW,5,False,4,每樣東西都新鮮好吃，價格合理，經濟實惠！
 張昕睿 ,https://www.google.com/maps/contrib/100646141224968622551/reviews?hl=zh-TW,5,True,161,"路過聞香下馬的擔仔麵店，
明亮乾淨的用餐環境，
還有古早韻味的簡單裝潢氛圍，
工作料理區在店前，
方便客人點餐和參觀製作過程⋯

點了擔仔肉燥麵/湯麵，
還有招牌鴨肉和小菜⋯
口感甘甜多汁回味❤️
體驗一下古早味的美食
好滋味😋😋😋"
 William Pan ,https://www.google.com/maps/contrib/106500433322997860406/reviews?hl=zh-TW,4,True,381,"如果用米其林三星分級制來幾顆形容，這家應該算是值得專程拜訪的小餐廳，應屬二星級。
菜色眾多味道鮮美，傳統台式食物卻做得很乾淨而且並不失去食物的味道。用餐空間也不錯，有冷氣區和自然空氣流通區。服務人員親切可愛、笑臉迎人，會讓人留下美好的用餐回憶。重點是經濟實惠。"
 方俊凱 ,https://www.google.com/maps/contrib/108787942814523264682/reviews?hl=zh-TW,4,True,936,東西蠻好的，上菜速度很快。虱目魚肚不錯吃！
 A波季爾 ,https://www.google.com/maps/contrib/117511912011611607919/reviews?hl=zh-TW,2,True,332,環境尚屬乾淨，担仔麵湯頭普通，肉躁倒是可以事先吩附少油膩，小菜所費不貲點一條水煮吳郭魚要一佰伍，覺得台北商專附近的林務局対面的清煮吳郭魚湯還比較划算新鮮。
 LOCA ,https://www.google.com/maps/contrib/103493680219090854550/reviews?hl=zh-TW,5,True,69,東西不貴好吃，裡面有幾個圓桌，在菜還沒來前我們先刮起來🤣
 Ah Chuan ,https://www.google.com/maps/contrib/105465877268356684489/reviews?hl=zh-TW,4,True,122,老闆服務貼心又客氣，店內餐食CP值高，值得推薦
