user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 阿吉 ,https://www.google.com/maps/contrib/112967190699448194121/reviews?hl=zh-TW,5,True,28,日出壽喜燒選飯類+紅茶服務態度良好等候餐點約10分鐘環境也不錯一個人用餐很自在，話說這是我用抽獎抽到的，下載獎獎樂每天都可以抽獎唷，最近不知為何運氣好抽到次數有點高呢~
 伍玖玖 ,https://www.google.com/maps/contrib/104628999236830952049/reviews?hl=zh-TW,4,True,465,門口點餐排隊區很擠，發現現在都可以座位點餐了，還是直接座位點餐較快。塔塔鱈魚堡套餐💰79元，鱈魚堡的醬好少，吃完有空虛感。
 陳小冰 ,https://www.google.com/maps/contrib/106392700109235683776/reviews?hl=zh-TW,2,True,15,不知道最近是收銀換人還是？app取餐事後發現漢堡給錯、拿鐵量還很少，希望可以改進
 過眼雲煙 ,https://www.google.com/maps/contrib/100226002243406827206/reviews?hl=zh-TW,2,False,10,"「實話系畢業」
有關服務及技術應該加強，餐點品質不說，拿一千沒得找還要自己出去附近超商換錢買東西找開，整間店拿不出零錢，是在準備什麼⋯⋯然後人手跟訓練就明顯不足，7分點餐要45分才拿到，整間店亂一團，歡迎體驗。"
 Odin Weng (cateyes) ,https://www.google.com/maps/contrib/101019570049826952882/reviews?hl=zh-TW,4,True,458,"長形的店面，一樓略顯狹窄，但二樓就還蠻寬敞的。櫃檯的大哥服務態度很好，說話表達清楚明瞭，讓感人感覺舒服。
店內收訊不太好，走到窗邊甚至有時候還只有兩格，是不是可以建議加裝強波器?"
 Leen Raquel ,https://www.google.com/maps/contrib/118034213720629724088/reviews?hl=zh-TW,3,True,101,"位於中正路上、鄰近士林國中的摩斯門市，APP線上訂餐到現場還要等快半小時，沒有一次例外，服務速度宜加強。
遇過一位年輕女店員頻頻狀況外，前面的外送員只缺一杯飲料，提醒多次後才終於裝好取餐離開，中間積了好幾位(包括我)客人等了好久都沒拿到餐。本人一直提醒對方但女店員手忙腳亂搞不清楚順序，另一位店員只好協助確認才讓我領到餐。
另外提醒大家取餐時除了與店員確認餐點外，最好把袋裡餐點拿出來一一確認(雖然很麻煩)。之前外帶藜麥珍珠堡，店員也口頭跟我確認過，拿回家打開來卻不是藜麥而是一般的，雖然價差僅10元但感受不好，都騎車回家了不可能再回去現場退換，真的傻眼。"
 J Liou ,https://www.google.com/maps/contrib/109081305447021800586/reviews?hl=zh-TW,5,True,22,座位充足，洗手檯方便。點餐供餐服務優，不過常遇到談話音量控制不住的中老年客群。不適合喜愛安靜用餐環境客群可以久待的地方。
 Chaomin Chiu ,https://www.google.com/maps/contrib/109611608000996107202/reviews?hl=zh-TW,5,True,59,閉店前一小時來店內喝經典的冰紅茶稍坐，點了炸物後上樓，店員送來時的親切問候讓人覺得有被服務到的溫暖感覺，也能開心度過這一小時。
 yi hua Lee ,https://www.google.com/maps/contrib/114772769137106059845/reviews?hl=zh-TW,2,False,2,經常線上點完餐到現場還要等，取餐櫃檯沒人，只剩點餐人員，也無法插隊說要取餐，這樣預訂不就失去意義，該店應該再加派人員
 yawen ,https://www.google.com/maps/contrib/101475908319950919256/reviews?hl=zh-TW,1,True,125,"傍晚約8點現場購餐外帶，櫃檯上一位男服務員戴眼鏡，呈現不耐煩的服務態度，完全沒有服務品質，講話只有單詞，沒有完整字句，好像我逼他幫我結帳一樣。內場有兩位女性，一位較瘦的女生拿餐給我的時候，還在跟男服務員聊天，在抱怨剛剛接電話客人問有沒有外送，還取笑對方，基本禮貌都沒有，邊講邊拿餐給我，沒有看我，只是收走牌子，我說謝謝也沒有看我。下次不會來這間分店，摩斯很多，真的不要來這間找氣受。
一顆星都不值得給。"
 張燕萍 ,https://www.google.com/maps/contrib/116414574232932900457/reviews?hl=zh-TW,3,False,37,"整體環境很舒適，比較喜歡二樓的環境。
不過洗手間就還好，乾凈度沒有很高，服務態度不錯！
餐點速度算快！"
 MIN CHIA HSIEH ,https://www.google.com/maps/contrib/116785973784742201822/reviews?hl=zh-TW,3,False,13,"早班櫃檯狀況很多。上週長輩難得想吃，請我去買三份套餐，等了近20分鐘，結果到家打開，竟然只有一份餐點….去電後，另一位店員請我隔日去退費。

今天再度買了三份餐，這次餐點齊了，飲料卻少了。還好當下有自行確認，要不然又要開天窗。

在等待的時候，這20分鐘時間，看到她包錯餐點給外送，導致預約客人拿不到。又看到店裡客人紛紛前來詢問“請問我的餐點好了嗎”

可能出餐速度要加強，也要再更細心些。"
 Isa Ke ,https://www.google.com/maps/contrib/110514555425416053479/reviews?hl=zh-TW,3,True,91,從外送平台點了雙人餐，速度慢紅茶也覺得少！而且還少給了葡萄蒟蒻，員工要加強訓練了
 台灣美食監督家 ,https://www.google.com/maps/contrib/107108382556172304254/reviews?hl=zh-TW,1,True,38,已經做好餐了，點餐人員搞不清楚狀況，沒有一個專門負責電話、app叫餐的人，實際取餐時間7：19，在一個上班日預約就是怕遲到，結果反而更慢
 LuCKy MaRUko ,https://www.google.com/maps/contrib/118034206939845261899/reviews?hl=zh-TW,4,True,641,App點餐方式非常便利防疫梅花座很確實
 Abby兒 ,https://www.google.com/maps/contrib/117223332183029964278/reviews?hl=zh-TW,2,True,42,"早餐吃番茄蛋漢堡，真的好吃！熱騰騰跟起司融得剛剛好，只是室內不知道為什麼那麼多蚊子，吃個早餐被叮到癢死😂

下午更新：第一次知道摩斯紅茶跟早餐店大冰奶有一樣的效果...今天上了3次大號😭"
 fl chen ,https://www.google.com/maps/contrib/113345157223007151581/reviews?hl=zh-TW,1,False,9,"點餐順序混亂,雜亂無章,後面四五組客人都拿餐了,還我有沒有號碼牌,一整個非常生氣."
 Annie ,https://www.google.com/maps/contrib/104053845243683471247/reviews?hl=zh-TW,5,False,71,來了幾次，二樓開啟窗戶保持通風，這家分店也有提供座位點餐，摩斯各家分店一向不錯，防疫期間也持續提供充分酒精消毒，讓人安心。
 董化婷 ,https://www.google.com/maps/contrib/115038027673946634958/reviews?hl=zh-TW,1,False,20,大約6.去的，點了兩個套餐外帶等了30分鐘，快好了突然說不小心把地瓜薯條炸焦了，晚餐時段看來常常單很多，那很明顯的人手不足，希望店家改進。回去吃後說不要洋蔥也還是加了。
 Chi Su ,https://www.google.com/maps/contrib/117592841585000493928/reviews?hl=zh-TW,1,False,14,內用等了快15分鐘，跟櫃檯打工仔反應，才發現沒有單所以還沒做，請我們稍等。你們值得一顆美麗的黃色大星星^_^
