user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Li Queeny ,https://www.google.com/maps/contrib/103772818603519933549/reviews?hl=zh-TW,3,True,220,"飲料部分點了奶茶、奶綠、豆漿…（不推…味道很淡。奶茶大概是加奶精吧！？）
食物部分還行（但麵類似乎很油！？）"
 Min Min Lee ,https://www.google.com/maps/contrib/111948598715776735744/reviews?hl=zh-TW,1,False,9,"店員親切，但衛生需改善。
鍋燒意麵吃一半發現有小蟑螂在湯裡，反應給老闆只是重煮一碗給你，但已經吃到蟑螂覺得噁心沒胃口了！不會想再光顧了..."
 WH D Cheng ,https://www.google.com/maps/contrib/111872944026758824633/reviews?hl=zh-TW,4,True,367,【不可刷卡】吃的東西（豬排蛋餅+薯餅起司蛋+中溫豆漿）感覺不錯。
 CL L ,https://www.google.com/maps/contrib/114095042660974558020/reviews?hl=zh-TW,5,True,454,老闆娘親切有禮，餐點好吃！
 Chieh ,https://www.google.com/maps/contrib/111632046104264035744/reviews?hl=zh-TW,4,True,17,店員很親切，餐點不錯，奶綠的牛奶再多一點會更好。
 STARS ,https://www.google.com/maps/contrib/100724205634401865155/reviews?hl=zh-TW,5,True,725,好吃的早餐店，紅茶好喝，選項很多，還有組合套餐可選，動作算快，服務親切。
 Na Na ,https://www.google.com/maps/contrib/101966189524045936507/reviews?hl=zh-TW,1,True,30,"蘿蔔糕時常是煎好放一旁
有人點後下去回溫而已。常常都是裡面冷的超難吃。點香雞吐司香雞根本沒熟。"
 Karl Lu ,https://www.google.com/maps/contrib/115484859800485740652/reviews?hl=zh-TW,5,True,103,餐點幾乎都推，雷的餐點相對其它早餐店少很多，不會有那種烤過跟沒烤一樣的軟趴趴省電吐司、也飲料也不難喝，但因為是大店客人很多，蛋餅類就沒有現在比較受歡迎的酥皮做法。雖然是連鎖店但是這家整體品質和其它JSP相比可以說高不只一級，非常推薦。
 Stan Lai ,https://www.google.com/maps/contrib/110838662041255228428/reviews?hl=zh-TW,3,True,97,衛生堪憂但其他還行
 Jerry Chiang ,https://www.google.com/maps/contrib/116569414322241612751/reviews?hl=zh-TW,5,True,288,阿姨們都超級親切，有種回家的溫馨感，薯餅脆脆的好好吃
 Evan C ,https://www.google.com/maps/contrib/114696658218692595164/reviews?hl=zh-TW,1,False,12,"東西不難吃
但是10次買大概有7次都會算錯錢
都是多收..不知是店家故意呢？還是作業疏失？
但這算錯的頻率真的太高了"
 陳國寧 ,https://www.google.com/maps/contrib/112776676767341468988/reviews?hl=zh-TW,1,False,5,超傻眼，吃之前問還有營業嗎，都笑笑的說還有，結果進去坐沒多久，菜單都還沒畫好就說要打烊了，還連催兩次，後來上餐在催一次。態度真的很差，進去前都笑哈哈的要賺錢，點單了就翻臉不認人，扯
 Sega Yang ,https://www.google.com/maps/contrib/108090661613895306182/reviews?hl=zh-TW,4,False,53,老闆娘親切，蛋餅、吐司、漢堡類不錯吃
 邱羽如 ,https://www.google.com/maps/contrib/108326206555508310874/reviews?hl=zh-TW,1,False,3,進去前詢問是否還有在營業，說有所以就進去坐下，結果剛拿到菜單就開始在催說他們要打烊了，催了兩次，後來送餐一放下盤子又說要打烊了叫我們吃快點，態度非常的差。
 李道凡 ,https://www.google.com/maps/contrib/114633996286411087161/reviews?hl=zh-TW,4,True,21,菜單選項多，價格實惠口味好。阿姨們也很親切
 楊玉慧 ,https://www.google.com/maps/contrib/106587926074210459869/reviews?hl=zh-TW,5,True,32,好吃，東西多樣化，價格還可以，店員服務親切。
 lucienne ku ,https://www.google.com/maps/contrib/112269911950097608919/reviews?hl=zh-TW,5,True,208,"服務員超可愛,超禮貌的,三明治,吐司,貝果都很好吃！"
 阿里山 ,https://www.google.com/maps/contrib/116547738775150881777/reviews?hl=zh-TW,5,False,3,很有人情味的店，服務也很好，一群可愛的媽媽!
 郭淑芬 ,https://www.google.com/maps/contrib/114642846407704908986/reviews?hl=zh-TW,4,True,65,起司乳酪餅美味好吃
 Gary TU ,https://www.google.com/maps/contrib/102059867281934151228/reviews?hl=zh-TW,4,True,107,價格合理，口味符合水準的連鎖店
 林清榮 ,https://www.google.com/maps/contrib/103271979800907552414/reviews?hl=zh-TW,4,True,286,店家服務態度親切，店內環境整潔
 Jason Tsao ,https://www.google.com/maps/contrib/107399258255253584865/reviews?hl=zh-TW,5,True,116,還可以，算平價！
 李富祥 ,https://www.google.com/maps/contrib/117974011258248207522/reviews?hl=zh-TW,5,False,4,都是賣一些養生的早餐環境也很好
 Ya-Chi Chang (雅琪) ,https://www.google.com/maps/contrib/106743286009614828458/reviews?hl=zh-TW,5,True,91,便宜份量大又不貴，很推薦！！
 王宜禎 ,https://www.google.com/maps/contrib/100273438226290002396/reviews?hl=zh-TW,1,False,5,態度超爛還算錯錢
 高小姐 ,https://www.google.com/maps/contrib/114229147309434467503/reviews?hl=zh-TW,4,False,14,很好服務很親切值得再上門
 yunchi0127 ,https://www.google.com/maps/contrib/103278979937158673420/reviews?hl=zh-TW,4,True,140,喜歡三明治生菜很多！
 米Miesha ,https://www.google.com/maps/contrib/116695577509306819257/reviews?hl=zh-TW,1,False,27,買了豆漿是酸的
 Chris Lin ,https://www.google.com/maps/contrib/103048914835919326028/reviews?hl=zh-TW,4,True,50,樣式很多，但是要等很久………
 邱柏元 ,https://www.google.com/maps/contrib/108823922023751286528/reviews?hl=zh-TW,3,True,290,早餐連鎖店，不難吃
 徐崇祐 ,https://www.google.com/maps/contrib/108557798581083958622/reviews?hl=zh-TW,3,True,89,鐵板麵不好吃
 Miss廖 ,https://www.google.com/maps/contrib/102647385154116455312/reviews?hl=zh-TW,5,False,99,還不錯吃
 Dale Lin ,https://www.google.com/maps/contrib/110748524778924733549/reviews?hl=zh-TW,2,True,161,漏單而且態度差
 廖小八 ,https://www.google.com/maps/contrib/107680253453584978080/reviews?hl=zh-TW,5,True,320,三明治符合經濟成本
 STAR777 Chen ,https://www.google.com/maps/contrib/104516332691105186242/reviews?hl=zh-TW,3,True,112,還行
 淞兒 ,https://www.google.com/maps/contrib/107729637330051011301/reviews?hl=zh-TW,1,True,131,沒去吃
 陳明清 ,https://www.google.com/maps/contrib/108280637622928177211/reviews?hl=zh-TW,4,True,8,好停車
 Rod Yao ,https://www.google.com/maps/contrib/112533037554862397281/reviews?hl=zh-TW,3,True,610,不易停車
 toms tsai ,https://www.google.com/maps/contrib/100569583635002625441/reviews?hl=zh-TW,5,True,25,出餐速度超快
 Ramil Sususco ,https://www.google.com/maps/contrib/100167561221114792867/reviews?hl=zh-TW,5,False,14,"(由Google提供翻譯)美味的早餐。好服務

(原始評論)
Tastybreakfast.Goodservice"
 彭笙瑞 ,https://www.google.com/maps/contrib/105950271067603868342/reviews?hl=zh-TW,5,True,575,好吃阿姨人很好
 Emily Sun ,https://www.google.com/maps/contrib/116870328923835842948/reviews?hl=zh-TW,5,True,39,好吃
 RK Jim_ ,https://www.google.com/maps/contrib/108106611391952334005/reviews?hl=zh-TW,5,True,55,好吃
 林永祥 ,https://www.google.com/maps/contrib/100909529049532355034/reviews?hl=zh-TW,3,True,28,"(由Google提供翻譯)新鮮食材

(原始評論)
食材新鮮"
