user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 比嘎嗶 ,https://www.google.com/maps/contrib/117477076234871324858/reviews?hl=zh-TW,5,True,158,"水煎包剛煎起來，底層有一點脆，外皮是屬於鬆厚的，咬起來蠻軟又有嚼勁，也有麵粉香，內餡是高麗菜和油蔥居多（不是素的），不加辣醬也好吃。一顆14元，很可以！Pika◉‿‿◉
（買五顆以上才會附上提袋噢，也不能用買的）"
 Jacko Huang ,https://www.google.com/maps/contrib/111167920255477002036/reviews?hl=zh-TW,3,True,413,"水煎包單價$14，麵皮偏厚，咀嚼有麵皮香，薄處煎的脆，內餡高麗菜甜，口味可但cp值不高。

PS:提醒大家買5顆才有塑膠提袋"
 Winnie Yang ,https://www.google.com/maps/contrib/113706269728106214543/reviews?hl=zh-TW,4,False,9,"一顆$14
外皮有脆，咬兩三口才有吃到內餡，內餡味道很香但高麗菜不是很脆的那種份量也較少，吃到最後還有麵皮，可以嘗試但不會特別回購"
 Yu ,https://www.google.com/maps/contrib/112638268026241844964/reviews?hl=zh-TW,1,False,100,"買過的水煎包裡面
皮最厚餡最少的...
1顆14元(20220210)"
 永智 ,https://www.google.com/maps/contrib/100328741941790437115/reviews?hl=zh-TW,5,True,71,老婆高中時期喜歡的味道，現在已經40多歲了，有經過士林都會來買
 Brook Li ,https://www.google.com/maps/contrib/102858033790446409074/reviews?hl=zh-TW,5,True,"1,994","華榮街市場口的老字號，小時候住士林時常吃。
搬離士林後，時隔30年再訪，口味還是如記憶中一樣美好。
現在很少吃得到像這攤煎包底部煎得如此香酥的，還帶有獨特的豬油香氣。
內餡則是高麗菜餡，調味也是剛剛好。
淋一點辣椒醬，就是午後點心的最棒享受。"
 Winnie Zhou ,https://www.google.com/maps/contrib/102206869699334332755/reviews?hl=zh-TW,5,True,95,疫情期間最好的外帶食物，我們家人從小吃到大，非常香且很美味！這是古早味的豬油高麗菜水煎包，不要再抱怨沒有豬肉餡了。
 沈泓庭 ,https://www.google.com/maps/contrib/107464982959189336725/reviews?hl=zh-TW,1,False,4,非常不愉快的購買經驗，辣椒醬放在旁邊自己加，一直以來自已也都是加固定的量，這次購買時老闆娘說我加太多，我告知一直以來我都是加這個量，沒有浪費，她回我說你知道辣椒醬也要錢的，我當下只有笑笑就走了，一顆水煎包加兩匙辣椒醬是有多浪費？
 Nika Chang ,https://www.google.com/maps/contrib/110700525167826749899/reviews?hl=zh-TW,3,True,490,"味道是不差
但是面皮很厚餡料很少
剛買馬上吃皮是脆的
但是我不在意這個
我比較在意餡料的份量…"
 Jenny Lin ,https://www.google.com/maps/contrib/117224921143549538051/reviews?hl=zh-TW,3,True,41,"當場吃皮酥好吃（特點是皮無誤），只能說當天吃現場加醬很可以，外帶需要十顆才會有老闆裝好的醬料不然無法分開包裝醬料，因為內餡不是很重口味，個人覺得醬料很重要。
老闆有一些規定應該立告示牌公告可能會好很多！
Goodfoodhaveabadattitude."
 Edward Lin ,https://www.google.com/maps/contrib/117958978554123894273/reviews?hl=zh-TW,5,True,975,"過去，要回山上的學校住校，在光華戲院這裡換車；週末放學後換車或是翹課出來到士林看電影；或是同學揪逛街……到了光華戲院對面的榮華市場口，免不了就是要買幾顆水煎包來解解饞
從學生時代到結婚生子《因為老婆都在附近的新光醫院生小孩》一直到現在孩子已經出外工作，這家水煎包卻一直陪伴著我，有時候這種路邊小吃不是要要求老闆要做得多好吃或者服務有多好，而是……一代接著一代的傳承，這樣平凡的美味才能在彼此之間留下懷念的味道！
這水煎包攤老闆雖然已經換下一代經營，但幾十年來的口味並沒有改變，也可能是包子變小了點，內餡少了點，價格自然也貴了……也或許現在水煎包店多了，大家會開始比較優劣！
總之……時代的巨輪持續往未來的方向滾動，但是平凡的美味與世代的傳承並沒有消失，希望可以一直一直吃到這攤好吃水煎包！"
 雷豪爾 ,https://www.google.com/maps/contrib/101091778927207444901/reviews?hl=zh-TW,4,True,407,麵皮帶點甜味，吃的出手桿麵糰的勁道，高麗菜餡料，每顆13元，建議加點辣椒醬更對味
 Wentyng ,https://www.google.com/maps/contrib/115834549296484170149/reviews?hl=zh-TW,4,True,"1,092","路過看到剛起鍋底部脆脆的很誘人，首次購買現吃一個還不錯。
本身是愛吃麵皮的。"
 江海蒂 ,https://www.google.com/maps/contrib/109457247031538385371/reviews?hl=zh-TW,3,True,369,"感覺好像不錯吃，但實際不是很好吃，怎麼ㄧ堆人排...可能愛高麗菜的人會愛吧～覺得料有點少～
目前吃過好吃的水煎包是還是尚大娘，可能我愛吃肉的煎包吧～"
 A ,https://www.google.com/maps/contrib/116738034175214098101/reviews?hl=zh-TW,5,True,22,"從小吃到大的水煎包
底部脆脆的皮超級香🥰
是最愛的水煎包！"
 sasa Lee ,https://www.google.com/maps/contrib/105863889937077503049/reviews?hl=zh-TW,5,True,239,外皮軟鬆，內餡高麗菜肉有點少，加點他們家的辣醬吧，也還不錯。
 黎世焰 ,https://www.google.com/maps/contrib/115824356153018343726/reviews?hl=zh-TW,3,True,"2,224",生意不錯，皮有焦，高麗菜內餡算鮮，內餡真的很少!
 May yu ,https://www.google.com/maps/contrib/114704017371608368998/reviews?hl=zh-TW,1,False,6,"我是在地人，強列不推這間攤。皮厚料少，老闆的態度極差差差。

昨天下大雨經過士林中正路，小朋友肚子餓，買了四顆水煎包，老闆四個裝在一起，告知老闆因為小朋友不吃辣，但其它家人要吃辣，不確定要多少個加辣椒醬，因此要求拿另一個白色迷迷袋，老闆竟不肯給，後來告知原由，終於拿到一個袋子，但老闆卻在我面前把整灌辣椒醬拿到旁邊去不給我裝，我說明了我只是要“一小湯匙“，老闆撐了約20秒才放整瓶辣椒回去原位。我當下也只裝了半匙，因為家人其實沒吃很辣。

整個購買過程非常不舒服，男老闆的態度令人非常生氣。同時我買了旁邊的臭豆腐、甜不辣，另外二個老闆都直接幫忙另外包一小包辣椒。

這家老闆的心態與動作，真的很令人生氣。附上購買証明。怒！"
 Gerald Lee ,https://www.google.com/maps/contrib/105687240779501581852/reviews?hl=zh-TW,1,False,13,踩雷了！沒看評論直撞真後悔，會倒霉氣噗噗
 劉明瑞 ,https://www.google.com/maps/contrib/117382803984549299642/reviews?hl=zh-TW,4,True,230,從小吃到大，屬於記憶中的味道，口味清甜，高麗菜混合著些許的豬肉，皮厚薄不定，連帶內餡大小會有變化，可以試試。
 I-Chung Liu ,https://www.google.com/maps/contrib/101372146568105128594/reviews?hl=zh-TW,3,True,262,水煎包外皮煎得酥酥脆脆，但本身沒啥味道，要加醬料
 宋裕 ,https://www.google.com/maps/contrib/107405794018727329111/reviews?hl=zh-TW,1,False,1,要買10顆才有另外付辣椒醬，上次看一個阿伯跟他買4個要跟老闆要提袋不給說要5顆才有給提袋。生意做的（太搖擺了）
 王郁涵 ,https://www.google.com/maps/contrib/114335828930236579569/reviews?hl=zh-TW,4,True,34,"一顆13塊錢的水煎包cp質正常
很喜歡剛煎完外皮酥脆的口感
內餡單純用高麗菜跟油蔥酥混合
偏油但吃著很香"
 0911ddtddt ,https://www.google.com/maps/contrib/108795748692240204861/reviews?hl=zh-TW,5,False,94,吃了30多年了，還是一樣好吃，看完其他人的意見，嗯~真的是非常有趣，呵呵~還好我不是餐飲業者
 Zoar Chuang ,https://www.google.com/maps/contrib/113613560337963212613/reviews?hl=zh-TW,5,True,442,皮煎的脆脆的，內餡不用沾醬也很好吃
 李宇翔 ,https://www.google.com/maps/contrib/104535699789699788230/reviews?hl=zh-TW,5,True,64,"士林高麗菜口味首選，皮嫩襯托菜原味！
看星評價不准，如果（單純想吃高麗菜）不想要冬粉豆干等等混合菜，不想食肉者，絕對棒。"
 gg m ,https://www.google.com/maps/contrib/106132950684571129805/reviews?hl=zh-TW,1,False,1,"買4顆這麼燙這麼油都裝在同一袋裡
跟老闆娘要外提袋,說要買5顆才給
我就多買了1顆,才換來外提袋
後來向老闆娘多要袋子包辣椒醬
老闆娘回:""買10顆才提供""
我說:""那跟你買袋子""--->居然也被拒絕了""不賣""
去隨便的商店也會賣你袋子
就這麼不給人方便
天龍國最跩小吃攤
不會再去光顧了
只想給0分,但就不能評論了..."
 Allen Yeh ,https://www.google.com/maps/contrib/115047708811703083698/reviews?hl=zh-TW,1,True,30,"平心而論，以大台北地區來說，水煎包不難吃，但是店家似乎把自己把自己的評價做髒了，撇開不想讓客人多加醬料，小袋子弄得油油的，不滿五顆也不提供手提塑膠袋(也不販賣)，可以想像店家心態是一顆也沒賺你多少，為何要提供這麼好的服務...但是你們常遇到客人這樣子來詢問不會煩嗎?大家就是為了要方便買了就上公車或上車才買路邊攤，我也不想幫店家提供解決方式或任何建議，我想店家也不會在乎也不會來看，要買就買、不買拉倒。
想買的客人先做好心理準備抵抗老闆娘的臭臉耍屌態度攻擊吧!
如果可以給零顆星，誰想給一顆?服務業之恥...B哀"
 陳淑芳 ,https://www.google.com/maps/contrib/115802088393757060309/reviews?hl=zh-TW,3,True,465,客人不少，有時要排隊。餡料新鮮但皮較厚，不知是剛好人多，皮不會脆且偏軟。
 Aden Huang ,https://www.google.com/maps/contrib/111906324766418312927/reviews?hl=zh-TW,4,True,"1,096",老店了，還不錯、尤其熱熱吃
