user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Foliage Ye ,https://www.google.com/maps/contrib/100427388300544046894/reviews?hl=zh-TW,5,False,21,"▪️番茄牛腩河粉ɴᴛᴅ280
▪️越南三明治ɴᴛᴅ120
▪️咖哩雞湯米粉ɴᴛᴅ190
▪️鮮魚粉皮捲ɴᴛᴅ180
▪️芋頭椰汁西米露ɴᴛᴅ80
▪️青椰子汁ɴᴛᴅ150

越南三明治的麵包好好吃，有嚼勁又不過硬，最重要的是，外皮酥脆卻不刮舌！夾入叉燒肉、越南火腿、酸萝卜和小黄瓜片，再塗抹上点睛之笔的美乃滋，让酸甜香鹹多種滋味融合，層次相當豐富，这种清爽口感我太喜歡了！當場吃完，還多外帶一個當作隔天早餐～

番茄牛腩河粉的汤头很浓郁，酸味恰到好处，喝着十分醒胃。用番茄的酸甜碰撞厚實的牛腩，而且每一口牛腩入口软嫩中保留着嚼劲，河粉吸飽了湯汁吃起來很夠味，这种满足感叫人如何不爱？

咖哩雞湯帶著椰奶味，一端上桌浓郁的咖哩香濃的氣味就窜进鼻子里。配料豐富，除了燉煮软烂的大塊雞肉外，很特別的是還有鴨血和地瓜。米粉洁白晶莹，柔软滑口。嗦一口米粉再吃一块入味的雞肉，好過癮～

粉皮捲软滑的口感中带着Q劲，浇上用鱼露调成的蘸汁，鲜香可口。因為是米漿蒸製，不需要油炸，所以无须担心油腻感，合适在夏季食用。

青椰汁清甜爽口，而且是帶有真實椰肉的！芋頭椰汁西米露我也非常推薦！香芋的粉糯，椰汁的奶香味再搭配西米的Q弹，簡單的組合卻因為比例的巧妙把控，让人回味无穷，我沒誇張。

用餐環境乾淨舒適，空間寬敞，桌與桌之間不會過於緊密，適合多人團體聚餐。店員的服務態度禮貌周到。價格在這個環境和口味下，蠻合理的。

IG🔍1eat2drink3shoot
看更多美食分享🪐"
 小光 ,https://www.google.com/maps/contrib/114734017129721463803/reviews?hl=zh-TW,4,False,34,"來過多次整體用餐體驗與服務都不錯，餐點部分個人覺得鮮蝦生春捲與涼拌在大熱天相當爽口好吃，香茅烤豬排挺香嫩的。法頌麵包好吃外脆內有奶油的軟酥，配個飲料應該相當不錯。
生牛肉河粉部份肉是相當好吃的，但個人覺得口味可以重一點會更好。"
 Dara Lu ,https://www.google.com/maps/contrib/113634363497686403878/reviews?hl=zh-TW,5,True,65,"從陽明山下山後的第一首選～！
清爽入味的越式料理，份量剛好菜色也是非常清爽可口。

餐廳整潔舒適，服務人員也非常親切，即使外場只有一位服務人員，服務也絲毫不馬虎超厲害的👍🏻👍🏻👍🏻
推薦下山後的第一首選～！（下午營業時間要注意一下唷🤗）不然就要在門口耐心等待了🤣"
 LuLu Lin ,https://www.google.com/maps/contrib/110274516548931307962/reviews?hl=zh-TW,4,True,84,"跟附近的越南料理相比，價位偏高，但口味是真的不錯！
今天點的三道都很好吃！
茄汁牛腩河粉，份量足，湯頭香甜濃郁，牛腩也給得大方。
香茅烤雞腿，入口驚艷，油香滑嫩。
炸春捲也不錯，美中不足的是，搭配的生菜，只給了三小片。"
 Chu Rocky ,https://www.google.com/maps/contrib/107747686885657529701/reviews?hl=zh-TW,4,True,682,這價格在台北應該算正常吧，但如果以桃園來說，道地越式小吃料理店太多，就不算便宜了。但裝潢跟感受是加分的，口味符合台灣人調整的越式料理，裝潢，份量都不錯。
 Mei Chen ,https://www.google.com/maps/contrib/100375503759633780645/reviews?hl=zh-TW,5,True,422,"超好吃😋雞腿春捲米粉❤️
再加個燙青菜～完美～

連續叫兩天外送～
第二次對越南麵包失望
裏面包的內餡、豬肉有點腥味
麵包本身不是酥的、沒有德行那家好吃"
 Huang Cherry ,https://www.google.com/maps/contrib/116638437260779787425/reviews?hl=zh-TW,5,True,22,"他們今天因為花季生意太好
人手確實不太夠
我們有等了一陣子
但是覺得幸好有耐心等候
因為餐點真的物超所值
而且份量好大
每一道餐點都吃得出微小細節的用心
大推～！"
 Amber ,https://www.google.com/maps/contrib/113532066452061547619/reviews?hl=zh-TW,4,True,292,"平日午餐內用
空間寬敞舒適，內用間隔很大
品項很多，很多種類做選擇！
平日有套餐可以點，還有四選二的套餐（沙拉、湯、飲料、甜點）
份量很足夠！
越南麵包很脆沾咖哩意外好吃，而且咖哩是偏水的那種咖哩，很濃郁不會辣很好吃，裡面還有地瓜和雞肉，很久沒吃到好吃的咖哩了！
套餐的沙拉很到位的酸，裡面還放火腿，特別也清爽解膩。
會二訪的越南美食。"
 Carl Huang ,https://www.google.com/maps/contrib/109516222050445531153/reviews?hl=zh-TW,5,True,110,服務人員親切客氣，上菜速度快，口味跟越南當地吃過的很接近，應該是大衆能接受的口味價位合理，三人不用1000元就快吃不完，我願意再來。
 Daphne W ,https://www.google.com/maps/contrib/104923961133204607083/reviews?hl=zh-TW,5,True,290,"沒有合適輪椅族進餐廳的坡道，必須自行將輪椅翹上樓梯，合適輪椅的座位也不多。
但餐點可以見用心料理。
今天的櫃檯小姐很貼心、親切。😊"
 英是愛吃鬼 ,https://www.google.com/maps/contrib/116120312446989929121/reviews?hl=zh-TW,4,True,935,環境舒適整潔，人員有禮，生牛肉河粉鮮甜可口，套餐+6o元就有小菜，湯，甜點，飲料，划算。
 Crawford Lee ,https://www.google.com/maps/contrib/111513516993576502740/reviews?hl=zh-TW,3,True,243,店面外面看似不大，進去卻很多座位還有地下一層樓，點了招牌牛肉河粉味道很淡不加調味吃不下去，牛腩河粉味道不錯，炸春捲好吃，用餐環境和服務人員都還不錯。只是最基本的牛河有點讓人傻眼…
 Hiking ,https://www.google.com/maps/contrib/117102322929548755481/reviews?hl=zh-TW,4,True,38,"服務還不錯
可以刷卡
口味ok
菜色選擇多
法國麵包沾咖哩雞河粉湯汁也不錯
法國麵包是軟式的，不是偏硬的那種，但有麵包點空
越式咖啡味太淡，有點咖啡水加煉奶的感覺"
 徐TONY ,https://www.google.com/maps/contrib/115836313723997229718/reviews?hl=zh-TW,5,False,8,點了茄汁牛腩個人非常喜歡，加上麵包的畫龍點睛，服務也是跟網路上評價相同，非常親切且禮貌，絕對回來二訪，住在附近卻沒有注意到好吃的店家😁😁😁
 Iris Chen ,https://www.google.com/maps/contrib/110145444069966926368/reviews?hl=zh-TW,5,True,333,"用外送平台叫了雞腿排春捲乾拌米線
非常好吃！！！連續叫了兩天
雞腿排軟嫩份量十足，醃漬得很入味
香料的香氣很棒皮帶點焦脆感很加分
春捲也是香脆又夠味
下方米線份量也是很足
醬汁則是清新微酸平衡了雞腿排的重口味"
 linh ung ,https://www.google.com/maps/contrib/115752890643116824767/reviews?hl=zh-TW,1,False,4,只能說兩個字“爛+貴”從來沒吃過哪家越南餐廳那麼爛，越南麵包全部是紅蘿蔔只有一塊肉，一塊火腿，給它一顆星還覺得不值得，希望還沒去吃過的人絕對不要吃，有想去的人三思考慮。
 Linda Wu ,https://www.google.com/maps/contrib/115808218111024448171/reviews?hl=zh-TW,5,False,7,"每每想吃越南菜，離家近的越香蘭必是首選。今天點烤雞腿米線，雞腿排軟嫩多汁，即使外帶一樣美味。店內年輕男服務生非常溫和有禮，點餐時詳細說明，等餐時提供檸檬水，服務滿分！

除現金外，店家也收信用及ApplePay.建議Google上可以更新付款方式。"
 Timothy Chan ,https://www.google.com/maps/contrib/103308204000228360061/reviews?hl=zh-TW,4,True,433,清爽入味的越式料理，份量剛好菜色也是非常清爽可口。
 HSIAOYUN WANG ,https://www.google.com/maps/contrib/102504310954500707386/reviews?hl=zh-TW,1,False,4,"記得聽朋友說過食物還不錯，剛好經過就來吃看看，下午時段店內ㄧ共就3桌客人
看完了菜單想點餐，無論是怎麼張望
都得不到服務人員的回應，後來到吧台告知要點餐，回桌坐了一回兒，另一位戴眼鏡的小姐上前問是否需要點餐，在我們回答「是」的同時，她又在和另一位同事隔著3、4桌的距離講話，說著說著人就離開了，之後又經過我們這桌，似乎是突然想起來似的，才又問了一次點了沒？
以上到此其實都還好～
點完餐之後，朋友告知我後面的行程
因為怕是餐點會擔誤到時間，想問一下大約需要多久，心裏想著是否打包
走到吧檯邊，想問一下餐點製作的時間
戴眼鏡小姐表示需要10分鐘左右
帶著翻白眼的表情
上菜的時候就一發不語的把菜放著
似乎很不開心？
不曉得這種服務態度對於貴店有沒有什麼影響，不過我是不會再去了"
 SZU YING Wu ,https://www.google.com/maps/contrib/113552012706984875559/reviews?hl=zh-TW,5,False,6,幾乎每次來都留下美好的用餐感受。親切有禮的服務，新鮮的食材，夠份量的餐點，再來一杯越南冰咖啡，有前菜有甜點的套餐，真的是物超所值。好開心這間氣氛好又潔淨的餐廳挺過疫情，誠心推薦大家來品嚐。
 楊小姐 ,https://www.google.com/maps/contrib/118311042693717041926/reviews?hl=zh-TW,5,True,156,"環境寬敞舒適~料理道地，視覺味覺雙享受。特別的是麵包超好吃~香.酥.脆。特殊越式料理獨特香味，
碟仔粿有點像台灣的碗粿，牛腩肉燉的軟嫩，咖哩雞肉超香，甜點也很好吃，就是好吃啦～"
 rlph lm ,https://www.google.com/maps/contrib/102967778240373292045/reviews?hl=zh-TW,5,True,14,法短包好吃外脆內軟咖哩雞比較稀和味道不夠、牛肉粉湯頭好、蝦粉卷配特式醬汁不錯、香茅猪扒夠味只略嫌薄了點。
