user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 王大野 ,https://www.google.com/maps/contrib/101219699503499880557/reviews?hl=zh-TW,4,True,86,雖不是令人驚豔的美味，但是每一道料理都處理得很不錯，炒蛋香滑順口、炒高麗菜別具風味、金沙筊白筍鹹香夠味、鳳梨蝦球軟嫩爆汁、椒鹽中卷香酥帶勁、蚵仔酥的九層塔還用心的裹粉炸過，還有鮮甜有味的味增鮭魚頭湯，道道都搬得上檯面，可能是我們沒有喝啤酒的關係，所以覺得有點過鹹，下次找機會再約三五好友選個不用開車的日子去大吃熱炒大口喝酒~
 Hiteru Jama ,https://www.google.com/maps/contrib/100910820907595748399/reviews?hl=zh-TW,3,True,414,食材是新鮮的但手藝真的待加強，手卷的海苔以及潮掉軟韌，五位中卷送來卻是醬油芥末醬，吃到一半才送五味醬⋯
 神豪許 ,https://www.google.com/maps/contrib/102832786956857235583/reviews?hl=zh-TW,4,True,138,"爽喝爽吃
啤酒喝比較多，CP值還不錯"
 Sadako Tzeng (貞子*品享樂.餐飲顧問) ,https://www.google.com/maps/contrib/108618637387416584341/reviews?hl=zh-TW,3,True,39,"🍽️
明亮乾淨的熱炒店，
除了炒飯跟螺肉不合胃口，
其它餐點都有水準，
沒有特別驚艷的地方😅
離家近的話算是挺不錯的選擇，
三五好友小聚好地點。

好久沒來北投了，
看到旁邊的吳家牛肉麵還真是懷念😂
捷運北投站走路15分鐘左右。

#0615sc_life
#品享樂顧問#貞子分享
#台式#熱炒#北投美食#海鮮#小酌#聚會"
 Tommy Lin ,https://www.google.com/maps/contrib/108356061287726477103/reviews?hl=zh-TW,4,True,81,東西新鮮，口味也不錯
 ue Y ,https://www.google.com/maps/contrib/103924702550908269091/reviews?hl=zh-TW,2,False,6,我12點打去說休息了，但估狗寫營業到兩點是在⋯⋯
 Fion Cheng ,https://www.google.com/maps/contrib/111236355468088342635/reviews?hl=zh-TW,5,False,4,營業時間對我來說很合適，收完店去吃剛剛好
 Thuy Ha ,https://www.google.com/maps/contrib/104656184048740676936/reviews?hl=zh-TW,5,False,1,非常好吃，菜色好，又不貴，
 Adam Chang ,https://www.google.com/maps/contrib/105708315801918389771/reviews?hl=zh-TW,4,True,542,好吃，建議早點來吃，晚來會沒位子
 楊菲菲 ,https://www.google.com/maps/contrib/101483046707128937510/reviews?hl=zh-TW,5,True,401,食材新鮮平價現炒…肉絲炒麵很好吃👍這裡適合想要小酌喝啤酒聊天的地方
 葉妮子 ,https://www.google.com/maps/contrib/106925640643917624829/reviews?hl=zh-TW,5,False,24,口味好，飯飯無限吃到飽，歡樂相聚的好地方
 VJ H ,https://www.google.com/maps/contrib/102479884026147922136/reviews?hl=zh-TW,5,True,68,"熱炒味道都很棒
值得再訪"
 Jessie ,https://www.google.com/maps/contrib/103439914636446784605/reviews?hl=zh-TW,4,True,98,"食材處理和味道不錯
口味較重偏油"
 戴卓儒 ,https://www.google.com/maps/contrib/101000636060940198432/reviews?hl=zh-TW,5,True,24,平價、好吃、CP值優
 小柚子育兒日記 ,https://www.google.com/maps/contrib/114657033817457056336/reviews?hl=zh-TW,5,True,24,炸田雞好吃，酥脆不油膩！！
 林文彬 ,https://www.google.com/maps/contrib/114855385811993255850/reviews?hl=zh-TW,5,True,303,不錯好吃，讚，
 PEI CHI PAN ,https://www.google.com/maps/contrib/100073079820069720662/reviews?hl=zh-TW,5,True,872,樸實好吃
 Brian ,https://www.google.com/maps/contrib/102284247874911269062/reviews?hl=zh-TW,4,True,199,菜不錯，口味ok，這樣的價格，份量2～3個人吃差不多。
 Wu Shelleybi ,https://www.google.com/maps/contrib/102857074020935592047/reviews?hl=zh-TW,5,True,20,"同事朋友們都讚賞有加的手藝
照片的門面不起眼
但是千萬不能錯過"
 譚傳賢 ,https://www.google.com/maps/contrib/100141361444961247716/reviews?hl=zh-TW,5,True,290,橙汁松板豬，可以用烤的試試
 Red Liu ,https://www.google.com/maps/contrib/115864100641626022271/reviews?hl=zh-TW,4,True,24,口味略不穩定，還是會再去用餐，可喝酒場所，鄰桌音量隨著酒量放大，非店家可控制，小小遺憾
 YC Shih ,https://www.google.com/maps/contrib/107001118085299311382/reviews?hl=zh-TW,5,True,98,"菜色選擇多
上菜速度很快
和一般熱炒一樣走的是重鹹重油的口味
店內有不用額外加價的白飯吃到飽
很適合三五好友下般後小聚
價錢平實CP值高
缺點可能就是熱炒店必備的啤酒選擇性太少了有點過於單調"
 蔣嘉宸 ,https://www.google.com/maps/contrib/106148592397603707836/reviews?hl=zh-TW,5,True,100,在這裡喝酒，菜色豐富，美味可口，服務親切，賓至如歸，有空來交流一下！
 任大同 ,https://www.google.com/maps/contrib/101865527640971576377/reviews?hl=zh-TW,4,True,349,還算不錯，空間寬闊，不像一般熱炒店擁擠，菜色也都可以。
