user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 勾（Hello gogo） ,https://www.google.com/maps/contrib/114710587606842075440/reviews?hl=zh-TW,5,True,152,"這裡的咖喱真的很好吃！
店員也都很親切，份量很夠，兩個人點了鷹嘴豆沙拉、原味烤餅、坦督理烤餅、坦督理咖哩就很飽了～
印度奶茶有香料味，也不會過甜，滿大杯的！可能因為疫情的關係，內用人數不多，但對我們來說這樣減低染疫的風險，非常好，用餐空間很舒適！
這麼棒的店一定要繼續營業，期待下次再來😃"
 HSU Corey ,https://www.google.com/maps/contrib/105751061756720218679/reviews?hl=zh-TW,5,True,108,"天母說是印度菜的一級戰區絕對不為過，有米其林級的番紅花、20年老店香料廚房，所以翡宴能在此立足一定有他的實力。
餐廳裝潢富有印度異國風味，造訪時是平日中午，連同我只有兩桌，但印度主廚提供的菜色還是值得大力肯定，豐富且多樣，可惜我一個人來實在叫不了太多，只能日後再多次造訪了。價格以此地段也算平宜，無骨辣味雞非常軟嫩多汁，一口咬下滿滿的香氣，超棒!蒜味烤餅太乾不愛，應該是適合配咖哩。印式奶茶一般。"
 Jacky Chang ,https://www.google.com/maps/contrib/103135067725049000935/reviews?hl=zh-TW,5,False,4,"第一次用餐，也是第一次嘗試印度料理，店家很熱心介紹適合的菜色，服務也很有溫度，店老闆也非常的客氣
馬鈴薯金三角，味道偏辣一點，烤雞肉、北印咖哩、烤餅都很好吃"
 澄澄愛吃辣 ,https://www.google.com/maps/contrib/116412898834864168029/reviews?hl=zh-TW,5,False,11,"咖喱非常好吃！尤其是波菜雞肉超推薦！
服務很好
愛吃辣可以索取一些辣椒醬很過癮好吃👍🏻"
 陳濡言 ,https://www.google.com/maps/contrib/109015426218495145686/reviews?hl=zh-TW,5,False,24,"這裡的咖哩很好吃,這次點的招牌雞肉咖哩口感軟嫩有點番茄酸爽感不會濃郁到會吃很膩的感覺前菜多利魚鮮嫩多汁檳榔冰淇淋很特別會再光顧的店~"
 Crystal Lan ,https://www.google.com/maps/contrib/110154274921425524654/reviews?hl=zh-TW,5,True,89,"鷹嘴豆沙拉$250
坦督里雞肉咖哩$410
烤餅、薑黃飯$90/$100
印度奶茶$120

鷹嘴豆沙拉和咖哩都好吃，咖哩微辣搭配烤餅剛好，雞肉很嫩不會柴
印度奶茶覺得比較普通，可能期望太高

服務人員很親切，最後因為太飽餐點還有剩下一些，收拾桌面後還特地來詢問是不是味道不滿意"
 Eva Tseng ,https://www.google.com/maps/contrib/107623689194940999242/reviews?hl=zh-TW,3,True,139,"烤餅非常好吃，咖喱也還不錯👍
肉也給很多，算是符合cp值。
不過多利魚可能我期望太高，多利魚本身應該是肉質細嫩單吃就很美味的食材，但外層裹上的香辛料太多太雜不太確定吃的是什麼，跟旁邊的三種調味也完全不搭😂不管是羅旺子、美奶滋？還是綠綠的醬，味道都不合🥲
最可怕的是檳榔冰淇淋，我很喜歡嚐鮮，但這味道像是洗碗精的香精肥皂味，實在太可怕😂是個令人驚嚇的大地雷😵只能一直喝水希望把味道沖掉🤦🏻‍♀️希望大家點餐慎選
另外在水杯發現小蟑螂，也是很驚嚇🙀真的衛生狀況，要請店家多注意了😥"
 Paul Liu ,https://www.google.com/maps/contrib/111830381238902727422/reviews?hl=zh-TW,5,True,311,我們是走路覓食過來的準備5點餐廳開始營業搶第一。抗疫期間很是不得以呀。剛好這家印度餐廳5點開始，我們歪打正著，進來了大門只見兩位印度婦人招呼我們入座。我說椅子怎麼會這樣重。啥！桌椅都是來自印度。果然很有特色且漂亮。很有趣的是介紹我們菜單的婦人似乎看不懂中文卻是一口標準國語。好久沒吃到這麼好吃的烤餅了。但是一定要趁熱才可口。所以建議吃完再點，不要一次點太多片。冷了就不妙的。下來兩人約1千四飽食一餐。堪稱完美。幾乎都是外帶。等我們要離開時才進來第二桌的客人。可見大家防疫還是很用力的。
 Ted Lin ,https://www.google.com/maps/contrib/106544432352753652858/reviews?hl=zh-TW,4,True,208,"裝飾非常特別的印度料理。
烤餅很好吃！坦都里有淡淡炭烤風味。
羊肉咖哩很好吃，羊肉好吃騷味不會重。
隱藏甜點米布丁"
 Zoar Chuang ,https://www.google.com/maps/contrib/113613560337963212613/reviews?hl=zh-TW,5,True,442,"懂吃的人就會覺得好吃
秋葵咖喱好吃
可以問店員推薦一下
會回訪"
 Viola Chen ,https://www.google.com/maps/contrib/109464899720427031100/reviews?hl=zh-TW,5,True,105,"印度菜真的好吃，特別是羊肉咖哩，大推！
前菜也討喜，鷹嘴豆沙拉丶起司馬鈴薯搭配獨特醬料，吮指回味無窮！大人丶孩子們都超愛。
店內空間不大，但十分明亮乾淨，是我們家最喜歡的餐廳之一！"
 LOAKI Travel Food Park ,https://www.google.com/maps/contrib/113252272778166128244/reviews?hl=zh-TW,5,True,225,"服務良好、餐點美味、肯定再訪
蕃茄濃湯😋
香料烤雞😍"
 鄭德倫 ,https://www.google.com/maps/contrib/105220721906036720303/reviews?hl=zh-TW,4,False,95,是異國風味獨特美味的印度料理餐廳，值得推薦大家嚐鮮一下。
 Stive Liu ,https://www.google.com/maps/contrib/108798514344858272706/reviews?hl=zh-TW,5,True,66,東西好吃😋，料理吃的出用心，北印度料理很有特色，值得再來～
