user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 李一休 ,https://www.google.com/maps/contrib/111845647720435556178/reviews?hl=zh-TW,5,False,10,"口味都很不錯
臭豆腐很入味
豬腳、東坡肉、鱔糊好吃
老闆娘態度親切
會想再訪"
 Kent Ma ,https://www.google.com/maps/contrib/117670113311169207526/reviews?hl=zh-TW,4,True,"1,762",用餐時間上菜偏慢。水煮牛，紅燒排骨，清蒸魚，紅燒下巴/肚噹，臭豆腐，豆干牛肉絲，剁椒魚頭(龍虎斑)，硝豬腳都很好。會再來。在天母地區算是前幾名的餐廳。
 James Ku ,https://www.google.com/maps/contrib/110632975569542980904/reviews?hl=zh-TW,5,True,471,很好吃的川滬菜，老闆娘本身是重慶人，所以做的川菜很地道。上海菜也很不錯，蔥燒鯽魚很推薦！
 Una Hsiao ,https://www.google.com/maps/contrib/107807807379382027657/reviews?hl=zh-TW,5,True,17,疫情期間，二次外帶經驗都很好，老闆娘待人親切，出菜快速。韭黃鱔糊孩子們都非常喜歡，一下就把整碗飯扒完！水煮牛香辣夠味，分量不小，會再次蒞臨！
 黑皮吳 ,https://www.google.com/maps/contrib/115914236505191833413/reviews?hl=zh-TW,5,False,13,出菜快，餐點好吃值得推薦，老闆娘跟服務人員很親切（很適合全家聚餐）推臭豆腐，東坡肉刈包...好吃..讚讚！！
 Eric Shih ,https://www.google.com/maps/contrib/117275356535179626898/reviews?hl=zh-TW,4,True,600,"推薦炸銀絲卷，蔥開煨麵！
白菜獅子頭，蟹粉豆腐，韭黃鱔糊，小菜黃金泡菜不錯！清炒西蘭花！
朋友推薦清蒸臭豆腐，脆鱔，豆干絲，東坡肉，雪菜百頁，紅燒獅子頭湯，上海菜飯！"
 永 ,https://www.google.com/maps/contrib/113026883913414805598/reviews?hl=zh-TW,5,True,401,"好吃的上海菜，品質非常穩定！

第一次來的客人推薦超值的菜：
蟹粉豆腐、臭豆腐、砂鍋什錦湯、清蒸鱸魚、水煮肥牛

其他建議的功夫菜推薦有：
蘿蔔牛腩煲、栗子嫩雞煲、四季瓜仁、韭黃鱔糊、西湖醋魚、元寶烏槮、蹄筋烏槮、紅燒魚頭"
 Eve Cheng ,https://www.google.com/maps/contrib/103783807502298211356/reviews?hl=zh-TW,4,True,73,果真是巷子裡的老饕才知道！第一道芝麻脆鱔真的驚艷到我了！（當然之後的每道菜都很功夫，都很美味～）我都來不及幫脆鱔拍照就吃光了啦！！！！
 李振邦 ,https://www.google.com/maps/contrib/106551728594327519734/reviews?hl=zh-TW,5,True,311,真正的浙江館子，找回浙江菜的本質，味道正統，服務超好
 Min-Hsiung Chen ,https://www.google.com/maps/contrib/105356885906949362649/reviews?hl=zh-TW,4,True,113,二年多沒來這上海菜的店，今晚再度出席朋友酒店，發現太大的不同，改變不少，上海不能去，想吃上海菜所以用再度光臨！發現不知道太想念還是改善不少，可以説和上海一致了。
 楊文達 ,https://www.google.com/maps/contrib/103703865735095424185/reviews?hl=zh-TW,5,True,852,服務親切，料理正宗，愛上海菜的朋友一定會喜歡的！
 恕賢蘇 ,https://www.google.com/maps/contrib/105616352966316395584/reviews?hl=zh-TW,3,True,379,口味還不錯，有些口味較重較鹹，豬腳好吃，要先電話預
 Yaochih Chuang ,https://www.google.com/maps/contrib/116336743628776216315/reviews?hl=zh-TW,5,True,66,"很棒的場所，適合朋友聚會及家人慶生等活動，經典上海佳餚

GreatlocationnearbyMRTstation,goodforfriends,familygatheringevent.Theownerisveryhospitalitywitheachcustomersneed.Theauthenticfoodaregreatforthoselookingfortraditionalcuisine"
 Mintzu Gianora ,https://www.google.com/maps/contrib/115531280040170963036/reviews?hl=zh-TW,2,False,34,這次去消費，明細單上的價格比菜单上的公訂售價貴之外又另加一成服務費？是因為過年前夕要加成的原因嗎？白飯不大碗一碗50元，加一成即55元了，整體算星級飯店收費。食材用料還算精緻，但是以份量和食材來看價格，訂價偏貴。但是冷盤類可能比較少客人點，有一股冰箱冷藏久了的的味道。出菜前要注意了。
 Henry Lin ,https://www.google.com/maps/contrib/118322761238085467160/reviews?hl=zh-TW,5,True,263,大推獅子頭、東坡肉，適合一家人聚餐，年菜首選
 Sin Kuo ,https://www.google.com/maps/contrib/111927319336116654133/reviews?hl=zh-TW,5,False,8,餐廳搬家後第一次來，初二10大2小來此用餐，每道菜的味道都很好，份量也很足夠，老闆娘和工作人員都很親切，唯獨忘記先和闆娘確認菜色，現場才決定影響出菜速度，其他都很棒
 Someone C ,https://www.google.com/maps/contrib/113755383603055618823/reviews?hl=zh-TW,4,True,681,好吃！但價位不算親民。
 金菁 ,https://www.google.com/maps/contrib/116313737519061152642/reviews?hl=zh-TW,5,False,26,在天玉街上吃過幾次，環境乾淨明亮，店內人員親切熱忱，菜色都值得回訪，尤其推薦道地上海菜飯，青蔥炒牛肉，臭豆腐等……非常下飯，謝謝
 Joseph Yeh ,https://www.google.com/maps/contrib/103709420365883991738/reviews?hl=zh-TW,5,True,44,"好吃這次點了獅子頭韭黃鱔魚金沙花枝乾絲炒牛肉
口味不會太鹹
價格略高一點"
 曹金玫 ,https://www.google.com/maps/contrib/103918911715024207080/reviews?hl=zh-TW,5,True,137,新鮮的剁椒魚頭，超愛👍
 Lucienne Wu ,https://www.google.com/maps/contrib/110283451611392341766/reviews?hl=zh-TW,2,False,11,漲價可以理解，疫情期間想以外帶方式支持店家，但外帶回來的水煮牛的湯實在有點少，倒出來連料都蓋不過，喔，而且鴨血完全沒入味。上次去店裡吃的食物是好吃的，外帶我應該再也不會去試，還有這性價比大家可以自己衡量。
 Maggie Ma ,https://www.google.com/maps/contrib/104386417454835708618/reviews?hl=zh-TW,4,True,307,清蒸臭豆腐，砂鍋魚頭很推薦
 Yawen Lin ,https://www.google.com/maps/contrib/112289055139731232134/reviews?hl=zh-TW,5,True,55,我少有一再回訪的餐廳，而且還是特地去的唷。CP值很高好吃，老闆娘熱情。東坡肉好好吃~~~~
 曉風 ,https://www.google.com/maps/contrib/105507010416551449979/reviews?hl=zh-TW,5,True,143,"煮的火侯恰到好處👍滋味極佳👍而且乾凈👍
是想要享受五星高檔餐廳的等級，卻不想花大錢的首選👍"
 Amber ,https://www.google.com/maps/contrib/103344422266227216838/reviews?hl=zh-TW,5,True,20,食物好吃又有特色！座位寬敞也很明亮！
 paul liu ,https://www.google.com/maps/contrib/107708970760267636652/reviews?hl=zh-TW,5,True,249,從明德捷運站搬到天母，好味道不減空間變的更大了，洗手台也很乾淨寬敞，非常推薦過年過節團聚的好餐廳，價格不便宜，但是物超所值。
 Leon Yang ,https://www.google.com/maps/contrib/105895062476124045440/reviews?hl=zh-TW,1,False,13,"聽家人之前吃過，單點一道菜價格合理。
今天晚上去吃，訂一桌，
看店外貼10人一桌7000，感覺還可以，
結果以人數算，一個人2200，一桌13個人吃了快30000?
菜的menu吃了什麼都不記得了，可能真的吃的很好吧?
一家40，50人大小的店，吃的覺得比婚宴還貴。
可能真的值，但是見仁見智。"
 CK You ,https://www.google.com/maps/contrib/107752263409484202281/reviews?hl=zh-TW,5,True,57,意外好吃的餐廳，大部分菜色都很不錯！再訪預約的剁椒魚頭好吃的要命！
 yuyu chen ,https://www.google.com/maps/contrib/101346430593736865241/reviews?hl=zh-TW,5,False,5,餐點好吃，道地重慶口味，服務態度親切。
 Shen琳 ,https://www.google.com/maps/contrib/111048296990768056332/reviews?hl=zh-TW,5,True,447,六人聚餐，餐廳容納桌數約5桌，整理餐廳算小，菜色算豐富。約六菜單點每人約$600有找，東坡肉（有提供饅頭皮夾肉）、金沙蝦、獅子頭（蠻大顆的幾顆大家分著吃）⋯等蠻道地上海菜口味，值得推薦的店家。
 Weber Weber Weber ,https://www.google.com/maps/contrib/101323272123465049987/reviews?hl=zh-TW,4,True,51,"每樣菜都很好吃份量足夠
這樣的價格算是非常划算
用餐環境乾淨
在這個地理區域算是很優質的餐廳"
 楊基樑 ,https://www.google.com/maps/contrib/108305767421049543093/reviews?hl=zh-TW,5,True,16,小魚四季瓜仁，西湖肚檔，臭豆腐，菜飯~好吃啊！
 Yu-Ting Lin ,https://www.google.com/maps/contrib/102592405906044842232/reviews?hl=zh-TW,4,True,97,手藝與調味都頗具水準，惟食材有點缺憾，使用的蝦仁不是新鮮的
 羅耀松 ,https://www.google.com/maps/contrib/117394893313564542335/reviews?hl=zh-TW,1,False,33,"折價卷是癈紙,不拿也罷,限訂太多,去了5次,—次比—次差,去了要有心裡準備,沒有新菜色/高消费~"
 陳品睿 ,https://www.google.com/maps/contrib/115914885577013513180/reviews?hl=zh-TW,5,True,23,我居住於此餐廳附近，推薦此優良餐廳，菜色多樣，口味很到地出色，服務親切，衛生良好，特別推薦“東坡肉“這道菜，宴請好友時，都會優先選擇此餐廳，友人都讚不絕口。
 朱曉正 ,https://www.google.com/maps/contrib/108818520817772484176/reviews?hl=zh-TW,3,True,152,位於坡上，大盤上海菜但麻婆豆腐採用重慶椒麻，名符其實麻且辣！
 水瓶爺爺 ,https://www.google.com/maps/contrib/109760798664107824656/reviews?hl=zh-TW,4,False,11,"口味都不錯吃但部分菜色價位偏高且份量偏少

所以4星剛剛好"
 Henry Wun ,https://www.google.com/maps/contrib/116992790695000973626/reviews?hl=zh-TW,4,True,390,菜做得不錯。小型聚會的好地方。
 蔡華娟 ,https://www.google.com/maps/contrib/112004109000748503927/reviews?hl=zh-TW,1,False,13,看網路評價不錯，推著輪椅帶老人家走了快一公里到門口才看到6/11-16店休，覺得很傻眼...
 劉光光 ,https://www.google.com/maps/contrib/112824548058157617091/reviews?hl=zh-TW,5,True,37,"精緻而好吃。店面乾淨幽雅，氣氛超好。
店門口附近可停的車位不多，要到附近的停車場停。"
 David Tsai ,https://www.google.com/maps/contrib/106498435032272018339/reviews?hl=zh-TW,5,True,175,非常美味的菜色。老闆娘非常的親切。餐廳門口有時可以停車。用餐環境乾淨舒適。
 Sharon Chi ,https://www.google.com/maps/contrib/107625335280278063710/reviews?hl=zh-TW,5,False,214,宮保雞丁超好吃一定要點！！！
 林良夷 ,https://www.google.com/maps/contrib/110300513703188911158/reviews?hl=zh-TW,1,False,7,我這一次原本高興帶好友前去用餐，但是變得不好吃且又很鹹。價錢也不便宜。失望。
 Jacky Tseng ,https://www.google.com/maps/contrib/114805832569738798214/reviews?hl=zh-TW,4,True,113,好吃，但某些菜色偏鹹，可惜好像要結束營業了
 Shinoki ,https://www.google.com/maps/contrib/102450300507153485671/reviews?hl=zh-TW,5,True,45,非常優秀非常好吃的菜館。部分蔬材現點現處理，所以要等待。
 STG t ,https://www.google.com/maps/contrib/114131719980656154839/reviews?hl=zh-TW,2,True,141,人很好但彌補不了菜品普通。
 Kate Liu ,https://www.google.com/maps/contrib/109141641525243556957/reviews?hl=zh-TW,5,True,30,有停車位餐廳空間小空調有點不足菜非常好吃服務也很好！
 世益彭 ,https://www.google.com/maps/contrib/101987333235334102320/reviews?hl=zh-TW,5,True,46,菜色豐富.口味特佳.和朋友約吃飯.小酌的好地方.
 林立堂 ,https://www.google.com/maps/contrib/100346303525643262349/reviews?hl=zh-TW,3,True,81,菜味道太淡，肉有點老，獅子頭還不錯
 張毓涵 ,https://www.google.com/maps/contrib/108311684773632193969/reviews?hl=zh-TW,4,True,30,菜不錯，服務人員親切，飲料的選擇稍少。
 李政雄 ,https://www.google.com/maps/contrib/109794593113589857843/reviews?hl=zh-TW,5,True,269,北投區石牌、自強路住宅區內難得一見的上海菜餐廳，值得嘗試看看！
 林錦燁 ,https://www.google.com/maps/contrib/101435482713580259899/reviews?hl=zh-TW,3,True,293,雖然不怎麼道地，比起一般的上海菜，算是價廉物美。
 Westin Lin ,https://www.google.com/maps/contrib/117763866726168046492/reviews?hl=zh-TW,5,False,3,非常好吃，很精緻，材料也很好。
 Hsimei Huang ,https://www.google.com/maps/contrib/101813267245265079392/reviews?hl=zh-TW,5,False,6,東坡肉加醬太好吃了，服務態度好，以後會想帶朋友去。
 顧麗晴 ,https://www.google.com/maps/contrib/101632128353130965767/reviews?hl=zh-TW,5,True,129,超好吃的不錯大家可以來這裡吃吃看😀😊😄😉😍😋😘😎
 陳由極 ,https://www.google.com/maps/contrib/108145834874711542032/reviews?hl=zh-TW,3,True,647,適合家人聚餐的好地方。餐飲很有特色，吃上海菜的好去處。
 Show Ling Chiang ,https://www.google.com/maps/contrib/111456068589216850533/reviews?hl=zh-TW,5,False,28,菜色精緻美味好吃
 邱珠靖 ,https://www.google.com/maps/contrib/116627205595335162963/reviews?hl=zh-TW,5,True,24,好吃的餐廳，值得來吃看.....
 張安迪 ,https://www.google.com/maps/contrib/108309309300101936824/reviews?hl=zh-TW,4,False,12,上海菜的甜可稍解川菜的麻辣，也算是一種絕配
 owen Lee ,https://www.google.com/maps/contrib/103730325878597328028/reviews?hl=zh-TW,4,True,609,東西好吃，服務好，惟價格中上
 HSUAN-MAO JIAN ,https://www.google.com/maps/contrib/102097493152348941894/reviews?hl=zh-TW,5,True,59,這是我吃過北部最好吃的上海菜了！
 J. T. Hsueh ,https://www.google.com/maps/contrib/105427673163831929774/reviews?hl=zh-TW,4,True,58,菜色豐盛但味道普通。服務人員相當親切。
 張晁滕 ,https://www.google.com/maps/contrib/108100468957761973026/reviews?hl=zh-TW,4,True,99,水煮魚必點
 Willy Yang ,https://www.google.com/maps/contrib/101607376726136768874/reviews?hl=zh-TW,4,True,114,菜做的不錯，服務很親切
 Event Contact ,https://www.google.com/maps/contrib/117241141910580754224/reviews?hl=zh-TW,1,False,2,透過HonestBee訂餐。但無緣無故被餐廳取消。蠻失望的。
 SHAWNA LIAO ,https://www.google.com/maps/contrib/111001217537776947611/reviews?hl=zh-TW,4,True,44,好吃。但是價格不便宜～
 金崇廉 ,https://www.google.com/maps/contrib/104669724620923499789/reviews?hl=zh-TW,4,True,158,除了老闆娘服務週到，其他人真的服務不佳。
 JUILIN WENG ,https://www.google.com/maps/contrib/107225425432500305813/reviews?hl=zh-TW,5,False,64,菜色地道，服務態度良好。
 手機 ,https://www.google.com/maps/contrib/108418002794509104198/reviews?hl=zh-TW,4,True,195,餐點好吃，適合家庭聚餐
 Ivan Chang ,https://www.google.com/maps/contrib/111369829235698703208/reviews?hl=zh-TW,5,True,133,"霹靂無敵超級好吃!!
肚子餓了..."
 Ka Yue Choy ,https://www.google.com/maps/contrib/110642662132526080275/reviews?hl=zh-TW,4,False,154,味道還不錯，服務很好。
 Steve Ma ,https://www.google.com/maps/contrib/105400597606282158720/reviews?hl=zh-TW,5,True,40,服務好，好吃。
 Ye-Chin BC ,https://www.google.com/maps/contrib/110388008295006924266/reviews?hl=zh-TW,4,False,13,恆春地上海食材吃私房菜更棒
 C T ,https://www.google.com/maps/contrib/109264946625949137768/reviews?hl=zh-TW,5,False,5,👍
 蔣恆偉 ,https://www.google.com/maps/contrib/101198550106720345066/reviews?hl=zh-TW,5,True,75,道地上海，四川菜，老饕首選!
 dick wu ,https://www.google.com/maps/contrib/113834165324728036422/reviews?hl=zh-TW,4,True,265,不錯吃
 bluezhin lee ,https://www.google.com/maps/contrib/106071775949182789550/reviews?hl=zh-TW,5,True,105,上海菜飯超級正點
 ian lu ,https://www.google.com/maps/contrib/109094974860856126336/reviews?hl=zh-TW,4,True,17,好吃，實惠
 Belinda Shuai ,https://www.google.com/maps/contrib/100086432698831037897/reviews?hl=zh-TW,4,True,7,口味還不錯
 pt Chu ,https://www.google.com/maps/contrib/114975927497957519590/reviews?hl=zh-TW,5,True,27,美味上海菜餐廳
 陳建富 ,https://www.google.com/maps/contrib/101028749927266244963/reviews?hl=zh-TW,4,True,81,清爽乾淨
 Kent Han ,https://www.google.com/maps/contrib/105262144466509681102/reviews?hl=zh-TW,5,True,110,精緻、驚艷！
 Pang Cheung Sze ,https://www.google.com/maps/contrib/112998935518815021950/reviews?hl=zh-TW,2,True,"1,574","(由Google提供翻譯)飯菜平淡無奇——蟹黃豆腐水多得幾乎是湯，蟹肉稀少；肉丸太軟了；海鮮麵條是用不那麼新鮮的原料製成的，反正很少。不會再回來了。

(原始評論)
Foodisunderwhelming-thetofuwithcrabyellowissowaterythatitisalmostasoup,andcrabmeatisscanty;themeatballiswaytoosoft;andthenoodlewithseafoodismadewithnot-so-freshingredientswhichareverylittleanyway.Willnotcomebackagain."
 danny capit ,https://www.google.com/maps/contrib/100348918406503836010/reviews?hl=zh-TW,3,True,990,"位置近明德捷運站,整間餐廳乾淨明亮,雖然名為上海菜,實際是中餐台菜的大集合,老闆娘有著親切的服務態度$$👌👌

(由Google提供翻譯)
位置近明德捷運站,整間餐廳乾淨明亮,雖然名為上海菜,實際是中餐檯菜的大集合,老闆娘有著親切的服務態度$$👌👌"
 筑姸 ,https://www.google.com/maps/contrib/114548382209342178464/reviews?hl=zh-TW,5,True,145,"干海鮮鍋燒伊麵超好吃，麻婆豆腐好吃又麻又辣很下飯，白菜獅子頭燉湯味道很夠，每道菜都超推薦

(由Google提供翻譯)
乾海鮮鍋燒伊麵超好吃，麻婆豆腐好吃又麻又辣很下飯，白菜獅子頭燉湯味道很夠，每道菜都超推薦"
 J Asaji ,https://www.google.com/maps/contrib/112464256326852506538/reviews?hl=zh-TW,5,True,163,"(由Google提供翻譯)店內不大，建議預約。(只有5或6桌)
如果您提前預訂，他們會製作菜單上沒有的菜餚。

老闆像個上海人，價格便宜，還能吃到好吃的上海菜。絕對是附近前10名的美味。

(原始評論)
店内はそんなに大きくないので、予約していくことをおすすめします。（5,6テーブルしかない）
事前に予約すればメニューにない料理も作ってくれます。

店主が上海人のようで、値段も安く、美味しい上海料理が食べられます。付近一帯では必ずトップ10には入る美味しさです。"
 Roman Y. ,https://www.google.com/maps/contrib/102727060827859268946/reviews?hl=zh-TW,5,False,7,"(由Google提供翻譯)新近開業的地道上海美食，價格合理，現代，明亮，乾淨，優質的服務和美味佳餚。他們從附近的石牌搬到了田某的現在！公共停車場就在附近（步行2-3分鐘）。妻子和工作人員非常友好，她才華橫溢的丈夫在廚房裡做飯。現在，這是我們在天謀新開設的上海必去餐廳。

(原始評論)
Newly-opened,authenticShanghainesecuisine,reasonably-priced,modern,bright,clean,goodservice,anddeliciousdishes.TheymovedfromnearbyShihpaitothecurrentplaceinTienmou!Publicparkingisnearby(2-3minutewalk).Wifeandstaffareveryfriendlyandhertalentedhusbandcooksthedishesbackinthekitchen.Thisisnowournewmust-go-toShanghaineserestaurantinTienmou."
 高景涵 ,https://www.google.com/maps/contrib/117967102981055312977/reviews?hl=zh-TW,5,False,195,臭豆腐太好吃了！
 N YANO ,https://www.google.com/maps/contrib/113747669802392364759/reviews?hl=zh-TW,5,False,5,"(由Google提供翻譯)店面很漂亮，店員很熱情。
我從開場就去了
每次都很好吃
豆腐料理特別棒！

(原始評論)
お店も綺麗で店員さんもとても親切です。
オープン当初から通ってますが
毎回おいし〜って唸ってしまいます。
豆腐料理が特に絶品です！"
 Jason Shiue ,https://www.google.com/maps/contrib/108810438897503261504/reviews?hl=zh-TW,5,True,88,"(由Google提供翻譯)食物很好。有點吵，但不能幫助人民幣晚餐。

(原始評論)
Foodwasgood.Abitloudbutcan'tbehelpedforCNYdinner."
 Toshiya Takashima ,https://www.google.com/maps/contrib/104698326258177140367/reviews?hl=zh-TW,4,True,488,"(由Google提供翻譯)日語的比率很低。毫無疑問的味道！

(原始評論)
日本人率低い。味は間違いない！"
 Jack Chien ,https://www.google.com/maps/contrib/104338135425771059183/reviews?hl=zh-TW,5,True,554,真的好吃！
 bodyart貝比雅 ,https://www.google.com/maps/contrib/111729089037852029655/reviews?hl=zh-TW,2,True,175,"老板娘很親切，菜飯不錯吃

(由Google提供翻譯)
老闆娘很親切，菜飯不錯吃"
 揚子翁秀枝 ,https://www.google.com/maps/contrib/110426846019914603291/reviews?hl=zh-TW,3,True,203,"老板很親切、口味不錯

(由Google提供翻譯)
老闆很親切、口味不錯"
 陳志彬 ,https://www.google.com/maps/contrib/100194018203893404712/reviews?hl=zh-TW,4,True,460,"上海菜,好吃！"
 Shigehito Tokumitsu ,https://www.google.com/maps/contrib/101511861703970202336/reviews?hl=zh-TW,5,True,147,"(由Google提供翻譯)好吃！對於日語〜🎵

(原始評論)
美味！日本人向け～🎵"
 文林國小陳仁貴 ,https://www.google.com/maps/contrib/116809447858669990688/reviews?hl=zh-TW,5,True,225,人多要定位
 林隆章 ,https://www.google.com/maps/contrib/112488827188738089646/reviews?hl=zh-TW,4,True,215,好吃的浙江菜
 陳明麗 ,https://www.google.com/maps/contrib/100359950226809082899/reviews?hl=zh-TW,4,True,315,好吃的菜…
 nur204 yati204 ,https://www.google.com/maps/contrib/101301008199856945596/reviews?hl=zh-TW,4,False,358,"(由Google提供翻譯)非常美味

(原始評論)
verydelicious"
 E Y ,https://www.google.com/maps/contrib/117697002199080095031/reviews?hl=zh-TW,5,True,597,"(由Google提供翻譯)美味的食物。

(原始評論)
Goodfood."
 howard hd ,https://www.google.com/maps/contrib/107225610999085280955/reviews?hl=zh-TW,5,True,72,好吃
 clare Cheng ,https://www.google.com/maps/contrib/111558996550936629432/reviews?hl=zh-TW,4,True,25,好吃
 Paul Tsai (白木魚) ,https://www.google.com/maps/contrib/116612258646266722471/reviews?hl=zh-TW,4,True,79,道地
 tree m6m6 ,https://www.google.com/maps/contrib/104192482706665807698/reviews?hl=zh-TW,5,True,72,菜好吃
 林金燦 ,https://www.google.com/maps/contrib/116266819098008222437/reviews?hl=zh-TW,5,True,19,佛心
 Jared Chen ,https://www.google.com/maps/contrib/102110532272045468004/reviews?hl=zh-TW,5,True,27,"(由Google提供翻譯)美味的！美味的！

(原始評論)
Delicious!Delicious!"
 Ryan Y ,https://www.google.com/maps/contrib/113965029076084818059/reviews?hl=zh-TW,5,True,55,好吃好吃好吃
 John Chang ,https://www.google.com/maps/contrib/111736785083853389812/reviews?hl=zh-TW,5,True,18,道地上海菜川菜
 LarissaChang ,https://www.google.com/maps/contrib/107925818195360189498/reviews?hl=zh-TW,5,True,44,道地的上海菜
 常承功 ,https://www.google.com/maps/contrib/101364000567011458229/reviews?hl=zh-TW,4,False,5,非常好
 紀涵湄 ,https://www.google.com/maps/contrib/111214807650006985482/reviews?hl=zh-TW,4,True,73,"老板娘親切

(由Google提供翻譯)
老闆娘親切"
