user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 cindys89194 ,https://www.google.com/maps/contrib/102706821267617322955/reviews?hl=zh-TW,5,True,63,食物超級好吃，妹酒超多❤️❤️❤️
 蘇于翔 ,https://www.google.com/maps/contrib/116539743273529141231/reviews?hl=zh-TW,5,False,3,"🌟服務超讚
❤️價位親民
🤤每一道都很推薦"
 Mina ,https://www.google.com/maps/contrib/107099000671017159047/reviews?hl=zh-TW,5,True,19,"能吃辣的剁椒皮蛋真的必點！
超級下酒爆推～～～
現烤現炸現煮
Cp值也很高喝酒首選👍👍👍"
 劉小君 ,https://www.google.com/maps/contrib/110315842122576769081/reviews?hl=zh-TW,5,True,17,"週五下班走著走著緣份來到著
店內舒服的氛圍、還有小卉他們熱情親切招呼
讓人備感放鬆、自在下次一定要再光顧🎉👍❤️"
 m9852136 ,https://www.google.com/maps/contrib/102812590652103010938/reviews?hl=zh-TW,5,True,9,放鬆的空間，酒水跟餐點極度推薦的好地方👍
 Ruby Chen ,https://www.google.com/maps/contrib/116226488153125694098/reviews?hl=zh-TW,5,False,3,好久沒有吃到這麼好吃的牛舌，真是幸福！不但食物好吃，服務員也很親切😀
 王妤汝 ,https://www.google.com/maps/contrib/116682562265825090923/reviews?hl=zh-TW,5,False,5,"服務親切
東西超好吃
雞軟骨超推
環境整潔非常舒服"
 趙千慧 ,https://www.google.com/maps/contrib/117846611380357734377/reviews?hl=zh-TW,5,True,67,"東西真的非常好吃😋
很推薦👍🏻👍🏻👍🏻👍🏻"
 Roy Chen ,https://www.google.com/maps/contrib/118139419264697994488/reviews?hl=zh-TW,5,False,6,東西好吃，價格很實惠
 Doris Chiang ,https://www.google.com/maps/contrib/106208678700813893327/reviews?hl=zh-TW,5,True,38,"好吃😋真心評價
肥腸烤的恰恰好👍👍👍👍
寵物友善喔😍"
 顏世宇 ,https://www.google.com/maps/contrib/114641156483925113784/reviews?hl=zh-TW,5,False,5,幹你娘的超好吃應該給十顆星的谷歌該檢討
 陳維清 ,https://www.google.com/maps/contrib/106430580989554308320/reviews?hl=zh-TW,5,False,10,年輕老闆創業，東西好吃，價格實惠
 Lip ,https://www.google.com/maps/contrib/104587782088706354334/reviews?hl=zh-TW,5,False,22,"真心推薦
東西好好吃啊啊啊😭😭😭"
 Lee Lee ,https://www.google.com/maps/contrib/102263003746669803377/reviews?hl=zh-TW,5,False,26,"剁椒皮蛋大推超級好吃❤️❤️
室內環境很好老闆服務親切
會在回來🧏🏻‍♀️"
 Jammy ,https://www.google.com/maps/contrib/108012361996202708625/reviews?hl=zh-TW,5,True,14,氣氛很好，串燒好吃👍👍會再回訪
 Stone Huang ,https://www.google.com/maps/contrib/110627364978701955051/reviews?hl=zh-TW,5,True,18,東西爆幹好吃😋酒好喝，老闆很帥🥰
 Ted Van ,https://www.google.com/maps/contrib/114655395072500870959/reviews?hl=zh-TW,5,False,11,食物不錯，肥腸香脆。檸檬海鹽氣泡飲很解膩
 鍾沛蓉 ,https://www.google.com/maps/contrib/107482563055509545148/reviews?hl=zh-TW,5,False,6,"店員很親切
酒很好喝～～～"
 Kyle Tong ,https://www.google.com/maps/contrib/102511302286991338696/reviews?hl=zh-TW,5,False,12,剁椒皮蛋，雞心必吃，烤物都很好吃，超值。
 譚惟心 ,https://www.google.com/maps/contrib/116696364683024502706/reviews?hl=zh-TW,5,False,3,"明太子烏龍麵好吃！
店內氣氛很好"
 Jean ,https://www.google.com/maps/contrib/101253641771562110875/reviews?hl=zh-TW,5,True,173,"今天吃的每道料理都非常好吃👍🏼
服務人員跟老闆們人都很親切、很優秀！
空間環境小巧但舒適，很適合來一杯，下班放鬆、和朋友小聚、情侶約會都很適合。

PS離捷運站近，步行約一分鐘也有停車場，交通便利。價格合理、食材新鮮、調味驚艷、紅茶梅酒第一次喝，很讚（偏甜）❤️

PPS.Lisa很漂亮。"
 林桃家 ,https://www.google.com/maps/contrib/102993627809356882714/reviews?hl=zh-TW,1,False,4,員工放任喝醉酒客人大半夜在門口大肆喧嘩，並且員工下班持續在門口吵鬧。將無限期發起共同抵制消費。
 陳芮芸 ,https://www.google.com/maps/contrib/100151701874405456326/reviews?hl=zh-TW,5,False,1,"大鶴青田最好吃Top1
男店員超帥愛了"
 李奇Jasper ,https://www.google.com/maps/contrib/117374879380545454053/reviews?hl=zh-TW,5,False,12,少數吃到好吃的居酒屋，必點雞腿肉串！很重！
 游淳惠 ,https://www.google.com/maps/contrib/110604716283799359573/reviews?hl=zh-TW,5,False,10,"真的好吃，價格也合理，cp值相當高！
店員人都很nice，會主動介紹料理
推薦松阪豬、牛小排
最推剁椒皮蛋，吃辣的人真的可點，回味無窮
地點就在士林夜市大路上，離捷運站近，適合下班後或逛完夜市來小酌一杯～"
 皮卡丘 ,https://www.google.com/maps/contrib/103427743856160120536/reviews?hl=zh-TW,5,False,2,超好吃的！明太子雞肉串很可以，明太子奶油烏龍麵超讚！推起來～
 Ray ,https://www.google.com/maps/contrib/118200483874224756104/reviews?hl=zh-TW,5,False,13,每樣食材都用心處理，寵物友善大推👍
 qooingo ,https://www.google.com/maps/contrib/111335583930107508273/reviews?hl=zh-TW,5,False,3,年輕男老闆誠懇推薦的項目都很美味：午仔魚烤得恰到好處，人氣餐點剁椒山藥微辣辛香、適合下酒，搭配的生菜也很爽脆！明太子烏龍麵不會太奶、也很大一盤～🌹會再回訪的一家餐廳
 賴映辰 ,https://www.google.com/maps/contrib/116000642033339194349/reviews?hl=zh-TW,5,True,165,餐點都好好吃😋
 Claire Cheng ,https://www.google.com/maps/contrib/112396723255097180566/reviews?hl=zh-TW,5,True,23,環境舒服，東西不錯吃
 柯欣宜 ,https://www.google.com/maps/contrib/117898741798040413316/reviews?hl=zh-TW,5,True,9,食物好吃、服務態度好
 Chien Chao ,https://www.google.com/maps/contrib/113341125351685347149/reviews?hl=zh-TW,5,False,13,食物超好吃！！推薦大家來
 張育豪 ,https://www.google.com/maps/contrib/117745334632064822878/reviews?hl=zh-TW,5,False,10,"基於只有五顆星可以按，不然真的給10顆。
士林夜市有你們真好❤️
剁椒皮蛋必點！"
 MarK Lin ,https://www.google.com/maps/contrib/103925333316726853051/reviews?hl=zh-TW,5,False,14,剛進門的氣氛感很棒，小小的但不擁擠，氛圍100分
 邱筱純 ,https://www.google.com/maps/contrib/110897796553921944522/reviews?hl=zh-TW,5,False,18,價格親民東西又好吃，環境乾淨，餐桌間距夠寬敞，很適合下班聊天小酌❤️
 Chen Sylvia ,https://www.google.com/maps/contrib/114492724412769713554/reviews?hl=zh-TW,5,True,35,"明太子山藥超級好吃，鹽烤奶油櫛瓜、剁椒皮蛋、肥腸串也是。
（不敢吃皮蛋和大腸的人都覺得很香很讚）
生蠔shot很厲害！

裝潢漂亮。服務員溫柔親切，環境維持得相當乾淨整潔。"
 Rebecca Lin ,https://www.google.com/maps/contrib/100438083361516832770/reviews?hl=zh-TW,5,True,72,氣氛不錯，開幕誌慶凡五星評論送秘制肥腸串。
 Ting Ik Hon (陳奕宏) ,https://www.google.com/maps/contrib/103962990788060228545/reviews?hl=zh-TW,5,True,10,很讚的聚會新地點！👌
 張馨 ,https://www.google.com/maps/contrib/105846097557249909201/reviews?hl=zh-TW,5,False,2,啤酒暢飲豪讚啦！！
 林宏諭 ,https://www.google.com/maps/contrib/118401591477748721882/reviews?hl=zh-TW,5,False,3,燈光美、氣氛佳、還有好肥腸😍
 Scott Yu ,https://www.google.com/maps/contrib/101903508377347204064/reviews?hl=zh-TW,5,False,8,餐點很用心服務讚價格實惠讚的
 曹湘湘 ,https://www.google.com/maps/contrib/112950164003650056914/reviews?hl=zh-TW,5,False,20,"實在是太好吃了剁椒皮蛋超好吃
士林最厲害的居酒屋"
 TREE ,https://www.google.com/maps/contrib/105107395982854310829/reviews?hl=zh-TW,5,True,13,老闆帥哥，串燒好吃，喝酒還不喝爆
 神奈穿 ,https://www.google.com/maps/contrib/114421030046075431671/reviews?hl=zh-TW,5,False,1,"真心推薦大鶴青田，店長人好又會聊！
重點是超好吃😋"
 菜菜 ,https://www.google.com/maps/contrib/110784071006366430870/reviews?hl=zh-TW,5,False,11,"我去這麼多士林的店
士林最好喝的居酒屋"
