user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 藍亦明 ,https://www.google.com/maps/contrib/107916762033314917440/reviews?hl=zh-TW,5,True,68,"很多羊肉料理，點了麻辣羊肉片麵線，很大一碗，羊肉處理得好吃，湯頭也不錯，是好喝的麻辣湯。
滷味小菜也算平價。
是一間會想常常光顧的家常小店。"
 羅德 ,https://www.google.com/maps/contrib/106750992046443984574/reviews?hl=zh-TW,5,False,59,"有韭菜及高麗菜兩種煎餃.韭菜翠綠.高麗菜青脆.餡鮮皮香外加煎工一流.吃過的ㄧ定說讚👍
#我點完單老闆娘請我內座喝茶吹冷氣超級親切的"
 Shao-Chen Wei ,https://www.google.com/maps/contrib/111961797087824472846/reviews?hl=zh-TW,5,True,484,"同事推薦來吃的，據說中午很難排進來。
同事說韭菜水餃、高麗菜水餃、麵線、滷味、筍子湯都好吃，燙青菜也大份。
我點藥膳羊肉麵線，130元，來了碗滿滿的羊肉片和高麗菜，麵線軟而不爛，甚至有點彈性，藥膳味淡淡地襯托著羊肉味，很爽口但也香甜。可惜顧著聊天錯過了羊肉剛涮熟粉嫩嫩的時候入口，不然味道應該會更好。"
 Erik Wu ,https://www.google.com/maps/contrib/103163860996202666983/reviews?hl=zh-TW,5,True,32,清燉與麻辣的羊肉湯頭都是一絕，每每把湯喝完卻超飽，卻還是無法抗拒。醃製入味的小黃瓜大推，缺點是吃過之後，別家小黃瓜都沒味道了。不管是豆瓣醬，或是滿滿料的辣椒醬油任君採用，相當有誠意的一家店，值得推薦。
 Soo Ji ,https://www.google.com/maps/contrib/103974231861269038068/reviews?hl=zh-TW,5,False,1,"羊肉湯超好喝😍
推薦不敢吃羊的人可以去，沒什麼羊騷味！
點了盤青菜超大盤才30塊⋯超佛的老闆娘⋯
台北小菜有這個份量超難欸
士林寶藏美食，真的是士林必吃，推推推！！！"
 Y Jay ,https://www.google.com/maps/contrib/105848912728935764485/reviews?hl=zh-TW,5,True,32,"不管是什麼湯頭都是食而不膩回味無窮
煎餃更是讚不絕口"
 陳泰成（小金剛Ben） ,https://www.google.com/maps/contrib/100229140082303608696/reviews?hl=zh-TW,5,True,142,說到北漂來士林定居16年之久，在地的心中排名前三名的高CP值美食首選，莫非於此家「海羊」，有別於對面以往夜市觀光客在吃的十全排骨，這超好吃的清燉藥膳羊肉麵線，及純手工製作的日式煎餃10粒$70有高麗菜及韭菜兩種口味選擇煎到金黃酥脆的外皮酥脆口感，完全不輸任何一家日式料理餐廳。筍干湯，酸辣湯等35元的超恩典高CP值的價格，是我推薦許多朋友及同事來士林在地美食必來登堂ㄧ試之處！綜合魯味拼盤及有別於士林夜市裡面的十全排骨，每當天氣冷或氣血循環體力不足的時候，喝到那完全天然羊肉與大骨熬的藥膳湯，立刻暖入心坎底。重點還有服務超好與熱情客氣的老闆娘與老闆。真的是太推薦必來的地方美食哦！滿分無誤！！
 筱竺 ,https://www.google.com/maps/contrib/104888622858273147687/reviews?hl=zh-TW,4,True,194,"🔹清燉羊肉片麵線$130
湯頭很清甜、青菜給很多
白麵線約一碗的份量，偏爛、沒有麵線的鹹味
羊肉片羊臊味處理的不錯👌可是口感偏硬
·
整體來說不錯吃👍🏼
用餐時間生意超好、外送訂單也很多
以致出餐速度稍慢😣"
 Kuopin ,https://www.google.com/maps/contrib/104643580278825076912/reviews?hl=zh-TW,5,True,401,食材品質佳，服務態度好，價格合理，食物好吃。
 M Lin ,https://www.google.com/maps/contrib/100196465581456153107/reviews?hl=zh-TW,5,True,94,"好吃的羊肉麵線，推薦清燉羊肉片麵線、藥膳羊肉片麵線
料多實在，女生如果食量不大可以點一碗
燙青菜30元也很大盤
老闆服務親切，醬料準備用心又多元
（餐具濕濕的真的比較可惜，坐位也較少）
好吃清爽，冷天吃最暖心😃"
 anthoney chang ,https://www.google.com/maps/contrib/116725569438479916892/reviews?hl=zh-TW,4,True,95,"水餃與鍋貼好棒，羊肉麵線餐食油脂香噴噴，
老闆娘服務親和笑臉～"
 Marty Chang ,https://www.google.com/maps/contrib/101352085458388941534/reviews?hl=zh-TW,5,True,115,(2019/1/1後漲價，水餃漲1塊，很傷...)吃過清燉羊肉片麵、炸醬麵、水餃與煎餃都不錯，CP中上；內用只有八桌，附近福港街另有分店；小缺點是餐具常常是濕的。
