user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Chance ,https://www.google.com/maps/contrib/108529428246049284632/reviews?hl=zh-TW,5,True,16,"丹麥鮪魚歐姆蛋有夠好吃5顆星星
微笑薯餅超懷念好吃😋4.5顆星
雞塊外脆內軟超越麥當當6顆星
薯條是波浪薯條懷舊風味4顆星"
 Karen Lin ,https://www.google.com/maps/contrib/117817935007049588030/reviews?hl=zh-TW,5,True,42,"環境舒適、服務親切
［鮪魚歐姆蛋丹麥］的醬汁感覺可以再少一些，但食材很新鮮，厚度對女生來說也不會難入口
［蔬菜蛋餅］有苜蓿芽和豌豆苗，餅皮酥、內餡清爽
套餐可選炸物，［起司條］烹調的剛好，好吃！
餐廳氣氛不匆忙，也不會瀰漫油煙味。
推薦給想要好好享受早餐的人喔:)"
 誠實人 ,https://www.google.com/maps/contrib/108292017567740391191/reviews?hl=zh-TW,5,False,5,看起來蠻好吃的，是真的蠻好吃的，活動也不錯！不過歐姆蛋不夠斯慕斯，應該是火候太大
 鍾小御 ,https://www.google.com/maps/contrib/114689955382967724013/reviews?hl=zh-TW,5,False,9,"巷弄裡的美味早餐
份量大，料又多，重點是好吃😋
有別於一般早餐店的經營方式
可以在這悠閒的吃飽、喝足、看書、聊天"
 Milly lin ,https://www.google.com/maps/contrib/110666297736175836769/reviews?hl=zh-TW,1,True,21,看著評論抱著滿心期待點餐吃看看，但拿到餐點⋯只能說怎麼跟大家分享差很多，其他人分享都是滿滿的蔬菜等，但這份只有一片火腿跟起司，cp值整個沒有到那個價格⋯
 sharpay劉 ,https://www.google.com/maps/contrib/105786676266716601720/reviews?hl=zh-TW,5,True,23,"安靜，又乾淨的早餐店
現在打卡分享還送炸物小店喔"
 Bae Lee ,https://www.google.com/maps/contrib/101535946873112333586/reviews?hl=zh-TW,5,False,4,"第一次來吃的早餐店
冰紅茶很好喝
熱熱的天氣來一杯很消暑
蛋餅還有酥皮蛋餅跟原味蛋餅可以做選擇，很棒！"
 Emily Chen (Jen-Yi) ,https://www.google.com/maps/contrib/100026011919196454102/reviews?hl=zh-TW,5,False,10,食物好吃、老闆親切。店內座位間隔舒適不擁擠，適合悠閒吃個早午餐。
 Lan A ,https://www.google.com/maps/contrib/116960668292104188440/reviews?hl=zh-TW,5,True,27,空間寬敞舒適，且食物好吃cp值高，是運動完後，吃早午餐的好地方，且店員服務態度好，值得推薦！
 Miyuki Yu ,https://www.google.com/maps/contrib/117267352268005953024/reviews?hl=zh-TW,5,True,47,9/4颱風天的早晨老公上網找到一家店面，天母巷內的早餐咖啡廳。冒著大雨去買回來給我吃，好感動吃下的第一口，真心謝天謝地天母終於找到美食了。住在天母40年了餐廳少喜歡的也都吃膩了～蛋沙拉英倫堡（75元）沙拉醬很美味、牛肉起司堡（105元）牛肉和醬絕配、菲力嫩雞蛋土司總會（100元），店家的醬調配的很好，不是台式美奶滋的味道，就算是也有特調過。沙拉醬真的是美味～感謝老公讓我又有多一家早餐可以選擇了
 Kuan Yu ,https://www.google.com/maps/contrib/116801667876075335813/reviews?hl=zh-TW,5,False,4,是上一間的常客，感覺換新的年輕人來經營，應該支持！服務很好噢，今天的鮪魚乳酪絲蛋餅，可能因為鮪魚比較濕的關係，以前酥酥脆脆的餅皮口感小小消失了，可以調整看看～希望未來口味不變還更好吃😋
 Hsin Wei Wu ,https://www.google.com/maps/contrib/115909992444516222778/reviews?hl=zh-TW,2,False,14,"環境乾淨老闆娘親切
東西普遍不錯有cp值
炸物有多樣選擇有些外面吃不到的

但是。是除了漢堡之外
麵包沒什麼烤過
菜葉只有一片
跟普通早餐相差不遠但是卻比尋常早餐店多了20-35元因此推薦吃漢堡以外的就好"
 Patrick Huang ,https://www.google.com/maps/contrib/103159255575225532307/reviews?hl=zh-TW,5,False,10,"女兒邊吃邊玩很開心

丹麥鮪魚如評論好吃！"
 sharon wang ,https://www.google.com/maps/contrib/100898157890312534001/reviews?hl=zh-TW,5,False,8,座位寬敞、服務親切、牛肉起司蛋餅好吃！
 家筠連 ,https://www.google.com/maps/contrib/112183787238694013089/reviews?hl=zh-TW,5,False,16,不止有視覺效果，也很好吃，推
 cityeye18 ,https://www.google.com/maps/contrib/109172607525762081251/reviews?hl=zh-TW,5,True,34,每次都要來吃丹麥起司瀑布~
 陳恩綺 ,https://www.google.com/maps/contrib/108595393468314413272/reviews?hl=zh-TW,5,False,9,"跟好友一起吃早餐的好選擇
悠哉悠哉"
 Yiling Pan ,https://www.google.com/maps/contrib/110550332708202359412/reviews?hl=zh-TW,5,False,10,餐點豐富！飲料種類也很多
 Brown Kesha ,https://www.google.com/maps/contrib/112538627988553021708/reviews?hl=zh-TW,5,False,1,蛋餅漢堡好吃、套餐也很超值
