user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Frank Huang ,https://www.google.com/maps/contrib/107281188892328287039/reviews?hl=zh-TW,4,True,172,說真的，這水餃餡還不錯，但是把鍋貼煎成這樣焦，也算天下奇才，布衣相思蠻特別的，只是紅豆餡太甜，也烙不夠酥，如果能酥點就很好，我看幾乎大家都有來碗牛肉麵
 Mei Chen ,https://www.google.com/maps/contrib/100375503759633780645/reviews?hl=zh-TW,5,True,424,"我最喜歡他們家的豬里肌捲餅
很好吃😋小菜也不錯

只有

牛肉湯底真的一般般
另外再外帶一個番茄牛肉湯底
家人也是說，有待加強😆

不過還是會為了捲餅跟小菜
持續光臨下去（店裡還有一些餅類都蠻好吃）"
 日小惠 ,https://www.google.com/maps/contrib/113945981031411304424/reviews?hl=zh-TW,5,True,458,偶然路過，順道進去發現是老店，鍋貼好吃，炸醬麵大的超大盤，好酷，下次想試試祫蓮火燒...
 Will Chu ,https://www.google.com/maps/contrib/117171239414806072853/reviews?hl=zh-TW,1,False,4,"在ubereat訂購的十顆水餃，來的時候打開長這樣⋯⋯不是黏到盒子，而是整盒水餃幾乎都是破爛的，左上角的水餃甚至像被沾過醬料一樣，皮變深色，而且聞起來味道也不同，有夠噁心⋯⋯⋯⋯

店家可能覺得外送平台隨便出餐就好，把一些店裡不能上的菜全部給外送平台，極度差評！"
 Jheng Fong Huang ,https://www.google.com/maps/contrib/112219630127031845284/reviews?hl=zh-TW,3,True,576,屋內有油煙味，上次來看很多人點牛肉麵，好奇味道如何，今天直接點了牛肉麵，大碗牛肉麵份量很大，常人不要輕易挑戰，直接給大條牛肋，感覺牛肉跟湯是分開煮，湯上面浮一層油，有一種不協調的中藥味，中藥沒有跟湯融為一體，吃美食就不建議點牛肉麵，要吃粗飽再點
 邱小美 ,https://www.google.com/maps/contrib/115010853730851713267/reviews?hl=zh-TW,5,True,30,麵食很厲害的店👍鮮蝦蒸餃整隻沒泡藥水的蝦很新鮮好吃;韭菜水餃皮Q彈;大碗蕃茄牛肉湯乍看價格不便宜，上桌時是一砂鍋，肉很多超值
 Fong Zeng ,https://www.google.com/maps/contrib/107060142818263299740/reviews?hl=zh-TW,5,True,222,"收到外送打開來感受很好
擺放的乾淨整齊有在管理視覺這一塊
不需要沾醬味道就很足夠
會再續訂的"
 Y.J Huang ,https://www.google.com/maps/contrib/106640640650577418202/reviews?hl=zh-TW,4,True,20,"12/8更新
店家有看評論吧
外帶湯變多了
水餃皮也沒有糊掉
水餃真的很好吃👍

原文
不知道是不是疫情關係
疫情期間訂了三次
第一次櫃檯很不耐煩的說
現階段沒有賣酸辣湯.大滷湯（我點湯餃），要湯餃只有牛肉湯
當天沒買

隔幾天打去點了牛肉湯餃
結果去拿餐點前面客人點酸辣湯-_-？
不是現階段都沒有？
回家打開傻眼，湯只有七分滿，而且超鹹，真的只有「湯餃」，連蔥花點綴都沒有

但我太愛他們家水餃
今天又點了湯餃
來回路程大約十分鐘
回家打開水餃有兩三顆都泡糊了
湯剩只有半碗😑😑😑
真的是....."
 吳可 ,https://www.google.com/maps/contrib/100655345716032049198/reviews?hl=zh-TW,5,True,916,"跟著Dr.沈政男吃美食...
茲以為記,下次來石牌,要親訪一回~

Dr.沈於2021.12.21於facebook發佈...

附圖是今天中午在石牌吃到的褡褳火燒！來自山東姥姥麵食館，哥背著書包從陽明交大信步走出，在毛毛雨中不經意遇見。
我在北京吃過，也吃過都一處，這家特別在於麵皮是扁平形狀，好像刻意拉開鍋貼的跟隨。
非常好吃！這食物是用生餅皮包肉餡，兩端開開去煎，跟鍋貼的差別在於可以吃到更有嚼勁的餅皮。
好大一堆才賣一百五十元。也點了威海炸醬麵，乃老闆自己發明，跟一般炸醬麵差別在於麵條透亮，加了爽脆豆芽菜，以及一點點酸味。
酸辣湯與小菜則是一般水準。點太多了，吃不完帶走，傍晚坐高鐵回家就在車上吃了起來。仍是吃不完，回到家又熱來吃，就是今晚晚餐了。"
 劉羽 ,https://www.google.com/maps/contrib/112012336739430427833/reviews?hl=zh-TW,1,False,1,吃了120元的鮮蝦蒸餃，吃到最後一顆才發現真的很新鮮呢，彷彿可以看到蝦子還在跳豬在叫，真是棒極了！在購買前真的要看一下評論呦～
 阿采ilene ,https://www.google.com/maps/contrib/102748720704748929223/reviews?hl=zh-TW,4,False,50,"這家店的水餃很好吃！而且還比八方雲集便宜！酸辣湯料超多
小菜也很好吃"
 Amy Cheng ,https://www.google.com/maps/contrib/115902543290033890727/reviews?hl=zh-TW,1,False,10,"冷天吃溫鍋貼，吃不下去
沒要求現煎，但起鍋時間過長，也不應該再賣出了，現在的師傅們對自我要求愈來愈不重視⋯不會再去消費，山東姥姥被我淘汰了"
 wei hsu ,https://www.google.com/maps/contrib/105263061817654183895/reviews?hl=zh-TW,5,True,86,點了外送數次，第一次在店內食用，真的很符合我們家的口味。
 陳妙宜 ,https://www.google.com/maps/contrib/115596780880115474003/reviews?hl=zh-TW,5,True,43,"紅燒牛肉麵好吃
牛肉卷餅外皮跟內餡都很完美
從小吃到大一直都很好吃"
 怡萱 ,https://www.google.com/maps/contrib/110403989257789949123/reviews?hl=zh-TW,4,True,152,點了鍋貼跟蔥酥餅，吃起來熱騰騰的，店內的醬料有很多種可以選擇，櫃台的阿姨建議我點五個鍋貼就好怕我吃不完，原以為蔥酥餅很小，沒想到一上桌，比想像中大，幸好只點五個鍋貼不然一定吃不完，但蔥酥餅吃起來就比較單調，蔥的份量只有一點點在上面，大部分真的是在吃麵皮，需要靠醬料配著吃，雖然店內看著老舊，但感覺阿姨們有在努力維持。
 吳啟典 ,https://www.google.com/maps/contrib/111716706773435891882/reviews?hl=zh-TW,4,True,41,"牛肉卷餅不錯，不過朋友喜歡吃蔥，覺得蔥只有一根太少。
蕃茄牛肉麵湯頭好喝，牛肉也蠻多塊的，但麵煮太久有點爛。
湯包裡面沒什麼湯汁，比較像薄皮小籠包。"
 Jerry阿貝 ,https://www.google.com/maps/contrib/114090912904140721346/reviews?hl=zh-TW,3,True,535,半筋肉牛肉麵肉大塊，不柴有牛肉味，牛筋軟爛有彈性，湯頭清淡麵條有勁，餅的調味太平淡，也沒有麵粉香氣，更少了焦香，不是很好。吃東西的感受是很主觀的，個人意見僅供參考
 peipei ,https://www.google.com/maps/contrib/105694315897562329755/reviews?hl=zh-TW,1,True,30,"真的很不好吃
在外送平台點了餐
雜醬麵明明是刀削麵，但卻軟爛到不行跟陽春麵差不多吧！一點都沒口感

牛肉捲餅卻莫名放很多酸菜，全部都是酸菜味完全沒有牛肉跟蔥的香。

再來盪青菜卻加很多芝麻？！
很奇妙的組合

山東姥姥這個名字麵點應該要很厲害，但卻不是這樣😂😂

唯一優秀應該是捲餅的餅！但完全被酸菜毀了
真的不會再吃第2次"
 李紫俞 ,https://www.google.com/maps/contrib/109460312094880727269/reviews?hl=zh-TW,1,False,10,"一個餅要80塊但麵沒醒好半生不熟的很硬
牛肉麵沒什麼味道湯還很少
下次不會叫了鍋貼也沒附醬"
 空調小教室 ,https://www.google.com/maps/contrib/109961916991329776349/reviews?hl=zh-TW,2,False,50,"我有來但沒吃
因為一進門一股濃濃的老鼠味
不知道老鼠味是什麼味道的可以來聞看看
順帶一提
我職業是冷氣會若冷氣裡面有老鼠就是這個味道"
 Ina Hsu ,https://www.google.com/maps/contrib/107380720093368290078/reviews?hl=zh-TW,5,True,59,"在石牌的摯愛大概就是辣死人麵
從高中開始吃一吃就吃了十年
辣死人麵=炸醬配料+小魚辣椒+小黃瓜絲豆芽菜=💯💯💯
麵體🈶️嚼勁但不會像刀削麵有麵粉感
配料鹹香夠味愛吃辣的必點！

以前都外帶回家吃十五分鐘內的路程
麵也不會爛掉稍冷掉也不影響它的美味程度

另外必點的的還有黃金蔬菜捲餅
個人覺得不包燒肉的反而比較好吃
裡面的生菜很新鮮捲餅餅皮也很香酥

豆沙鍋餅也千萬不能忘記
裡面的豆沙餡料超滿甜而不膩
飯後來兩塊當完美ending

鍋貼蒸餃類中規中矩
適合多人分著吃
不然真的會飽死🤣🤣🤣"
 郭伯政 ,https://www.google.com/maps/contrib/115352830894373573306/reviews?hl=zh-TW,4,False,10,牛肉麵跟點心都好吃😋
 趙千緯 ,https://www.google.com/maps/contrib/111641850103209826041/reviews?hl=zh-TW,5,True,380,去拜訪客戶的時候看到這家店，看門面很特別再看看評價不到4顆星，但因為肚子餓並且要等客戶就進去點了牛肉湯餃，本來要點大滷湯餃，但說賣完了我就點了牛肉湯餃，也沒多問餃什麼餡，沒想到卻是我不愛的韮菜，不過咬ㄧ口很驚豔水餃皮是我吃過最好吃的，非常Q帶些嚼勁，牛肉湯也不錯，吃完後我外帶30顆高麗菜冷凍水餃；哈哈！因爲隔天又跟客戶約就再次光臨，點了高麗菜水餃+涼拌干絲+青菜豆腐湯，湯稍淡，干絲也相當好吃，會想去吃吃別的，服務也很親切，很推的ㄧ家店
 fong ,https://www.google.com/maps/contrib/104344781697119166344/reviews?hl=zh-TW,4,True,"1,763","蕃茄牛肉拉麵，湯頭酸了點（個人感覺），拉麵條咬勁普通，牛腩塊滷得口感適中，入味。整體而言好吃，湯頭真的酸了點。

青花菜，口感脆，調味足。

炸豆腸，有炸過，有咬勁。味足微辣，，開胃下飯。
註記，以上餐點份量都很大。人客很多。"
 曾煥元 ,https://www.google.com/maps/contrib/110004359395176184798/reviews?hl=zh-TW,1,False,10,第一次吃，點了鮮蝦蒸餃跟青菜蛋花湯，不難吃但也不好吃，整個很普通，不便宜，吃完後有種失落的感覺...
 曾德明 ,https://www.google.com/maps/contrib/105451974720717249088/reviews?hl=zh-TW,5,False,16,"鍋貼好吃、內餡很扎實
大碗的麵份量非常大，大食怪可以吃得飽飽"
 錢多多 ,https://www.google.com/maps/contrib/110539972036840088916/reviews?hl=zh-TW,5,True,187,離我住處近的美食，#番茄牛肉麵ㄧ大鍋二百塊，送來時我整個驚訝，這鍋二百塊，老闆你賺什麼，重點好吃耶！#褡蓮火燒是韭黃菜肉餅推薦#牛肉卷餅竟然是鹹菜牛肉小黃瓜，吃完覺得驚訝，簡單的眷村美食這麼有特色，我還會想再來的美食小館。
 Tim ,https://www.google.com/maps/contrib/101429661550707081108/reviews?hl=zh-TW,4,True,16,"大滷麵（小）：料豐富、量大、味道好，值得一吃
高麗菜水餃：好吃，內陷味道剛好，吃得出豬肉的香氣和高麗菜的甜味，推薦吃水餃"
 Winnie Lin ,https://www.google.com/maps/contrib/105959506944784973481/reviews?hl=zh-TW,5,True,586,"超好吃的啦！
服務人員態度也好
店內裝潢有些許在電影中客棧的感覺
好飽啊！"
 Huichen Hsu ,https://www.google.com/maps/contrib/110715468567070054532/reviews?hl=zh-TW,3,True,271,"聽同事講好久，今天終於來品嚐了
口味還不錯，下次相吃辣死人麵😂"
 兒童天王-邱子瑍 ,https://www.google.com/maps/contrib/102977924093756878770/reviews?hl=zh-TW,5,True,199,"在天母三十年載，每次經過石牌都會不小心從巷內中看到這家店，卻從沒入內消費過，在一次心中充滿徬徨之際不知該吃什麼之時，彷彿一道聖光照射在我身上，告訴我要進入這家姥姥大觀園。
麵食與餅類選擇非常多，而且重點是不會太鹹，份量又很大，我記得我當時至少有五桌在吃，有四桌都打包食物帶走，就知道份量有多不客氣的多。
小菜也很入味，素雞切的很薄，滷汁也入味，我最後吃不完還直接把小菜素雞與炸醬麵融合成新的一套菜。
推薦石牌朋友與他鄉遇知音的朋友們。"
 周洪源 ,https://www.google.com/maps/contrib/114941112305496225691/reviews?hl=zh-TW,4,True,544,看了美食節目的介紹來吃的，點了辣死人麵、酸辣湯，很特別的麵！味道調的非常好吃！不過略偏油了一點(吃完盤底還厚厚一層油)，或許有些人會不喜歡，但這種油膩口感，我還可以接受！比較可惜的是麵太軟爛了！不知是麵體本身就是如此？還是煮太久所造成的？麵體如果能改善，那就很完美了！
 丹鳳老農 ,https://www.google.com/maps/contrib/107816700100739502917/reviews?hl=zh-TW,5,True,122,這個時代能有這樣傳統口味隱藏在城市鬧區中，值得尋幽訪勝專程跑一趟！
 Shanna ,https://www.google.com/maps/contrib/113752155145086844476/reviews?hl=zh-TW,5,False,7,從小吃到大的一間餐廳，真的是要坐在裡面慢慢吃，享受裡面的美食
 Armani Chen ,https://www.google.com/maps/contrib/117827874122565432704/reviews?hl=zh-TW,4,False,10,"紅燒牛肉麵星期六中午12:30來吃大約十分鐘就來了寬麵不會太軟爛牛肉也不會太硬不好嚼湯頭尚可牛肉麵加苜宿芽的確是第一次見
蜜麻甜酥餅可能因為我叫外帶打開來吃一塊是冷的頗硬
聽說餅類好吃下次要吃吃看"
 Danny Chou ,https://www.google.com/maps/contrib/103162221365471601094/reviews?hl=zh-TW,3,True,109,"很普通的外省風家常小吃店，但沒有什麼太突出的料理，小籠湯包吃起來皮太厚、湯汁也不太多；鮮蝦蒸餃的韭菜放太多，讓整個蒸餃吃起來幾乎只剩下韭菜味，整餐吃完印象最深的竟然是酸辣湯。
建議如果懶的煮又住附近的話可以偶爾來，不然其實就還好。"
 sophia wang ,https://www.google.com/maps/contrib/115360370415201921297/reviews?hl=zh-TW,4,True,243,"帶鵝子來附近比賽，看了Google評價而來吃午餐。
我想我會再帶家人來品嚐這裡的餐點。
麵點類愛好者的好選擇，份量足夠，
推薦黃金蔬菜捲餅好吃。
褡蓮火燒的面皮外衣有一點點厚
不過整體而言餐點都算不錯"
 許哲愿 ,https://www.google.com/maps/contrib/100539668232124918884/reviews?hl=zh-TW,4,True,107,半筋半肉牛肉麵，湯頭清淡不油膩，麵條Q彈，牛肉看起來乾柴但出乎意料的軟嫩，完全不硬，牛筋是有點脆口的，不是軟嫩型，吃起來沒什麼味道，我吃不太習慣，但後面結帳時我有問老闆娘，老闆娘表示這是正常的，牛筋本身就是沒有味道的～後來想想或許是因為這種口味的牛筋需要搭配濃郁的湯頭，半肉半筋牛肉麵只要150，在台北市這種價格只能說佛，老闆娘的態度也很棒，但我還是會比較推薦紅燒牛肉麵，小碗只要120，CP值對我的口味來說比半肉半筋更高
 Ta Daniel ,https://www.google.com/maps/contrib/115789529970852785584/reviews?hl=zh-TW,1,True,47,辣死人麵吃起來相當普通，沒有像其他人推薦的那麼超值，就感覺是一般的拌麵加點辣椒，貴，量又少，又普通，蠻不推薦的。
 Died Liu ,https://www.google.com/maps/contrib/106969808752107859355/reviews?hl=zh-TW,1,True,267,牛肉麵因為是現煮的所以還行，但煎餃皮又老又韌又硬，溫度也上下不一，還有一顆根本硬到用筷子敲起來還有聲音，很明顯不是現煎出來的，大概是放久後硬掉又重新加熱，結果跟店員說，我還敲給他看，他就很慌張地說我們都是今天包的，然後把那顆硬到有聲的煎餃丟進湯裡，這種想毀滅證據的態度老闆應該會很滿意吧?
 Kan-Hsueh Chiang ,https://www.google.com/maps/contrib/116706423696179989366/reviews?hl=zh-TW,3,True,54,其他沒吃過不清楚，蔬菜拌麵完全沒有北方風味。用的是菜市場最普通最便宜的細麵，菜只有一兩片裝飾，也沒有什麼醬料調味，這樣賣一百不覺得有那個價值
 半分は優しさ[はんちゃん] ,https://www.google.com/maps/contrib/104747674347522708691/reviews?hl=zh-TW,4,True,15,"麵點尤其各種餅類是招牌，水準以上。
湯普通，小菜低於一般水準，價格中高。
個人推薦褡連火燒與布衣相思。"
 秦紅英 ,https://www.google.com/maps/contrib/102948445950242536104/reviews?hl=zh-TW,5,True,57,"鍋貼和抓餅小菜都很可口好吃,麵食類現點現做要耐心等候!"
