user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 王安娜 ,https://www.google.com/maps/contrib/118035329778020223036/reviews?hl=zh-TW,5,False,9,餐點品項豐富到爆炸，也都超好吃，煩惱自己怎麼只有一個胃呢😂謝謝老闆娘的熱情，以後來石牌北投都要來吃的早餐店👍🏻
 Amanda Chiang ,https://www.google.com/maps/contrib/101363692874990224292/reviews?hl=zh-TW,2,False,8,一早打開令我傻眼的奶油厚片土司😮‍💨烤焦的早餐只能整個丟棄啊
 張小雅 ,https://www.google.com/maps/contrib/113484458551809194144/reviews?hl=zh-TW,1,False,3,老闆娘的態度真的很不ok，即便餐點再好吃也不會想再光顧第二次
 cy Lin ,https://www.google.com/maps/contrib/111055829619926658248/reviews?hl=zh-TW,2,True,"1,205",蛋餅普普，動作非常慢，上菜送度差很多，蛋餅吃完了才上蔥抓餅，蔥抓餅還不是熱的。
 uraki kou ,https://www.google.com/maps/contrib/110531514188930445585/reviews?hl=zh-TW,5,False,15,"澎湖花枝跟花生法式爆炸好吃，奶茶也好喝，缺點是生意好要等一下，建議先打電話去叫。

照片是澎湖花枝&沙茶洋蔥蛋餅"
 Louise Lin ,https://www.google.com/maps/contrib/112432309845558984891/reviews?hl=zh-TW,1,True,233,"內用人很多想說外帶，結果等了快半小時，動作慢到不可思議，只是兩個蛋餅就等這麼久乾脆去吃王美早午餐，店員態度也不是很好，記住熟客喜好又怎樣？新來的就不是客人嗎？週末店裡還會有一堆吵鬧小孩，父母也不管就放任他們亂跑，還有客人帶狗來但不拴繩，不是每個人都喜歡狗：）
以後不會再來：）附近有很多早餐店不用執著這家

價格偏中上而且菜單價格很亂，cp值普通。
培根蛋餅$30九層塔蛋餅$35還算好吃，表面有撒一點胡椒滿香，蛋餅皮偏軟嫩"
 たかと ,https://www.google.com/maps/contrib/114030308331371071946/reviews?hl=zh-TW,5,False,19,好吃的快把舌頭一起吞了，洋蔥蛋餅巧達濃湯，雖然很多品項想要嘗試，但是最愛的一直吃不膩，選項實在太多了，幾乎什麼都料好味鮮，我看著其他客人碗裡的，都想著下次一定也吃吃看。
 黃郁雯（艾咪小姐） ,https://www.google.com/maps/contrib/108381645586672178415/reviews?hl=zh-TW,3,True,123,"東西很好吃～但有點小貴
而且因為人潮很多所以尖峰時段要等蠻久的
營業時間：6:00-13:00"
 Jerry Chen ,https://www.google.com/maps/contrib/113651082548961229045/reviews?hl=zh-TW,1,True,91,出餐緩慢，態度不佳
 Samson ,https://www.google.com/maps/contrib/106573095374459111322/reviews?hl=zh-TW,5,True,103,"獨家的套餐料理！
必點：義大利肉醬麵、滿意雞、起士蛋捲
飲料好喝不膩😋"
 江喆 ,https://www.google.com/maps/contrib/106703908278768443060/reviews?hl=zh-TW,5,True,26,親切的服務.感覺就像在自家的兆腳
 Erina Y. ,https://www.google.com/maps/contrib/102853572744625670853/reviews?hl=zh-TW,3,True,73,"東西真的很美味，
老闆娘記性很好，會記得客戶喜好！
軟法鮪魚很清爽好吃，
絲瓜蛋餅也很特別，
他們連基本的蘑菇麵都煮的很好吃，
私房料理都沒在菜單上，
老闆娘會隨機推薦，
真的做得都很好吃，
但是假日近中午去吃的話都會有人點沙茶麵，
味道超濃會黏在衣服上，
很臭～～～～～～，
拜託快改善裝潢吧～
已經開了好幾年，
如果對環境多一點用心，
客人應該都會留得住的。
最近店裡面新增自取消毒後的筷子，還不錯。

每次吃完出來很擔心身上味道😢😢
希望能改善～

送餐的服務人員態度滿差的（戴眼鏡的女生）
覺得一早心情容易被打壞
來這家早餐店需要看運氣⋯
老闆娘偶爾會同套餐算不同的錢，"
 M H ,https://www.google.com/maps/contrib/101171090056621231514/reviews?hl=zh-TW,1,False,35,"動作真的超級慢！！
只是一個果醬土司來回至少等了10分鐘，還不時翻開烤箱看，難度很高嗎？
一個鮪魚堡＋果醬土司共70元，結帳也嚇到我，
在別地方可能五六十就有，
一打開果醬土司看，烤得軟軟也沒有到硬焦，
真不知速度怎能慢成那樣……"
 HsinChieh Hu ,https://www.google.com/maps/contrib/103153759818950809752/reviews?hl=zh-TW,5,True,45,吃了6、7年了吧，是石牌一帶值得光顧的早餐店，用料、品項等都很用心。最愛他們的沙拉，醬超好吃❤️老闆娘都記得每個人要吃什麼，超強的～久久出現一次都還是記得☺️
 ALOZ NAP ,https://www.google.com/maps/contrib/107782213138558287851/reviews?hl=zh-TW,5,True,472,平日生意就很好，吃第二次老闆就記得，菜單非常豐富，聽到熟客用各種神秘術語點餐覺得超酷，冰火吐司很特別！很少吃到早餐店的義大利麵讓人滿意的，這家真的不錯，希望老闆趕快賺大錢重新裝潢擴大座位，讓用餐環境更舒適😅😅😅
 Tien-shin Luo ,https://www.google.com/maps/contrib/105204328194995636764/reviews?hl=zh-TW,5,True,208,"傳統早餐店的巔峰
怎麼會這麼好吃！假日人很多常常要等
建議先打電話去！全部都好吃不會踩雷"
 Eva ,https://www.google.com/maps/contrib/114782954828062399721/reviews?hl=zh-TW,1,False,4,很普通，動作超級慢，飲料也不會先上，吐司也烤的不好吃，紅茶不好喝
 Joe You ,https://www.google.com/maps/contrib/106223762864975307816/reviews?hl=zh-TW,1,False,5,"超級糟糕，東西不好吃，賣完漢堡換成潛艇堡，一開始還沒說，到結帳才說要加錢一個多十塊錢。根本搶錢吧，而且東西不怎麼樣，一個招牌漢堡肉堡就要五十元，然後換成潛艇堡要多時十塊。完全覺得超級不值這個價錢。
最重要的是，要換要加錢竟然是結帳的時候才說，讓人感覺非常差。"
 Po-Yu Chen ,https://www.google.com/maps/contrib/100170992457118217166/reviews?hl=zh-TW,5,True,12,"樣類很多
每樣都可以做得很精緻
咖啡也沖得很棒
除了空間比較小，生意好時有點吵外
應該是實踐街cp值最高的"
 Yuki Yang ,https://www.google.com/maps/contrib/116509760169917859539/reviews?hl=zh-TW,5,False,5,從小吃到大的早餐店❤️真的很喜歡他們的蘑菇麵🙆
 沈容安 ,https://www.google.com/maps/contrib/106455270546210643733/reviews?hl=zh-TW,5,True,15,早餐很好吃，老闆娘記性很好，第一次來消費過後，第二次再來就記得我們上次點什麼～佩服
 Terry Lin ,https://www.google.com/maps/contrib/113577705179265017175/reviews?hl=zh-TW,1,True,31,點餐時說漢堡吐司都沒有了，默默走掉去別家買，回來牽車看到有人點漢堡，卻可以點，感覺很差
 Tiffany Huang ,https://www.google.com/maps/contrib/103399702290914504517/reviews?hl=zh-TW,1,True,206,餐點越來越難吃，已經電話訂單沒寫單就算了，連一句不好意思久等了也沒有，老闆娘還擺臭臉這樣⋯⋯
 盧柏諺 ,https://www.google.com/maps/contrib/115433530984541564427/reviews?hl=zh-TW,5,True,49,推薦美式C餐，讚👍
 Carol Shen ,https://www.google.com/maps/contrib/110370837509578271502/reviews?hl=zh-TW,1,True,33,"老闆娘到底在臭什麼
誇張，整家店只有餐枱有紙巾，到底你們用還是客人用"
 綠刀 ,https://www.google.com/maps/contrib/101145580641612733448/reviews?hl=zh-TW,5,False,1,超讚的早餐店！不但能買早餐、看報紙，還能幫學生每天配不同的營養早餐。
 hy Wang ,https://www.google.com/maps/contrib/110907576784006369659/reviews?hl=zh-TW,2,False,16,雞腿乾薯餅超油九層塔蛋餅真的有夾九層塔還不錯
 Pin Yi Lu ,https://www.google.com/maps/contrib/101192215772110044287/reviews?hl=zh-TW,5,True,89,老闆娘人很好，餐點選擇多樣，很推她們家的青蔥蛋餅~
 藍藍 ,https://www.google.com/maps/contrib/105246724215146596766/reviews?hl=zh-TW,5,True,99,"老闆娘記憶力驚人
超推鮪魚蛋餅很好吃"
 李宜鴻 ,https://www.google.com/maps/contrib/111609796555101556786/reviews?hl=zh-TW,5,False,9,就是東西非常好吃啦其他早餐店沒有那麼好吃的牛小排
 Yu Lee ,https://www.google.com/maps/contrib/107035713693611979655/reviews?hl=zh-TW,4,False,13,"東西很好吃很推套餐組合
但音樂放太大聲整間店很吵"
 丹佛高麗芬 ,https://www.google.com/maps/contrib/113637323863883791094/reviews?hl=zh-TW,4,True,133,在餐桌上沒有菜單，不是常客會覺得很不方便。
 Perdita Lin ,https://www.google.com/maps/contrib/103809786836916882801/reviews?hl=zh-TW,4,True,18,老闆娘很親切，會記得常客愛吃的餐！
 阿豪 ,https://www.google.com/maps/contrib/110386893882791070252/reviews?hl=zh-TW,5,False,30,"老闆娘的記憶非常好
食物也不錯吃"
 郭榮泰 ,https://www.google.com/maps/contrib/109357477482866065022/reviews?hl=zh-TW,4,True,83,早餐選擇多，老闆娘記性超好，只怕你自已點錯。
 Qoo Hcm ,https://www.google.com/maps/contrib/108321610346554060648/reviews?hl=zh-TW,3,True,43,環境ok只是吃到最後被要求換桌覺得不是很開心
 Winnie Lin ,https://www.google.com/maps/contrib/103839765408909819246/reviews?hl=zh-TW,5,False,8,老闆娘親切記性好，東西好吃又用心。
 Ki Ri Bar ,https://www.google.com/maps/contrib/102848126081501230486/reviews?hl=zh-TW,5,True,9,喜歡狗的人很推薦來這。早餐也很平價。
 翁峻傑 ,https://www.google.com/maps/contrib/112302453862536488786/reviews?hl=zh-TW,5,False,34,老闆娘開發的絲瓜蛋餅ロ味真的一級棒
 賴昭源 ,https://www.google.com/maps/contrib/108740403233462975286/reviews?hl=zh-TW,5,False,17,餐點製作用心，很好吃！
 陳元錄 ,https://www.google.com/maps/contrib/112482588186224056369/reviews?hl=zh-TW,5,False,2,早餐好好吃，還有店狗超級可愛的
 Ming-Jia Hsu ,https://www.google.com/maps/contrib/110330903787421027456/reviews?hl=zh-TW,4,True,215,好吃，種類多，組合套餐有特色，早餐店的好選擇
 施家齡 ,https://www.google.com/maps/contrib/108816649805033412856/reviews?hl=zh-TW,5,True,119,品項眾多，老闆娘總會記得客人喜好^^
 Kuo 7810271 ,https://www.google.com/maps/contrib/110552851529614272465/reviews?hl=zh-TW,5,False,8,老闆娘總是會記得你點了什麼？
 Eva Yan ,https://www.google.com/maps/contrib/104896064361876383447/reviews?hl=zh-TW,5,True,320,"早餐非常好吃
不過老闆娘有點兇兇的"
 胡奕華（Angel） ,https://www.google.com/maps/contrib/109785457257365294983/reviews?hl=zh-TW,4,True,107,老闆娘記憶力強，知道顧客的喜好，親切
 簡幸柔 ,https://www.google.com/maps/contrib/108675599886324798296/reviews?hl=zh-TW,5,True,9,"滿意餐很好吃
套餐都不貴"
 呂宗祐 ,https://www.google.com/maps/contrib/101823259891347451676/reviews?hl=zh-TW,4,True,"1,141","還不錯的早餐
只是停車不方便"
 Sam Chang ,https://www.google.com/maps/contrib/117189993887418823121/reviews?hl=zh-TW,5,False,1,老闆娘親切好吃
 陳馨瑜 ,https://www.google.com/maps/contrib/105543739646128226274/reviews?hl=zh-TW,5,True,95,餐點很多很特別
 sky sung ,https://www.google.com/maps/contrib/105809003081363195479/reviews?hl=zh-TW,3,True,31,店內寬敞，送餐快速
 宛君劉 ,https://www.google.com/maps/contrib/110303605389488544880/reviews?hl=zh-TW,4,False,2,老闆娘親切，用餐舒適愉快
 sufeiya wu ,https://www.google.com/maps/contrib/100409641324808130674/reviews?hl=zh-TW,5,True,84,樣式多種，口味好吃。
 羿綺 ,https://www.google.com/maps/contrib/115950141619440033196/reviews?hl=zh-TW,5,False,4,每次去都很滿意啊！
 詳情聽說 ,https://www.google.com/maps/contrib/106635776575906458293/reviews?hl=zh-TW,4,True,268,老闆娘很親切
 Hank Lin ,https://www.google.com/maps/contrib/104552372756414236709/reviews?hl=zh-TW,5,False,71,超好吃會上癮
 許銘樟 ,https://www.google.com/maps/contrib/106991385231275068166/reviews?hl=zh-TW,4,True,31,有吃早餐的氣氛
 CILLIN YANG ,https://www.google.com/maps/contrib/107007652072657735410/reviews?hl=zh-TW,3,True,113,東西不錯但等很久
 張書銘 ,https://www.google.com/maps/contrib/108449103064970049093/reviews?hl=zh-TW,5,False,32,菜單猛的
 Bonnie Wang ,https://www.google.com/maps/contrib/115954723506613425823/reviews?hl=zh-TW,5,True,76,老闆用心經營
 許文斌 ,https://www.google.com/maps/contrib/117187602533835310585/reviews?hl=zh-TW,5,True,143,老闆娘很幽默
 簡柔柔 ,https://www.google.com/maps/contrib/105032567731252394950/reviews?hl=zh-TW,5,True,4,餐點超好吃
 蔡哲文 ,https://www.google.com/maps/contrib/113253397402961013499/reviews?hl=zh-TW,1,False,6,鐵板麵………………………
 張澄源 ,https://www.google.com/maps/contrib/103070222643992449113/reviews?hl=zh-TW,5,True,224,平價好吃
 YY W ,https://www.google.com/maps/contrib/113771036584859349234/reviews?hl=zh-TW,5,True,31,在地好選擇
 Thomas Zou ,https://www.google.com/maps/contrib/109019861000569388949/reviews?hl=zh-TW,5,False,4,美味親切～
 葉大 ,https://www.google.com/maps/contrib/104774021851288563602/reviews?hl=zh-TW,3,False,8,地點很小
 Li-Ren Chien ,https://www.google.com/maps/contrib/110484248587941927795/reviews?hl=zh-TW,3,True,177,還好...
 Jun-Winson Huang ,https://www.google.com/maps/contrib/107386261303312534796/reviews?hl=zh-TW,3,True,106,還不錯
 張明祚 ,https://www.google.com/maps/contrib/100215158932564632930/reviews?hl=zh-TW,3,True,503,親切可口！
 Kevin Ye ,https://www.google.com/maps/contrib/108592525512372473300/reviews?hl=zh-TW,5,False,21,好好吃的早午餐！
 Power Ku ,https://www.google.com/maps/contrib/110638801956795848862/reviews?hl=zh-TW,5,False,10,魔力法卡好吃
