user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 冠穎 ,https://www.google.com/maps/contrib/110797613357048462462/reviews?hl=zh-TW,5,True,33,每次下班的時候，都會經過這間雞排店，店員都是年輕人，確實是非常的有活力，香味十足的雞排，害我每次經過時都多買了好幾塊，更方便的是，隔壁就是飲料店，俗話說得好「胃要好，珍奶雞排不可少」，每買一次，我那天心情就好一次，非常推薦各位市民一同捧場這間雞排店，什麼叫做厚切多汁雞排？吃一次就懂了。
 陳曦 ,https://www.google.com/maps/contrib/109082840347733378210/reviews?hl=zh-TW,5,True,359,好吃，雞排大塊又多汁，等待時間大約10分鐘左右，甜不辣比較不推薦，量少
 曾慧娟 ,https://www.google.com/maps/contrib/116805778966935313747/reviews?hl=zh-TW,1,True,26,服務人員動作非常慢，一邊聊天一邊做。廚房後面那位戴眼鏡的先生，一邊處理客人的食物還走去到後面白色的門一邊抽電子菸，這樣態度和流程實在不能苟同，經過這次絕對不會再來買。
 許小球 ,https://www.google.com/maps/contrib/117457120283135619302/reviews?hl=zh-TW,5,True,17,廚房看起來很乾淨衛生，油鍋現炸熱呼呼，咬開充滿雞汁的大雞排🤤🤤🤤
 李世舜 ,https://www.google.com/maps/contrib/107075882094828263255/reviews?hl=zh-TW,2,False,19,今天第一次買艋舺雞排，買了2份雞排，一個辣味，一個原味，還有杏鮑菇和玉米筍，只能說都非常鹹，已經不知道原本的食物到底好不好吃，如果有人想要訂購，請記得請店員灑胡椒粉少一些，真的太鹹了。
 Chen Chen ,https://www.google.com/maps/contrib/107900775570965716768/reviews?hl=zh-TW,4,True,150,好吃外脆內軟，可是不能混口味，挺可惜的，想要多加胡椒粉也不行🥲，外面蚊子🦟超級多，等待時間超痛苦
 Su-Hui Cheng ,https://www.google.com/maps/contrib/111358524023551504594/reviews?hl=zh-TW,4,True,427,"#超大苔客雞排，外皮酥脆
#店家外觀乾淨"
 saka do-do ,https://www.google.com/maps/contrib/106273745922004058729/reviews?hl=zh-TW,1,True,42,"點了爆汁雞塊＋杏鮑菇
雞塊一口咬下去就很臭很不新鮮，肉本身也沒醃入味，總而言之寧願丟掉也無法再吃！
剩下杏鮑菇可以吃…"
 Pan Connie ,https://www.google.com/maps/contrib/113211519637952097709/reviews?hl=zh-TW,1,False,6,"女店員態度有夠差自己聽不清楚還瞪人
雞排還弄得超級鹹感覺真的很差勁
而且基本的sop都沒有以後也不會再去光顧"
 李安若 ,https://www.google.com/maps/contrib/116623534713709542595/reviews?hl=zh-TW,3,True,70,第二次叫外送可以體諒店家忙碌，我們前一天就訂餐，告知12:20送達，但12:50才到，7/1跳漲價格也沒有事先通知，事先也告知要分包裝袋裝，完全沒有記得
 X ,https://www.google.com/maps/contrib/104808164644904772612/reviews?hl=zh-TW,5,False,7,"爆汁嫩雞超好吃٩(˃̶͈̀௰˂̶͈́)و
每次經過都忍不住點一份欸⋯⋯"
 Qi Ren ,https://www.google.com/maps/contrib/115321218615513204879/reviews?hl=zh-TW,5,False,2,今天去你們那買雞排站在櫃檯的妹妹態度很親切讓人有種很舒服的感覺非常愉快的一次購買經驗雞排也很好吃優
 陳俊霖 ,https://www.google.com/maps/contrib/113731366668665079613/reviews?hl=zh-TW,5,False,3,"認真好吃
每次買雞排都順便在隔壁COMEBUY買飲料。
省時又省力，想一想又餓了。等等下班再去買。"
