user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Sylvia Wu ,https://www.google.com/maps/contrib/106609909041977523878/reviews?hl=zh-TW,3,True,345,"漢堡上桌的時候我整個愣住
好小很小
再加上稀稀落落的幾根薯條
雖然味道還可以
但是套餐完全吃不飽的早餐店這還是第一次
不推"
 張尼歐 ,https://www.google.com/maps/contrib/117917688486736257820/reviews?hl=zh-TW,4,True,318,再訪QBurger只能說，想吃的餐點項目，多到都想吃吃看，但肚子空間實在有限，只點了豬排三明治、九層塔蛋餅跟冰紅茶。不得不推薦一下豬排三明治，鮮嫩多汁，吃起來很有口感。但紅茶個人覺得片太甜，加一半的水稀釋比較不膩，純個人口感，僅供參考囉~下次還想再來繼續把想吃的吃過一輪😆
 Chin Liao ,https://www.google.com/maps/contrib/116617070367986507945/reviews?hl=zh-TW,3,True,58,"2022.07.31
火腿蛋堡、主廚沙拉、巧克力厚片
連鎖店，價格大概比普通的貴5-10元
點當日特餐還送飲料比較划算
漢堡麵包較一般早餐店的好吃，比較鬆軟"
 Elly ,https://www.google.com/maps/contrib/101252548295389999457/reviews?hl=zh-TW,4,True,65,"店員態度都很好，就算帶排隊的人多也不會說動作慢，只是有點小貴（對我啦），但食物都挺好吃的，偶爾可以來吃一下
菜單是2022/04的"
 Chang小旦 ,https://www.google.com/maps/contrib/104722825414642197885/reviews?hl=zh-TW,4,True,464,出餐很快，每次電話預訂都能準時拿到，現場等也不會太久，鐵板麵的麵條不會太爛，沙茶炒麵加了九層塔提味，很不錯，但吃不出沙茶味，稍微有點偏鹹，是早餐不錯的選擇，不想等的時候，三明治是不錯的選擇，都蠻好吃的!
 丫男 ,https://www.google.com/maps/contrib/111270454094017441077/reviews?hl=zh-TW,5,False,16,其實QB到哪間店都還是有水準以上，環境氣氛其實不錯，店員也很親切，假日可以放鬆來這坐一下，喝個飲料，吃點東西，這就是生活啊～
 Sherry yang ,https://www.google.com/maps/contrib/104398622564264162344/reviews?hl=zh-TW,1,False,4,今天點了美國經典重磅厚牛堡，說了不要加洋蔥，但裡面還是加了洋蔥....漢堡很小價錢太貴，這樣一個漢堡要$111也太貴...
 郭靖新 ,https://www.google.com/maps/contrib/103979795159202988511/reviews?hl=zh-TW,1,False,1,點了一份食道癌蔥抓餅，整片都是黑的。要求重做之後一面還是黑，另一面濕答答的半生不熟。不會煮東西可以學，不用心就真的是沒救。
 李盈萩 ,https://www.google.com/maps/contrib/104399461839578647394/reviews?hl=zh-TW,5,True,113,"使用app訂餐方便快速
可以選擇信用卡或是linepay
也能直接到現場付款、悠遊付、台灣pay等
很方便！

對於自備客也很友善
會先放在內用盤等客人的環保餐具餐盒來了
再裝進環保餐盒裡
（看過有些店家裝進紙盒…再裝進環保餐盒
就失去自備容器的意義啦～）

點了怪怪蛋餅不知道是不是太忙
油失手加太多！？
花醬肉鬆蛋吐司還有生菜
肉鬆料超多！！推👍🏻"
 ching2 ching2 ,https://www.google.com/maps/contrib/102329328062504376487/reviews?hl=zh-TW,4,True,"1,121","打拋豬歐姆蛋吐司

調味意外的很不錯適中也不會過鹹和泰式料理店吃到的差不多
上菜速度快對於討厭等待的人來說這裡很不錯！

好吃度☀️☀️☀️☀️
再訪度☀️☀️☀️☀️"
 Sumika K ,https://www.google.com/maps/contrib/114518789916903690924/reviews?hl=zh-TW,3,True,45,第一次買，想說吃點跟一般早餐店不同口味的鐵板麵試試，結果非常貴！都是一百以上，但味道卻很普通甚至比不上一般店家的，就是非常後悔，恐怕是再也不會來了。
 fei-lin Wu ,https://www.google.com/maps/contrib/102852805120592288951/reviews?hl=zh-TW,5,False,12,出餐快速餐點選擇也很多味道不錯，不會太油~
 Mingchia T ,https://www.google.com/maps/contrib/101126826515873972799/reviews?hl=zh-TW,1,True,51,"所有東西都超油
是我吃過台北所有QBurger的連鎖店中最差的"
 Wing-Shing Pang ,https://www.google.com/maps/contrib/108553427544126657105/reviews?hl=zh-TW,5,True,18,"用餐環境舒適；點了泰式雞腿堡，食材感覺十分用心，漢堡使用的新款麵包酥脆可口。

Comfortable,brightandchilldinningzone,excellentservice,busybutdedicatedstaff.HighlyrecommandtheThai-stylechickenfilletburger:thebuniscrispyoutsidebuttenderinside,chickenfilletisjuicy,superbtasty,asthephotoshowedbelow:)"
 Mavis Huang ,https://www.google.com/maps/contrib/101535688221459445070/reviews?hl=zh-TW,4,False,20,薯條很好吃，剛開幕時自己來過一次，也和家人再來一次，兩次都對店員衛生習慣和動作慢感到失望，但這次店員的動作和態度進步很多，心情很好忘記拍內容物就吃掉了
 Wayne Chen ,https://www.google.com/maps/contrib/111698291988629585589/reviews?hl=zh-TW,3,True,101,連鎖的早餐店用餐環境不錯，新開幕打八折用餐人數多，服務人員有點手忙腳亂流程有些不順暢，應該一段時間後會更好。
 林小翔驚奇檔案-鬼道伊藤翔 ,https://www.google.com/maps/contrib/100659768670557972964/reviews?hl=zh-TW,5,True,16,"黃金脆雞堡好吃脆雞超讚
薯條奶茶100分
早餐店屆第一名"
 洪捷勝 ,https://www.google.com/maps/contrib/112002239925969081496/reviews?hl=zh-TW,5,True,147,早午餐的餐點中規中矩，該有的基本上都有包含到。不錯的早午餐店喔！
 Jennifer Hung ,https://www.google.com/maps/contrib/116910207527448662724/reviews?hl=zh-TW,2,False,6,"熔岩起司燻腸的「起司」是黃黃的「起司醬」，圖片都只放牛肉起司是起司片，很容易讓人誤會。建議有一個所有餐點的圖片，或是在旁邊標註「沒有起司是起司醬」

負責飲料的男店員不知道臉在臭什麼，入座20分鐘都沒人來收前一位客人留下的盤子，考慮到他們可能太忙，於是自己整盤端過去站在內場門口說「請問這個可以幫我收一下嗎😀」，那位男店員䁥了一眼，搶過盤子並且一言不發，態度令人不悅。

出餐很慢但是有事先告知
來了兩三次店內都有蒼蠅在飛
價格稍高，餐點口味尚可"
 Wayne Horng ,https://www.google.com/maps/contrib/111876065696612255424/reviews?hl=zh-TW,4,True,760,烤總匯餐不錯吃，但鬆餅烤得有點久，有點硬
 wei ,https://www.google.com/maps/contrib/103168509758207932588/reviews?hl=zh-TW,1,False,14,附近很多早餐店但想踩雷可以來這家
 陳錫勳 ,https://www.google.com/maps/contrib/109021920969197568632/reviews?hl=zh-TW,5,True,35,東西很好吃，最主要是老闆每天都知道我要吃什麼，比如將蘿蔔糕他就知道要加蛋加培根，都會記住客戶的需求，我喜歡很不錯的商家。
 ro ze ,https://www.google.com/maps/contrib/111458646352650766600/reviews?hl=zh-TW,5,True,50,"2021.05.267:30
店內還有大單，店員還很親切的告知小張DM比較新"
 劉禮全 ,https://www.google.com/maps/contrib/109490333269823265364/reviews?hl=zh-TW,3,True,9,若是平日上班吃飽的話...有點傷本
 X ie ,https://www.google.com/maps/contrib/101596313213716685516/reviews?hl=zh-TW,5,False,4,"黃金脆雞堡好吃脆雞超讚
薯條奶茶100分
早餐店屆第一名
(但這間店相較於其他分店，薯條明顯給很少）"
 PeiWan Lee ,https://www.google.com/maps/contrib/101882683643094124513/reviews?hl=zh-TW,5,False,3,餐點好吃，環境乾淨，工作人員服務親切。
 just forfree ,https://www.google.com/maps/contrib/100953891328750540403/reviews?hl=zh-TW,5,True,31,第一次來訪，給了不好的印象，上餐速度極慢，內容物也不怎麼樣，食物也不夠讓，當下甚至決定不要再二訪了。但後來因為家人的關係，再登門造訪，發現這間店真的有顯著的改變，出餐速度真的很快，雖然有時候人一多整理桌面不那麼即時，但都是可以接受的。食物方面麵食也非常好吃，漢堡也是，看的出業主想用心經營這間店，而我也感受到了，名為家附近的愛店之一。
 朱晏霆Alfred ,https://www.google.com/maps/contrib/118393866407108417865/reviews?hl=zh-TW,2,False,3,"我點的燻雞沙拉沒有燻雞
燻雞沙拉是只有沙拉嗎？
畢竟只要50塊蠻便宜的啦"
 妮妮 ,https://www.google.com/maps/contrib/105276110835067555487/reviews?hl=zh-TW,3,True,48,"很生氣的是每次點餐加起司
每次餐點來都沒有！！！！！
知道生意好很忙！
但每一次都這樣真的讓人挺無言的！
如果是這樣乾脆不要有加起司的選項⋯⋯
希望能改善這個問題⋯

其他方面都還可以
可是加起司這件事真的超無言！！
因為不是第一次了啦啦啦啦啦啦"
 Yujie Tsai ,https://www.google.com/maps/contrib/117483169033010234958/reviews?hl=zh-TW,2,True,34,"優點：
1.東西不算難吃，大概60分及格
2.用餐環境還算乾淨明亮

缺點：
1.點餐、出餐效率很差，比一般早餐店需要多等2倍時間
2.店員溝通的氣氛很差，看過煎台人員在跟ubereats外送員吵架，他們內部溝通也是用罵的方式，內用的時候一直聽到謾罵聲，用餐感覺很糟糕
3.送餐一直送錯，人員交代事情沒交代好
4.餐點偏貴"
 Yi Jing Lin ,https://www.google.com/maps/contrib/114244609539527047802/reviews?hl=zh-TW,3,False,5,可朗芙做烤的不夠，軟軟的不好吃，買了兩次，吃起來真的有夠問號，喜歡吃可朗芙的朋友可能要去其他家了
 Andy P ,https://www.google.com/maps/contrib/101278775923580124514/reviews?hl=zh-TW,1,True,124,做漢堡而已臉上有顆痔的阿姨，態度可以好一點，難道你們外面有擺放各個餐點裡面加什麼醬嗎？既然沒有，客人怎麼知道你們裡面剛好加了不敢吃的醬？反應了結果是非常差勁的態度
 Wayne DS.T (dsjustforfun) ,https://www.google.com/maps/contrib/113525483132312179009/reviews?hl=zh-TW,3,True,27,"克朗芙好貴哦，而且用的不知道是那種煉乳，下次不給小孩點了！其他漢堡吐司單價偏高，都是加蛋前的價錢跟別人一般加蛋一樣，加了蛋就算貴，像是鮪魚蛋吐司加蛋要$45。吃了很多次點單時常會漏，時間多的時候可以來吃。
薯餅跟九層塔蛋餅好吃。"
 小教Green ,https://www.google.com/maps/contrib/104026211530991762330/reviews?hl=zh-TW,2,False,4,"我是附近的住戶，想說新開給個機會，但是買了四次，每次的體驗都不是很好都要等或是漏餐。心得是
：實在不適合一般上班族買的早餐店，什麼都慢，點餐到取餐過程都是等待煎熬。假日人多就算了，平日也是慢，除非時間很閒，否則不會想再來吃！"
 張仲緯 ,https://www.google.com/maps/contrib/112365633689676648831/reviews?hl=zh-TW,3,False,4,東西好吃，但我們畫套餐被點成單點。價錢收的是單點的錢沒錯，但我們畫的單是套餐，雖然幫我們買的人當下沒確認到是有錯，但店員態度不是給人很舒服的感覺。
 YING JU CHEN ,https://www.google.com/maps/contrib/118329820074959496521/reviews?hl=zh-TW,5,False,11,知道致遠店開了Qburger，特地來這邊吃。點了總匯三明治，餐點很快就來了。假日來人很多，但等一下就有內用位子，空間很大還有冷氣，還算不錯。店員可能對操作還不熟但還挺親切的。還會再想來吃～～～good!
 H HHH ,https://www.google.com/maps/contrib/115831576919054675044/reviews?hl=zh-TW,1,True,64,點豬扒包結果吐司有頭髮，退回去馬上就拿回來了，結果竟然少了豬肉：）我真的哭笑不得，再反應一次，連一句抱歉都沒有！裡面的阿姨還在跟我蛤？！什麼？請問有腦嗎？？？不會再來了！蝦爆！
 許TT ,https://www.google.com/maps/contrib/109600196280526509763/reviews?hl=zh-TW,5,False,1,整個北投品質最好的早餐店！經濟實惠
 Un breakable ,https://www.google.com/maps/contrib/106069300230929000957/reviews?hl=zh-TW,1,True,67,"今早叫了外送爛到無以復加
吐司是超低品質空又鬆
和圖片不一樣不是用紙盒裝是用像鹹酥雞的紙袋送到都散了
咖啡淡而無味
100多元的東西這種品質你乾脆去搶"
 WEI-HSIANG CHO ,https://www.google.com/maps/contrib/102527289874646436508/reviews?hl=zh-TW,1,False,7,"我是常光顧致遠店QB的客人
用餐時常常會聽到店長在辱罵自己的員工罵的很難聽且有時很大聲相信用餐的客人大家都聽得到...
同為服務業員工的我聽了很難過且感到不捨希望總公司能看到我的評分並關心一下致中遠店謝謝"
 王莎莎 ,https://www.google.com/maps/contrib/107927014346427792022/reviews?hl=zh-TW,2,False,38,"今人少……出餐可以慢到真的不知道怎麼說
東西還要說怎麼還沒來
老公吃完他的我還是遲遲不來
焗烤土司而已不需要這麼久吧
連我們要走了
說我的請幫我打包
人員說把你東西拿來我幫你包
東西沒送來我拿什麼給你
連要走了還不知道東西還沒送給客人都不知道
真的覺得老闆你訓練員工真的要加把勁
連要走了東西也還沒好
你這樣速度
早上趕著上班的人是不會在你們店買早餐
打開局烤東西
真想問你們真的有烤嘛
下次不會在去了"
 Wei-Ling Kao ,https://www.google.com/maps/contrib/101805487308614116487/reviews?hl=zh-TW,1,True,43,"我連一顆星都不想給
打電話預叫站在櫃檯大概15分鐘也沒人要理
最後總算有人來了結果發現單還沒key是在哈嘍？
浪費我15分鐘是在搞笑嗎？
氣到不行"
 李國禎 ,https://www.google.com/maps/contrib/112685583991193393942/reviews?hl=zh-TW,5,False,6,"就如同其他分店一樣，品質穩定餐點好吃，環境明亮乾淨
出餐速度略慢需要改善，這可能是所有Qburger的特色吧!"
 承太郎 ,https://www.google.com/maps/contrib/106327369113701956773/reviews?hl=zh-TW,1,False,1,明明就沒有在趕卻聽到員工被催出餐太慢害我整個吃的興致都沒了，內用漢堡都包得零零散散看了很沒食慾
