user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Ann Tseng ,https://www.google.com/maps/contrib/106509631777317561702/reviews?hl=zh-TW,3,True,400,"因應疫情，戴口罩，勤洗手，保持社交距離。
2021/12/13
其實之前偶爾經過就會買他的便當，內用還是第一次。
今天點了招牌雞腿飯130元，鐵路滷排骨飯100元。
內用有附湯，飲料（今天是冬瓜茶），檸檬水。餐具自取。
飲料部分都不錯喝。
湯是白菜什錦勾芡的，還不錯喝，可惜幾近原味，我們吃的已經算清淡了，這湯~~~~~XD。
飯量足夠，配菜今天是高麗菜，豆乾炒筍絲，油菜，半顆滷蛋。調味適當，份量也很足夠。
主菜雞腿，感覺醃料味道很夠，也很酥脆，不錯吃但個人還是覺得梁社漢比較好吃，這家的香料太重了。
滷排骨很軟嫩，份量尚可。好吃。
有跟店家要了小魚乾炒蘿蔔，鹹香下飯!!
整體而言中規中矩的店家，不論口味，份量都足夠。有經過會再造訪嘗試其他口味。
順帶一提~~我們坐的桌子壞掉了，一整個搖搖晃晃的。"
 jill wang ,https://www.google.com/maps/contrib/102799982512806717062/reviews?hl=zh-TW,3,True,127,"招牌炸雞腿飯雞腿是台南甜...
我個人不習慣這個口味
酥脆度夠很多人點這樣就是了
白飯有加藜麥請老闆淋滷汁很下飯
配菜是基本款還OK
海帶味噌湯&冬瓜茶都很濃有誠意"
 White Huang ,https://www.google.com/maps/contrib/111370093719613353718/reviews?hl=zh-TW,5,True,110,"配菜新鮮、量多
白飯微軟、份量剛好
滷雞腿鮮嫩、沒有腥臭味
湯有別於其他便當店，喝得到金瓜、高麗菜、紅蘿蔔的清甜
以便當店來說表現很棒的一家店
很適合上班族或趕時間的人吃午餐
而且吃完不會有味素感👍🏻"
 JOY TSO ,https://www.google.com/maps/contrib/102290564450192714579/reviews?hl=zh-TW,5,True,208,"好吃實在的便當店，內用的湯都不馬虎！
飯還有加少許紅藜！真的太棒了👍
值得推薦"
 pp pp ,https://www.google.com/maps/contrib/105627552347466641532/reviews?hl=zh-TW,3,True,553,內用檸檬水、冬瓜茶、味噌湯喝到飽，味噌湯味道很好，主菜點了炸雞腿與鱈魚，雞腿好甜是南部口味吃不習慣，鱈魚中規中矩，配菜量很足但味道炒得不怎麼樣。
 Kent Ma ,https://www.google.com/maps/contrib/117670113311169207526/reviews?hl=zh-TW,4,True,"1,762",滷排骨跟滷雞腿還不錯，其他也還可以。整體的便當算是還不錯。豬腳是紅麴比較偏甜。
 多多林 ,https://www.google.com/maps/contrib/100630405745802623861/reviews?hl=zh-TW,5,True,27,"今天早上臨時訂購了一百五十多個便當，老闆娘二話不說立刻幫忙準備，中午前就送到，讓活動順利進行！太謝謝了！活動便當指定廠商！！讚讚

老闆娘還特地幫忙處理素的便當，非常感謝小南～～合作無間～～"
 Nicole Hsiao ,https://www.google.com/maps/contrib/110884392399860909170/reviews?hl=zh-TW,5,True,113,"雞肉好吃
雖然不懂為什麼叫浪漫炸雞😄
例湯也好喝
內用全身會有很濃的油炸味
以便當店來說，好吃！"
 doris hi ,https://www.google.com/maps/contrib/102375545139540156335/reviews?hl=zh-TW,5,False,67,一定要加辣菜脯！配菜味道都不錯，味噌湯料多香甜好喝！雞腿酥酥脆脆，好吃～
 Sammy Huang ,https://www.google.com/maps/contrib/107042137156850551629/reviews?hl=zh-TW,5,True,45,"特餐80白飯Q彈
腿排醃入味(偏鹹,就多喝開水囉)、配菜很用心、高麗菜炒香菇很香
附酸辣湯很夠味"
 江怡蒨 ,https://www.google.com/maps/contrib/114543077477013115343/reviews?hl=zh-TW,3,False,39,"之前吃過不少次，覺得調味各方面都不錯。

但這次炸排骨的厚薄度，真的有嚇到。"
 林星宇 ,https://www.google.com/maps/contrib/116941487725083207519/reviews?hl=zh-TW,5,True,463,"份量足夠，附菜也不錯
可惜今天下午一點來吃，雞腿排跟附湯已經冷了，不然真的非常好吃"
 Ruby ,https://www.google.com/maps/contrib/108987722491864487104/reviews?hl=zh-TW,3,True,428,"便當的配菜還不錯吃，只是不知道是不是放太久都有一點冷冷的，一個便當要100元但是說冷菜有一點說不過去😄，便當的白飯還不錯吃Q度剛剛好，主菜的部分是表現的還不錯，炸的酥酥脆脆的口感，肉質鮮美多汁。價位不便宜就是了。
辣菜脯配上更好吃單一定要提醒店員不然沒有一次記得給的🙄️"
 王啟恩（*流星*） ,https://www.google.com/maps/contrib/116519613076148294040/reviews?hl=zh-TW,1,True,9,死鹹又油膩，完全不知道怎麼調味的主食，秉持著不浪費食物的原則、花了兩小時勉強下嚥了，請大家下單前考慮7-11都比這更好吃。
 Cathy Lin ,https://www.google.com/maps/contrib/106076325320782318391/reviews?hl=zh-TW,5,True,66,東西好吃，服務態度優，價格親民，推👍
 4411Ahha Ahn ,https://www.google.com/maps/contrib/107463152767501732251/reviews?hl=zh-TW,5,False,1,很在地，人氣高的便當店。炸/滷雞腿/排骨都很入味，不柴。小菜也很強，台北市$110的便當已經很便宜了啊～😫便利商店的都要$90了。給小南老蘇一個讚！👍
 M377577 Max0936377577 ,https://www.google.com/maps/contrib/106144827641857118758/reviews?hl=zh-TW,1,False,49,"老闆的回答讓人不舒服。早上10:20打電話訂5個便當，還特別告知老闆娘，請外送提早11:30送到，他回覆我保證12點前一定會送到。
結果12:05還沒到。直接衝到店裡詢問，櫃檯回覆是外送員的事，與店家無關。
我再詢問是否可以現場買5個便當帶走，居然回答我，不行。
請回去繼續等遲到的外送員。
敬告電話訂餐的客人，你的中餐，有可能變晚餐"
 Faye ,https://www.google.com/maps/contrib/107273666501928768530/reviews?hl=zh-TW,3,True,49,炸類還不錯，其它普普，湯太鹹、冬瓜茶太甜，配菜有點不夠用心（來了幾次配菜幾乎都一樣）
 Ben Lin ,https://www.google.com/maps/contrib/106189148514331196941/reviews?hl=zh-TW,5,True,169,CP值超高，主食美味又多樣可選擇，蔬菜放滿，老闆娘服務親切，可先電話訂餐自取，有料熱湯和冰冬瓜茶免費，
 zih-fu lin ,https://www.google.com/maps/contrib/112648888738467707645/reviews?hl=zh-TW,5,True,29,有熱湯、飲料供享用，餐點新鮮，雞肉有淡淡的梅子香味，份量剛剛好，飯是我偏愛的有點軟黏的口感，服務人員態度很和善。推推
 Jesse Tsao ,https://www.google.com/maps/contrib/107199463415286368829/reviews?hl=zh-TW,3,True,351,平民低價便當店，環境乾淨，上菜快速。炸雞腿是招牌，紅麴豬腳味道也不差。
 風少爺 ,https://www.google.com/maps/contrib/106264224146565810010/reviews?hl=zh-TW,1,False,1,老板娘態度超差！口氣又不好！我們要休息了！你會14：00前你會吃不完！1點36分就不給内用只限外帶！差劲的服務！
 ONLY ,https://www.google.com/maps/contrib/101744820894393793732/reviews?hl=zh-TW,5,True,304,主菜的肉都不錯吃，有免費飲料，老闆親切，只是配菜會搭非蔬菜類的食物
 JUJI KYO ,https://www.google.com/maps/contrib/114776959922708332720/reviews?hl=zh-TW,1,False,10,什麼爛服務，休息時間寫兩點，一點四十進去就不接內用，以後再也不會來，全家都不會再來，朋友間也會叫他們不用來了
 郭小A ,https://www.google.com/maps/contrib/116596775915100280617/reviews?hl=zh-TW,5,True,32,浪漫炸雞好吃，內用附湯跟飲料，滿優質的用餐環境，對面有此燈亮有餅，可外帶當夜宵
 Natalie Chen ,https://www.google.com/maps/contrib/109732873027937572109/reviews?hl=zh-TW,5,True,233,滷排骨很入味，炸雞排是裹地瓜粉的那種，份量很大份，內用座位有冷氣，用餐環境乾淨舒適，餐點品項種類很多，下次想吃吃看梅子雞!
 Karen S ,https://www.google.com/maps/contrib/111838086762184765792/reviews?hl=zh-TW,2,True,129,味道不錯自己本身也外帶過蠻多次了但今天買回家吃完後才發現有蟲...下次可能不會想再去吃了QQ
 Jenny H ,https://www.google.com/maps/contrib/101647776232977860388/reviews?hl=zh-TW,5,True,300,"餐點美味(尤其是那個酥酥的雞腿,真的很好吃!)
還有附湯和飲料可以喝😋
(而且湯碗和杯子也用很漂亮的~)
老闆很親切客氣
環境乾淨整齊
覺得整間店給人感覺很用心經營👍👍"
 俊良林 ,https://www.google.com/maps/contrib/113576218846788724816/reviews?hl=zh-TW,5,True,357,"料好，菜多，肉大塊，
免費公司湯，檸檬水，冬瓜茶喝免驚"
 YH Tseng ,https://www.google.com/maps/contrib/117582171236180750165/reviews?hl=zh-TW,2,True,536,ㄜ菜是涼的感覺不是很新鮮飯的口感也普通炸雞腿也是涼溫的蠻鹹的
 高季平 ,https://www.google.com/maps/contrib/109947366251737958171/reviews?hl=zh-TW,5,True,91,"擺盤與配菜不會讓你覺得是一般的便當店
配菜不油膩與死鹹配上半顆滷蛋讓整體看起來很豐富
主菜炸雞腿皮脆肉嫩不乾柴
內用可以免費裝湯與冬瓜茶湯好喝料豐富冬瓜茶也不會像水無味環境也乾淨涼爽
整體來說雖然價格偏高但吃起來蠻值得"
 tin tin ,https://www.google.com/maps/contrib/111568285151213534949/reviews?hl=zh-TW,1,False,5,沒吃過菜飯是兩個青菜一個豆腐半顆蛋是$70的便當難道是我太久沒吃飯菜便當都是這樣？這便當我不懂也太失望！還是因為加了藜麥所以菜就比較少？
 szuhsun ,https://www.google.com/maps/contrib/114845017398106207520/reviews?hl=zh-TW,5,True,191,"好吃
如果能吃到現炸的雞腿更好"
 Shu-wen Chang ,https://www.google.com/maps/contrib/100583357888028510922/reviews?hl=zh-TW,5,True,68,太好吃了，尤其主菜意猶未盡，還有它的湯超有誠意，不是自助餐等級，一定要跟老闆要xo醬超下飯。
 Emma ,https://www.google.com/maps/contrib/112244363877714726202/reviews?hl=zh-TW,4,True,"1,136",菜色看起來好吃實際也不錯乾淨明亮招牌雞腿很有汁現炸要等一下但好吃甜甜的等待值得炸排骨也很好吃不裹粉的但不乾柴好吃
 Yen Jung Chen ,https://www.google.com/maps/contrib/115665971799787697261/reviews?hl=zh-TW,1,False,7,"這種東西是三小
你們要不要叫廚師來吃吃看？
廚師證照是用你們的雞腿換的嗎？"
 Maggie Wang ,https://www.google.com/maps/contrib/116628255633843718655/reviews?hl=zh-TW,5,False,8,餐點好，老闆也好親切，又蠻好停車的，超推
 Wang Gigi ,https://www.google.com/maps/contrib/111888859651294030040/reviews?hl=zh-TW,4,True,187,梅子雞塊好吃，剛炸好熱熱的，配蘿蔔乾十分飯，內用還有湯跟飲料可以自取，每個便當都不到100元，菜也給很多還有半顆蛋，可以吃很飽，cp值高！
 Lin Asehn ,https://www.google.com/maps/contrib/117401697657656743255/reviews?hl=zh-TW,5,True,553,出菜迅速料理好吃外帶還主動給裝湯袋子
 RS (RS) ,https://www.google.com/maps/contrib/111161384084412832842/reviews?hl=zh-TW,3,True,734,"服務不錯，內用有熱湯和涼水，以及很多蒼蠅...

便當則過譽了...主菜和白飯弄得不錯，但配菜中下
主要是內用環境還算不錯，小飯館感，不若一般便當店
如果只是外帶，附近都有更多好選項"
 Mina Su ,https://www.google.com/maps/contrib/116066605746332468555/reviews?hl=zh-TW,5,True,295,"好吃，有附湯跟飲料！不過菜常常是冷的😨吃完身上會有油煙味

付款：現金
發票：無"
 Binson Shea ,https://www.google.com/maps/contrib/108363933102607205074/reviews?hl=zh-TW,5,True,80,香酥脆好吃份量還好算不錯菜色漂亮新鮮老闆娘親切有禮貌又漂亮
