user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 GaHong Jou ,https://www.google.com/maps/contrib/103056854641191719968/reviews?hl=zh-TW,5,True,63,"早上六點就開的鵝肉攤！

鵝肉分煙燻、水煮兩種，同樣兼賣鵝腸、鵝血、鵝血糕，也有乾麵、鵝香飯等料理。

價格實惠，店面位在民宅老公寓的一樓車庫。"
 EGG ,https://www.google.com/maps/contrib/114957143530246354248/reviews?hl=zh-TW,5,True,185,"🍜乾意麵
-味道很香，吃起來就是好吃的乾麵
🦢鵝肉
-不會太柴，味道也很足夠
🧆血糕
-不錯吃的血糕
🥟乾餛飩
-跟前面菜色相比之下，遜色了一點🤏"
 愛吃飼料的雲 ,https://www.google.com/maps/contrib/108720201889276521810/reviews?hl=zh-TW,5,True,45,"優點：
1.口味鮮美，肉質軟嫩不柴不油
2.上菜速度快
3.麵量合理
4.不會一直強迫推銷你一定要點鵝肉（附近的某一間會）
5.老闆員工都很親切
6.旁邊提供洗手台，啃完肉可以洗手🤣🥩

CP值：4.5🌟

缺點：
1.室外，沒冷氣比較熱
2.停車不方便"
 Jd Cheng ,https://www.google.com/maps/contrib/111988503088888782756/reviews?hl=zh-TW,4,True,214,"第一次來，太晚了，鵝肝跟鵝胗都沒了。
鵝肉最後一份被前一個人掃光，還好有點到鵝腸，相當脆，隱約還有一點點酒香。

燙青菜到紅蔥頭香氣逼人，給青菜都加分了
油豆腐吃起來比一般吃到的要嫩👍🏼也是很棒。
下次再來買鵝肉。"
 蕭佳媛 ,https://www.google.com/maps/contrib/101541545987084354040/reviews?hl=zh-TW,5,False,21,"想到就會來吃一下的一家鵝肉店❤️
早上的溫度不論冬天夏天來吃早餐都很舒服（大概0630-0740的時間）
鵝肉不會過油整體清淡不過鹹🤤，真的好嗷嗷嗷吃，單價上老闆也不會叫價也會看幾個人吃切適當份量給你，吃的剛剛好價格又適當，真的是生活裡的小確幸☺️
祝老闆生意興隆"
 Someone C ,https://www.google.com/maps/contrib/113755383603055618823/reviews?hl=zh-TW,4,True,681,"煙燻鵝肉真的不錯肉質軟嫩、會幫忙去骨切片（但厚薄不一）鵝血湯的鵝血很大塊、也很嫩、湯頭看清爽沒負擔、比湯麵的湯頭有味道。
湯米苔目比較不推、米苔目不是真的米做的、湯頭也沒什麼鵝骨熬湯的味道、燙地瓜葉不錯、不是淋肉燥、而是有油蔥和透明的鹹水醬汁"
 曾苡睎 ,https://www.google.com/maps/contrib/103735841217292687991/reviews?hl=zh-TW,5,True,87,清甜軟嫩的鵝肉，湯頭甘醇不雜味，就連燙地瓜葉都是細心整理清脆又嫩口，讓人立刻想著下次何時要再過來
 高鴻翔 ,https://www.google.com/maps/contrib/113831339860759745598/reviews?hl=zh-TW,4,True,81,"鵝肉、湯頭味道鮮美。價格公道。
點湯意麵最好早點吃，麵條會吸湯汁。"
 和言社 のK.Y阿威啦 ,https://www.google.com/maps/contrib/113712831048892883472/reviews?hl=zh-TW,3,True,397,"每次經過，他們生意都很好。
所以特地找時間過來吃的，但說實在的不怎麼樣耶，當然我明白口味的問題是很私人的，所以我只能說順便吃吃是可以，特地來吃倒是不需要啦。"
 鍾小胖 ,https://www.google.com/maps/contrib/113932101751505610367/reviews?hl=zh-TW,5,True,21,好吃，但要早點到，我是快12點才到的，大概都是吃剩的。所以如果要嘗鮮的朋友，請一大早就來，就是早起的鳥有蟲吃，我們是早起的倫有鵝吃，點鵝肉最怕被亂喊價，這邊可以完全放心，您想吃多少的直接和老闆說，沒有壓力又好吃的鵝肉，其它小點也不錯，個人喜歡鵝血，很特殊也有點甜甜的，筍絲也很大盤，五星推推就對了，完全天母在地美食
 川正製作 ,https://www.google.com/maps/contrib/106252816708079594036/reviews?hl=zh-TW,5,True,87,"鮮甜味美處理細心物超所值服務熱情
強推：鵝珍、鵝肉、地瓜葉"
 楊小圓 ,https://www.google.com/maps/contrib/116517857315007117347/reviews?hl=zh-TW,5,False,11,"要早一點去，10點半飯類、滷豆腐就沒有了！

鵝肉湯麵味道很好但裡面的鵝肉普普，可以點一盤切的鵝肉配湯麵就好。
必點：鵝肉、鵝血（很新鮮偏甜）"
 Sean Chen ,https://www.google.com/maps/contrib/103705854130885768239/reviews?hl=zh-TW,2,True,31,是好吃，除了鵝肉以外以份量來說都很便宜！但是鵝肉就是運氣遊戲，會有整盤有切剩下的邊角料的機會！小吃店，部位本來就是不能選，有可能是我運氣不好加上快收攤。但是給客人切剩下的很不行。
 huang irene ,https://www.google.com/maps/contrib/113805428210830721749/reviews?hl=zh-TW,5,True,94,"今天第一次來
古早味乾意麵＋腸湯
米粉湯＋鵝胸切肉盤（秤重＄250，2人份）＋鵝血＋油豆腐……一共＄440。好食推薦哦！目前一、四休息"
 海王子 ,https://www.google.com/maps/contrib/109267748068962854360/reviews?hl=zh-TW,1,False,1,剛剛去吃，實在是很差的體驗，邊吃邊有聞到一股臭水溝的噁心感，清洗鵝肉的同時也發現鵝頭碰觸到地面，後來實在吃不下去了，便要店家幫忙打包小菜，沒想到店家完全不裡我，於是我再次拿剩下的東西請幫忙打包，沒想到老闆冷冷丟來一個朔膠帶，連綁的紅線都沒有，要我自己處理，實在是，換人經營之後服務天差地別
 趙志成 ,https://www.google.com/maps/contrib/107554787631010569360/reviews?hl=zh-TW,4,False,120,鵝肉品質不錯吃，服務態度熱忱親切，古早的鵝肉店，早上06:30～13:00結束營業，鵝肉要提早預約，不知去了之後是否還有……
 蘇坤源 ,https://www.google.com/maps/contrib/108932922063270147943/reviews?hl=zh-TW,3,True,70,並不像網路上說的那麼神，湯頭有點油膩，鵝肉前段撥骨撥的有點隨便，帶骨的鵝胸肉還是蠻多的，鵝胸肉不難吃，但要說好吃到哪裡也沒有吧？價錢上也算是行情價，不算便宜
 gillian kang ,https://www.google.com/maps/contrib/100817094282094086920/reviews?hl=zh-TW,5,True,31,煙燻的也軟嫩美味，價格實惠，很親切，炒鵝血加辣好好吃~~~
 PENNYKEN HUANG ,https://www.google.com/maps/contrib/111386968064124316541/reviews?hl=zh-TW,5,False,186,鵝肉、鵝胗、鵝肝……等，搭配麵類，各式小吃
 騰 ,https://www.google.com/maps/contrib/109109540108836352962/reviews?hl=zh-TW,5,True,36,"要鵝肉不要乖乖填單，排隊哦！
會被後面來的大嬸們截殺攔胡。

對乖乖排隊的客人很不友善的傳統老店。"
 黃世明 ,https://www.google.com/maps/contrib/117230644820033353317/reviews?hl=zh-TW,4,True,95,中午11：30到，幾乎沒啥鵝肉，小菜也賣完好幾項，所以要吃趁早！
 Knock Chuang ,https://www.google.com/maps/contrib/109270436665883952695/reviews?hl=zh-TW,5,True,51,好吃的鵝肉，搭配乾意麵餛飩湯，超讚！
 CG CG ,https://www.google.com/maps/contrib/110774113438406079111/reviews?hl=zh-TW,4,True,65,"不錯吃
只是現場有點混亂
內用人多
外帶一開始還沒有提供單子（不知道是不是新員工不清楚？）
後來老闆才說
牆壁上面有單子可以填

建議如果很餓
不要吃這家（電話中要看老闆心情，像今天可能太忙，就不接受電話訂單）
因為你永遠不知道你要等多久
今天就看到內用的一桌跟老闆說，不用做了…
他們要離開了

建議時間很多
不餓的人
再來吃這家

地瓜葉蠻鹹的
鵝肉還算可以雖然骨頭也蠻多
總之，可以來嚐嚐看
或是經過沒人排隊再來買吧

今天外帶等了快半小時

還是很謝謝老闆阿姨們
辛苦您們了"
