user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Hoho Chen ,https://www.google.com/maps/contrib/112601968220627970066/reviews?hl=zh-TW,4,False,6,肉質新鮮也非常鮮嫩，吃起來特別滑口，雞腿肉醃製很好，烤起來特別好吃。可惜醬料不夠多種搭配，或獨特。湯也有點鹹，只好打包。飯後甜點會讓人心情愉悅。希望店家能提供熱水茶飲，而不是只有冷飲。整體而言，CP值高還會再去。
 林涵涵 ,https://www.google.com/maps/contrib/106289862410025560604/reviews?hl=zh-TW,4,True,193,"菜單時常換內容；食材很新鮮，單點選擇多也可以選吃到飽！推薦白龍牛腹肉,原味牛肉口感很到位,其他依照您想要的點即可，配菜很多蒜片、洋蔥、海苔....海苔包肉真的超好吃！"
 米妮 ,https://www.google.com/maps/contrib/115010658930826774354/reviews?hl=zh-TW,2,True,129,"服務生很親切。但主要是覺得整體沒有很好吃,只有和牛好吃。豬肉拼盤肥肉的比例太高了,可惜沒拍下來"
 Roxanne Wu ,https://www.google.com/maps/contrib/113811827433175127129/reviews?hl=zh-TW,4,False,65,這次是單點+飲料吧。費用和吃到飽差不多，但份量適合兩人用餐
 chaoyi chen ,https://www.google.com/maps/contrib/112304636815487719850/reviews?hl=zh-TW,4,True,429,"1.甜點好吃，但吃到飽甜點只能一人一份。
2.有飲料喝到飽。
3.肉還可以，但牛肉偏肥，吃多易膩。
4.某店員點餐時臉會露出不耐煩。
5.可刷卡，同桌可分開結帳，很方便。"
 廖志通 ,https://www.google.com/maps/contrib/105661863702218285139/reviews?hl=zh-TW,1,True,574,吃燒肉點三人套餐沒10分鍾全部肉品都上來，最後連海鮮盤也上來，滿桌肉是要怎麼烤海鮮，不知道吃燒肉跟打火ㄧ樣急嗎？要服務人員晚一點再上感覺態度不悅，應該不會再去了
 林美慧 ,https://www.google.com/maps/contrib/114692944573246615033/reviews?hl=zh-TW,5,False,6,"老公公司聚餐本來看到評論心想應該服務不好
還沒進去前真的說要清座位超過預定時間大約10分才讓我們入場
因為評論等上菜要很久我們用2支手機點餐
結果今天上菜速度超快讓我們桌子ㄧ下就被塞滿也吃到吃不下
今天服務沒有其他人留言的這麼誇張
服務人員態度也都很好"
 Elaine ,https://www.google.com/maps/contrib/100843313564213960097/reviews?hl=zh-TW,1,False,17,在店內用餐感受非常不好，已經離很遠了還是聽得到笑聲，被店員阻止也不克制，能不能篩選客人素質啊！
 CHIN-YUNG LAI ,https://www.google.com/maps/contrib/100542108593255503257/reviews?hl=zh-TW,3,True,167,假日點799方案。最好吃的是甜點，黃豆粉加香草冰淇淋真的很絕配欸。肉品最好吃的是雞腿肉，很厚實，烤完很多汁。烤香菇也很好吃。醬油裡有柚子的味道，鹹甜而不膩。
 peggy Lee ,https://www.google.com/maps/contrib/106775555274454020981/reviews?hl=zh-TW,1,True,15,"我個人連一顆星都不想給，這是一個不懂變通的服務業者，因為女兒點心吃麻吉燒，但她不吃紅豆紫米，我的點心有黑糖，所以表示他們有黑糖，我便跟服務生額外要了些黑糖可以讓女兒沾，一點黑糖有值多少錢？服務生堅持不提供，這要求並不過分，做服務業太過於小氣了吧！
規矩認定的，但要隨機應變，一個小事可以增加忠實顧客，我是牛角的常客，但我決定下次不再去消費了！
一點點糖也捨不得給的小氣業者！"
