user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Terry Leu ,https://www.google.com/maps/contrib/103952594463953427689/reviews?hl=zh-TW,4,True,440,只有一層樓，內用空間不大，大約10幾個內用座位，一個廁所，外帶的人潮很多，出餐速度很快，有兩個點餐櫃台和3台自助點餐機，沒有無障礙設施，這間店舖比較適合有快速外帶的人來消費
 糾他打（咪嘎） ,https://www.google.com/maps/contrib/113055608539262016062/reviews?hl=zh-TW,1,False,17,"不知道是外送的問題，還是麥當勞的問題

玉米濃湯量過少、漢堡是扁一邊，薯條全部倒蓋在裡面，就算加上灑出來的量也好像不太對

建議點外送或現餐去士林店這間不行。"
 Leo Sun ,https://www.google.com/maps/contrib/108976992260542863530/reviews?hl=zh-TW,1,False,9,外帶單點了一份「蕈菇青蔬滿福堡」（付78元），結果回到家發現店家錯給成「青蔬滿福堡」（60元），通知店家後對方表示隔天早上補送一份「蕈菇青蔬滿福堡」給我，沒想到隔天早上送來時，再次送錯成「青蔬滿福堡」，只好再次通知店家，對方第三次才送對餐點。
 Huang Miss ,https://www.google.com/maps/contrib/116960386530231899236/reviews?hl=zh-TW,1,True,61,"再一次的消費感覺依然很差😒
內部的流程差勁櫃檯人員並沒有被告知
商品券無法感應
當著櫃檯人員兌換了*有期限*的商品券後
馬上被告知該券➡️無法使用
反正就是沒辦法用
你一個月內要把它用掉過期是你自己的事
跟他們沒關係
這間真的是遭點太多🙄️

第一很多次要內用被包成外帶今天又是
第二套餐的中薯量也太太太少了吧！跟旁邊已拆的小薯量差不了多少
第三給餐的小姐態度不算好買了一中一小的薯條只給一包蕃茄醬跟妳多要一包有必要一把抓拿了8包給我嗎？簡直莫名其妙
再來今天室內用餐真的很熱感覺沒冷氣
&薯條偏冷又軟感覺在盒子裡待了一下子才給客人"
 Fay Chang ,https://www.google.com/maps/contrib/100644243672019756547/reviews?hl=zh-TW,5,True,36,"麥當勞永遠都是一個最方便找的休息的地方
簡單吃個1+1，再多加購薯條🍟
總共$75零錢價
可以吃個小點心
再外加舒服休閒空間"
 Ruei Ruei黃子蕊 ,https://www.google.com/maps/contrib/102342769635204356417/reviews?hl=zh-TW,1,True,71,"為了原味雞翅至少罰站了快30分鐘🤬
晚間11點多時，
因為一位制服穿著像是值班經理的綁低馬尾胖胖身材的女外場不小心把我的號碼點掉
我馬上反應我的號碼被你按掉了！
她只說會在口頭喊我，
但沒有告知其他也在包外送的同事
也沒有優先幫我留原味雞翅那份！
就這樣～比我晚到點餐的都走光了
我還問了第二次我的號碼好了沒？
又要在等4分鐘？？！！

罰站到不想吃了==氣死！
我想詢問的時候，口氣也很催促
好像我不該問一樣⋯⋯😒
實在是很無言！"
 ya Ya ,https://www.google.com/maps/contrib/109633908130748935519/reviews?hl=zh-TW,3,True,32,原本的動作就不太快了，還要在餐期時間教新人，我真的是很無言！但是怕嚇到了新人，脾氣硬是忍住了😂
 鍾小胖 ,https://www.google.com/maps/contrib/113932101751505610367/reviews?hl=zh-TW,5,True,21,店不大，生意很好，大概是天母這邊沒剩幾家的麥當勞吧。開始有平板點餐，尖峰時間也有派店員協助，有空可來看看，記得要用甜心卡，有用有省喔
 LEO ,https://www.google.com/maps/contrib/115133318432646468170/reviews?hl=zh-TW,5,True,31,跑完步用app來個買一送一培果，登入發票號碼滿意度調查可以贈送點數，一舉數得。app使用體驗還是有點小小複雜，但數位行銷還是不錯👍👍👍
 王沛瀅 ,https://www.google.com/maps/contrib/104946373680218343681/reviews?hl=zh-TW,1,False,16,"叫Uber
打開一看薯條炸得一半都黑的還有奇怪的油耗味
希望品管可以再加強，不想要每次叫外送還要戰戰兢兢的像開驚喜包！
以下照片iPhone鏡頭無濾鏡"
 李政昇 ,https://www.google.com/maps/contrib/107318198281873922879/reviews?hl=zh-TW,4,True,244,目前用餐有電腦版點餐及刷卡，服務人員親切在旁說明，用餐都只能外帶，約5～10分鐘餐點即做好取餐，感覺很方便也安全衛生。
 葉夢露 ,https://www.google.com/maps/contrib/111595275401716629863/reviews?hl=zh-TW,1,False,25,"店員處理位置的方式真的很糟糕！！！

我一個人去用餐，坐了唯一的空位（2人座），左邊兩個50歲阿伯吃完超級久，對店內的滿滿人潮視而不見的聊天，右邊是外帶空整理桌。

原本慶幸自己坐到最後剩的位子，但我才剛放下餐盤，店員立刻帶了另一個中年阿伯要求我移位置到窗邊的三格個人座，但我看過去，左右兩邊都有人，中間位置擺了一個摺傘，要改去哪？坐別人大腿嗎？店員說她等等會再調，怎麼調？

而那個中年阿伯連看都不看直接放餐盤到我對面，準備要吃，連問我一聲都不問，所以要我讓給一個人用餐的阿伯？為什麼？我難道不也是用餐的人嗎？我才是先找到位置的人吧？

接著我問店員，我後面的兩人座明明已經吃完了只是離開去廁所，怎麼不換到後面，店員反回說，她找不到後面的人，然後就持續站在我旁邊。等一下不就回來了嗎？

店員沒種去叫吃完的人禮讓讓位，也不想等去廁所的人回來，也不先調出位置再請人移動，就要匆匆叫我起來讓位，到底？？？店員處理的方式很糟糕！！而且還是穿管理職的制服裙？"
 楊子賢 ,https://www.google.com/maps/contrib/118163978056647109353/reviews?hl=zh-TW,1,False,5,點外送少送一個雞塊就算了，薯條大薯來這樣是什麼意思？？
