user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Xiu Wen Huang ,https://www.google.com/maps/contrib/104495105821136665310/reviews?hl=zh-TW,3,True,179,位在錦州街的日式素食餐廳，今天點了麻婆豆腐飯跟豬排丼飯，麻婆豆腐的味道比較合胃口，豆瓣的辣味有出來，豆腐是使用火鍋豆腐，口感很軟，麻婆醬汁有勾薄芡，讓調味更依附在豆腐表面上，醬汁有加入口感清脆的高麗菜絲，讓餐點的口感層次提升，不過以這樣的餐點食材來說，價格不便宜
 燕罧 ,https://www.google.com/maps/contrib/103813716243229410603/reviews?hl=zh-TW,5,True,236,第一次來內用覺得吃起來很有家的味道😆👍剛好也看到有一家大小一起來用餐的，覺得很溫馨耶❤️
 Leo Chang ,https://www.google.com/maps/contrib/114365612393522612466/reviews?hl=zh-TW,3,True,413,"提供的湯很好喝
炒飯稍油了點，還不錯吃"
 Angela Hsu ,https://www.google.com/maps/contrib/115521320495058859060/reviews?hl=zh-TW,4,True,74,今天點的是夏威夷炒飯，份量足，內容豐富，但是我吃不出飯裏各種配料的味道，只知道是炒飯而己
 Sumi Chou ,https://www.google.com/maps/contrib/103407178869506652940/reviews?hl=zh-TW,4,True,343,"現炒蔬食及熱炒店，環境可、份量可，上菜速度還滿快（10分鐘內上），不乏是想吃蔬菜的選擇。

湯和麥茶自取，性價比還行。
主餐的口味普通，燴飯有點偏酸不太合我平常的口味。

看留言有些說炒飯、小菜/熱炒不錯，還有機會下次來再考慮點吧。

造訪日期：2020/11/1613:10"
 hsu chung an ,https://www.google.com/maps/contrib/116968382969661137086/reviews?hl=zh-TW,4,True,162,位置多舒適有像家的溫暖感覺點了豬排蓋飯甜甜的豬排咬起來有肉的感覺整體來說很好的用餐體驗
 王俊儒 ,https://www.google.com/maps/contrib/104942814838638231000/reviews?hl=zh-TW,4,True,"1,964",香椿炒飯的口感極佳，湯的部份建議店家若能將美耐皿的碗改成陶瓷碗會更好。
 chi yuan chou ,https://www.google.com/maps/contrib/105870372950890629094/reviews?hl=zh-TW,4,True,162,"這裡有很多好吃的蔬食日式丼飯、拉麵及小菜，很喜歡吃這裡的豬排丼飯、炸蝦捲丼飯及外酥內軟的“酥炸豆腐”。
蔬食者的好選擇。
位子有限，中午用餐時間人超多，需要稍微等侯。"
 Shu-Zhen Chen ,https://www.google.com/maps/contrib/117083822903898017437/reviews?hl=zh-TW,5,True,247,價格真的太佛心了！完全手工製作而且食材新鮮。手卷超棒的，花壽司超大超好吃😋每一樣都太好吃了！
 我要吃 ,https://www.google.com/maps/contrib/114821552050236186282/reviews?hl=zh-TW,5,True,51,"三訪👍🏼
三次都吃炒烏龍份量多又好吃
搭配店家自製辣椒🌶️
真的100分😋
吃素後前三名的店家！"
 張睿宬 ,https://www.google.com/maps/contrib/106438331598047481110/reviews?hl=zh-TW,5,True,269,橄欖菜炒飯非常好吃，份量不算很多，適合食量小的人，價錢大約100塊以上，小菜大概50-80不等，有附湯及麥茶
 Jeson Lee ,https://www.google.com/maps/contrib/115554813334884434903/reviews?hl=zh-TW,5,True,323,"非常可口的日式蔬食料理餐廳，雖然店面不大，但是口味非常多樣化而且價格合理，美味佳餚值得你來享用，錦州店的菜色略少，但是簡餐的配菜是熱的，調味非常可口，小菜也調味的非常道地，值得推薦，兩店各有千秋

#letsguide"
 Lydia Chang ,https://www.google.com/maps/contrib/104134232242379751208/reviews?hl=zh-TW,5,True,420,素食小菜有功夫，炒飯和咖哩飯好吃，三杯杏鮑菇也香又夠味
 yu aisingioro ,https://www.google.com/maps/contrib/109038314578745844558/reviews?hl=zh-TW,1,False,19,連筷子都捨不得給，要一個外出人怎麼用餐？不要以環保為藉口，造成人們不便，況乎我多付了錢！！
 江繼雯 ,https://www.google.com/maps/contrib/101102356295473829653/reviews?hl=zh-TW,4,True,207,桌數雖不多但餐食份量蠻多，也供應湯及茶水，店內放著輕音樂可以很平靜的享受餐點。
 Melody Lan ,https://www.google.com/maps/contrib/114639677216084856650/reviews?hl=zh-TW,4,True,329,食物好吃，人多時也可以點小菜跟熱炒，廚師功力很好，非常美味
 Jenny Liu ,https://www.google.com/maps/contrib/116895680972295061237/reviews?hl=zh-TW,3,True,109,"飯量多，女生都可以兩個人吃了，但口味普通..
炒青菜和配菜，相對有點貴..
配菜一小碟$50
炒青菜大約女生手掌大$80，上菜時我們有點驚呆了。
不過有無限供應的好喝的湯，當天唯一亮點..^^;"
 連正暉 ,https://www.google.com/maps/contrib/115465499623235219643/reviews?hl=zh-TW,5,True,142,便宜又好吃~素豬排蓋飯、蕎麥麺、炸蝦捲…都很好吃~
 林漢煌 ,https://www.google.com/maps/contrib/113648267861461950866/reviews?hl=zh-TW,5,True,458,"這裡的蔬食真的有日式的風味…
有時間請進來嚐嚐😛"
 Yum C ,https://www.google.com/maps/contrib/108907177978783682352/reviews?hl=zh-TW,5,True,37,非常好吃，吃素的我很久沒這麼滿足了，價格也公道，環境也舒服，湯，飲料都實在
 Fabio ,https://www.google.com/maps/contrib/118378239516727046681/reviews?hl=zh-TW,5,False,134,超級好吃！推薦！圖為薯排蓋飯！甜甜的！質量超高
 IMURA YANG ,https://www.google.com/maps/contrib/114525279382212501229/reviews?hl=zh-TW,5,True,18,吃蔬食朋友一個可以用餐的好地方
 kinzeksl ,https://www.google.com/maps/contrib/107877711485703385606/reviews?hl=zh-TW,4,True,"1,504",價格相宜。自助麥茶、湯，任飲。
 Shen Pei-Hsuan ,https://www.google.com/maps/contrib/111950533031345731969/reviews?hl=zh-TW,5,True,136,"東西不貴好吃有誠意
是定期會常訪的店家"
 CC蕾夢 ,https://www.google.com/maps/contrib/117107993635363276777/reviews?hl=zh-TW,5,True,438,"以這個味道.這個食材來說CP值算是很頂了,素食能做出這種濃厚的味道也是很不容易!!!"
 姨媽 ,https://www.google.com/maps/contrib/105182231799822657897/reviews?hl=zh-TW,4,True,12,味道很剛好，但點了蓋飯跟炒烏龍麵裡面放的菜都是大白菜跟小白菜為主，以一個女生素食者來說實在太寒，吃完胃都不太舒服了，希望能改變配菜……
 James Chen ,https://www.google.com/maps/contrib/109210385632344288565/reviews?hl=zh-TW,5,True,16,"來這家店吃很多年了，食物美味
山茼蒿與鐵板杏鮑菇是我的最愛

店主一家人都很客氣人超好"
 Seff Shen ,https://www.google.com/maps/contrib/108526139014651815435/reviews?hl=zh-TW,4,True,189,CP值高，吃的很飽
 May T ,https://www.google.com/maps/contrib/117575579658003643846/reviews?hl=zh-TW,3,False,36,味道偏甜，嗯沒有日式餐點感，就湯湯水水的燴煮，飯多菜少，還是比較喜歡遼寧夜市旁從前的森丼，味道差一截，可惜那家已易主了，而這家也找不回那家的美好口味
 Chen 陳I-Fei 怡妃 ,https://www.google.com/maps/contrib/114979538260886413279/reviews?hl=zh-TW,5,True,39,"素食界的美食！
口感層次豐富、食材新鮮用心～
這次點麻婆豆腐燴飯有滿滿的鮮嫩豆腐、香椿蛋焦香鮮嫩、猴頭菇麵湯頭鮮甜"
 appleworm huang ,https://www.google.com/maps/contrib/102267837670677424561/reviews?hl=zh-TW,4,True,403,現做小菜，價格實惠。紅麴炒飯大推。
 YS Lin ,https://www.google.com/maps/contrib/117713773344574530291/reviews?hl=zh-TW,4,True,378,"雖然名字有日式，但其實是台式吧
份量不算大，口味很鹹
有味噌湯和無糖綠茶可以喝"
 Liao chih-yu ,https://www.google.com/maps/contrib/108817862298534504542/reviews?hl=zh-TW,5,True,59,若單點最愛他們的日式橄欖炒飯，人多時點炒菜配白飯也很讚喔！最常點京都排古跟九層塔蛋，想到口水開始泛濫(擦)。價格平價實惠，餐點好吃，是很推薦的店家喔~
