user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 hoa le ,https://www.google.com/maps/contrib/114961713911208976864/reviews?hl=zh-TW,5,False,3,我最愛的爆米花非常好吃。冰淇淋口味很多，還有霜淇淋，可樂機。花不到200元就吃得飽飽。CP值超高。推推
 Daniel Jou ,https://www.google.com/maps/contrib/104987693871508224592/reviews?hl=zh-TW,5,True,36,"牛奶鍋的湯頭真的是太好喝了！配白飯很好吃！

滷肉汁也是很讚，可以一起跟白飯無限續

價錢很讚！剛剛好！"
 sandy ,https://www.google.com/maps/contrib/103744975044618648141/reviews?hl=zh-TW,5,True,283,"外帶牛奶鍋
只能說真的超級好吃
而且料也超多
吃的有夠撐
又吃了一次原味湯底
比較清淡一點
但配上豆瓣醬很不錯
店家還有附午後奶茶的鋁箔包
總體而言
非常地經濟實惠！
推推推！👍🏻👍🏻👍🏻👍🏻👍🏻"
 薛婷方 ,https://www.google.com/maps/contrib/111282962264186354496/reviews?hl=zh-TW,1,True,695,"剛開幕時(約4-5年前)來吃過，後來又再吃一餐，當天用餐時發現放冬粉的盒子內有蟑螂，就再也沒有去吃了。
最近想說再給他一次機會去吃，依然覺得感受很差勁，食物不好吃，滷肉飯舀起來看起來很嚇人，飲料機的蘋果汁完全沒有任何味道，然後桌上有很多隻螞蟻，以前會有的爆米花這次也沒有，醬料區的大蒜已經沒了也不補，明明才晚上六點⋯⋯"
 徐碩 ,https://www.google.com/maps/contrib/114084041148900688162/reviews?hl=zh-TW,4,True,82,"上班時間常常跟同事來吃的鍋物
東西平價好吃
還有冰淇淋冬粉爆米花可以吃☺️"
 林艾霖 ,https://www.google.com/maps/contrib/115239199310738763887/reviews?hl=zh-TW,5,True,109,在熊貓上點過餐，餐點美味，門市吃比較划算，還有霜淇淋爆米花😋
 AnnPhone Art ,https://www.google.com/maps/contrib/105073192163736668141/reviews?hl=zh-TW,5,True,33,"火鍋菜、肉(5片)、料給的很大方～
自助吧的爆米花、冰淇淋、冬粉、肉燥好吃
cp值很高、店家很有誠意了👍"
 石隆少 ,https://www.google.com/maps/contrib/116134221454477587964/reviews?hl=zh-TW,5,False,7,CP值超高的一間火鍋店，還有霜淇淋機，真的是屌打一些中階價位火鍋店👍
 Da ,https://www.google.com/maps/contrib/101639384834408374018/reviews?hl=zh-TW,1,False,26,剛開幕的時後平均一個禮拜會去1-2次，店內的辣油很香，起司牛奶鍋超好吃，但後來疫情過後再去吃，發現筷子變形，滷肉只剩汁，湯也沒味道，環境也變差，很可惜的一間店
 潘海富 ,https://www.google.com/maps/contrib/116102187489860337463/reviews?hl=zh-TW,3,True,76,"第一次來到樂香小火鍋用餐，一進門覺得用餐的算多，但是少了人情味，櫃台既然沒有人，走到廚房有一個服務人員剛好走出來，冷冷的回應說菜單在櫃台自己拿，覺得訝異！依照我以往的個性早就調頭就離開，但小腸大腸已經餓了受不了，只好坐下來吃吃看，點了羊肉牛奶鍋（升級了肉量），食材還不錯，但是東西偏少我還是沒有吃飽，只好一直狂吃店家的霜淇淋，呵呵！還有店內的食材與飲料還有咖啡機都不錯，可惜了爆米花已經沒有了沒有補，沒有吃到不知道好不好吃，環境還不錯，廁所香香的算乾淨👍，在霜淇淋旁有一個洗手槽，這設計不錯隨時都不用怕手弄髒沒地方可以清洗👍，要跟店家提的一件事情，就是飯半生不熟，本想成為下一任的【特級廚師小當家】做羊肉牛奶燉飯，就怕我做了，老闆應該要跑路了，呵呵😄，不過我還是推薦牛奶鍋愛🐮牛奶的朋友一定要點來吃😍。
2021年04月05號，第二次前來用餐，進門依舊是沒有看到服務員，走進到出餐口才看到服務員，一樣冷冷的服務態度，感覺不到有開店的感覺，就看你們是否買單了，這次點了【培根牛肉火鍋】，補上爆米花的圖片，呵呵😄！不知道該怎麼下文了XD。"
 Ceques Woo ,https://www.google.com/maps/contrib/114583204067176220606/reviews?hl=zh-TW,3,True,104,"CP值還不錯的小火鍋店，位於合江街裡面有爆米花、冰淇淋、咖啡都可以免費使用，價位上面大致上從140到200之間。
以往最有特色的是有滷肉汁可以淋在白飯上使用，但是最近幾次都沒有了，也沒有爆米花。不在意的朋友也可以繼續前往消費。"
 Sebrina Hsia ,https://www.google.com/maps/contrib/100522232444264811135/reviews?hl=zh-TW,2,True,244,不知道是什麼原因，可樂機5種飲料剩2種、冰5種口味剩2種、煎茶味道很奇怪…好像很多單點類東西都賣完了、飯看起來像隔夜飯…鍋普普
 楊承儒 ,https://www.google.com/maps/contrib/102576864046595694964/reviews?hl=zh-TW,4,True,34,杯子軟到靠北，咖啡很酸。起他還不錯，不是用那種超假沙茶醬，加分。還是覺得需要有行動支付。
 沛沛豬 ,https://www.google.com/maps/contrib/114120737071697356994/reviews?hl=zh-TW,1,False,58,點了大腸鍋，湯的味道淡如水，料也超少，吃完沒有飽足感，熊貓花了164，感覺在吃空氣，食之無味棄之可惜
 JOHN LIN ,https://www.google.com/maps/contrib/103792894640320870372/reviews?hl=zh-TW,5,False,26,每次都吃牛奶鍋非常好吃味道超級好肉燥飯是超入味又好吃的瘦肉！超級喜歡
 荒原犬拓 ,https://www.google.com/maps/contrib/103098355461244734226/reviews?hl=zh-TW,5,True,37,150上下的價位，有爆米花🍿️、飲料（汽水🥤、咖啡☕️、茶🍵）、冰淇淋🍨與霜淇淋🍦、重點是滷肉飯跟冬粉也是吃到飽，還附一顆蛋🥚，非常划算
 翁梓庭 ,https://www.google.com/maps/contrib/101665147964502133924/reviews?hl=zh-TW,5,False,3,東西很便宜牛奶鍋很讚不會膩很好吃😋
 柯男 ,https://www.google.com/maps/contrib/109087741863106924132/reviews?hl=zh-TW,2,True,280,"用餐時間竟然一位客人都沒有
甜不辣有個怪味道
食材量偏少價格卻偏高了些"
 Joanna Lin ,https://www.google.com/maps/contrib/106062647911173975405/reviews?hl=zh-TW,5,False,1,CP值很高的個人小火鍋👍149元起👍適合小資族👍
 fan in ,https://www.google.com/maps/contrib/111136338633291994855/reviews?hl=zh-TW,5,True,18,冰淇淋很好吃，鍋的口味也很不錯，還有冬粉吃到飽，很喜歡😆
 郭瀚翔 ,https://www.google.com/maps/contrib/103053414102100236792/reviews?hl=zh-TW,1,True,235,"就很普通，沒特色。
門口攤販大叔一直抽煙。"
 Louis Yang ,https://www.google.com/maps/contrib/112705791241537244395/reviews?hl=zh-TW,3,False,6,"之前常去
今天去店家說按規定不能給第二個碗
就衝著這點小里小氣的我以後不會再去吃了"
 高瑞成 ,https://www.google.com/maps/contrib/117161345473646325825/reviews?hl=zh-TW,4,False,3,麻辣鍋湯頭很普通，豬肉片肉質也普通，蛤蜊很小顆，下次會試試其他家
 胡雪莉（Shirly） ,https://www.google.com/maps/contrib/110052232699952663126/reviews?hl=zh-TW,5,True,65,好吃是因為真的吃得飽，冬粉白飯及飲料冰淇淋可以無限暢飲。
 緒里奈 ,https://www.google.com/maps/contrib/118075764130999585754/reviews?hl=zh-TW,3,False,17,"很好吃但是每次加點的都會忘記
不然就是只有一兩塊….."
 李祖賢 ,https://www.google.com/maps/contrib/100581712833137702158/reviews?hl=zh-TW,4,True,504,"藥膳鍋加肉195
味道不錯還有一顆蛋
可口可樂機無限續
聖提亞的冰無限挖
白飯冬粉無限拿

食物部分都很ok
就是店員真的蠻冷淡的
連面無表情的說聲謝謝都沒有"
 FENG LEE ,https://www.google.com/maps/contrib/102166957065199280465/reviews?hl=zh-TW,1,False,12,"爐子很髒都沒清調味區地板有死蟑螂正在被螞蟻啃吃到一半看到這個整個沒食慾
一堆蒼蠅飛來飛去
這到底是什麼用餐環境"
 01洪啓豪 ,https://www.google.com/maps/contrib/115183792013940858769/reviews?hl=zh-TW,5,True,525,環境乾淨整潔，自助吧無限使用，湯頭也很棒！好吃😋！
 cynthia ,https://www.google.com/maps/contrib/109370581134324565866/reviews?hl=zh-TW,1,False,10,超級可怕端上來一隻超級大的蟑螂，幾乎一個指節大，整個嚇傻食慾都沒有了，不知道是不是食品衛生沒有做好，後來跟服務生說，換了一鍋新的，但什麼也沒說，如果說個不好意思下次會注意之類的心情可能會好一點，用餐體驗很不好！去吃的人要小心看一下！
 HP Lin ,https://www.google.com/maps/contrib/104214022148472706173/reviews?hl=zh-TW,4,True,136,份量一個女生剛好，我食量大就吃不太飽，不過有飯跟冬粉吃到飽，冰淇淋跟飲料爆米花算是不錯的小資選擇噢
 Chiu Gary ,https://www.google.com/maps/contrib/112524365969653546309/reviews?hl=zh-TW,1,True,78,"CP值持續下降⬇️鍋物看店家心情變動💢
味素+鹽巴的湯頭…火鍋料變少就算了！
連素鍋的雞蛋也省掉！要顧客自己加點🙄️"
 hana liu ,https://www.google.com/maps/contrib/117064127202076377857/reviews?hl=zh-TW,4,True,270,內用的吃到飽自助吧還不錯，有爆米花.冬粉.滷肉飯.飲料.冰淇淋等等。
 吳大丁 ,https://www.google.com/maps/contrib/105983443105958457528/reviews?hl=zh-TW,5,False,4,好吃～火鍋種類很多～棒棒的！
