user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Rio Hou ,https://www.google.com/maps/contrib/114187639666568922071/reviews?hl=zh-TW,5,True,282,"老闆二人頭腦清楚、動作迅速、親切有朝氣。
超推蛋餅類，餅皮比一般的稍厚又脆、料多實在。
豆漿微甜，甜度調的超剛好。
卡啦雞腿堡的卡拉雞很厚實。
花生厚片是有花生顆粒的，抹醬也抹的算厚。
誤打誤撞隨便找一間吃，沒想到真材實料吃了心情好。"
 Lizzie Wa ,https://www.google.com/maps/contrib/110009636259619069056/reviews?hl=zh-TW,5,True,35,"看評論來的
這蛋餅真的太強！
漢堡也好吃
奶茶是懷念的早餐店奶茶😍
美式咖啡竟然也還可以
很驚艷的小早餐店❤️
吃了才決定評價所以沒有漂亮的照片🤣"
 Titan ,https://www.google.com/maps/contrib/112311413302937025478/reviews?hl=zh-TW,5,False,40,"真材實料最強早餐店
蛋餅紮實又酥
厚片抹醬「有夠厚」
（花生厚片竟然還吃得到花生顆粒）
還有店家超親切啦！"
 WEN-CHIEH PAN ,https://www.google.com/maps/contrib/111196300258528148814/reviews?hl=zh-TW,5,True,88,"假日偶爾都會吵著男友帶我來吃🤣
真的大推蛋餅，便宜又好吃，跟外面蛋餅皮不同，稍有厚度煎的又很酥很脆🤤CP值很高的早餐店👍老闆很熱情～～～～"
 sandy ,https://www.google.com/maps/contrib/103744975044618648141/reviews?hl=zh-TW,5,True,283,"超級超級好吃，料也非常非常實在，而且店員又親切！
一個禮拜至少吃兩三次，最喜歡的是鮪魚起司蛋餅、蔬菜起司蛋餅、薯餅起司蛋餅！
完全吃不膩🥹"
 Wei Xuan Kao ,https://www.google.com/maps/contrib/110562034101599142844/reviews?hl=zh-TW,5,True,18,八年前在這附近工作，大家禮拜六一定要一起吃這間才有心情加班，幾年後又回到這附近工作，東西還是一樣好好吃🤤，電話訂餐時小姐態度很好，老闆一樣很好笑又熱情，經營早餐店很不容易，客人容易有情緒，能保持這樣的餐飲跟服務品質值得給五星👍🏻（本來想放我點的鮪魚蛋吐司，但來不及拍就吃完了😂）
 Rock Wen ,https://www.google.com/maps/contrib/105677061832184284443/reviews?hl=zh-TW,4,True,237,鮪魚起士蛋餅非常好吃，店員動作非常快，奶茶味道偏淡扣了一顆星
 闕念祖 ,https://www.google.com/maps/contrib/108538556159277637805/reviews?hl=zh-TW,4,True,"1,080",除了蔥抓餅焦掉口感欠佳外其它都不錯。
 任鋋廣 ,https://www.google.com/maps/contrib/118098411673375861090/reviews?hl=zh-TW,5,True,187,啊～三八兄弟啦，幹嘛不第一次就叫我（該不會是我們小時候不好吧😅），今天相認我真的很開心，應該說與有榮焉吧，難怪你的評分那麼高，因為我記得小時候你就是個很勤奮的人，總是充滿幹勁、正面、積極，看到你現在依舊如此，店開得這麼成功，和客人、鄰居互動熱絡，衷心替你感到高興，祝福你生意永遠都這麼興隆！！！
 Je. Chan ,https://www.google.com/maps/contrib/103535889458369340516/reviews?hl=zh-TW,4,True,151,老闆很熱情，內用空間比較狹小比較不方便，蔥抓餅好吃~蛋餅一般般。
 すべての美しさを共有するように ,https://www.google.com/maps/contrib/108050256038914044784/reviews?hl=zh-TW,3,True,266,"服務態度尚可！
餐點還不錯吃～
奶茶跟一般連鎖的店家飲料一樣味道...

只是，內用店家順序搞錯～
內用要等7分鐘左右，現場加我才3組客人...
比我晚到的，「先上餐」一樣是點起司蛋餅...
多了玉米要等比較久一點（詢問店員說的）

（這感覺不是很好！請店家多注意）

P.s餐點要特別跟店家說：「不要烤焦！」"
 張皓翔 ,https://www.google.com/maps/contrib/107771608496684388516/reviews?hl=zh-TW,5,False,7,"單位附近超好吃早餐店！！
老闆人也很親切～"
 Often ,https://www.google.com/maps/contrib/114925020971860659272/reviews?hl=zh-TW,4,True,698,"看到Google評價蠻高前往
但點了鮪魚堡覺得味道還好，
鮪魚堡中好像有加像凱撒醬的醬？
還算特別，但細看評論之後才發現
好像酥脆的蛋餅才是重點
（自製口味？）之類的
另外，店家的服務態度很好
下次再來造訪"
 Yi-Hsuan Lin ,https://www.google.com/maps/contrib/112848710740198609636/reviews?hl=zh-TW,5,True,64,鮪魚起司+起司條（感覺是Costco的）+黑咖啡=110元，辣椒味道不錯！東西好吃，價錢不貴，三位工作人員都是靈魂人物，對彼此、對客人態度都很好，值得再來！
 Huan chen ,https://www.google.com/maps/contrib/106905251278484666179/reviews?hl=zh-TW,4,True,98,"2018.10.13
今天吃了鮪魚蛋堡，裡面有一個特殊的味道（我猜是麻油），很意外的驚喜、很搭呢！
只有三人的廚房，上菜速度快且精準。
價格平價，東西好吃，熱紅茶算是微糖，好喝順口，下回再來嘗試大家都推薦的蛋餅😛"
 YUE CHEN LIAO ,https://www.google.com/maps/contrib/110308778454909096687/reviews?hl=zh-TW,5,True,122,空間不大，但老闆們都很親切有趣。內用吃早餐很放鬆，蛋餅真的很推薦，跟一般在外面吃到的蛋餅很不一樣，再搭配有點像辣油的醬，好吃！
 Polina Yang ,https://www.google.com/maps/contrib/107932100934117654803/reviews?hl=zh-TW,5,False,12,真❤️愛蔬菜起司蛋餅！蛋餅選擇多樣，任何人人都可以找到自己鍾愛的口味～蘿蔔糕加蛋、辣雞漢堡連續買一星期還吃不膩😋感謝價位佛心，還有老闆很會認人耶！
 Kyle Chen ,https://www.google.com/maps/contrib/114238951430428418381/reviews?hl=zh-TW,5,False,10,沒有高級豪華的店內裝潢，卻有輾壓附近幾家早餐店的食物。蛋餅、鐵板麵，很猛。
 珊 ,https://www.google.com/maps/contrib/104098214165031166571/reviews?hl=zh-TW,3,True,196,肉蛋吐司的肉炸太老，而且還煎到焦掉很多地方!竟然把焦掉的粘在背面，害我吃到味道怪怪的才發現!
 Candy ,https://www.google.com/maps/contrib/102253772010356244498/reviews?hl=zh-TW,5,True,325,老闆很熱情，蛋餅煎得很酥脆是我個人喜好的，會有點焦焦，但是現在吃比較養身就偶爾去買，因為比較油，而且我又要加超多辣椒，鮮奶茶我覺得非常好喝，拿鐵也不錯👍
 米粒媽's millymami ,https://www.google.com/maps/contrib/102220703850831459126/reviews?hl=zh-TW,5,False,18,"就在今天！玉米起司蛋餅+蘑菇麵+雞塊+自家豬排漢堡+奶茶
完全不雷～～～推
老闆人很好非常好👍"
 MAN-LING TSENG ,https://www.google.com/maps/contrib/106544859415001451742/reviews?hl=zh-TW,5,True,35,蛋餅很酥，老闆親切
 鄭小四 ,https://www.google.com/maps/contrib/103687403068244809946/reviews?hl=zh-TW,5,True,250,"能吃辣的推薦辣椒（淺色的）
不太能吃辣但愛吃香推薦深色的辣油
老闆很好笑
不要問他好不好吃
哈哈哈哈哈哈哈"
 Haddy Chen ,https://www.google.com/maps/contrib/100722448185446921542/reviews?hl=zh-TW,4,True,108,"肉蛋吐司：
肉是炸的，私心還是希望用煎的，
可能我對速食店以外的炸油都有疑慮，
吐司沒有生菜，
不過沒什麼美乃滋吃起來也算清爽。

紅茶：微甜的大人口味，甜度順口，還不錯"
 王暐婷 ,https://www.google.com/maps/contrib/112804099172920365572/reviews?hl=zh-TW,5,False,21,蛋餅好吃，老闆熱情
 彭敬媛 ,https://www.google.com/maps/contrib/107220957492803171261/reviews?hl=zh-TW,5,True,14,"這樣一杯這麼漂亮又好喝的特調咖啡，只要30元
老闆熱情親切，物超所值"
 馬騰 ,https://www.google.com/maps/contrib/104274709450368459358/reviews?hl=zh-TW,5,True,24,自製酒醋豬排值得我騎20分來吃，我只推薦好的事物
 ALLEN mos ,https://www.google.com/maps/contrib/117063574308029504933/reviews?hl=zh-TW,5,True,39,蛋餅超好吃：）
 Kitty Huang ,https://www.google.com/maps/contrib/110706826214100353761/reviews?hl=zh-TW,5,False,21,天啊有點厲害喔速度快又好吃
 Leo Wu ,https://www.google.com/maps/contrib/100055166089651850207/reviews?hl=zh-TW,5,False,3,鮪魚蛋餅超好吃
 Lilian Chen ,https://www.google.com/maps/contrib/108879254207493442504/reviews?hl=zh-TW,4,True,230,蛋餅皮脆好吃老闆用心招呼客人
 Iris Chen ,https://www.google.com/maps/contrib/104153419917231461970/reviews?hl=zh-TW,5,True,167,"蛋餅份量蠻多
女生吃一份就差不多了
泰蝦起司蛋餅很特別
蝦餅+起司+泰式甜辣醬
意外非常好吃"
 incautious Tsai ,https://www.google.com/maps/contrib/105044589672639036780/reviews?hl=zh-TW,5,True,361,"便宜實惠、服務週到、美味多樣的西式早午餐店！

總匯吐司，貼心的切成兩份，並且用袋子裝好，吃起來很方便，不會掉得滿桌都是，用料新鮮、豐富，一看就比一般早餐店的來得大，而且非常好吃；蘿蔔糕，煎得剛剛好，表皮很酥脆，吃起來也不會太粉；薯餅，也煎得很恰當；原味蛋餅，蛋餅皮比一般台式早餐店的蛋餅皮還要酥脆，口感不同，也不會太油。

店家生意非常好，不多的座位總是坐滿客人，服務態度非常親切，生意太好所以外帶內用大概都要稍等一下，菜單上的品項非常多樣，不怕單調，很值得推薦的早午餐店！"
 黃詩婷 ,https://www.google.com/maps/contrib/109377131711922190309/reviews?hl=zh-TW,4,False,4,不錯吃但如果老闆能把口罩戴好會比較想去～（老闆口罩都戴在下巴）
 Sonia Tseng ,https://www.google.com/maps/contrib/114207904186138060119/reviews?hl=zh-TW,5,True,57,老闆很親切且很有朝氣我每次必點‘’蔬菜起士蛋餅‘’他的起士吃起來微甜加上蛋餅餅皮酥酥的還有蔬菜的脆甜簡直人間美味
 Lin Wilson ,https://www.google.com/maps/contrib/111590077432493401376/reviews?hl=zh-TW,5,True,105,每次來都能感受到店員滿滿的活力，而且店員們都很年輕，態度也相當棒，食材真的都很好吃，最喜歡蛋餅系列的，因為跟一般蛋餅大不同，餅皮很酥脆，推薦大家來嚐嚐。
 Lance Liu (Lance) ,https://www.google.com/maps/contrib/103559272304280301935/reviews?hl=zh-TW,5,True,30,"漢堡三明治都直接有包含蛋，可以說是在當地cp值很高的店了
食物的味道也很不錯，還會再去買"
 林琦臻 ,https://www.google.com/maps/contrib/109718788049021010628/reviews?hl=zh-TW,5,True,112,"蛋餅皮薄又酥
有點像乳酪餅
份量蠻大的選擇又多超級好吃！"
 CHANTAL LIAO ,https://www.google.com/maps/contrib/116389885496161504646/reviews?hl=zh-TW,5,True,13,"去過不下50間的早餐店，但只有覓寶食是去超過50次的
（不過我覺得應該有超過150次）
✔️老闆、店員服務態度都很熱情❤️
（之前店員看我買麥片還說她家有兩盒要不要分我一盒）
✔️價錢便宜！
✔️選擇很多（我一餐都會點個兩三樣）
✔️東西都很好吃，蛋餅很酥"
 Cake Dan ,https://www.google.com/maps/contrib/112924788326734710992/reviews?hl=zh-TW,4,True,644,"他們肉蛋吐司的吐司是軟的完全沒烤過，如果要烤，必須事先點餐時說，份量略小，肉超薄，我吃過別間能吃飽，但這份吃不飽@@”
下次去還是點其他基本款好了。"
 Howard Lee ,https://www.google.com/maps/contrib/107765111864479667947/reviews?hl=zh-TW,4,True,45,"味道不錯服務人員也都客氣我點了兩個份蛋餅(迷迭香雞排以及魚排)外帶等了將近15分鐘.這是禮拜天早上的時候.不知道是否是我點的東西比較難做導致時間比較久,如果店家能夠稍微解釋一下我會很樂意把四星補為五星."
 Hsiaowen Liu ,https://www.google.com/maps/contrib/112154061540257750363/reviews?hl=zh-TW,1,False,5,剛剛去點了莎莎蛋餅，店員告知裡面不會有番茄片，改以黃瓜代替。如果是蕃茄價格變貴了，我可以理解，但買完之後帶到公司發現，裡面只有夾蛋和青菜和莎莎醬，連黃瓜都沒看見，非常單薄。本來還蠻喜歡這家早餐店的，可能會有好一陣子都不想再去了。
 C EVA ,https://www.google.com/maps/contrib/108849983792320556239/reviews?hl=zh-TW,2,False,8,老闆每次都會打招呼，東西很好吃，只是買了大杯溫紅茶開水就加了一半而已，不知道這樣是不是可以讓紅茶更好喝，其他我都覺得完美
 Maruko チン.C ,https://www.google.com/maps/contrib/101672364565015082177/reviews?hl=zh-TW,5,True,667,起司薯餅蛋餅好吃👍
 Antonio Ku ,https://www.google.com/maps/contrib/103508770811291598955/reviews?hl=zh-TW,4,True,39,老闆有元氣的招呼，吃完早餐也會變得很元気ゲンキ。奶茶的確甜了一點。蛋餅皮好吃。
 賴瀚儒 ,https://www.google.com/maps/contrib/110223612688177779064/reviews?hl=zh-TW,5,False,3,蔬菜起司蛋餅很好吃老闆很親切
 維多皙 ,https://www.google.com/maps/contrib/103284486674165509821/reviews?hl=zh-TW,2,False,13,"我常來吃服務也不錯
但這次真的太誇張
點了薯餅蛋吐司等了20分鐘沒有開始動手做的意思
去問他單子根本沒看到我的不知道被丟去哪
比我晚來的阿姨也點薯餅都早做完拿走了
埃...."
 貝塔 ,https://www.google.com/maps/contrib/107592177980504165355/reviews?hl=zh-TW,5,True,32,"薯餅起司蛋餅+醬+辣椒
不論在口感或是口味上
都可以稱作是人間美味
不論吃了多高級餐點
都不免俗的會想回來吃"
 章曉豪 ,https://www.google.com/maps/contrib/103951173005788445058/reviews?hl=zh-TW,5,True,342,火腿蛋吐司加起士好吃，生菜超多，另外，老闆記憶力超好，只要去過幾次老問就記得你要吃什麼！態度也很好！
 高小嵐 ,https://www.google.com/maps/contrib/117320143309524136063/reviews?hl=zh-TW,5,True,16,"蔬菜起司蛋餅好吃，沾點辣椒更棒
老闆很親切👍"
 何柏賢 ,https://www.google.com/maps/contrib/102808679804563735482/reviews?hl=zh-TW,5,True,42,"長得很像美而美的早餐店，用餐區不大，老闆很年輕，動作不快，東西有一定品質，去幾次就會被記住。
很趕時間的客人請考慮去別家。"
 Anita ,https://www.google.com/maps/contrib/113749599055364389228/reviews?hl=zh-TW,1,False,2,火腿起士蛋餅不加醬就太鹹，烤鮪魚蛋吐司沙拉醬拌太厚，多吃很膩口。
 Ricky Chuang ,https://www.google.com/maps/contrib/110984571528212956039/reviews?hl=zh-TW,5,True,167,超好吃的，蛋餅外酥內嫩，豬排堡多汁超香，老闆人很棒，店員更棒~
 Shun-Chia Hsu ,https://www.google.com/maps/contrib/116627344337954500369/reviews?hl=zh-TW,5,True,55,店員有朝氣，服務很棒。仔細聽居然在放古典樂🤣吃過豬排起司蛋和莎莎蛋餅，都很好吃！
 陳建希 ,https://www.google.com/maps/contrib/118060315562600180726/reviews?hl=zh-TW,5,True,15,老闆態度很好親切，大推蛋餅與蘿蔔糕，幾乎沒有雷來吃就對啦!
 Kendi Lin ,https://www.google.com/maps/contrib/113825477659623122368/reviews?hl=zh-TW,5,True,24,自從老闆開業來吃到現在，沒有一家早餐店可以匹敵，份量足又便宜，CP值超高的小早餐店👍🏻👍🏻👍🏻
 Nolico Chang ,https://www.google.com/maps/contrib/109499978693271055813/reviews?hl=zh-TW,5,True,57,老闆永遠都活力充沛有朝氣員工也棒蛋餅最好吃酥酥香香的是我每次必點
 eienni lin ,https://www.google.com/maps/contrib/107368296119822484084/reviews?hl=zh-TW,3,True,361,蛋餅和蘿蔔糕還可以，但自家蛋肉吐司的肉薄又乾，紅茶有點甜
 evaeva fan ,https://www.google.com/maps/contrib/111049496838735185596/reviews?hl=zh-TW,5,False,1,老闆很親切！蛋餅很特別！別家吃不到的喔！
 ELINANANA ,https://www.google.com/maps/contrib/106722946396470431006/reviews?hl=zh-TW,5,True,39,附近最好吃的早餐店❤️蛋餅很厚～～
 陳映廷 ,https://www.google.com/maps/contrib/114257643365602048182/reviews?hl=zh-TW,4,True,131,蛋餅皮很推，鮪魚太過美乃滋了吃不太到原味。
 大頭海水愛好者 ,https://www.google.com/maps/contrib/111159184147004640043/reviews?hl=zh-TW,5,False,704,老闆人親切，口味好吃，大推蛋餅吃起來有抓餅的fu
 Lee YYI ,https://www.google.com/maps/contrib/118409004982937966103/reviews?hl=zh-TW,5,True,56,搬離這附近之後就再也找不到好吃的早餐了特別跑回來留言嗚嗚
 Charlie Jin ,https://www.google.com/maps/contrib/109717480919692527282/reviews?hl=zh-TW,5,True,44,蛋餅好吃，推茄汁義大利麵，老闆人很親切！
 F F ,https://www.google.com/maps/contrib/110268714649153594037/reviews?hl=zh-TW,5,True,57,"喜歡吃脆脆的蛋餅皮就必須來這家吃。
火腿起司玉米
薯餅起司"
 Steve Hsieh ,https://www.google.com/maps/contrib/117784366235737364728/reviews?hl=zh-TW,4,True,436,蛋餅好吃，口味特別，老闆親切（禮拜天休息喔）
 Arielle ,https://www.google.com/maps/contrib/113096630575501503594/reviews?hl=zh-TW,5,False,19,"是本區最好吃的早餐店!!!!
附近雖有很多家早餐店
但相較之下這家最好吃又不太貴~
而且辣醬也非常夠味!!!!"
 陳柏翰 ,https://www.google.com/maps/contrib/110334964214231819254/reviews?hl=zh-TW,5,True,31,"第一次去體驗了，
網友推薦的店員的親切與熱情，
餐點吃的出用心與創新～
下次再去點看看其他的～"
 蔡竣傑 ,https://www.google.com/maps/contrib/113950613000492811560/reviews?hl=zh-TW,4,True,452,"蛋餅皮酥脆
番茄麵不符合我的口味
還會再來"
 小葉 ,https://www.google.com/maps/contrib/117725709462155761124/reviews?hl=zh-TW,4,True,126,"推蛋餅👍自家醃製豬肉也不錯
老闆人也很好"
 Yu Hao ,https://www.google.com/maps/contrib/114696103503641847237/reviews?hl=zh-TW,5,True,27,"蛋餅配辣椒無敵！！
老闆親切價格便宜🥳"
 Peter Tsai ,https://www.google.com/maps/contrib/101192720080282999890/reviews?hl=zh-TW,5,True,11,蛋餅皮特別，配合特殊口味辣椒醬很好吃
 Brian Pan ,https://www.google.com/maps/contrib/116075343953187719637/reviews?hl=zh-TW,5,True,65,"老闆很nice
一早能吃到平價好吃的早餐真的太幸福啦！！！！"
 Stark ,https://www.google.com/maps/contrib/103380199135873619120/reviews?hl=zh-TW,3,False,195,第2次吃蛋餅，餅皮有些濕軟，不如第一次嚐鮮時脆😮
 Fan-Chiang Jane ,https://www.google.com/maps/contrib/118137125525491204451/reviews?hl=zh-TW,5,True,26,蛋餅很好吃，比一般早餐店的料飽滿一些
 李孟正 ,https://www.google.com/maps/contrib/110572718413905762843/reviews?hl=zh-TW,5,True,35,老闆親切，而且只要買過幾次就會清楚知道你要什麼
 Ivan Lin ,https://www.google.com/maps/contrib/107899143761213477327/reviews?hl=zh-TW,5,False,7,自製辣椒香又好吃
 陳品聿Edward ,https://www.google.com/maps/contrib/116205594586664040375/reviews?hl=zh-TW,5,True,21,超好吃的蛋餅做的比別家酥很多
 I-LI WANG ,https://www.google.com/maps/contrib/118000245306385079668/reviews?hl=zh-TW,5,True,65,蛋餅酥脆配上辣椒醬絕妙滋味
 nick tzeng ,https://www.google.com/maps/contrib/111721328377836996820/reviews?hl=zh-TW,5,False,3,每次去看到老闆就會想到用九的兩金～超有趣～
 yaya Chang ,https://www.google.com/maps/contrib/105817454390245908293/reviews?hl=zh-TW,5,True,90,薯餅蛋餅好吃，店家態度很好
 XX X ,https://www.google.com/maps/contrib/106517815291275342334/reviews?hl=zh-TW,5,True,3,鮪魚蛋餅超讚
 WEIZHI WENG ,https://www.google.com/maps/contrib/108076688533616926332/reviews?hl=zh-TW,5,False,2,經濟實惠，老闆很帥
 Cindy Hsieh ,https://www.google.com/maps/contrib/113644308598962746594/reviews?hl=zh-TW,4,True,114,蛋餅皮乾乾的，鮮奶紅茶不錯
 Yunghsin Hou ,https://www.google.com/maps/contrib/115844284028332938457/reviews?hl=zh-TW,4,True,24,蛋餅很好吃口感很特殊
 chao ,https://www.google.com/maps/contrib/109619949098986196498/reviews?hl=zh-TW,4,True,91,豬排三明治好吃，但價格不便宜！
 黃靖軒 ,https://www.google.com/maps/contrib/116411425145899254749/reviews?hl=zh-TW,5,True,88,東西好吃價格合理老闆很有朝氣
 徐光岳 ,https://www.google.com/maps/contrib/101937054259726058778/reviews?hl=zh-TW,5,True,23,老闆換了新的咖啡機，味道又更好了^_^
 Chun-Kit Ng (NCK) ,https://www.google.com/maps/contrib/107474704683163572723/reviews?hl=zh-TW,4,True,302,很好吃！只是排煙設備不太好
 蔡濬宇 ,https://www.google.com/maps/contrib/111571418168811788290/reviews?hl=zh-TW,5,True,44,好吃喔加辣椒醬更特別
 Archer Kao ,https://www.google.com/maps/contrib/108785731279319938498/reviews?hl=zh-TW,5,False,5,牽絲蛋餅再加起司好吃
 JUnior LIao ,https://www.google.com/maps/contrib/103538663939361593749/reviews?hl=zh-TW,5,False,17,"老闆親戚
東西好吃
價格合理"
 Barry Ding ,https://www.google.com/maps/contrib/110328050788736203360/reviews?hl=zh-TW,5,True,82,超推蛋餅！外酥內脆
 wayne ren ,https://www.google.com/maps/contrib/103589473517213378410/reviews?hl=zh-TW,5,False,12,方圓2公里內應該這家最好吃
 dimple chiang ,https://www.google.com/maps/contrib/100772090878884903012/reviews?hl=zh-TW,5,True,124,老闆很重視衛生，東西很好吃
 Gary Shih ,https://www.google.com/maps/contrib/111123780841997346732/reviews?hl=zh-TW,3,True,278,"早午餐的好地方,平日常常來光顧"
 龍眼樹 ,https://www.google.com/maps/contrib/100907052337084432539/reviews?hl=zh-TW,5,False,6,餐點好吃環境舒適服務親切
 蔡皓哲 ,https://www.google.com/maps/contrib/103132306513513999534/reviews?hl=zh-TW,5,False,4,老闆很親切東西很好吃
 施炳光 ,https://www.google.com/maps/contrib/113487092812194691095/reviews?hl=zh-TW,5,True,46,餐點好吃！
 Benny Lin ,https://www.google.com/maps/contrib/108215967997424722922/reviews?hl=zh-TW,4,True,29,老闆人很好，便宜又好吃。
 Tomorrow CU ,https://www.google.com/maps/contrib/113539566816239350248/reviews?hl=zh-TW,4,True,697,口味還行，生意好好
 james wang ,https://www.google.com/maps/contrib/100653534876935824450/reviews?hl=zh-TW,5,True,438,便宜好吃，老闆親切。
 melvin chen ,https://www.google.com/maps/contrib/100756909997988473402/reviews?hl=zh-TW,4,True,588,好早餐，不吃嗎？
 林傳 ,https://www.google.com/maps/contrib/110652993760384658951/reviews?hl=zh-TW,3,True,91,老闆接待親切、記性超強。
 魏華 ,https://www.google.com/maps/contrib/106415529597759599489/reviews?hl=zh-TW,5,False,4,蛋餅非常好吃！！！
 Eric Lin ,https://www.google.com/maps/contrib/102405411059300425081/reviews?hl=zh-TW,5,False,14,這一帶最強的早餐店
 馮翔揚 ,https://www.google.com/maps/contrib/107337122227808335166/reviews?hl=zh-TW,5,True,32,老闆親切，食物好吃
 石大 ,https://www.google.com/maps/contrib/102515290373270497132/reviews?hl=zh-TW,4,True,21,蛋餅好吃喔
 吳家儀 ,https://www.google.com/maps/contrib/104203725062530540521/reviews?hl=zh-TW,5,True,173,好吃價格又不貴
 李威漢 ,https://www.google.com/maps/contrib/109565778525624820823/reviews?hl=zh-TW,4,True,48,蛋餅很不錯
 張丞駿 ,https://www.google.com/maps/contrib/117209794712353315384/reviews?hl=zh-TW,5,True,19,蛋餅很可以
 wang laccy ,https://www.google.com/maps/contrib/105667716894548954460/reviews?hl=zh-TW,5,True,60,蛋餅很特別
 WaWa Yu ,https://www.google.com/maps/contrib/105160456036726355429/reviews?hl=zh-TW,5,True,35,好吃，服務好
 Jyunde Wu ,https://www.google.com/maps/contrib/100159859989971687318/reviews?hl=zh-TW,5,True,336,不錯
 jojonbagel ,https://www.google.com/maps/contrib/108569652522141125925/reviews?hl=zh-TW,2,True,295,好鹹
 Cherry Lin ,https://www.google.com/maps/contrib/103987528730152680372/reviews?hl=zh-TW,4,True,435,脆皮蛋餅
 謝劉代茹 ,https://www.google.com/maps/contrib/106143407843257854772/reviews?hl=zh-TW,5,True,12,大推蛋餅
 Elaine Chu ,https://www.google.com/maps/contrib/109880862777622327505/reviews?hl=zh-TW,5,True,20,餐點好吃
 Chih Yu Chen ,https://www.google.com/maps/contrib/109797893410117353555/reviews?hl=zh-TW,5,True,127,老闆超麻吉
 T David ,https://www.google.com/maps/contrib/116870190446382091647/reviews?hl=zh-TW,5,False,3,讚讚讚！
 Rogier ,https://www.google.com/maps/contrib/107740588129791390358/reviews?hl=zh-TW,5,False,7,"(由Google提供翻譯)很棒的早餐地點，價格合理。強烈推薦煎蛋和漢堡。

(原始評論)
Greatbreakfastplacewithdecentprice.Highlyrecommendtheomeletteandtheburger."
 Morgan Bagshaw ,https://www.google.com/maps/contrib/117467685456354612381/reviews?hl=zh-TW,5,False,4,"(由Google提供翻譯)這項服務快速而友好，只有一名工作人員會帶您瀏覽英語菜單。奶茶的奶油非常好，煎蛋餅有點油膩，但是非常好吃，雞肉三明治是💯。非常值得一遊！

(原始評論)
Theserviceisfast&friendlywithonestaffmemberwhowillwalkyouthroughthemenuinEnglish.Themilkteaiswonderfullycreamy,theomelettesarealittlegreasybutverytastyandthechickensandwichis💯.Wellworththevisit!"
 Matt Buckley ,https://www.google.com/maps/contrib/116515181491232561687/reviews?hl=zh-TW,5,False,12,"(由Google提供翻譯)美味的食物和美味的奶茶！一位同事英語說得很好，在我訂購時非常有幫助。我絕對推薦這個地方享用快捷美味的早餐。

(原始評論)
Excellentfoodandyummymilktea!OnefellowspeaksEnglishwellandwasveryhelpfulwhenIwasordering.Idefinitelyrecommendthisplaceforaquickandeasyandtastybreakfast."
 York Tseng (YA夫婦旅遊手札) ,https://www.google.com/maps/contrib/112505117440652604016/reviews?hl=zh-TW,5,False,5,方便好吃
 L E ,https://www.google.com/maps/contrib/118079244254725311222/reviews?hl=zh-TW,5,False,49,老闆好有元氣😁😁
 柯蔓蒂 ,https://www.google.com/maps/contrib/108321266531020447402/reviews?hl=zh-TW,5,True,56,好吃
 Enzo Guo ,https://www.google.com/maps/contrib/103888048812234494132/reviews?hl=zh-TW,5,False,17,好吃
 bohan tsuei ,https://www.google.com/maps/contrib/102687884994054731126/reviews?hl=zh-TW,5,False,2,好吃划算！
 花澤 ,https://www.google.com/maps/contrib/106751842413795870904/reviews?hl=zh-TW,5,False,20,"(由Google提供翻譯)讚讚贊

(原始評論)
讚讚讚"
 C.W. Lin ,https://www.google.com/maps/contrib/117568314784890806665/reviews?hl=zh-TW,4,True,46,好吃!
