user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 lita Pan ,https://www.google.com/maps/contrib/111089894245372115797/reviews?hl=zh-TW,3,True,"2,410","🍗💰7️⃣0️⃣
本想帶份便當，可惜太晚去了，配菜種類所剩不多，下次有機會再光顧，再依口味增減✨️數"
 賴皮豬 ,https://www.google.com/maps/contrib/110915845595015909866/reviews?hl=zh-TW,5,True,33,之前因為工作的關係每天中午都在這用餐而與老闆娘熟識菜色方面都是家常料理價格經濟實惠且有湯品供人食用讓我一直念念不忘的就是糯米椒炒豆乾跟順福招牌菜醬油蛋雖然現在久久去一次老闆娘還是記得我讓我感到很窩心
 Emilia Chang ,https://www.google.com/maps/contrib/100069602860339647257/reviews?hl=zh-TW,4,False,9,"好吃、種類多、店裡的人員親切有禮
很喜歡來這邊！
但給四顆星是因為偶爾看到老闆娘徒手抓掉出來的菜放回盤子裡，這點比較不衛生，希望店家如果可以改善就更完美了👍"
 張Mountain ,https://www.google.com/maps/contrib/108821934218994357247/reviews?hl=zh-TW,3,True,31,口味不差，菜色算齊全，環境也算乾淨，但就是比較貴，come值不高，要來吃飯記得多帶銀子💰！
 Scott Chang ,https://www.google.com/maps/contrib/108419880648612644069/reviews?hl=zh-TW,5,True,60,菜好吃炸排骨多汁價格普通
 邱月如 ,https://www.google.com/maps/contrib/115309963426080057729/reviews?hl=zh-TW,4,False,27,順福飯店是一家有良心的餐廳，一般自助餐，菜色豐富多元，價格普通，會適當反應菜價，菜的品質多年以來，一直都沒有改變，好吃，尤其是白飯，不會太硬也不會太軟，好消化，湯的部分是免費的，有機會可以來吃看看。
 Claire Lin ,https://www.google.com/maps/contrib/114261800525921443780/reviews?hl=zh-TW,1,False,5,排骨便當的排骨小到不行，比牙線盒還小，很不老實，給了兩次機會一樣讓人失望，很“摳”！
 Jasmine Ke ,https://www.google.com/maps/contrib/115519999429909498646/reviews?hl=zh-TW,5,False,3,"中山區最好吃自助餐當之無愧
食材新鮮料理美味價錢公道
老闆娘親切每次去都有種回家的感覺❤️
美味推薦菜色
炒蛋豆乾炒筍
絕佳美味😍😍😍😍"
 山海幸 ,https://www.google.com/maps/contrib/111264779510868634529/reviews?hl=zh-TW,3,False,493,"老闆太忙了忘了我的飯也遲遲沒給我算錢等很久才開始吃
自助餐台子上確寫著飯店不過生意很好還不錯吃"
 Frank Chang ,https://www.google.com/maps/contrib/118388159502571592672/reviews?hl=zh-TW,2,False,329,排骨飯的排骨很小塊而且炸得太乾，雞排飯的雞排吃起來是50元便當一樣口味的雞排，這樣價格來說，這兩個主菜真的很不OK，這家自助餐的有點是配菜種類比較多可以選，但是口味跟份量都不會讓我想再光顧
