user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Liu Chun Ian (Yanyiyi) ,https://www.google.com/maps/contrib/109518313065793840886/reviews?hl=zh-TW,5,True,99,有別於傳統麥當勞的點餐台，前台只有2人，卻有巨量的點餐機，整店面感覺會有種與廚房隔絕的感受，聽不到那些吵雜的聲音、機器、通知與叫和，取而代之是運輸帶一定要裝袋等送餐餐點，飲料是現場裝外，其他於隱藏的廚房完成，點餐台也化成類似中島的簡潔有力，背面有近乎全身鏡一般的菜單，滿版的讓你隨意挑選感，整體服務感、體驗大升！
 yen Chang ,https://www.google.com/maps/contrib/106182778578666036431/reviews?hl=zh-TW,3,True,68,最近早餐沒有薯餅，據說是因為疫情導致的貨運不穩定，蕈菇香雞滿福堡的醬汁偏少，有點可惜
 窩夫小王子 ,https://www.google.com/maps/contrib/109480060522027134062/reviews?hl=zh-TW,2,True,37,"用餐時間：10/132:55
外帶🥡
用甜心卡換的兩杯檸檬紅茶都給錯成紅茶（無糖）
漢堡也是包得很爛，一打開菜都散落開來
-
最誇張的是店內有人在用餐，員工發生爭執的聲音已經讓所有人都能感受到了
-
打這些是希望這家店有所改善，而不是要批評員工
希望你們變得更好！"
 Felicia Peng ,https://www.google.com/maps/contrib/101851314342703134470/reviews?hl=zh-TW,4,True,499,"最愛麥當勞大薯👍🏻
雖然大薯一直在漲價😭
2樓座位區比想像的還少
感覺有點擠～
1樓有滿多台自助點餐機
星期五晚上人滿多的～"
 紅小木 ,https://www.google.com/maps/contrib/106316387734619897058/reviews?hl=zh-TW,1,True,101,這是我人生中去過最爛最爛的麥當勞！！！現場只有兩位客人做的慢的不說櫃檯的小姐一直戴著耳機在聊天。聊的很開心旁邊有個穿黑衣服胖胖的服務員什麼也不做一直陰沉的站在哪！！服務不好態度不好做的也慢裝潢好後一直是這樣低水準狀態..品質極不穩定！！現在點餐基本上都客人自己來了還能混成這樣真的令人覺得失望。要在這裡買請預備20分鐘跟好心情要不最好還是不要去受氣了
 Ian Wu ,https://www.google.com/maps/contrib/105063291502652689919/reviews?hl=zh-TW,1,True,42,我用Ubereats訂的，點了十幾次有了，有一半的機率大薯來都是幾乎長這樣，我在備註也說上次給的很佛系，員工連理都不理。不爽做沒人逼你啊？奇摩子問題而已！
 Shake Beer ,https://www.google.com/maps/contrib/113525703598438808809/reviews?hl=zh-TW,1,True,25,"麥當勞的玉米濃湯
是我到麥當勞必點項目
每次湯匙一下去
就是滿滿的玉米粒
不用說要很多匙
但第一次遇到這麼誇張的
一杯玉米濃湯
不到一湯匙的玉米
15粒吧！
是每個人都一樣
還是有的人比較幸運
可以有比較多玉米
然後有的像我比較倒楣的
只能喝湯"
 雪花牛 ,https://www.google.com/maps/contrib/107123414074712273508/reviews?hl=zh-TW,3,True,43,"天啊！！！
我上班累的跟狗一樣下班帶我老婆滿心歡喜的來這間麥當勞大快朵頤點了一杯玉米濃湯
后里蟹！！！湯裡面居然只有一顆玉米？？
但是薯條是現炸的還貼心的給了我鹽包所以還是給妳三顆星了"
 沈啟鴻 ,https://www.google.com/maps/contrib/110495882046395298803/reviews?hl=zh-TW,5,True,"1,142",這間店也有重新整理過，現在麥當勞就是要大量使用自助點餐機，大門一進去受限於空間格局問題，所以略顯擁擠，不過點餐還算順利，出餐速度也算快，餐點品質也是中規中矩，當天是下午兩點左右消費，不知道尖峰時間會不會大排長龍。
 KeNNeTh Kwan ,https://www.google.com/maps/contrib/105705929976377164231/reviews?hl=zh-TW,1,True,43,空間非常小，位子非常少，每次去點完餐才發現沒位子超悲慘的。建議先找位子再點餐
 YYC ,https://www.google.com/maps/contrib/100854636909211931861/reviews?hl=zh-TW,4,True,304,"大暑要吃大薯
麥當勞棒棒
可惜奶茶太難喝
喜歡泰式酸辣醬跟他們很多機器點餐💜💜"
 黑袍鑑賞員 ,https://www.google.com/maps/contrib/100883342363165754096/reviews?hl=zh-TW,1,False,2,"我要說的不是一個獨立事件，而是整個麥當勞運作的革命，從古至今點餐取餐都是一門客戶與商家互動的藝術，但今天我看到的都是機械化式的冷漠無情。
如果說由繁化簡是商家必須面對的課題，我想麥當勞絕對是第一個逆向操作的神奇產業，將一條龍的點餐流程轉化成三個步驟，巧妙平衡的點餐品質粗糙化，逼客戶要適應10年前的3C產品，要不是麥當勞已在早期成為台灣速食龍頭，不然早就不見蹤影。
餐點的部分依舊，熟悉的麥克雞塊、超大杯的糖漿氣泡飲、層層堆疊的麥香雞，無需挑剔的熟悉感迎面而來，但只要一想起在點餐時，被機器遺忘我的取餐編號，站在櫃檯面前30分鐘看著其他人點餐再取餐，凝結的空氣凍結了時間，我成了孤獨的小丑，也點燃了我對於革命的火苗。
或許是我仍然活在過去，也或許是麥當勞太過先進，但我認為所有的角色都有他該要成為的樣子，現在的麥當勞已不復以往，我能給的，除了這份革命發聲以外，還有的就是一顆心。
再會了～我的麥當勞～"
 Jackal Liu ,https://www.google.com/maps/contrib/111505357243303799070/reviews?hl=zh-TW,1,True,175,麥當勞廁所乾淨的很少，這間也不例外，男廁小便斗堵塞裡面一堆尿，地板上也各種鳥亂噴，今天是4/3號了，發現廁所檢查表停留在4/2號，也就是說20小時都沒有人去打掃
 Terry Chen ,https://www.google.com/maps/contrib/114938752583314493457/reviews?hl=zh-TW,1,True,48,改裝潢結果還是很難吃，廚師可以換掉嗎，不是炸過頭就是放到冷掉，凌晨一點多去買，薯條不知道是沒炸熟，還是炸過頭還放到冷掉，吃起來苦的有夠難吃，玉米濃湯只有湯撈不到玉米，還沒給湯匙，真爛，員工教育訓練sop到底有沒有確實
 Jeffrey Kao ,https://www.google.com/maps/contrib/109904520325441754420/reviews?hl=zh-TW,1,True,642,"2022/03/18中午，真的沒有下限，唯有麥當勞可以超越麥當勞！照片真的是一拿出來就拍照了，內用也敢用成這樣，薯條不到1/2滿還一堆碎爛的…是有多怕客人吃啊。每個員工一直對客戶喊著：「歡迎你來」真的是非常的諷刺…

不用懷疑每次薯條都給不到半包！而且明明有看到加鹽硬要跟我說有去鹽…持續一顆星無下限！為什麼沒有0顆星這個選項？！

現在每家台灣的麥當勞是在比賽薯條給少跟costdown?!!薯條不到半包而且很多碎斷薯條，衛生紙給兩張…

2021/03/10真是夠了，點了一杯飲料少冰也有列印單據結果打開一看裡面整杯滿滿的冰，整個傻眼！好吧，就算搞錯但是誰會在室外溫度18度點整杯的冰塊啊？！"
 Aaron Chen ,https://www.google.com/maps/contrib/110710214119631236876/reviews?hl=zh-TW,1,True,24,"外送狀況怎麼那麼糟？
請問這漢堡叫什麼？我明明點豬肉吉事堡
照片中是什麼怪漢堡？這樣的狀況不應該出現在麥當勞呀？
給我鬆餅沒有醬料？"
 廖勛仕 ,https://www.google.com/maps/contrib/108935350066812507942/reviews?hl=zh-TW,5,False,39,早上到過超奇葩的內湖捷運站麥當勞，覺得這間正常的很令人動容~~~
 我就是愛玩 ,https://www.google.com/maps/contrib/101692534298366085638/reviews?hl=zh-TW,2,True,974,用餐時間人超多，等待時間過久，櫃台團團轉，廚房理應也忙，雞塊多了一塊！
 吳怜燕 ,https://www.google.com/maps/contrib/105429681250793580088/reviews?hl=zh-TW,1,True,65,每次的大薯的量都是這樣，是對的嗎？
 candy huang ,https://www.google.com/maps/contrib/114127041028425616070/reviews?hl=zh-TW,2,True,286,"從外觀看起來感覺好像很大，裝潢的也很漂亮，結果進去之後，大失所望。
一樓的點餐區，路線很奇怪。到了二樓，更是驚訝。整個用餐區大概10張桌子吧，而且又是舊舊髒髒的。這大概是我去過最小最讓人反感的一家麥當勞了。"
 自己來 ,https://www.google.com/maps/contrib/117587146166806774410/reviews?hl=zh-TW,1,False,4,改裝潢之後動線混亂，內用環境吵雜，要付款跟取餐的客人交錯行走在內用桌之間。整體桌數減少根本無法容納顧客，店長也沒有注意內用顧客數目，已經有人拿著餐在旁邊站了也沒有儘快處理，比起過去的情況退步太多
