user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 李毓秀 ,https://www.google.com/maps/contrib/117594803833266693053/reviews?hl=zh-TW,5,True,158,公務出差的好地方，空間舒適優雅服務貼心，早餐精緻又美味。
 Carrie ,https://www.google.com/maps/contrib/112684863578262473118/reviews?hl=zh-TW,1,False,10,"吃個下午茶，女服務生頻頻出錯

1.問用旅展卷點高價餐點要付多少差價，他說去問一下就再也沒有回來答覆，直接去做別的事
2.茶我說要冰的，結果來溫的
3.薯條要番茄醬，說好馬上來，然後又去做別的收桌的事情，我薯條都快吃完了，只好請另外一位服務生拿
4.主餐墨西哥捲餅完全忘記上，等了一個半小時，我們問才說抱歉然後上桌

餐點很少跟價格完全不符，沒什麼客人還能服務成這樣，不像飯店規格。"
 Jimmy Lin ,https://www.google.com/maps/contrib/116073406253591544828/reviews?hl=zh-TW,5,True,16,房間乾淨整潔地理位置好去那邊都方便
 S y ,https://www.google.com/maps/contrib/114077684160528617225/reviews?hl=zh-TW,5,False,31,服務環境空間一切都好，館內車位真的偏少，但只要入住時一有空位，服務人員會即時通知詢問是否需要停入館內。
 albert tsang ,https://www.google.com/maps/contrib/116685328087520566114/reviews?hl=zh-TW,5,True,118,非常不錯的餐廳，每個服務廚師同事們也十分專業美味好吃，自己去了一次馬上就帶了家人朋友們一起品嚐，一級棒
 Sophie C ,https://www.google.com/maps/contrib/108642112351845507831/reviews?hl=zh-TW,5,True,216,"在這邊連住三晚，喜歡Cozzi營造的氛圍，台南親子館很不錯、這次住了民生館覺得跟高雄一樣給人家與溫暖的感覺、很謝謝柯姓櫃檯，非常喜歡她的親切與貼心。這個機器人是小孩的愛，算是彌補沒兒童設施😊
早餐座位少，時常需要等待"
 Nick Mo ,https://www.google.com/maps/contrib/113424701920455401477/reviews?hl=zh-TW,5,True,247,附近美食多，交通便利，飯店設計簡約時尚，暖木調舒服的配色，接待人員都非常有禮貌，飯店裡設施也是小巧精美，2樓提供免費的飲料雜誌，不論在沙發區，或是角落區，也附帶一個夠用的健身房，房間設計的舒適溫馨，處處有巧思，真的非常適合來台北旅遊時入住～價格絕對對的起房價，甚至可以越級打怪(晶華）！
 Christy A Hsu ,https://www.google.com/maps/contrib/112551267162670547007/reviews?hl=zh-TW,5,True,12,"比官網照片更讓人一見鐘情的轉角房！

櫃檯跟早餐餐廳的服務人員親切有禮
房間備品完整床蠻好睡

是個愉快的住宿體驗👍🏻"
 MMia ,https://www.google.com/maps/contrib/106244842462313406971/reviews?hl=zh-TW,3,True,306,"使用餐券。
一開始沙拉和前菜都覺得還不錯，可以期待後面的主餐，結果湯就發生悲劇——調味有種說不出的怪，速速喝完再吃主菜，牛排說好五分卻偏向全熟、肉質偏硬，海鮮吃起來也一般般，沒什麼味道。最後的飲料（可可）真的大雷，史上無敵甜，只能喝兩口就無法再喝了⋯環境是蠻舒服的，服務生也挺好的，或許下午茶會好很多？"
 Eva Cheng ,https://www.google.com/maps/contrib/105309819885970213166/reviews?hl=zh-TW,5,True,73,義大利麵非常好吃，主餐價格300~900左右，加200元可升級套餐很超值。餐廳平日用餐人不多，空間很舒服，尤其是沙發區。餐廳的烘焙坊晚上5:30後打7折很便宜。
