user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Tanvi ,https://www.google.com/maps/contrib/101893282106321328752/reviews?hl=zh-TW,5,True,18,"闆娘很親切
店內裝潢很好看
位置也很寬敞～

這次點的是牛五花太陽蛋寬扁麵
口味滿喜歡的
湯汁跟麵有融合在一起👍
另外南洋海鮮咖哩飯味道也不錯
但有一點偏鹹
配飯吃剛好
飯還可以續碗不怕吃不飽
推推！"
 捲士料 ,https://www.google.com/maps/contrib/114117245913065312558/reviews?hl=zh-TW,5,True,69,店內布置的很有氣氛，麵跟焗烤飯吃起來很清爽，而且不膩口，價格也還OK，適合下班時刻當晚餐吃。
 愛好自由 ,https://www.google.com/maps/contrib/112034913129299866380/reviews?hl=zh-TW,2,True,426,"第一次造訪期待心情卻失落。

先說明：因疫情關係，餐點有做些調整，目前線上點餐菜單與先前紙本落差蠻大，價錢也因餐點調整，價格也調降。

前菜：田園蔬菜（檸檬油醋）、烤雞胸沙拉（義大利油醋），兩種油醋平淡吃不太出來味道。

小菜：酥炸魷魚圈，表皮油油亮亮，吃起來感覺很像是回鍋炸的，才會滿口是油。

麵：松露野菇寬扁麵襯煙燻鴨胸，嗯，就。很。普通！

排餐：爐烤美國牛排紅酒醬，端上來牛排已經是溫涼的溫度，整塊牛排爐烤的很不均勻，部分接近全熟，其中還有一大塊筋，完全無法咀嚼。

最後感想：餐廳裝潢比餐點吸引人。一場疫情怎麼會變了質。"
 Mika Huang ,https://www.google.com/maps/contrib/114455469965863519912/reviews?hl=zh-TW,4,False,76,"大致上蠻好吃的！
茄汁小肥牛比較偏台式，那個雞肉煎的嫩又香、燉飯也很入味。
雙口味雞翅我喜歡辣味的朋友喜歡韓式甜醬。
缺點是份量有點少(｡-_-｡)我吃不飽，比較適合小鳥胃。"
 Min ,https://www.google.com/maps/contrib/107752684300872668476/reviews?hl=zh-TW,5,True,43,燈光美氣氛佳適合三五好友聚餐的地方餐點美味出餐速度快服務好👍🏻👍🏻👍🏻
 黃祈郡 ,https://www.google.com/maps/contrib/104915865198848616427/reviews?hl=zh-TW,4,True,47,"田園沙拉不錯
逗子雞翅有點鹹
但是整體還可以"
 Li sa (lisa) ,https://www.google.com/maps/contrib/103824052795884619244/reviews?hl=zh-TW,3,True,41,"19:16點餐…只來了烤雞胸沙拉
20:00其他兩個餐點才來
然後蒜辣雞義大利麵有點硬😢
肚子真的好餓🤦‍♀️
羅勒牛好吃"
 潘曉彤 ,https://www.google.com/maps/contrib/115692285605115927601/reviews?hl=zh-TW,5,False,11,"每一道菜都好吃！
鹹酥雞搭配泰式醬！
很特別～～"
 Ian ,https://www.google.com/maps/contrib/112704606804236647797/reviews?hl=zh-TW,4,True,263,裝潢不錯、老闆很親切，但口味感覺可以再加強
 雞瘦皮 ,https://www.google.com/maps/contrib/109927643829453508734/reviews?hl=zh-TW,5,True,81,"好吃😋
老闆娘也好客氣～請阿母喝紅茶☕️❤️"
 徐QQ ,https://www.google.com/maps/contrib/107895774932556061613/reviews?hl=zh-TW,4,True,50,"空間很舒適營業到十點！
餐點選項很多元使用手機點餐
青醬很好吃！羅勒味很香但麵沒有入味
奶油蔬菜燉飯的奶油味偏淡有點可惜
都可以另外調整辣度
湯品蔬菜湯及奶油菇湯都很好喝！
還點了開胃菜鹹酥雞也很好吃～"
 Daphne Sun ,https://www.google.com/maps/contrib/115964289076349376658/reviews?hl=zh-TW,5,True,74,很好吃耶！松露燉飯超好吃的！讓平常不喜歡松露味道的我，有驚艷到！下次還想吃這道！義大利麵也炒的有入味～不是沒味道的麵條喔，而且料也很多！炸雞翅也好吃！最後的肉盤，實在是太多了～大胃王才有辦法解決他吧！裡面的肋排跟雞排也比我想像中的入味跟軟嫩，大家都讚不絕口！好吃好吃！
 林姿儀 ,https://www.google.com/maps/contrib/105508105513047005370/reviews?hl=zh-TW,4,True,393,"義大利麵不錯，蒜炒鴨胸和牛小花太陽蛋都有入味，不過鴨胸稍硬一點；炸物好吃，但份量覺得稍少一點，附三種醬：塔塔、番茄和泰式醬
英式鮮奶茶喝到後面舌頭很澀，不是很喜歡，但前幾杯很不錯"
 Julie Wu ,https://www.google.com/maps/contrib/117513925542701602360/reviews?hl=zh-TW,5,True,40,"麵條彈牙，橙汁跟奶油味道也很搭；燉飯份量蠻大的，味道不錯，米粒是偏硬的口感。套餐+120有沙拉濃湯紅茶甜點，算是很有誠意👍🏻
不知道是不是因為晚餐時間人不多，但是意外蠻好吃的😍"
 默 ,https://www.google.com/maps/contrib/113477994355383805523/reviews?hl=zh-TW,4,True,46,"-
服務生比較不積極！
-
每次去我都只點，松露什麼菇飯的，味道好濃郁搭配上面的堅果，太好吃啦～～～
#強烈建議點這個
-
#逗子#台北美食#台北#行天宮美食#行天宮#中山區美食#燉飯#台北燉飯#台北義大利麵#好吃"
 Yoyo Chen ,https://www.google.com/maps/contrib/100213279300771255779/reviews?hl=zh-TW,5,False,4,"餐點價位真的在台北市說實在真的太便宜了！
義大利麵燉飯類才2百多主餐類也不超過一千..
老闆太佛心了吧⋯⋯

燉飯真的好好吃！
而且現在晚餐7:30後有打折很優惠誒～

而且看到主廚向每一桌打招呼超像彭于晏的！！

主廚推薦他們的牛臉頰
好吃的東西下次一定再去品嚐😊"
 Iris Chen (Elva) ,https://www.google.com/maps/contrib/100990656704565605277/reviews?hl=zh-TW,5,True,209,"對麵條的口感印象很深刻，是Q的！
義麵的口味也很多元、特別～
是會再訪的美食😋💯"
 Amy Chen ,https://www.google.com/maps/contrib/116251829241987476719/reviews?hl=zh-TW,5,False,16,"來好幾次
店員親切
食物也不錯好吃不踩
然後墨西哥?雞翅比我想的酸XD
但食物真的都算好吃
聚會聊天用餐好地方"
 Tina Liu ,https://www.google.com/maps/contrib/101624203377537502380/reviews?hl=zh-TW,4,True,73,工業風的氣氛舒適，牛肉義大利滿台味，但份量不至於太少，中食量女生應該夠足，但醬汁對我偏鹹了點，麵條硬度掌握的很好，炸雞還行，但裡面有朵炸偏黑的花椰菜就放棄不吃了。一樓設洗手台超貼心，足以讓人有動力餐前主動洗手。
 Cynphia Ho ,https://www.google.com/maps/contrib/103163552938792584130/reviews?hl=zh-TW,5,True,35,"今天來逗子，感覺菜單跟以前不太一樣。
餐點選擇很多，一時有點眼花撩亂，不知該點什麼好?
後來我點了""燉牛頰""，因為這道餐點很少見，我自己也不會做。
吃了燉牛頰之後覺得~實在太美味了。不輸我以前在信義區某飯店吃過的燉牛頰，燉的軟爛入味，搭配白飯十分下飯。
希望店家能繼續保留這道菜色，一直都像今天這麽好吃，我會常常去嚐嚐它的美味。"
 Jill Cheng ,https://www.google.com/maps/contrib/112193938563971228587/reviews?hl=zh-TW,3,True,20,"因為地理位置方便，吃過滿多次。口味中等，不會踩雷，但也不到驚艷。

老闆娘人很好。"
 Mankiw Lee ,https://www.google.com/maps/contrib/116702871963424734926/reviews?hl=zh-TW,4,True,156,座位寬敞舒適，料理(本次皆點義大利麵)味道成熟，獨居一格，適合輕鬆聊天用餐
 賴韋利 ,https://www.google.com/maps/contrib/113308408794830540954/reviews?hl=zh-TW,4,True,196,義大利麵很ok，不過麵包烤得不夠酥，餐點算是物有所值，出餐速度也不錯，物有所值
 Yun LIU ,https://www.google.com/maps/contrib/108750524521237322915/reviews?hl=zh-TW,4,True,83,"聚餐去過7次以上了~義大利麵、燉飯類的品項全制霸，晚餐主菜每道都很美味（地雷大概都在午餐吧XD）。環境安靜、整潔。

只是假日的工讀生似乎搞不清楚早午餐供應時間⋯⋯菜單上寫“例假日全天”，可是她不讓我們點（無奈）。

另外野菇燉飯的鴨胸片變成在飯裡的碎肉，不像以前是另外放在飯上。不僅肉的份量少了很多，鴨胸跟燉飯的味道也互相影響，反而沒有原本分開吃來的美味。

然後比起平日午餐，還是多加一點錢吃晚餐的主菜比較值得......"
 Yu Shi Chen ,https://www.google.com/maps/contrib/105210320377807360641/reviews?hl=zh-TW,5,False,4,"父親節套餐好拍又好吃（甜點居然是菜瓜布？！
CP值很高👍🏻
期待下次再訪"
 海豬吃吃喝喝人生 ,https://www.google.com/maps/contrib/114580433393052377529/reviews?hl=zh-TW,3,True,267,店裡很溫馨，店員很貼心還給我們置物盒放包包，桌上會放一壺水自己倒，餐具也事先擺好，不須收服務費，我是中午時去用餐，這天剛好沒什麼人，上菜很快速，我吃茄汁雞肉燉飯，朋友吃義大利麵，義大利麵看起來份量很多，擺盤看起來比較美；燉飯就普通，早知道就點其他的食物，如果要加套餐(湯、沙拉跟飲料)要另外加70其實價格很便宜，且還幫我們打九折（可能是因為中午），不過餐點都很平價。茄汁雞肉燉飯個人沒有很喜歡，有點太水了，蕃茄味是夠，雞肉很好吃，不過青椒很少，賣相也...，應該還會想來用餐，用餐環境舒適，但下次想嘗試其他食物。（更新）第二次用餐，看著朋友點的燉飯，一樣是太多水了，綜合炸物蠻小的...義大利麵還是普通，但服務一樣不錯。
 Lanny yen ,https://www.google.com/maps/contrib/108181792845364700847/reviews?hl=zh-TW,5,True,41,物廉價美，調味濃淡洽當，時令鮮魚與紅酒燉牛頰都處理得挺不錯的，會在願意再次造訪。
 黃冠銘 ,https://www.google.com/maps/contrib/112427245531899050479/reviews?hl=zh-TW,5,True,32,餐點好吃，點了牛臉頰肉，感覺燉地軟硬適中，氣氛輕鬆舒服，店員們熱情，吃過會再想來吃的店
 Albert Yen ,https://www.google.com/maps/contrib/108576012470249330853/reviews?hl=zh-TW,4,True,503,豬肋排沒有很入味，但是墨西哥辣醬歐姆蛋卻很不錯，咖啡就比較淡一點
 Angela Chou ,https://www.google.com/maps/contrib/109169101689531140092/reviews?hl=zh-TW,5,True,233,好吃的義大利麵，上來因為太想吃問了拍照就拌了起來....可惜沒拍到美美的麵阿！
 Chuchu ,https://www.google.com/maps/contrib/112121552517996599906/reviews?hl=zh-TW,4,True,142,餐點CP值很高服務好空間舒適
 黃嘉玲 ,https://www.google.com/maps/contrib/113122375530340296582/reviews?hl=zh-TW,3,True,182,"適合聚餐，雖然有用餐時間限制，但如果沒客滿，老闆也不會趕人。
餐點口味還可以，已沒有提供寬麵了。"
 Eason Huang ,https://www.google.com/maps/contrib/101397965290400248876/reviews?hl=zh-TW,3,True,581,氣氛佳，用餐可以很悠閒的餐廳，午餐有義大利麵跟燉飯的選擇。加上套餐可以吃的很飽。
 brenda chung ,https://www.google.com/maps/contrib/111077642847285820750/reviews?hl=zh-TW,5,True,96,"CP值很高。
餐點好吃、服務親切、環境舒適
推~"
 陳孟季（Metok） ,https://www.google.com/maps/contrib/107747887386987559438/reviews?hl=zh-TW,5,True,31,餐點非常美味好吃到忘了拍照;工作人員態度親切~值得一再去餐廳
 Joanne ,https://www.google.com/maps/contrib/104762235450519026302/reviews?hl=zh-TW,5,True,147,氣氛好、餐點好吃，尤其是肉類的主餐，CP質很高，
