user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 黃小比 ,https://www.google.com/maps/contrib/100300696837972986207/reviews?hl=zh-TW,4,True,626,平日下班來用餐，兩個人300元，兩個青菜，1碗白飯，1個主菜，以現金物價皆高的情況下，台北半夜可吃到熱菜熱飯這個價錢，cp值已經很不錯了，營業到3:00，越晚人越多😃
 C ,https://www.google.com/maps/contrib/105363396015074710870/reviews?hl=zh-TW,4,True,84,"這間大埔開到凌晨很棒
而且東西很便宜
吃過好幾次了
生意也不錯
不過很在意衛生的人不推

我很喜歡他的鮮蚵
牛小排練我怕吃肉很硬的人都咬得動

基本含兩個菜+一碗飯
而飲料、湯、冰淇淋採自助式（免費）

一進門就可以先和店員說要吃什麼辣
他們就可以先準備青菜的部份
至於主餐什麼就可以慢慢看菜單選擇"
 KC Ma ,https://www.google.com/maps/contrib/104352519701343470964/reviews?hl=zh-TW,1,True,66,吃過最難吃的大埔就這間了，還以為點到的是炒洋蔥咧...仔細一看才知道，花枝，蝦子，蟹腳都是營養不良的那種。蟹腳要很仔細找才看得到。想踩雷的可以試試
 Fubon Taipei ,https://www.google.com/maps/contrib/112617380551041813501/reviews?hl=zh-TW,4,True,248,外帶與外送客多時，內用需等候，餐巾紙的價位跟菜單不符，東西美味，有附冰麥茶，與冬瓜茶，還有冰淇淋
 Ya Li Huang ,https://www.google.com/maps/contrib/105510819093649153216/reviews?hl=zh-TW,3,True,417,覺得好像飯比菜多都感覺，份量小小的，可能男生會吃不飽。但口味上是可以的，適合中午快速解決一餐或是不想吃太多的時候去，店蠻大間的，不會有很大的煙味。湯和飲料可自取。
 Phoebe Huang ,https://www.google.com/maps/contrib/107421074219960150122/reviews?hl=zh-TW,3,True,176,"雙人套餐物超所值
可能因為是人流較多、外送取餐忙碌時段
除了青菜以外餐點都偏油鹹😅牛小排筋過多口感超韌（牙口要練好）

學生時代就已經有的鐵板燒。希望能繼續有好口味手藝的延續"
 張瑄 ,https://www.google.com/maps/contrib/107587027242778496189/reviews?hl=zh-TW,1,True,63,"這個外送的肉量完全不行欸？
我沒有偷吃才拍照喔^_^
送來就是如此
這是一份拆成兩份賣吧？
菜是鋪好鋪滿
啊怎麼肉差那麼多==
太誇張了我真的打開傻眼"
 Red Yang ,https://www.google.com/maps/contrib/104289179173677399017/reviews?hl=zh-TW,1,True,20,叫熊貓外送的～雞肉乾煎備註不要醬卻加醬了、金針菇已經備註鹹一點結果還是沒有味道，另外有三份菜只要全高麗菜不要豆芽菜，店家完全不管備註，荷包蛋也很誇張是湯蛋嗎！！，以後再也不會點這間長安店
 w ill ,https://www.google.com/maps/contrib/113051666659987467348/reviews?hl=zh-TW,1,False,2,我很少給店家差評，但店內環境超髒整個沒食慾，桌子有擦跟沒擦一樣厚厚一層油，白飯不說我以為是粥勒有夠爛...
 Fk K ,https://www.google.com/maps/contrib/116342779229372661490/reviews?hl=zh-TW,1,True,58,"6/19下午去吃的
我跟大胖子說菜太少
結果他說我們菜還有多給
（我吃那麼多家鐵板燒，就你跟我睜眼說瞎話）
服務人員太差了（隨便、敷衍）
最後還要加30元我才滿意
第二張（加點30元+原本）
但我以後絕對不會再來了"
 Paris Hsu ,https://www.google.com/maps/contrib/118212187175492881902/reviews?hl=zh-TW,5,True,138,東西好吃，上菜速度超快，東西也便宜，吃的很飽，很推薦，下次還會來，蔬食也可以吃。
 Momo ,https://www.google.com/maps/contrib/116408956715932625688/reviews?hl=zh-TW,5,True,179,外送給五顆星！主菜鮭魚煎完鮮嫩熱呼呼的還很鹹XD有夠下飯🤤紙餐盒塞的滿滿的炒青菜白米飯也是一大碗滿出來香噴噴的米呀！真的食指大動很划算
 A-Kwon Fang ,https://www.google.com/maps/contrib/103714456755345789855/reviews?hl=zh-TW,3,True,"2,982","位在南京復興站西南側的遼寧夜市周邊、這間位於龍江路及長安東路交叉口的連鎖鐵板燒店是從中午一路開到凌晨的三點半、也在附近一片的火鍋熱炒店面中用平價的價格搶出深夜歸來的上班族群中的用餐需求；圍繞著煎台中島的座位數說真的是所見過的其他分店中算多的，不過也讓要取用店內冰淇淋和湯品時要走上不短的路程就是了。
要價330的牛小排+炒三鮮套餐也會讓人驚呼道昔日吃粗飽價位的大埔也邁向了一餐頗高價位的區段了；而其實在牛小排和三鮮所給的肉量基本上不是很多、而每一道的蔬菜量覆蓋的挺明顯的情況下，還是讓人覺得在現今世代的荷包縮水頗快速。"
 黑貓 ,https://www.google.com/maps/contrib/111182281749246896874/reviews?hl=zh-TW,4,False,17,"我都用外送點餐，這家大埔有幾個優缺點。
個人口味偏好辣口，因此我點了中辣，大埔的辣是那種溫和的辣（辣度很夠）配上湯汁十分下飯。
本次點的餐點是單人套餐A餐（菲力+三鮮）：
肉跟海鮮的部分新鮮夠味，非常好吃；但是十分可惜的就是蔬菜的部分，雖說可以自由選擇蔬菜（這次選的是高麗菜配豆芽菜），但吃起來不太新鮮，豆芽菜外觀黑黑短短、吃起來有種臭味，應該是用了品質不太好的豆芽菜、高麗菜的話則是口感不佳（偏硬不脆）。"
 倉鼠笨笨&萊納 ,https://www.google.com/maps/contrib/107240758093604020079/reviews?hl=zh-TW,5,True,22,"上次8/31叫foodpanda外送，點了菲力，肉不會像別家給的那麼少，非常好吃、菜也很香！

另外，我寫了肉熟度不要太熟、鹹一點的備註都有聽，包裝細心沒漏出來，這家是我吃過最推薦的一間大埔外送，一定要稱讚你們，良心店家！

下次會再回購🥹"
 褚蘭欣 ,https://www.google.com/maps/contrib/110495402596409269133/reviews?hl=zh-TW,5,True,176,東西便宜好吃份量多不過湯有點鹹
 Yung-Chih LEE ,https://www.google.com/maps/contrib/108351860776097651833/reviews?hl=zh-TW,3,True,93,不難吃，因為很久沒吃鐵板燒路過想說吃一下，上菜很快，因為分工方式，常常把別的地方煮的用鍋鏟移過來，移的時候雞肉還會掉外面，有點不太細心，畢竟都花快兩百塊，另外雞肉可能因為太趕，吃起來像是沒有完全煮熟，離開時發現地板有一隻大蟑螂，幸好自己已經完食了...
 YiHung Peng ,https://www.google.com/maps/contrib/109367876488508184408/reviews?hl=zh-TW,5,False,73,"雖然是個連鎖平價鐵板
但每家口味還真的不大ㄧ樣
（少說吃過7家不同分店）
這半年已經來10幾次
每週二幾乎都會報到

生意也相當不錯
熊貓也ㄧ直上店取餐

雙人海陸划算滿足
這家大埔是少數口味相當好的

小弟認為還有另外一家在南京光復路口
也相當推薦"
 Wen-feng ,https://www.google.com/maps/contrib/115609803832656220021/reviews?hl=zh-TW,5,True,23,"晚上點了熊貓自取，跟店家確認我點的東西兩次，但後面還是給錯！
打電話跟店家反應態度超好還馬上補送過來
👍👍👍真的是很好的店家！
而且大埔我只吃這家，好吃😋！"
 Steven Chou ,https://www.google.com/maps/contrib/114569792327778758751/reviews?hl=zh-TW,1,False,8,內用環境超級噁心簡直刷新三觀本來想吃對面鬥牛士但客滿才來吃的基本上我是含著淚吃完的衛生差到我都想跟衛生局檢舉
 張恩碩 ,https://www.google.com/maps/contrib/101084283646762592881/reviews?hl=zh-TW,1,False,7,"吃了後隔天腸胃炎拉肚子
用餐時就覺得環境差
椅子黏黏的是沒再擦嗎？
廚師還用手拿食材？至少戴手套吧
我吃過最爛的鐵板燒"
 蔡Jason ,https://www.google.com/maps/contrib/105166360519680152446/reviews?hl=zh-TW,2,False,4,"我點的是荷包蛋
不是炒雞蛋😭😭😭"
 詹咻咻 ,https://www.google.com/maps/contrib/106414657927983540168/reviews?hl=zh-TW,2,True,20,"以前很好吃，最近二次味道變了，完全不行！
辣椒不辣，菜有水味，肉沒鹹味不知道在炒什麼！"
 良瑋陳 ,https://www.google.com/maps/contrib/101474251532287474208/reviews?hl=zh-TW,1,False,3,"他的熊貓外送簡直爛到極致
海鮮整個看不到東西不知道怎麼用的
主菜份量都不對
比100便當的肉還不如"
 NEO CHOU ,https://www.google.com/maps/contrib/100932859171404662198/reviews?hl=zh-TW,2,True,50,這二十年來口味是沒什麼變，唯一最不行的就是廁所，有夠髒，有夠滑，有夠臭，希望你們可以給老顧客乾淨的空間
 波力爸 ,https://www.google.com/maps/contrib/101188531279617175344/reviews?hl=zh-TW,3,True,688,平價鐵板燒就不要要求太多，不過要不辣，確都給我們做成辣的，明明都看到辣椒末還要凹，結帳也不會表示一下，這就不太行
