user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Chung-Hao Cheng ,https://www.google.com/maps/contrib/103950258070004859223/reviews?hl=zh-TW,5,True,"1,097","松江南京及四平商圈附近的簡餐店，店面不大，門口很多植栽，沒特別注意經過還有可能會沒看到。
進店後內用外帶都要在櫃檯點，內用點餐要告知坐哪桌；店裡有共26個位置，平日午餐上班族多。
這裡環境跟一般便當店不同，桌子是木質桌，牆上有簡單飾品和喇叭，有廣播可以聽，也有冷氣和循環扇，是溫馨的簡餐店。
店家每天提供的主菜不一樣，大概有8~10種，基本上有肉有魚、肉的話牛、豬、雞都有，但有些主菜晚來就沒了。
每天會先賣完的也不一樣，先賣完不一定是熱銷，有可能只是準備量比較少。
除了主菜以外有時候還會看情況加賣小菜，有看過絲瓜、苦瓜和粉絲豆干。
點完餐就去餐檯拿餐具和附湯，餐檯上還有白飯，吃不夠可以自行拿餐盤來裝。
附湯有喝過紫菜蛋花湯和筍絲湯，料都很豐富。
這裡的配菜固定是兩樣，如果菜準備不夠會拿要賣的小菜給客人。
配菜炒的不含糊且份量足夠，吃過小白菜、高麗菜、空心菜、炒絲瓜和炒粉絲豆干，整體偏清淡但應該是要搭配主菜的關係。
小菜的苦瓜是鹹蛋口味，有加宮保辣椒炒，味道香辣有層次。
無錫排骨醬香鹹甜，下飯好吃，排骨雖然不是豬小排，也是肥瘦適中，不會過硬有口感。
辣子雞丁的味道夠香辣，可惜沒有碎花生。
梅干扣肉的味道不錯，但三層的豬五花肉太柴硬，切的不夠薄片，蒸的也不夠透，有點可惜。
挪威鯖魚烤的皮酥肉嫩，擠上檸檬增加清爽口感和香氣，整條魚肉多刺少，幾乎整條都可以吃。
老闆自行設計了收桌的小台回收車，收桌完後用酒精消毒，讓空桌都很乾淨，店家服務態度也很好，離開會說拜拜。
這裡的餐點口味水準以上，環境也不錯，附近的上班族可以定期回訪。"
 Lilibet ,https://www.google.com/maps/contrib/105169700581967750994/reviews?hl=zh-TW,5,True,197,"青菜兩樣但很新鮮炒得很美味，不油膩
飯較少但可以自助續飯吃到飽
辣子雞丁好吃也很辣
豬腳也好吃，湯汁多可以拌飯
超乎預期的好吃，CP值高，大推！"
 Kk Su ,https://www.google.com/maps/contrib/117199823737180236575/reviews?hl=zh-TW,4,True,111,好吃的便當，里肌肉不材，內用可加飯續湯。
 KB ,https://www.google.com/maps/contrib/112603815598913298471/reviews?hl=zh-TW,5,False,10,"在這邊吃了25年了，他們煮什麼都好吃！
CP值高，吃著餐廳大菜水準的食物卻只需要花便當的價錢～～
吃過糖醋里脊、蔥燒豬排、泰式雞排、蠔油香菇雞、義大利麵、牛肉麵、什錦炒麵、韭黃牛肉、韓式燒肉、洋蔥牛肉、無錫排骨、咖喱雞、法式蔬菜燉雞、梅干扣肉、東坡肉、醉雞、鯖魚、辣子雞丁
有些現在已經吃不到了😭
數十年如一日的好吃！"
 張小白 ,https://www.google.com/maps/contrib/114665690239206732068/reviews?hl=zh-TW,5,False,10,連續四次星期五和同事踩點報到，每天會更換菜單，平價又美味的家常料理，尤其是香菇雞必吃，肉質軟嫩下飯，太晚到就售完啦
 Shen琳 ,https://www.google.com/maps/contrib/111048296990768056332/reviews?hl=zh-TW,5,True,447,無錫排骨$150，覺得價位平價又新鮮好吃。餐點特色在於主餐都是餐廳大菜能夠平價享用到真的五顆星推薦，配菜平實美味是喜歡的家常口味，附湯好喝。
 蔡芮郁 / 芮芮去哪裡 ,https://www.google.com/maps/contrib/106422463849055579580/reviews?hl=zh-TW,5,True,303,"菜色多元，每一樣都好吃！
飯、湯可無限續，中午人潮多，建議提早來～"
 陳芊 ,https://www.google.com/maps/contrib/101426820754342395758/reviews?hl=zh-TW,5,True,54,CP值高，主菜都很好吃，幾乎沒有缺點，一週可以吃五天都沒問題
 Yi Mao ,https://www.google.com/maps/contrib/110799808331830199665/reviews?hl=zh-TW,2,True,110,"以套餐而言，東坡肉過於大塊，一個人吃會太油膩，口感不夠軟爛，唯一優點是肉不柴，或許可以考慮一下肉小塊一點，價格就能低一點。
兩道配菜口感一般，優點是熱的，現炒，不若其他便當店大多提供冷的。
以價格來說，中餐160，二配菜一主菜略高價，以這價格大推內湖五棧小館，比金香好吃太多太多！
從點完餐到來清潔桌面等了至少6分鐘，還是叫了才來，再等上餐又花了5分鐘，這部分可以接受，因為菜是熱的，但整體動作效率不高。
總結：價格稍高，動作太慢，份量稍大，等待過久。"
 ching2 ching2 ,https://www.google.com/maps/contrib/102329328062504376487/reviews?hl=zh-TW,4,True,"1,121","🚇松江南京站

泡菜牛肉130
椰汁咖哩雞120

一個有媽媽味口感的家常菜餐廳
隨性的菜單，飯與湯都自行取用

椰汁咖哩雞的裡面有添加香茅等香料，但口感還是偏台式了一點。
泡菜牛肉部分，我懷疑有沒有上錯菜⋯⋯⋯裡面竟然有添加了白醋，酸到像醋溜土豆絲的酸度，也有添加醬油。吃到一口高麗菜酸到不行。泡菜牛肉應該是很酸的台式泡菜去炒的吧⋯不是韓式口味。

我很喜歡配菜，大家的配菜不一樣，可見得是現炒的吧，玉米炒蛋這道配菜非常好吃👍

要是有菜飯的話，我會一直去吃

好吃度☀️☀️☀️
再訪度☀️☀️🌤"
 修 ,https://www.google.com/maps/contrib/116512392038781693434/reviews?hl=zh-TW,4,True,36,"法式燉雞$140
價位偏高飯菜不管主菜都是一樣的
主菜法式燉雞味道還不錯就是因為價位的關係cp值低了一些但還算推薦"
 許珮樺 ,https://www.google.com/maps/contrib/116788382007884831649/reviews?hl=zh-TW,5,True,21,"每一道簡餐都很好吃，個人很偏愛他們的無錫排骨，也很大方給客人湯跟飯吃飽。

店內不放電視，只有輕柔的音樂，適合午餐跟朋友、同事聚在一起，還有土司貓可以玩❤️"
 琥犽 ,https://www.google.com/maps/contrib/106258839738116108188/reviews?hl=zh-TW,5,True,161,"香菇雞飯(140元)，
今天去外帶備餐速度滿快的(5分鐘左右)；雞肉滷的很嫩很入味，好吃！"
 iris Hsieh ,https://www.google.com/maps/contrib/101673422486347424661/reviews?hl=zh-TW,3,True,91,用餐環境舒適不過衛生有待加強，我拿到的那雙筷子上面都還有咖哩沒有洗乾淨，餐點尚可價錢偏高。
