user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Jim Kang ,https://www.google.com/maps/contrib/109782481785389231023/reviews?hl=zh-TW,3,True,124,"廚師一位，幫手一位，要忙foodpanda,外帶，還有內用的確需要時間等待。地瓜葉沒有，我也沒有被告知，等了許久去問才知道。（後來幫手有偷偷塞青木瓜絲送我，嘻嘻）。我的涼拌鮮蝦豬肉米線的醬汁比我想像的多，有點泡在裡面而不是涼拌的感覺。食物本身算不錯，整體經驗還可以。"
 蔡宗翰 ,https://www.google.com/maps/contrib/113413126605690985623/reviews?hl=zh-TW,3,True,232,"酸辣河粉系列只有牛肉、海鮮兩種，豬肉的話菜單寫的是烏龍麵，因此選擇了海鮮河粉(110)。

湯頭因為加入了鳳梨熬煮，口味偏甜，酸味明顯，應稱之酸甜河粉更為合適，味道頗類似附近的素食泰式河粉，不過這家口味上調味更重，並不耐吃，但基於對食物的尊重，我還是把湯喝了乾淨。

配料方面，兩隻蝦子、三個小丸子（牆壁拍攝有四顆）、兩個小卷切塊，另外有鳳梨切片以及綠豆芽，配料不算豐富但也不少，不過還好我點了海鮮，下組客人的牛肉河粉配料略顯不足，只能說老闆娘給料並不算大方。"
 Z .H ,https://www.google.com/maps/contrib/102259772064980473143/reviews?hl=zh-TW,5,False,8,河粉愛好者必須來！加魚露超提味！老闆自製的生辣椒醬敢吃辣一定要試試😍😍😍
 王小明 ,https://www.google.com/maps/contrib/107216422315433214930/reviews?hl=zh-TW,5,True,109,"店在行天宮捷運站的附近，在轉角的地方
要詳細找一下，最大的缺點就是沒有冷氣，
店裡非常的悶熱，座位也蠻狹小。
可是餐點非常的好吃，點炸排骨還會附上醬
加上去之後飯排骨跟醬非常的搭。

牛肉河粉也會另外附上檸檬。

老闆娘還多請我們吃一道菜
整體來說是個愉快的用餐體驗。"
 林朾 ,https://www.google.com/maps/contrib/117993063270085624986/reviews?hl=zh-TW,4,True,345,"吃貨ig:222.hungry

首次來訪點Foodpanda！豆芽菜給的很大方～牛肉跟河粉的量都很足！湯頭調味不錯，如果再酸一點辣一點就更好了～（希望店家給的調味料能增加魚露這個選項）燙青菜非常好吃(˶‾᷄⁻̫‾᷅˵)下次想點看看酸辣河粉跟春捲～"
 呂大胖 ,https://www.google.com/maps/contrib/102713073222178647849/reviews?hl=zh-TW,2,True,340,"今天點熊貓外送
餐點無誤
有給辣椒檸檬汁
湯頭濃郁但是沒味道啊
是不是忘記調味了
完全無法下嚥
最後都倒掉了"
 JOEY WANG ,https://www.google.com/maps/contrib/116947356204019813336/reviews?hl=zh-TW,4,True,530,上菜速度很快，麵口感偏軟爛，湯頭屬重口味，現場吃店內空間不大，適合外帶。
 ALICE ,https://www.google.com/maps/contrib/118066536317796688614/reviews?hl=zh-TW,2,False,37,"外送110元的海南雞飯
味道還可以，如果可以在菜單上描述內容物或附照片，我想我會給3~4顆星的"
 Penny Liao ,https://www.google.com/maps/contrib/108675738620287213038/reviews?hl=zh-TW,4,True,53,"這樣130好像漲價了
味道中規中矩
涼拌高麗菜沒有很入味"
 荔枝annie ,https://www.google.com/maps/contrib/105431109191100738641/reviews?hl=zh-TW,5,True,37,"我點的是乾拌牛肉米線跟酸辣河粉
價格合理，而且好吃👍"
 張茂源 ,https://www.google.com/maps/contrib/111248853507535486622/reviews?hl=zh-TW,3,True,133,這幾年換了好幾個經營者，從菜單形式到餐點口味的變化可見一斑：酸辣牛肉河粉辣度適中，但辣油稍嫌多了些，多添加店家自製辣椒會更好吃；生春捲必點，沾醬味道略淡了點；炸春捲是冷的不是現炸，不酥不脆，吃不出到底包了什麼餡料；青木瓜絲粗細不一，花生是燒焦的，完全走味！味道一般，價格稍高，桌上的醬料是亮點～
 William Yao ,https://www.google.com/maps/contrib/114649788613005068136/reviews?hl=zh-TW,4,True,610,3.7🌟有聽到講越南話的客人在吃，表示算是蠻地道的小店！首先桌上的各種醬料很豐富～檸檬切片雖然有點乾但還擠得出來，原味牛肉河粉湯頭鮮甜，牛肉片不粉嫩也不至於太老，河粉是比較不透明的白色那種，有口感不過我覺得不易入味，吃起來有點麵、湯分離的感覺，不過之後有機會還是會來試試別的。
 北台望樓google Jay Kuan ,https://www.google.com/maps/contrib/106850128551494953819/reviews?hl=zh-TW,4,True,218,河粉煮的偏軟爛，蘸料種類多，蒜頭醋很香，價格平實份量多，滿滿的一碗以男性上班族來說，份量足
 Yi-Ping Chen ,https://www.google.com/maps/contrib/112317098877152787004/reviews?hl=zh-TW,2,True,210,賣相很不錯，但是湯頭跟水一樣，不醇厚也不鮮，卻又莫名的非常酸，河粉幾乎完全爛掉變成一整坨，整體吃起來很不協調。
 闕念祖 ,https://www.google.com/maps/contrib/108538556159277637805/reviews?hl=zh-TW,4,True,"1,080",矗立巷內多年的越南美食，口味上有維持。
 豬寶 ,https://www.google.com/maps/contrib/116660285293964059204/reviews?hl=zh-TW,5,True,26,越南老闆娘做的餐真的超級道地！東西便宜實在又好吃，在中山區這個地點真的非常超值！超級推薦的越南小食！！！
 James Suh ,https://www.google.com/maps/contrib/107439141038405277275/reviews?hl=zh-TW,4,True,569,好吃，味道清單。
 李葵明 ,https://www.google.com/maps/contrib/106135020913779898234/reviews?hl=zh-TW,5,False,7,"乾淨平價的小店，會附免費的檸檬紅茶。酸辣牛肉湯米線很夠味，酸度辣度剛剛好，桌上也有新鮮檸檬切片可以自己再斟酌添加。生春捲30元一份還不賴。
老闆很客氣很親切！"
 dennis Lin ,https://www.google.com/maps/contrib/100500651840096800768/reviews?hl=zh-TW,4,True,328,酸辣牛肉米線、椰汁咖哩雞河粉、春捲味道都很不錯。平價越南小吃美食。
 Chun Lo ,https://www.google.com/maps/contrib/104328740940847859488/reviews?hl=zh-TW,5,False,16,想說試試看熊貓推薦的新店家，沒想到沒有踩雷😍而且份量很足夠，還有點太飽😅湯頭鮮美，配料也給的不小氣，會再回購👍🏻
 愛麗絲唷 ,https://www.google.com/maps/contrib/108472810284318800244/reviews?hl=zh-TW,4,True,148,價格平實，河粉美味用料新鮮，老闆很和善會幫忙倒飲料（檸檬茶），提供許多佐料可自行取用，為三角窗的攤販小店，位子約十來個，備有廁所。
 ching2 ching2 ,https://www.google.com/maps/contrib/102329328062504376487/reviews?hl=zh-TW,5,True,"1,121","原味牛肉湯85

湯頭有牛的濃郁甘甜不是清湯派
料多味美
牛肉很多蠻大方的
底下滿滿的豆芽菜跟青菜

個人覺得是減脂期不錯的地方不會吃不飽

好吃度☀️☀️☀️☀️🌤
再訪度☀️☀️☀️☀️"
 陳泰成（小金剛Ben） ,https://www.google.com/maps/contrib/100229140082303608696/reviews?hl=zh-TW,5,True,142,非常好吃，超愛酸辣口味的越南美食料理，老闆娘也熱情，超高cp值得推薦口味
 龔亭尹 ,https://www.google.com/maps/contrib/101526205849841160013/reviews?hl=zh-TW,5,True,27,"走路經過老闆很熱情的招呼我們進去也馬上開冷氣
東西份量大便宜也很好吃"
 唐芸 ,https://www.google.com/maps/contrib/116278488170537074501/reviews?hl=zh-TW,4,True,"1,418",算是蠻平價且道地的越南料理，老闆服務親切，還有免費的飲料可以喝，咖哩系列很熱門～
 Andy Liu ,https://www.google.com/maps/contrib/103827055721326328052/reviews?hl=zh-TW,4,True,373,越南牛肉河粉、酸辣鮮蝦米線、乾拌豬肉蝦子米線，價格好親民，味道也不錯！！
 愛樂芬 ,https://www.google.com/maps/contrib/103964155831170746884/reviews?hl=zh-TW,4,True,22,"麵是粗的
味道不錯但面不算多以附近男生上班族來說感覺稍嫌不足是可惜的地方"
 Loop Lemon ,https://www.google.com/maps/contrib/105899105496411178161/reviews?hl=zh-TW,4,True,310,老闆很親切，點了乾拌河粉老闆娘還問我需要湯嗎～非常有人情味的小吃店
 Steven ,https://www.google.com/maps/contrib/113504254373601985758/reviews?hl=zh-TW,5,True,32,"越南麵好吃！
泰式酸辣麵也很讚喔！老闆娘很親切"
 Siangci You ,https://www.google.com/maps/contrib/108430967610292402488/reviews?hl=zh-TW,4,True,38,"春捲真心好吃！CP值高。
乾扮蝦仁米線的蝦蝦大隻又新鮮，也推👍🏻
可惜..咖哩飯.....味道超級淡，只吃幾口就放棄了。
如果剛好在附近會再訪。"
 cathy chen ,https://www.google.com/maps/contrib/101679700724561825379/reviews?hl=zh-TW,5,True,167,透過熊貓點了幾次，以這個價格來說，品質算不錯的~
 安末那識 ,https://www.google.com/maps/contrib/116653594807902520583/reviews?hl=zh-TW,4,True,239,好吃😋👍👍👍👍👍！簡單樸實無華的老闆，做家鄉菜很道地。
 king james ,https://www.google.com/maps/contrib/108805817637406894558/reviews?hl=zh-TW,3,True,85,工作餐還可以，整體味道一般
 Hsieh Kurin ,https://www.google.com/maps/contrib/113800839201989220414/reviews?hl=zh-TW,4,True,410,"老闆非常客氣，食物平價美味。
推薦咖哩牛雞豬系列，豬血很滑嫩。"
 Noc Tyx Nuts ᕦᶘ • ꈊ•ᶅᕤ ,https://www.google.com/maps/contrib/110101666584592179763/reviews?hl=zh-TW,5,False,94,不錯吃越南麵包的肉醃得入味推薦酸辣河粉
 Ching Ting Chien (伊古雷) ,https://www.google.com/maps/contrib/116661451032522495072/reviews?hl=zh-TW,5,True,41,上周路過來吃，結果今天第四次來買了，咖哩飯很好吃哦！不是印度咖哩醬，是湯湯的~真的好好吃Q.Q。
 徐佳鉦 ,https://www.google.com/maps/contrib/105216612885794266477/reviews?hl=zh-TW,5,False,11,"很好吃
但品項太多料理麻煩出餐會稍微等一下"
 George Chang ,https://www.google.com/maps/contrib/115859903920889068619/reviews?hl=zh-TW,2,True,245,看起來不錯但湯頭像水一樣蠻可惜的老闆人不錯但湯頭感覺就是像沒湯底加了水加減賣的感覺
 WANGきみ ,https://www.google.com/maps/contrib/109073702598462038314/reviews?hl=zh-TW,4,True,290,"店不大，中午用餐容易客滿。。
只有河粉跟米線，希望能有油麵"
 Catherine Hsieh ,https://www.google.com/maps/contrib/110705634249848219859/reviews?hl=zh-TW,5,True,50,料多豐富，口味道地！老闆待客超親切熱情～
 yahan Y ,https://www.google.com/maps/contrib/113120762969360187244/reviews?hl=zh-TW,1,False,3,"地址店家留錯外送延遲，餐點又有少，店家自己心裡清楚卻沒有派人自行補上，還要電話催促
另又說現場客人太多，直接掛電話。
服務態度極差！"
 TienN Liu ,https://www.google.com/maps/contrib/116950669877808088545/reviews?hl=zh-TW,3,True,49,東西還不錯，價格也合理，但拜託老闆娘戴口罩好嗎？不管是料理還是料理區講電話都不戴口罩，這樣可以檢舉了吧
 Tai Neng Wang ,https://www.google.com/maps/contrib/117019788662759158430/reviews?hl=zh-TW,5,True,32,酸辣海鮮河粉必點炸春捲好吃
 Iris Chen ,https://www.google.com/maps/contrib/102753337903026249620/reviews?hl=zh-TW,5,False,10,好吃又大碗❤️超讚🥹
 Hector Lin ,https://www.google.com/maps/contrib/108120323371542171368/reviews?hl=zh-TW,3,True,472,換老闆經營後，用餐環境比較乾淨衛生，不錯。
 花花兒 ,https://www.google.com/maps/contrib/105728067571673707714/reviews?hl=zh-TW,1,False,20,"只有我一個客人
還特地詢問要畫單嗎她說要
結果鮮蝦豬肉河粉給我豬肉米粉
坦白說出錯率滿高的這次第三次
會來留評價就代表我不會再給機會了
做生意不認真到令人傻眼"
 呂佳璇 ,https://www.google.com/maps/contrib/114606422624603145255/reviews?hl=zh-TW,5,False,8,湯頭口味真的很不錯❤️
 richard yang ,https://www.google.com/maps/contrib/108773154685146019134/reviews?hl=zh-TW,5,True,155,可以嚐到越南味
 mary Lee ,https://www.google.com/maps/contrib/112739445362268648216/reviews?hl=zh-TW,3,False,15,不知道是不是換人經營了，口味變了，咖哩變成濃稠口感，還是比較喜歡之前的口味。
