user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Celine Wu (安特衛普藍) ,https://www.google.com/maps/contrib/113979587176088658233/reviews?hl=zh-TW,5,True,32,初訪，環境整潔、是間平價式日式料理店，這次點了薑汁豬肉定食及醬燒烤雞腿定食都很好吃。生魚片也新鮮！
 夜ちゃん ,https://www.google.com/maps/contrib/104708381446121699500/reviews?hl=zh-TW,5,True,21,"點了烤大蝦定食，蝦子很大隻肉質也很脆！
調味只是簡單的灑鹽但剛好很好的襯托出蝦子本身的甜味
定食的部分湯是好喝的味噌湯，煮物也不錯吃，米吃起來也很香
價格稍微高了點但蝦子很值得~"
 柯 ,https://www.google.com/maps/contrib/113787676467558248834/reviews?hl=zh-TW,3,True,591,經營很久的店家了，食物尚可，但菜單一成不變，可以再豐富些；用餐空間略為狹窄不是太舒適
 Joker Tai ,https://www.google.com/maps/contrib/101928545543865065635/reviews?hl=zh-TW,5,False,27,定食很細緻應有盡有生魚片新鮮好吃
 Cinnie Funi Lee ,https://www.google.com/maps/contrib/112883500844990451524/reviews?hl=zh-TW,4,True,15,手卷系列先上桌就覺得有厲害，蝦子大隻看起來很可口，定食套餐中的烤雞很入味，家人吃的是炸豬排定食直說好吃，花壽司中的蔬菜量多配上炸蝦很爽口，假日沒有炒烏龍有些可惜，但海鮮烏龍麵裡有大塊肌肉和大片鯛魚，每道料多價格也實在。
 陳pamela ,https://www.google.com/maps/contrib/102755568038589501293/reviews?hl=zh-TW,5,True,534,食材新鮮，烤魚相當好吃，店員美麗服務親切
 便當大叔BanDonUncle ,https://www.google.com/maps/contrib/112489964689555570570/reviews?hl=zh-TW,5,True,39,有溫度的日料餐廳，醋飯比例完美，手卷的高麗菜絲與附餐薑片的小細節也處理的很棒，十分低調卻美味的一間店，店內位置不多，卻很溫暖，難得在大直有明屋結束營業後，再發現這樣的一間好地方，推薦鯖魚與生魚片
 Melody Lai ,https://www.google.com/maps/contrib/115564979679363957605/reviews?hl=zh-TW,5,True,120,"烤魚定食跟生魚片都非常新鮮
青菜很豐富不用擔心吃不到菜
味增湯料多實在！"
 molly chou ,https://www.google.com/maps/contrib/113087607029128675365/reviews?hl=zh-TW,5,True,76,家人推薦的，果真料好實在，只拍了這個，其他都等不及先吃下去了😂牛肉丼飯也好好吃，炙燒鰭邊肉也好好吃，入口即化，下次一定會再來
 邱清松 ,https://www.google.com/maps/contrib/109564693916945152654/reviews?hl=zh-TW,4,False,218,"固定常來光顧的日式料理餐廳。
菜色有定食，丼飯，生魚片與定食還蠻多，
最近再來時價位有調漲了。
單點套餐可任君選擇。
家人最常點是握壽司，炙燒握壽司，秋刀魚定食，碳烤中卷定食。"
 Lorris Lin ,https://www.google.com/maps/contrib/113997687018190437693/reviews?hl=zh-TW,5,True,241,環境乾淨服務好，豬排酥軟好吃，花壽司生菜多味道也好。
 林承恩 ,https://www.google.com/maps/contrib/117820582817364768889/reviews?hl=zh-TW,5,True,"1,076","不用服務費
商業午餐滿划算
可以刷卡"
 余哈哈 ,https://www.google.com/maps/contrib/105396851452653394753/reviews?hl=zh-TW,4,True,361,生魚片新鮮好吃，薑汁肉片也入味，牛小排口感也不錯。
 Et W ,https://www.google.com/maps/contrib/112324773034274902024/reviews?hl=zh-TW,4,True,48,食材新鮮又美味師傅手藝真好烤魚烤透抽烤蝦拿捏得宜外脆內嫩價格也算合理可惜內面太小座位有限
 李媛湘 ,https://www.google.com/maps/contrib/101585649048884962247/reviews?hl=zh-TW,3,True,115,"進門聽到音樂就知道是九江
因為音樂是千古不變
菜色也是一成不變
點的花壽司一樣是好吃
也似乎沒有特別的創意餐點了"
 Phoebe Hsu ,https://www.google.com/maps/contrib/112225703773870362790/reviews?hl=zh-TW,5,True,127,有的時候就是會很想吃個酸酸甜甜白的豆皮壽司+味增湯當點心。這時候就會很慶幸能夠走到店家去吃。
 Jackie Lin ,https://www.google.com/maps/contrib/104301250575093037110/reviews?hl=zh-TW,4,True,121,九江味屋日式居酒屋、排隊高人氣名店、採開放式廚房、￼我喜歡看到廚師處理料理￼、感覺溫馨、而且即時吃到熱騰騰的食物、東西新鮮服務到位、￼牛排肉嫰甜、烤五仔魚烤透抽、清菜油豆腐皆入味、用餐結束感覺幸福快樂。￼
 P C ,https://www.google.com/maps/contrib/105869907167661676208/reviews?hl=zh-TW,5,True,61,很新鮮的刺身，生鮮握壽司與多汁的炸豬排定食。物超所值，值得等待品嚐好吃的日式料理。
 ITing ,https://www.google.com/maps/contrib/101912450915995939603/reviews?hl=zh-TW,4,True,454,"好吃
秋刀魚定食有兩條秋刀魚
但生魚片丼有點空虛"
 Daniel Hou ,https://www.google.com/maps/contrib/104553544391567578960/reviews?hl=zh-TW,5,True,94,店面雖然不大，但料理都很美味。
 Pai Vivian ,https://www.google.com/maps/contrib/110417042269555904919/reviews?hl=zh-TW,5,True,30,在沒有期待下幫孩子買午餐，醬燒雞腿定食出乎意外好吃、主食與配菜都相當出色，以250元價位是很值得推薦的定食，且無服務費。
 Daniel Yeh ,https://www.google.com/maps/contrib/111877060132724403456/reviews?hl=zh-TW,4,True,152,烏龍麵湯頭很甘醇爽口，烏龍麵口感尚可
 Judy Cheng ,https://www.google.com/maps/contrib/112498530753430614562/reviews?hl=zh-TW,4,True,269,疫情二級解封後進來九江，有三位師傅，氣氛相當不錯，當天點了綜合握壽司、鮪魚壽司卷含味噌湯，烤魚沒得點，沒有茶碗蒸，味噌湯不在菜單上哦！握壽司的生魚片很新鮮，好吃！另外也推味噌湯，一碗倒推應該是35元，蠻夠味的～之後會想再來吃看看烤魚、烏龍麵跟定食。最後比較可惜的部分是衛生，看之前的評論沒有人提及，不知道是不是疫情後剛開始內用，桌面和拖盤都有小顆黑色的排遺…拜託好好改進……
 宸鈺 ,https://www.google.com/maps/contrib/113527855367063209776/reviews?hl=zh-TW,4,False,7,我於九江味屋店內享用了牛肉丼飯和花壽司，牛肉丼飯的蛋汁和米飯浸在一起，使飯吃起來更滑嫩，而花壽司絕大部份是不錯吃的，但我認為炸蝦和玉子燒的份量要多一點，不然整體的高麗菜量實在是有點多。
 張小 ,https://www.google.com/maps/contrib/111126108268414045089/reviews?hl=zh-TW,4,True,193,燈光美、氣氛佳、食材好吃～
 歐陽嘉隆 ,https://www.google.com/maps/contrib/110567830117272221332/reviews?hl=zh-TW,1,False,10,特地前來結果才6點多就沒有任何醋飯，訂位時也不告知，吃日式壽司就是要配冷飯醋飯。
 Rebecca Courage ,https://www.google.com/maps/contrib/110799176921584392846/reviews?hl=zh-TW,5,True,61,優值好店。食材新鮮，價格合理！熟客居多，有很多隱藏版料理！
 Wang Sonny ,https://www.google.com/maps/contrib/112804344972629218905/reviews?hl=zh-TW,5,True,199,"在家附近，今天路過吃，不賴欸,可以"
 Franklin Lin ,https://www.google.com/maps/contrib/113638397225748926256/reviews?hl=zh-TW,1,False,2,服務很差，點什麼沒什麼，最後點鮭魚生魚片井，給你來炙鮭魚親子井。下次不會再來了。謝謝不要再連絡。
 Emily Chiang ,https://www.google.com/maps/contrib/111218961844082624503/reviews?hl=zh-TW,5,True,166,炙燒旗邊肉超好吃～
 林嘉焜 ,https://www.google.com/maps/contrib/110513925973336172391/reviews?hl=zh-TW,4,True,346,炒烏龍不錯，而鯖魚定食份量足，夠二人分享。
 Ting Hui Sung ,https://www.google.com/maps/contrib/111197735315969809919/reviews?hl=zh-TW,4,True,213,"2018/11
餐點:秋刀魚定食，居然有兩條!!魚雖不大，但烤得非常美味好吃!
服務:這次餐點和餐具有一起送來了。
環境:放著日本經典流行歌，一樣非常舒適。

秋刀魚定食270元，覺得很划算，下次想吃吃看400元的鯖魚定食。

2018/7
餐點：炸豬排上面有淋豬排醬，高麗菜絲加美乃滋有點多餘，高麗菜絲的水沒有瀝乾，吃到後面豬排的麵衣濕濕的。
環境：中午時段人不多，還滿舒適的。
服務：服務人員快速帶位點餐，餐具若和餐點同時遞上更好。

豬排定食250元，不用服務費，豬排雖不大，但包含煮物、沙拉、味增湯，吃得飽還算划算，下次會再試試烤魚類定食。"
 yu-chung Fang ,https://www.google.com/maps/contrib/102296979239850617747/reviews?hl=zh-TW,5,True,156,大推花壽司和鰭邊肉握壽司～生魚片也很不錯
 葉佳青 ,https://www.google.com/maps/contrib/113841148860905609044/reviews?hl=zh-TW,4,False,75,好吃！但是第一次去吃的話會不知道怎麼點餐，因為有些菜色是菜單上沒有的！
 羅俊英 ,https://www.google.com/maps/contrib/116881960717351836626/reviews?hl=zh-TW,4,True,28,烤秋刀魚的味道很棒，價格也合理
 Peter Cheng ,https://www.google.com/maps/contrib/117620275353171519047/reviews?hl=zh-TW,5,True,484,"牛丼飯美味,味噌湯續喝,漂亮!"
 彭琬甯 ,https://www.google.com/maps/contrib/113080558948284946672/reviews?hl=zh-TW,5,False,17,鹽烤午仔魚竟然是一整條的，很嫩很好吃～烏龍麵QQ湯頭好喝😊豪華生魚片丼的海鮮也很新鮮，意外的高CP值～下次又想吃烤魚的時候會再訪的❤️
 Rachel Green ,https://www.google.com/maps/contrib/104232322846451415365/reviews?hl=zh-TW,5,True,194,"真的是近期吃過最好吃的牛丼!外送不管味道,溫度,份量都讓人滿足!!!"
 謝天涯 ,https://www.google.com/maps/contrib/104086867845098500853/reviews?hl=zh-TW,4,True,396,"這兒的日料算平價，餐點都很實在，定食的價格也不貴。
老闆很年輕，服務生也都很親切。不收開瓶費。
烏龍麵250,鮭魚炒飯150,我都很喜歡。"
 Tina Cia ,https://www.google.com/maps/contrib/110427082304944264221/reviews?hl=zh-TW,2,True,55,"你們的豬排定食根本不是日式豬排...
建議你們要繼續賣這道主餐最起碼跟勝政的里肌差不多"
 Dorothy Hsu ,https://www.google.com/maps/contrib/100502572287409381545/reviews?hl=zh-TW,4,False,12,東西好吃，但是最近兩次去都發現吧台的師傅沒有戴口罩，雖然疫情減緩了，但是做餐飲類的工作建議還是把口罩戴上吧
 Betty CHENG ,https://www.google.com/maps/contrib/105625454701138994313/reviews?hl=zh-TW,2,True,22,"很多年前是九江的常客，覺得東西好吃價位合理，這次再次造訪，覺得料理很普通，價位也變貴了。不會讓人想再去的感覺。
價位提升，料理卻沒有進步。"
 Erika ,https://www.google.com/maps/contrib/113705142213632128265/reviews?hl=zh-TW,5,True,81,我點了炙燒鮭魚親子丼，蠻好吃的!豬排也不錯~第一次來給我很好的印象!位子不多，不會覺得吵雜，可以吃得很舒適!
 Hui-Ju Chang ,https://www.google.com/maps/contrib/112558755317462631602/reviews?hl=zh-TW,5,True,171,食物品質穩定，價格公道，不收服務費，每一樣食物的味道有區別，很多味道也很日式，湯汁漬物等料理都感受到用心，最喜歡花壽司，還有關東煮，覺得花的錢很值得!會持續光顧!
 M ,https://www.google.com/maps/contrib/105804211277160361526/reviews?hl=zh-TW,2,True,226,"近期去吃，發現鯖魚定食價格和之前差很多…
且豬排定食，豬排小小一塊肉也滿薄，跟一般豬排店的厚實豬排有些差距，令人有些失望～"
 曾逸洲 ,https://www.google.com/maps/contrib/101180863697557002838/reviews?hl=zh-TW,4,True,193,最近用餐點了豬排定時以及鯖魚定時，其中鯖魚跟手臂一樣大，而且味道很美味，那麼豬排的部分吃起來是有厚度的，也是很不錯。
 chingsheng feng ,https://www.google.com/maps/contrib/106893401585745336595/reviews?hl=zh-TW,5,True,97,"食材吃起來新鮮，烤鯃魚相當好吃，搭配味增湯以及煮物令人滿意。
老闆客氣，很好聊耶~"
 I T Chao ,https://www.google.com/maps/contrib/117376566917384801349/reviews?hl=zh-TW,4,True,332,位於東湖康寧路與民權東路交界附近的一個日式居酒屋料理店，有定食也有很多單點。味道還不錯。湖州捷運站可以走到。
 Rex Jiang ,https://www.google.com/maps/contrib/104032552900878725186/reviews?hl=zh-TW,4,True,365,"食材新鮮東西也很好吃，可以來試試看
整體環境也算維持的不錯
推薦定食，除了東西好吃
搭配的滷菜也很豐富！"
 Alex Liu ,https://www.google.com/maps/contrib/104499415191318084355/reviews?hl=zh-TW,1,False,10,店家的服務心態真有問題，居然規定漬物小菜因為店內使用數量可能不夠，不讓外帶（而當時店內一個客人都沒有）....
 Hui-Ju Yang ,https://www.google.com/maps/contrib/102621716569151216102/reviews?hl=zh-TW,3,False,34,"餐點好吃

近日疫情嚴峻應注意防疫吧台內廚師應佩戴口罩做好防疫措施"
 馬殺雞跑跑 ,https://www.google.com/maps/contrib/111646406441840452930/reviews?hl=zh-TW,4,True,162,他的生魚片滿新鮮的，還有黑輪，餐館地方不是很大，到了晚上都客滿，價格尚可。
 Helios ,https://www.google.com/maps/contrib/111063114941276976922/reviews?hl=zh-TW,4,True,62,好吃，只可惜座位有點少，經常需要等。廚師邊做料理偶而會跟客人喝上一杯，感覺很帥氣。
