user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 frank yang ,https://www.google.com/maps/contrib/117513551131540652392/reviews?hl=zh-TW,3,True,217,"因為不聽老婆的話，點了蚵仔相關之外的許多餐點，結果真的令人有點失望...相較於蚵仔煎，幾乎所有的餐點口味都偏淡，而且紅蘿蔔炒蛋實在是瞎爆了...建議店家這道菜乾脆別出了，真的很扣分!
店內及洗手間都相當乾淨，這點值得要好好稱讚一下!👍
結論:蚵仔煎和虱目魚肉湯是重複吃了幾次都不曾NG的餐點，偶爾換換口味還是會點來吃~"
 J W ,https://www.google.com/maps/contrib/108335033193296877694/reviews?hl=zh-TW,2,True,107,"剛好經過買了外帶老闆與老闆娘服務態度還不錯
缺點是人手不足等了半小時才拿到餐
虱目魚（180元）有點小片口味吃起來ok酥酥脆脆的
蚵仔蛋（150元）裡面蚵仔算多也不小可惜是淋了醬醬口味很普通如果是讓客戶自己選擇淋醬或原味會好一點
基本上不會讓人驚喜的店有經過且店內人不多時可以吃不建議人多時來吃真的等太久啦！"
 楊武憲 ,https://www.google.com/maps/contrib/112970315634633755676/reviews?hl=zh-TW,2,True,145,"烤肉便當的肉是冷的也是甜的（像濕軟的甜味肉乾），而且肉片吃起來已有蟑螂味，肉品存放及環境衛生應要加強。
炸豆腐、魚肉湯、肉燥飯及肉燥蚵仔飯的外送價格cp值不高。
（晚餐時間訂熊貓外送）"
 Zao-Wei Yang ,https://www.google.com/maps/contrib/113563972046432442719/reviews?hl=zh-TW,3,True,315,雖然說是以蚵仔為主要銷售重點，但老實說味道就是中規中矩，沒有太令人驚艷。
 趙芩 ,https://www.google.com/maps/contrib/101807247024191932203/reviews?hl=zh-TW,2,True,29,點了一碗海鮮粥、虱目魚肚湯、蚵仔酥，海鮮粥很好吃，虱目魚肚湯的湯底普通，蚵仔酥150元，但是蚵仔非常大顆好吃～衛生可能需要注意，雖然有說要退錢，不過還是拒絕了，今天要是沒遇到蟲蟲，會給四顆星
 Lorenz Lu (盧森堡) ,https://www.google.com/maps/contrib/102201837686324117919/reviews?hl=zh-TW,2,True,315,"令人可惜，我不能說是不好吃，但整體感覺就很普通，沒有發揮蚵仔煎的鮮甜味，兩顆心啊不會再來.
。"
 海豬吃吃喝喝人生 ,https://www.google.com/maps/contrib/114580433393052377529/reviews?hl=zh-TW,3,True,266,海鮮新鮮料蠻多的但價格偏高食物還行因為蚵仔煎讓我多加一顆星
 蔣先生 ,https://www.google.com/maps/contrib/108303773096792317667/reviews?hl=zh-TW,1,True,116,"虱目魚肚湯｛$80｝湯頭普通，魚肚一小片，肉質偏硬，份量不足！
紅蘿蔔絲炒蛋｛$40｝感覺像是水煮紅蘿蔔絲加蛋白，沒有蛋黃的部份，口味也偏淡！
雙蛋蚵仔煎｛$85｝口味普通，只有蛋黃沒有蛋白，蚵仔很小，大概只有10來顆，價格頗貴！
燙青菜｛40｝水燙一下淋上油蔥！

點菜後大概要等20～30分鐘才會上菜，標榜-純手工製作！｛建議有耐心的再去品嚐｝"
 Rachel Lai ,https://www.google.com/maps/contrib/102788666627864679957/reviews?hl=zh-TW,3,True,637,"上菜速度很快，味道還可以，但價格太高了，蚵仔煎居然要85，看起來是很大一份但是蚵仔不大顆量也少，吃完覺得有種被坑的感覺。
餐具都是瓷器跟不鏽鋼這點很好。但烘碗機的筷子頭尾不一且濕濕的，感覺店家沒有特別注重衛生只是做做樣子....."
 徐bread ,https://www.google.com/maps/contrib/101184655940888104467/reviews?hl=zh-TW,4,True,147,"蝦、蚵仔等海鮮份量都很大也新鮮，
可惜用餐當日人手明顯不足，
收餐不及，供餐也缺東缺西有點可惜。"
