user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 莓姬貝利食事旅行 ,https://www.google.com/maps/contrib/117289748082177383454/reviews?hl=zh-TW,5,True,451,"非常好吃，咖哩醬是日式風味的有蔬果的鮮甜，吃多不會膩，炸雞嫩到會出汁，有點厲害。

份量也滿足夠的，推！

炸雞咖哩飯-加滑蛋
195元
荷包蛋20元
餐點附味噌湯

🉑可以街口支付。

內用有附冰開水，餐具自取"
 Youtube語風薯薯 ,https://www.google.com/maps/contrib/117977357838317874245/reviews?hl=zh-TW,5,True,220,"價位在150up的咖哩，有滑蛋可以加也有焗烤，會附味噌湯，內用也有簡單的冰水跟飲料，隱身在巷弄之間。
-
炸雞時間抓得很好外酥內嫩，趁熱吃還有雞油滲入你的胃蕾，鱈魚有兩塊入口即化，外皮酥脆不油膩，咖哩口感跟外面不太一樣，比例不同，口味較清淡也很比較沒有黏稠感，吃起來感覺更健康。"
 黃美君 ,https://www.google.com/maps/contrib/110512219524729383125/reviews?hl=zh-TW,5,True,40,"咖哩味道清爽，滑蛋好吃不油膩，炸雞外皮酥脆柔雞肉軟嫩多汁~很推！
另外附一碗味噌湯，飲料可自取。"
 天選之舌 ,https://www.google.com/maps/contrib/102324692089946960732/reviews?hl=zh-TW,4,True,790,"炸雞咖喱飯$150+滑蛋45：

-炸雞嫩又多汁，不油皮也薄很不錯。

-咖喱較清淡，汁也少，我配不到3/4的白飯而已。

-滑蛋45貴了點，但沒滑蛋會真的像吃飯

-白飯有Q還不錯

炸雞超乎預期，其他表現平平"
 張承恩 ,https://www.google.com/maps/contrib/112447972545040525434/reviews?hl=zh-TW,5,True,43,"味道很棒！值得一試
日式咖喱口味主菜無論點什麼都好吃
可惜不能續飯…"
 張睿芸 ,https://www.google.com/maps/contrib/112768197700884227969/reviews?hl=zh-TW,4,True,119,"炸雞跟南瓜可樂餅很好吃😍歐姆蛋也是我愛的
份量很可以推推"
 喵喵能有什麼壞心眼 ,https://www.google.com/maps/contrib/112525824092727187752/reviews?hl=zh-TW,5,False,23,"咖哩好吃，味噌湯好喝，炸蝦酥脆，滑蛋超讚！
店家開了六年我現在才發現，每次去全聯都會經過巷門口，但從來沒有往裡面看過。
有種在家裡挖到寶的感覺XDD下次再來試試可樂餅😆"
 大班恩 ,https://www.google.com/maps/contrib/107839144847286388224/reviews?hl=zh-TW,5,True,166,"台北大縱走後
下山無意發現的咖哩店
醬濃、豬排炸得恰到好處
誤打誤撞的好滋味"
 Jing Yeh ,https://www.google.com/maps/contrib/105173338801277241240/reviews?hl=zh-TW,5,True,"1,143","推薦排行：可樂餅、炸雞。
個人覺得是非常好吃的咖哩飯，是屬於日式口味。炸雞非常軟嫩，跟日本的口味幾乎一樣，而且但日本是乾的，這邊是有湯的更加分😍😍
起司可樂餅超好吃，必點推薦！！外酥、內綿、餡濃。看起來不起眼，吃起來非常驚艷！下次要試看看南瓜口味。
點的是週末限定的漢堡排咖哩飯。跟日本的相比，肉感覺更碎，吃不太到肉的感覺，個人比較喜歡帶點肉勁的口感，但是依舊不錯吃。
滑蛋的部分做的很不錯，技術很好，建議可以加點鹽更能提出蛋本身的蛋香👍👍
咖哩醬本身味道味道適中，花椰菜跟紅蘿蔔是額外放上去的，沒在醬裡面熬。但是紅蘿蔔的內心是甜的也是讓人蠻驚訝的。
雖然隱藏在小社區內，但整體是個很好的店家，推薦！"
 Yaya Wu ,https://www.google.com/maps/contrib/102141877635780448917/reviews?hl=zh-TW,5,False,19,點了牛肉跟豬排咖喱飯，都很好吃！日式炸雞超級厲害！！又嫩又多汁～下次想試試看歐姆蛋😍
 Wesley Luo ,https://www.google.com/maps/contrib/106545909834649388466/reviews?hl=zh-TW,5,True,3,不加咖哩的滑蛋豬排就很好吃，滑蛋有味配白飯好吃，豬排與炸雞的份量很有誠意；咖哩鮮甜有味不鹹，味增湯也是濃而不鹹；覺得花菜蘿蔔沒跟咖哩一起煮就沒味道，或習慣吃重鹹的就不用來了
 Jiunchi ,https://www.google.com/maps/contrib/100805038353869775501/reviews?hl=zh-TW,3,False,6,"叫了Uber外送咖哩牛肉飯，份量少
配料就是三塊紅蘿蔔丁
兩小朵青花椰
沒有去過店面用餐
不知是否因為要抽平台費才這樣
整個外觀看起來就是路邊攤包裝
看了很難有食慾耶"
 Green Tree ,https://www.google.com/maps/contrib/110798539118164338845/reviews?hl=zh-TW,5,False,29,"東西好吃，價格實在，值得再度去！
今天點了蛋包咖喱飯，咖喱味道加上軟嫩的蛋包飯十分幸福，炸雞的肉好像有用料酒醃過，裡頭軟嫩外側酥脆。炸豬排完全超乎我想像的好，第一次吃到沒有炸過頭而且裡面帶有汁的炸豬排，口感非常軟，即使是小朋友也能夠輕易的咀嚼。"
 Charlie Chen ,https://www.google.com/maps/contrib/108132085199905264117/reviews?hl=zh-TW,2,True,396,牛肉咖喱肉太少，炸豬排有個臭味，很像豬肉放太久或是豬肉當初沒有放血放乾淨，腥味滿重，後來根本沒有吃完豬排，店家還算親切，不過以這樣的肉質，之後不會再前往用餐了:(
 Lian Lin ,https://www.google.com/maps/contrib/112789924401703455827/reviews?hl=zh-TW,5,True,91,"要說江田屋是我最愛的咖喱屋也不為過。
他家的唐揚雞和漢堡排是我最推薦的兩個品項，必點！尤其大大大大推他家的漢堡排咖哩飯，而且是「五・六・日限定」，平常來還吃不到。

漢堡排非常多汁，上面鋪了一層起士，送上來時會因為熱氣而呈現半融化狀態。搭配好吃的咖哩醬，完全是人間美味。唐揚雞的多汁也不遑多讓，咬下去雞汁會流出來，真棒。

若你不是點咖哩相關的品項，像是漢堡排飯加滑蛋之類的，會再另外附一盤胡麻醬高麗菜絲，解膩清爽又好吃！不想吃咖哩的時候我都會點這個～

江田屋唯一的缺點是油煙味。由於是開放式廚房，所以店內的油煙味稍微重了些。我其實是對味道很敏感的人，不過！！這完全不影響我對他家漢堡排的愛，不管油煙味再重，我都還是會一直來吃的！！！太好吃啦！！！"
 Rain Fish ,https://www.google.com/maps/contrib/110339975737398646946/reviews?hl=zh-TW,5,True,664,唐揚雞很棒，咖喱是家常口味好吃，蛋包很厲害！價格實在又好吃，不過座位比較少一點，要稍微等一下～～
 Kate C ,https://www.google.com/maps/contrib/115165594444513564148/reviews?hl=zh-TW,3,True,630,"日式炸雞，酥脆多汁好吃，
咖喱則很普通，味增湯不太好喝，
單點的炸牡蠣也是普通。"
 吳阿文 ,https://www.google.com/maps/contrib/104507140460822704271/reviews?hl=zh-TW,5,False,45,炸豬排軟嫩有嚼勁酥炸的剛剛好！麵衣不厚口感很讚。蛋很軟嫩熟度剛剛好，每次去吃都煎的一樣漂亮！價位也很平價，附味增湯跟檸檬紅茶，但飲料有點甜。只有夫妻在做，吃飯時間去會要等一下
 Tammy Hsieh ,https://www.google.com/maps/contrib/115136197472197022678/reviews?hl=zh-TW,5,True,211,"炸雞、牛肉、漢堡排都很好吃，建議一定要加點滑蛋，炸雞肉質鮮嫩、牛肉份量十足也好吃、漢堡排外層包覆著起司，吃起來卻好吃不膩口，都很不錯。

空間簡單乾淨，食物美味，適合好友、家人一起同享的餐館。"
