user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 rich tsai ,https://www.google.com/maps/contrib/111073003590137426934/reviews?hl=zh-TW,4,True,91,巷弄內的家常菜，飯後感覺滿足，服務親切。魚料理好吃，豆干肉絲，肉是滷肉，蠻特別的，蝦仁烘蛋，蝦子Q彈，炒青菜清新可口
 蕭旭庭 ,https://www.google.com/maps/contrib/104640239295693865757/reviews?hl=zh-TW,4,True,284,"上菜速度快
價格樸實
餐點美味度與份量很可以接受
尤其炒青菜
份量絕對足夠還一百元內"
 mama kuo ,https://www.google.com/maps/contrib/110507612788868914552/reviews?hl=zh-TW,5,True,191,"糖醋排骨
炒羊肉
竹筍炒肉絲
菜圃蛋
薑絲大腸
高麗菜
炒龍珠
炸中卷
豬肉豆乾
肉絲炒飯
這樣才不到兩千元
新發現的店
還不錯"
 Haru哈魯享生活 ,https://www.google.com/maps/contrib/104130274804180583607/reviews?hl=zh-TW,5,True,240,肥肉豆乾好吃😋蝦子好扎實量多很讚
 Judy Lin ,https://www.google.com/maps/contrib/114267293108907213141/reviews?hl=zh-TW,2,False,17,看評論很多人推薦炒飯….但我不推薦…..
 邱清松 ,https://www.google.com/maps/contrib/109564693916945152654/reviews?hl=zh-TW,4,False,218,"巷弄間的小吃店，上菜速度很快。
炒大腸/鐵板豆腐/糖醋黃魚/子薑牛肉/蛤蜊絲瓜還不錯吃，價格也經濟實惠。
適合小家庭/朋友聚會小吃。多點幾道菜可以品嚐多種口味。"
 Ivy。旅圖嬉遊記 ,https://www.google.com/maps/contrib/110688628063763163996/reviews?hl=zh-TW,3,True,809,菜單種類很多，一不小心點多了，一個炒飯兩樣菜，炒飯好吃，炒螺肉有點油，番茄炒蛋偏鹹。整體口味偏重。
 黃雅韓 ,https://www.google.com/maps/contrib/103553350401767431049/reviews?hl=zh-TW,3,False,18,想體驗法式正統風情可以來試試，六點半到八點多菜還沒上完，孕婦千萬別來我怕妳等到生出來
 輕洋 ,https://www.google.com/maps/contrib/107647450926984110513/reviews?hl=zh-TW,4,True,144,老店家常菜，服務好
 Zack Lee ,https://www.google.com/maps/contrib/111084354096089497351/reviews?hl=zh-TW,5,True,274,老闆娘真誠親切口味偏重像阿嬤煮的家常菜很下酒也很下飯
 王小民 ,https://www.google.com/maps/contrib/102695479587006948737/reviews?hl=zh-TW,5,False,8,老闆手藝好，外帶回家吃比較優
 wen chen ,https://www.google.com/maps/contrib/101868680202364429222/reviews?hl=zh-TW,4,True,225,每次家人聚餐都會吃，可惜沒有鳳梨蝦球了~~
 蔣小蝶 ,https://www.google.com/maps/contrib/111103553551181930093/reviews?hl=zh-TW,5,True,739,經濟實惠，環境較簡單，蒜酥中卷、炒飯都不錯、蝦有新鮮
 大葳 ,https://www.google.com/maps/contrib/104313562147444515018/reviews?hl=zh-TW,2,True,627,生意很好，可是味道不甚滿意。
 Tinghsuan ,https://www.google.com/maps/contrib/109188397557707410869/reviews?hl=zh-TW,5,True,641,社區巷弄內的用心好料理，光是炒飯就能讓人回味無窮!
 詹凱庭 ,https://www.google.com/maps/contrib/107134667373966308551/reviews?hl=zh-TW,3,False,278,味道不錯..一直都有人打電話外帶
 蕭蕭蕭薏仁 ,https://www.google.com/maps/contrib/102498308453606841059/reviews?hl=zh-TW,5,True,271,服務態度很好，食物很好吃，裝潢一般般，老闆的手藝30年來始終如一，熱炒居多，海鮮類偏少，不過基本海瓜子還是有的！
 Hsu Albert ,https://www.google.com/maps/contrib/115694712976068743958/reviews?hl=zh-TW,3,False,6,炒飯完全不推，又濕又炒不勻
 于小民 ,https://www.google.com/maps/contrib/101084680000551475594/reviews?hl=zh-TW,5,True,371,好吃的在地私房熱炒美食，價位便宜菜色多樣
 李美雲 ,https://www.google.com/maps/contrib/108186045984771526996/reviews?hl=zh-TW,4,True,458,家常菜，爽口好吃。假日的客人都蠻多，需等候，今晚等了20多分鐘，才吃到飯菜。
 Kate C ,https://www.google.com/maps/contrib/115165594444513564148/reviews?hl=zh-TW,2,True,630,炒飯味道不錯，雖然不是粒粒分明那種，但吃起來順口，熱炒便宜但點過幾樣表現略差，鐵板豆腐，豆腐過老；炒大腸，味道不錯但大腸非常韌；五花肉豆干，竟然是滷五花炒豆干，不覺得好吃，且豆干品質不好；高麗菜沒有一般熱炒店有的鑊氣，吃起來像便當裡會吃到那種高麗菜
 Tiramisu Ho ,https://www.google.com/maps/contrib/112863051836697876156/reviews?hl=zh-TW,5,True,213,"阿不拉是一間容易忽略的珍寶，沒有起眼的硬體和裝潢，甚至有在民房裡做生意的錯覺，但回歸到餐廳的靈魂，這裡的菜式道道都讓人感受到滿滿的誠意。
和同事聚餐，因此有機會一次吃到這麼多菜的種類，其中：炒螺肉是大量級的螺與薑絲九層塔炒香，飽嘴又香氣四溢、水晶魚疊了兩三層，魚肉鮮嫩到抿開就化了、炒田雞骨頭稍多但極會調味，炒香的功力了得、蝦仁蛋那蝦子的塊頭絕對是一般熱炒店的兩倍大，而且佈滿每一口、薑絲大腸不用嗆鼻的醋精調味、反而是酸菜的原味，鹹豬肉份量十足，配上蒜苗是絕對好滋味。
其他沒提及的一樣是水準之上，重點是份量十足、價格漂亮、美味兼具；點了這麼多都是中份量、加上白飯、約十瓶啤酒，只要約四千出頭，甚至不用開瓶費！太值得推薦了。

少的那顆星，就只有那樸實的外觀了！"
