user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 黃翔偉 ,https://www.google.com/maps/contrib/103281131526828645304/reviews?hl=zh-TW,4,True,324,路邊不太好停車，前面的巷道略窄，進入用餐區前，門口的油煙味比較重，應該是靠近煎台作業區的原因，早餐的品項種類沒有太多，但還是有足夠的選擇可供挑選，店內的座位區不錯，不會太壅擠，也不太會聞到外面的油煙味，上餐的速度很快，不用花太多時間等待，烤肉吐司看起來普普，但吃下去的時候，倒也覺得還不錯，而蛋餅的部分，就真的比較普通了，感覺跟一般的早餐店差不多，冰奶的部分，則不會太甜，表現也還算正常，總體來說，是一間表現還算正常的早餐店。
 fong ,https://www.google.com/maps/contrib/104344781697119166344/reviews?hl=zh-TW,3,True,"1,758","原味蛋餅，麵皮軟Q，與一般早餐店的麵皮相同，醬料偏甜。
香蔥煎蛋，細蔥花不少，美中不足的是煎蛋時，鍋鏟壓蔥蛋讓煎蛋快熟，使蔥蛋少了蓬鬆口感。
冰豆漿，濃，讚。
與台灣吐司工房同一家店。"
 東尼史塔克 ,https://www.google.com/maps/contrib/110434789176567789547/reviews?hl=zh-TW,4,True,77,"東西好吃價錢實在
店內環境整潔乾淨
很可惜鐵板麵停賣了"
 YU Chen ,https://www.google.com/maps/contrib/103834094368783509233/reviews?hl=zh-TW,5,True,82,"老板很親切有禮貌，會記住熟客喜好！出餐速度快，也適合早上的通勤族。室內座位大約20個。
培根蛋餅跟烤肉吐司好吃，每天有50元特餐（搭配不同主餐+中杯飲料）提供客人優惠的選擇！"
 布能碩 ,https://www.google.com/maps/contrib/114375353930106716129/reviews?hl=zh-TW,1,True,54,一進去都是油煙味，上過煎台的食物都是油耗味跟燒焦味道，然後標榜吐司，吐司卻軟趴趴的....之前買過也沒這樣，人多時男生年輕人煎的完全沒問題，人少時候一個年長的大媽，感覺煎台的火不太會控制。
 Elliott Ko ,https://www.google.com/maps/contrib/113700272882099878784/reviews?hl=zh-TW,2,True,43,食物品質，用餐環境都偏差
 劉夢帆 ,https://www.google.com/maps/contrib/100956289777403111785/reviews?hl=zh-TW,4,True,54,離家近不錯吃還順便看了一本書聽了3首歌
" Li, Erica 老蝦 (蝦) ",https://www.google.com/maps/contrib/117278341648513403046/reviews?hl=zh-TW,3,True,"1,826",烤肉吐司不錯，只會外帶因為內用油煙味過濃，店內的油煙未妥善處理，所以內用過一次嚇到～未來只會考慮外帶。
 olivia Lin ,https://www.google.com/maps/contrib/106389893173016612256/reviews?hl=zh-TW,4,False,6,蛋餅很好吃，餅皮煎的恰恰的；吐司是在鐵板上烤過，味道不錯。老闆對人很客氣，推薦的早餐店～
 ES ,https://www.google.com/maps/contrib/104157818918607571888/reviews?hl=zh-TW,4,True,95,平價、東西也不錯吃，但內用環境的油煙味實在重到一個不可思議。至今店家好像也沒想改善XD
 Koupen Chan ,https://www.google.com/maps/contrib/107150646145437698730/reviews?hl=zh-TW,1,False,"1,136","應該已經不是麥町了呀？是普通的傳統早餐店，很髒。
這家店的早餐品質很不OK，蛋餅焦、乾癟難下嚥。"
 王筑瑩 ,https://www.google.com/maps/contrib/109764006277204268847/reviews?hl=zh-TW,1,True,32,"生意好餐點就亂做！
平常都習慣打電話訂餐，之前點冰紅茶就給冷紅茶，今天還特地提醒要冰的好茶，到現場拿的時候我還再說了一次我點的餐，結果到公司才發現點了三樣餐全錯！！！
已經特地提醒還出這種狀況也太誇張！生意好就無所謂了是嗎！以後再也不會去了"
 Joy Lin ,https://www.google.com/maps/contrib/114529217692969575268/reviews?hl=zh-TW,4,True,47,東西都不錯吃~也可以吃的飽~可是油煙味有點重
 張名榕 ,https://www.google.com/maps/contrib/103095170274882801107/reviews?hl=zh-TW,4,True,113,特餐cp值不錯，也推薦烤肉蛋捲餅，不過油煙味很重，建造外帶比較好
 陳松平 ,https://www.google.com/maps/contrib/108173091350612431176/reviews?hl=zh-TW,5,True,35,不錯的早餐店，有特色的烤肉吐司漢堡，餐點皆有一定水準，喜愛放動物頻道，小孩特別喜歡。
 Hideki Giản ,https://www.google.com/maps/contrib/102128309565893283303/reviews?hl=zh-TW,5,True,33,蛋餅相當香酥脆，餐點都用料實在，另外老闆很親切，來過幾次就被當熟客了😁
 林國松 ,https://www.google.com/maps/contrib/104724989161932852897/reviews?hl=zh-TW,1,True,38,非常不環保的店，蛋餅居然用袋子裝然後外面再套一層提袋
 陳信仰 ,https://www.google.com/maps/contrib/111765288147977209466/reviews?hl=zh-TW,4,False,5,材料實在，很好吃，老闆待人親切，很多人都滿意。
 Fahud Carrie ,https://www.google.com/maps/contrib/105482463127302974798/reviews?hl=zh-TW,5,True,27,老闆娘很客氣，鮪魚蛋餅，吐司都很好吃
 張瑞松 ,https://www.google.com/maps/contrib/108684904672119255129/reviews?hl=zh-TW,3,True,50,選擇比較少麵包軟還行跟附近早餐店比排名算比較前面的
 羅婉禎（禎‧Erica） ,https://www.google.com/maps/contrib/108011125086281942602/reviews?hl=zh-TW,4,True,33,三明治好吃，有素食的選擇，飲料若能有無糖選擇會更健康嚕？
 yao Z ,https://www.google.com/maps/contrib/100017918472353196973/reviews?hl=zh-TW,1,False,3,內用油煙味超級重，內用回家直接先洗頭洗澡洗衣服
 Jerry ,https://www.google.com/maps/contrib/104524539417261211708/reviews?hl=zh-TW,4,True,203,很好吃衛生乾淨
 鍾比爾 ,https://www.google.com/maps/contrib/103741222645407053706/reviews?hl=zh-TW,4,True,169,厚牛漢堡好吃，一大早就開冷氣加分。
 陳志榮Raymond ,https://www.google.com/maps/contrib/105990003297101501042/reviews?hl=zh-TW,5,True,861,牛肉漢堡多汁、吐司軟嫩，價格實惠，空間寬敞，值得推薦。
 David Blue ,https://www.google.com/maps/contrib/116195687858197128639/reviews?hl=zh-TW,5,True,16,最愛烤肉吐司和起司蛋餅，好吃的早餐店！😋
 JOU TASE ,https://www.google.com/maps/contrib/105047866458302355219/reviews?hl=zh-TW,4,True,217,起司蛋堡不錯吃喔！
 Samuel Kuo ,https://www.google.com/maps/contrib/101999619045819712775/reviews?hl=zh-TW,3,True,75,油煙味蓋過食物的味道……很難形容!
 黃寶慧 ,https://www.google.com/maps/contrib/113739558635003838939/reviews?hl=zh-TW,3,True,160,出餐速度快，但餐點吃不出任何特色
