user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Ryan Hsieh ,https://www.google.com/maps/contrib/110066957194988790623/reviews?hl=zh-TW,5,True,244,第一次來吃上官木桶鍋，附近生活機能比較冷清，交通要走一段路才會有捷運站，店家附近主要是高級住宅區，因此也屬於高檔火鍋店，整體用餐感覺很棒，店內空間寬敞不擁擠，食材都非常新鮮，份量也相當足夠，六個人點四人套餐加兩個單點品項，就吃得相當飽，原以為不會很飽，但沒想到份量十足，肉品也很大盤，適合愛吃肉的饕客，我們點了一盤牛肉跟一盤豬肉，正好大家分著吃，肉很新鮮，所以其實涮一下就好，不用泡在鍋子裡煮，醬料碟可以依自己喜好調配，店家還有給花生粉，相當大方，牛跟豬肉我都覺得厚薄適中很好入口，海鮮則是對龍船讚不絕口，兩款龍蝦都非常新鮮，涮一下就熟了，吃起來超彈牙，龍蝦愛好者絕對不能錯過，蛤蜊也新鮮，蝦子出乎意料，看起來普通，但煮完以後吃，彈牙力道不輸龍蝦，而且撥完殼吃起來才發覺很大隻，餐後我們每個人都吃了明治的冰淇淋，果然火鍋後就是要配冰品，大家都心滿意足的回家，推薦火鍋愛好者一定要來品嚐～
 Mango's life酸ㄚˋ人生 ,https://www.google.com/maps/contrib/101637304203730274155/reviews?hl=zh-TW,5,True,17,"吃得太開心，用餐到一半才想起來
要拍照推薦一下👍👍
肉質很讚，蛤蟆非常飽滿新鮮
蝦子很大又甜~
點了蒙古鍋，湯頭煮到後面「神之好喝」
服務也是100分❤️❤️❤️
下次還會再來"
 Amy Chang ,https://www.google.com/maps/contrib/100816466269606568090/reviews?hl=zh-TW,5,True,16,海鮮很新鮮很厲害，服務也很棒，用餐環境乾淨寬敞，很適合家人朋友聚餐，推薦👍
 Claire Tu ,https://www.google.com/maps/contrib/102902948447302044081/reviews?hl=zh-TW,5,False,7,"食材新鮮好吃，素食鍋有豆腐紙！
飯後的明治冰棒也很好吃，最愛巧克力口味！"
 舒婷Tina ,https://www.google.com/maps/contrib/102544179205928214383/reviews?hl=zh-TW,5,False,53,服務很好👍🏻老闆、工作人員們都很棒！菜色很美味、肉片可以撒玫瑰鹽😍😍😍！蛤蜊、蝦子都很新鮮！
 張聖林 ,https://www.google.com/maps/contrib/113881389315120948078/reviews?hl=zh-TW,5,True,19,"重陽路上很好停車的地點
附近有很多路邊停車格
除了當天遇到的服務生是第二天上班
對於食材商品一問三不知以外
食材跟新鮮跟口感都是很不錯的
六個大人吃起來總額約7.800元"
 Winnie Hou ,https://www.google.com/maps/contrib/108413150801544843738/reviews?hl=zh-TW,1,True,25,點了藥膳鍋雙份的豬肉結果料撈出來只有這樣很傻眼...打開白飯發現很像鍋底的剩飯有些很黏爛有些還黃黃的，看了倒胃口沒辦法吃。
 呂榛 ,https://www.google.com/maps/contrib/117902319856647580943/reviews?hl=zh-TW,5,True,44,"來訪多次，懶惰花心思寫評價的我，把首次獻給了對於食材及湯頭、服務、環境極用心的店家，下午他們沒有休息，所以每次我都挑下午時間用餐。
愛吃辣的我綠花椒是我最愛的湯，尤其煮了食材後湯的層次更是豐富。
原本不愛藥膳味的女兒卻超喜愛他們家藥膳湯，中藥味不會過濃又開胃，現場小朋友、大人都一致非常鍾情他們藥膳湯頭。

這邊的海鮮尤其新鮮。
吃遍各大火鍋店的我，超愛他們家牛小排（女兒自己完食9oz）這邊的干貝也超完美、哪怕很平凡的火鍋料魚餃、玉米、花枝滑，這邊用料都比外面的品質好。

比其它上官好吃太多……
座位間夠寬敞所以很舒適，超級適合聚會，
我想唯一缺點就是離捷運站有點距離，不然就實在太完美了。"
 林育賢 ,https://www.google.com/maps/contrib/111444352577360089972/reviews?hl=zh-TW,5,False,7,好久沒來吃、室內非常乾淨、剛好來慶祝父親節、東西很好吃、肉品的品質更是沒話說、推薦👍
 Shen Eggegg ,https://www.google.com/maps/contrib/117257877729641975131/reviews?hl=zh-TW,5,True,16,親子友善，一進店後服務人員就幫我們備好兒童餐椅(餐椅還很乾淨)。肉品是上官的強項，這次點的是Prim牛小排，果然柔軟juicy
