user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 J C ,https://www.google.com/maps/contrib/111097223631136853431/reviews?hl=zh-TW,5,False,4,"某個星期五的晚飯時間，來買晚飯。

看著牆上的菜單發現便當一個80元，就點了個控肉便當。
但價格實在有點低，怕說吃不飽，就又點了個三層肉。

人不算多，沒有到排隊的程度
但備餐點餐卻從來沒有停下來過

出餐速度快，由於我的三層肉是後來才點
但也沒等幾分鐘我就拿到餐點了。

回到家，打開一看才發現吃不飽是我多慮了
中間是主角控肉，四周則是滿滿的配菜，誠意十足。
將控肉夾起要吃飯的時候還又挖出一塊豆皮讓人會心一笑

控肉滷的軟嫩不爛不老相當好入口
但對重口味的人來說可能會不夠鹹。我是還蠻喜歡的。
三層肉肥瘦分明，上面有薑絲，下面有蒜蓉醬油
可以享受不同搭配味道變化。

相當滿足的一餐。美味經濟兼俱
會讓我想再來吃吃其它的試試看……"
 張小心 ,https://www.google.com/maps/contrib/114214117176922229106/reviews?hl=zh-TW,5,True,77,"3/14消費乾板條+餛飩湯+小菜油豆腐=$85，非主要用餐時段前往、個人口味偏淡。
1.上菜速度快
2.價格便宜、份量足夠
3.餐點各自評比如下
-》乾板條：有豆瓣+碎肉的醬汁，個人覺得稍鹹，但加了幾滴桌上的辣油、反而把鹹膩度沖淡、且另有一種好吃的味道。豆瓣入醬比較少見。

-》餛飩湯，實際上的餛吞數量比照片拍起來更多！且大小並無因為價格偷工減料！湯頭稍淡，但搭配較鹹的主食反而剛剛好！

-》第一次吃到有送黃金泡菜的油豆腐。口味一般、泡菜好吃！"
 Iris Wang ,https://www.google.com/maps/contrib/116535867061975735365/reviews?hl=zh-TW,5,True,29,"從小到大吃了20幾年，口味都沒變，價格也總是很親民，老闆一家人雖然比較不苟言笑但出餐速度很快且重點是店內的整潔永遠維持的非常好！（潔癖人認證）
最喜歡他們的湯意麵，很難得現在還能吃到沒有味精但卻清甜爽口可又不無聊有高湯深度的湯頭了，每次都忍不住喝光光且喝完完全無負擔感，雖然有加紅蔥頭但卻不像外面的總是讓人感到油膩，反而很提味畫龍點睛（而且除了張記以外的紅蔥頭我吃完都會胃食道逆流只有張記的不會！），意麵也很Q彈，其他小菜&菜品也都維持一貫的品質，總之無可挑剔希望能繼續吃到老❣️❣️❣️"
 YiZhen Huang ,https://www.google.com/maps/contrib/101237597562508797030/reviews?hl=zh-TW,5,True,13,"點餐直接講沒有劃單，上菜快速店內整潔不會有桌子油膩膩感。東西就是簡單好吃，便當配菜種類多樣，青菜多、肉量對女生來說剛好。
麻醬麵尚可但最後幾口會膩，餛飩湯裡面有8顆吃起來很爽，油豆腐好吃"
 THOMAS WANG ,https://www.google.com/maps/contrib/100897808433825355374/reviews?hl=zh-TW,4,True,755,"麻醬麵大推
營業時間可以稍稍拉長點晚上八點打烊有點早
滷菜好吃海帶讚！"
 duck chang ,https://www.google.com/maps/contrib/113657646981798101593/reviews?hl=zh-TW,5,True,30,"菜單上沒有便當
自從聽到客人外帶便當才開始點
之後平日午餐就常常來買（開心撒花）
主菜配上六樣配菜
而且配菜都很用心，不油膩
重點是一個才70元，真的是佛心價格而且又好吃啊！

有控肉、雞肉、嘴邊肉、腱子肉、肝連肉、三層肉可以做便當"
 요사영 ,https://www.google.com/maps/contrib/109923390001383956487/reviews?hl=zh-TW,5,True,32,餐點好吃價格也很便宜便當才80元裡面提供的菜色很多餛飩湯只要35元推薦～～
 Vic ,https://www.google.com/maps/contrib/112248639845555885292/reviews?hl=zh-TW,5,True,70,腱子肉便當料好實在，配菜和主菜都好吃。嘴邊肉湯，肉嫩湯鮮，無過多調味，清爽好喝。
 Osman ,https://www.google.com/maps/contrib/111249353482285696712/reviews?hl=zh-TW,3,False,11,"小菜種類很多，但可惜的是沙魚胭、大腸在燙過後沒瀝水，一起倒進盤子裡，造成醬油膏加了水稀釋後味道變的很淡，乾麵也是😓，因為每一道的水都太多了，感覺吃起來沒什麼味道，只有小黃瓜的味道吃起來是正常的，有點可惜。
下午繼續營業沒有休息，建議如果水能瀝掉一些味道會更好。"
 Rita L. ,https://www.google.com/maps/contrib/106345192660972645648/reviews?hl=zh-TW,5,True,80,"陪伴東湖人長大的人平價小吃
餐點和小菜選擇都很多樣
看老闆洗菜和打理店內環境也是非常用心

最推薦的是便當～主菜之外還搭配5樣副菜，口味清爽沒有過多的調味，價格只也非常實惠！"
 PUMING LIU ,https://www.google.com/maps/contrib/112889555011320214260/reviews?hl=zh-TW,5,True,52,"嘴邊肉飯80料多又不錯吃
真的是小吃"
 文劍 ,https://www.google.com/maps/contrib/115611931903519894630/reviews?hl=zh-TW,3,True,88,"聽聞環境乾淨而去，的確以麵店來說真的乾淨。
餐飲口味適合偏淡的人選擇
油豆腐如果是有滾過比較好，這點小可惜"
 Ahan y ,https://www.google.com/maps/contrib/115636749743990656929/reviews?hl=zh-TW,5,True,242,"什麼都好吃的大愛店😍
從來不吃陽春麵的我，每天經過都被麵湯香味吸引，有一天踏入後就每週來報到了

陽春麵香味剛剛好，不會沒味道也不會過油
炸醬麵也是用陽春麵麵條，調味也很剛好不會太鹹
雞絲飯要還沒吃配小菜的時候吃超香，是蒜蓉，他加了蒜蓉醬油！
扁食一份八顆是現包的，非常紮實的純肉！
小黃瓜一份25甜甜爽口
地瓜葉也一份25這價格太難得
滷味都不錯，最推糖心蛋，外面一份30這裡只要10！又好吃😋

但最最最划算的是便當啊！！！
一份70，五樣菜一份肉，配菜給你滿滿蔬菜！
在外食便當裡面根本找不到其他間這麼讚的😍
主餐肉類控肉也非常軟嫩好吃一點也不柴
最喜歡點嘴邊肉便當配上滿滿蔬菜，好吃又健康！
份量非常足夠，每次都撐死"
 Tronce創世 ,https://www.google.com/maps/contrib/107300688305135053143/reviews?hl=zh-TW,5,True,271,乾淨好吃簡單不膩
 Kent Kung ,https://www.google.com/maps/contrib/116908252136407626268/reviews?hl=zh-TW,4,True,809,魯肉飯還可以，炸醬麵醬料有點鹹，扁食湯扁食飽滿扎實好吃，豆干海帶黃金蛋好吃，地瓜葉稍有卡刮一點，是一家挺不錯傳統小吃店。
 好奇想想HowchThink ,https://www.google.com/maps/contrib/108858129047108919232/reviews?hl=zh-TW,5,True,263,"價位:cp值很高。
食物:喜歡古早味，可以來吃。推薦魯肉飯(20元),小菜(豆干+海帶+黃金蛋=35元),貢丸湯(30元)，一餐下來也是會飽那種，吃不飽""魯肉飯多點幾碗就會飽了""。

服務態度:
還行吧，沒怎麼注意。

用餐環境:有電視可看，桌位也很多。"
 Liu Henry ,https://www.google.com/maps/contrib/116144059672584610834/reviews?hl=zh-TW,5,True,493,環境乾淨東西好吃，料多，豬肝湯豬肝多，但偏柴。更正，再次去喝豬肝湯的豬肝很嫩，另外扁食湯也多，下午沒休息，覺得好
 Patty (Rabbit) ,https://www.google.com/maps/contrib/105644993575726810658/reviews?hl=zh-TW,5,True,48,平凡卻美味的巷弄小吃，青菜只要25元以現在台北的物價來說算便宜了，而且份量也不少。陽春乾麵很好吃，麵條口感和調味都非常合我胃口，因為外面很多小吃店為了提味都會用很重的胡椒調味，個人很不喜歡。張記值得再訪！！
 詹詠絮 ,https://www.google.com/maps/contrib/102828099243640415595/reviews?hl=zh-TW,5,True,123,價格實在，味道也不錯。70元的便當滿滿的菜。
