user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 張雨魚 ,https://www.google.com/maps/contrib/101884458530187612187/reviews?hl=zh-TW,5,False,20,"非常暖心的一家店。
老闆娘看到我們家兩歲的女兒吃的差不多，快要坐不住，還拿小東西吸引小孩注意讓我們好好吃飯。
另外，東西也非常好吃，茄子、豆皮、烏龍麵、蛤蜊湯、大腸......我吃的超開心

最後就是店裡的音樂都是經典英文老歌xD
喜歡到爆炸

真的是非常推薦的一家店。"
 Angela Wang ,https://www.google.com/maps/contrib/109270466727301906463/reviews?hl=zh-TW,5,True,56,"超級溫馨的串燒居酒屋，老闆老闆娘非常用心在對待每一道料理、每個食材，幾乎快把全菜單點過一遍，每一道都好吃😋
保留食材的原味，暖心的服務，每每到酆都造訪都是一番洗禮❤️
謝謝這麼真摯、這麼用心在經營一間店的你們🥰"
 輕洋 ,https://www.google.com/maps/contrib/107647450926984110513/reviews?hl=zh-TW,4,True,144,有一隻可愛的貓，有馬祖的海鮮，烤蝦很棒！豆皮、甜不辣、高梁酒香腸，值得一點，飲料不多。
 peter huang ,https://www.google.com/maps/contrib/100811041850833170882/reviews?hl=zh-TW,4,True,547,主要是因為想吃烤牛舌而來.
 Rain Fish ,https://www.google.com/maps/contrib/110339975737398646946/reviews?hl=zh-TW,4,True,664,酥炸豆皮是一絕！
 Milktea1979 ,https://www.google.com/maps/contrib/114991807392440603206/reviews?hl=zh-TW,5,True,73,CP值超高的串燒店，蔥烤牛舌180元好吃的程度及份量可以打趴ㄧ堆居酒屋，老闆自己灌的高粱酒香腸配上蒜頭、現烤小卷干都是啤酒🍻絕配！
 Kai-Hui Liang (Lesley) ,https://www.google.com/maps/contrib/118190663965111950675/reviews?hl=zh-TW,5,True,63,"菜色很多元，不斷推陳出新，品質、美味、健康、創意兼具的優質店家!
炭烤三明治料多實在又好吃，串烤的醬料味道很獨特，是老闆用天然食材研發出來的，不油也不會太鹹，味道非常好。松阪豬、烤豆皮、烤麻糬都很讚。
另外還有無菜單料理，需要提前訂製，可以嚐到老闆娘精心製作的私房料理喔!"
 Vincent Kuo ,https://www.google.com/maps/contrib/106534355201208819029/reviews?hl=zh-TW,4,True,222,服務態度親切，炭烤串物也美味。
 柯 ,https://www.google.com/maps/contrib/113787676467558248834/reviews?hl=zh-TW,4,True,591,"好吃選項多
缺點是夏天晚上蚊子多了些"
 HLK ,https://www.google.com/maps/contrib/118235580553393131947/reviews?hl=zh-TW,3,True,248,"鹽烤靖魚、蒜味豆皮、節瓜好吃
其餘就普普了"
 洪大恩 ,https://www.google.com/maps/contrib/100446636994658426980/reviews?hl=zh-TW,5,True,39,"一個人，細細品味，淺斟低酌
二個人，大塊朵頤，杯酒言歡
三五好友，串燒盛宴，開懷暢飲
讚！讚！讚！五星吹捧"
 聶志勇 ,https://www.google.com/maps/contrib/117409486818041551709/reviews?hl=zh-TW,5,False,2,得天獨厚的優雅用餐環境，主廚夫婦絕佳廚藝的搭配組合，令人留連忘返，值得一去再去的好地方！
 李忠諺 ,https://www.google.com/maps/contrib/105129360623568015055/reviews?hl=zh-TW,5,True,34,老闆及老闆娘很親切，料理都以保持原味為主，不做過多調味，吃完後感覺很清爽。
 lw낙원 ,https://www.google.com/maps/contrib/115628277744284953500/reviews?hl=zh-TW,5,True,88,"這家很便宜😋
東西都好好吃，非常優秀
最愛吃這家的蛋捲、松板豬、烤小卷乾"
 李威德 ,https://www.google.com/maps/contrib/112067422073639769029/reviews?hl=zh-TW,5,True,10,"超級...物超所值的一餐！
小朋友整鍋拿起來灌湯！
第一輪吃不夠還再加點一輪！"
