user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Jean ,https://www.google.com/maps/contrib/116756362460577382364/reviews?hl=zh-TW,5,True,48,"內湖三總週邊美食首選
內用外帶N訪
必點炒飯加蛋煎白帶魚/馬頭魚絲瓜蛤蜊"
 陳俊儒 ,https://www.google.com/maps/contrib/117288131013403696419/reviews?hl=zh-TW,5,True,422,週六下午六點前後，速度非常快，點四樣，不到十分鐘就拿到。有外帶，可以電話先預訂。鱔魚跟腰子都處理得非常完美，沒有任何異味，調味有調整過，不會那麼鹹，但未到仍非常夠。
 Cn Yu ,https://www.google.com/maps/contrib/100780830482012457546/reviews?hl=zh-TW,5,True,596,招牌菜色每個都好吃，且有特色！出菜速度很快，熱騰騰的吃了很過癮！炒飯粒粒分明香氣撲鼻，店裡的小姐姐很會招呼人客和推薦菜色。是吃了還會想要再吃的熱炒店。
 fan 180 ,https://www.google.com/maps/contrib/114405071334164999104/reviews?hl=zh-TW,4,True,549,"經濟實惠，熱炒都還不錯，也不會死鹹。他的炒飯在飯上面放一顆半熟的荷包蛋，吃的時候把蛋戳破拌炒飯吃，很有古早味，很特別，也很好吃。這個大推。

另外我個人覺得幾道菜很不錯：

乾煎豬肝也很好吃，豬肝切的夠厚，炒完後一樣軟Q，搭配他的醬汁和香菜，真的美味。

還有一道麻油雙腰也好吃，豬腰＋雞佛炒麻油川七，豬腰脆，雞佛Q，搭配起來很推。

丁香魚炒糯米椒，丁香魚大概有小手指那麼大一條，先小炸過油在炒糯米椒，丁香魚因為大條，所以蠻有口感的，也推。

另外比較特別，在別的熱炒店沒有的是甲魚火鍋...，這個這次沒點，有四種口味，而且老闆娘說是以活甲魚去處理的。希望下次有機會再來試試看。

＊個人口感不同，發完僅供參考！"
 陳小白 ,https://www.google.com/maps/contrib/107452162561954073147/reviews?hl=zh-TW,5,True,487,"難得有熱炒帶回家也可以這麼好吃
推炸土機跟炸排骨
炒飯必須再加一顆半熟蛋！
豬肝處理也不錯不會乾硬"
 Wan-Jung Cheng ,https://www.google.com/maps/contrib/102927498310748601184/reviews?hl=zh-TW,1,True,121,食物還可以，不到有幸福感。價格頗貴，馬頭魚+油雞+兩份炒飯+炒青菜=$1090。廚師和櫃檯都沒有戴口罩很不OK。
 Alyssa Kuo ,https://www.google.com/maps/contrib/116329373182410648939/reviews?hl=zh-TW,5,False,4,"超級好吃的！必點蝦仁炒飯
每一道都是經典的好吃！！
出菜速度超快
食材新鮮醬汁獨特下酒菜或家常吃都非常適合
是我家附近的話就天天來吃了啦！👍🏻👍🏻👍🏻👍🏻👍🏻"
 Yun Ding ,https://www.google.com/maps/contrib/106909419181302741029/reviews?hl=zh-TW,5,True,514,"外帶海鮮湯麵
內容：一隻蝦子，一塊豬肝，一塊魚肉，一塊豬肚，兩個蛤蜊，空心菜，麵麵～

肉絲炒飯粒粒分明，很香

不過可能我太重口味，
吃起來對我來說比較清淡，
份量很多，一個人會吃不完"
 王翊亘 ,https://www.google.com/maps/contrib/109297036189275339869/reviews?hl=zh-TW,5,True,124,超平價熱炒，店面雖不起眼，但各項菜都好吃。特別是這道炒飯，我們大概叫了三份，每個沒吃到的人都一定先推炒飯，飯粒顆顆入味，搭配半熟荷包蛋汁，人間美味。
 JC Yang ,https://www.google.com/maps/contrib/104357838884096384431/reviews?hl=zh-TW,5,True,"1,519",內湖區的平價熱炒，價格合理，海鮮新鮮，菜色又比其他熱炒店多樣，在冷冷的冬天還有羊肉爐可以喝熱湯，車子可以停在斜對面的停車場，十分方便
