user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 葉蕙茹 ,https://www.google.com/maps/contrib/110743683087730958716/reviews?hl=zh-TW,5,True,333,周五晚上八點半才訂，沒注意店家的打洋時間似乎是九點，經店家打來提醒才知道，去拿時已超過九點，還好店家在打掃也沒說什麼，真是對店家不好意思！十分鐘內拿回家吃餐點都熱的，好吃！特推起司塔，不輸知名甜點店家，餅乾跟內餡都很到位！
 Wang Liz ,https://www.google.com/maps/contrib/106039326736140988481/reviews?hl=zh-TW,3,False,14,品項叫做香酥脆薯，每次每次已經叫了三次，都是又油也完全不像炸過的一份濕軟趴趴的馬鈴薯為什麼不能好好炸？？？？？？？
 Mu Jung Chung ,https://www.google.com/maps/contrib/109275298571904978088/reviews?hl=zh-TW,1,True,15,"外帶的小披薩加$25升級芝心
拿到之後傻眼我到底是在吃披薩還是吃麵包"
 Annie Chung ,https://www.google.com/maps/contrib/100048396773770191528/reviews?hl=zh-TW,3,True,147,新開幕，網路訂餐卻沒有告知本店不能使用信用卡，目前只能用現金或街口，不知道何時才會補上刷卡機，夏威夷披薩的番茄醬好多，有點搶走了其他配料的味道，而且讓披薩變得很鹹，我之前都可以吃到三片，今天吃一片就不沒有再吃了
 win Win ,https://www.google.com/maps/contrib/111065568897741518943/reviews?hl=zh-TW,1,False,43,用App點餐我都已經比預定取餐時間延後20分鐘到了。完全都開始沒做，居然跟我說還要等20分鐘，才兩個小披薩而已。
 林俞如 ,https://www.google.com/maps/contrib/114927844648310949281/reviews?hl=zh-TW,5,False,7,好吃😋不會等很久👍服務親切尤其是冠囿💪
 劉彥廷 ,https://www.google.com/maps/contrib/111727730243504375851/reviews?hl=zh-TW,5,False,4,"這家必勝客的品質很好！服務人員態度佳！
以後吃pizza都要跟這家訂！"
 Stella Mary ,https://www.google.com/maps/contrib/116659961995047019449/reviews?hl=zh-TW,2,False,29,先前反映過某位男店員態度極為傲慢無禮，這次周六中午電話的店員禮貌好很多了，但現場壯碩的男店員禮貌還是很待有加強，跟他要紙巾他講都不講只會一直比左邊，奇怪，開一下金口告訴顧客東西在哪裡有這麼難嗎？(並非防疫考量，他講了一堆話，卻就是不想用講的告訴你紙巾在哪，莫名奇妙)，然後收錢找錢給餐也都不會說謝謝，講話口氣急躁不耐煩，給人感覺很不好。貴公司做為最大品牌披薩連鎖店，卻對員工品質這麼不要求不考核，很讓人無言。
 Potze Chen ,https://www.google.com/maps/contrib/116171947982375081900/reviews?hl=zh-TW,1,False,104,六點下的訂單告知7:05到，然後7:05變成7:15，7:15又變成7:25，7:20又變成7:35，然後7:23再跳7:43，不知道還要等多久，爛死了，建議大家不要跟這家訂
 邱慧君 ,https://www.google.com/maps/contrib/112718921453951712360/reviews?hl=zh-TW,5,False,6,有個叫江冠囿的帥哥做的披薩好好吃喔😋
 Jodie Jang ,https://www.google.com/maps/contrib/118009313747939643552/reviews?hl=zh-TW,5,True,57,"披薩便宜又好吃CP值很高👍🏼

店員黃先生非常用心的幫我們包裝讚讚！"
 Kris Lin ,https://www.google.com/maps/contrib/102494445852704482974/reviews?hl=zh-TW,1,False,6,負責結帳男店員態度差，目中無人的樣子。
