user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 方冠雅 ,https://www.google.com/maps/contrib/101287453389205025297/reviews?hl=zh-TW,4,True,320,"值得一試的餐廳，多數菜色都不錯
「芋泥鴨」不愧是招牌菜，外層香酥，內餡鴨肉和芋泥融合得恰到好處
「佛跳牆」選料以及烹調技術沒話說，是大飯店的水準，吃得到師傅的用心
「脆皮獻佛手」也是一絕，口味和「天然臺」的「如意湘蹄」有異曲同工之妙，但我必須說我個人喜歡如意湘蹄多一些，因為外觀較美及吃起來較方便，當然這就是980和780的差別
紅蟳米糕吃起來比較普通，可能也是因為季節不對，但是米糕的調味沒有很均勻，同行友人有忽然吃到一口特別鹹，我自己吃了幾口，鹹味也不均勻"
 何孝忠 ,https://www.google.com/maps/contrib/117640638277209547483/reviews?hl=zh-TW,5,True,236,以餐點的水準與相對平價的費用，在台北市可稱的上很具CP值的餐館
 Wu Johnny ,https://www.google.com/maps/contrib/102482609974269036482/reviews?hl=zh-TW,4,True,93,重口味份量足，CP值很高，但是有點油膩。
 Sean Chiang ,https://www.google.com/maps/contrib/114204029099852289206/reviews?hl=zh-TW,5,True,"1,540",菜脯雞湯超好喝大推薦，整體服務環境都不錯
 許珀瑋 ,https://www.google.com/maps/contrib/115664125390227951309/reviews?hl=zh-TW,4,False,10,東西不錯吃，服務也親切
 郭建甫 ,https://www.google.com/maps/contrib/107719248627601982219/reviews?hl=zh-TW,5,False,4,從延平南路最初的店面，到現在追來南港吃，味道真的完全沒變！一樣好好吃🤤🤤小時候一家四口溫馨聚餐的感覺都回來了～
 西門祥 ,https://www.google.com/maps/contrib/105600304222816350961/reviews?hl=zh-TW,4,True,"1,021","菜色多,品嘗起來都不錯,停車請往裡面停車場停,CP值算不錯~~~"
 Han Han ,https://www.google.com/maps/contrib/108534294029506949880/reviews?hl=zh-TW,5,True,287,還不錯吃～
 沖田总悟 ,https://www.google.com/maps/contrib/111037470908547386798/reviews?hl=zh-TW,4,True,"1,139",2020418點了薑絲炒大腸、xo醬炒三鮮、客家鹽焗雞，上菜速度超快才點沒多久服務生就端上來了，大腸很Q湯汁酸算道地、xo醬炒三鮮的干貝很多顆，鹽焗雞的雞好像是土雞，肉很紮實，整體份量多因為主要吃桌菜的，整體價位cp值很高
 潘誼聰 ,https://www.google.com/maps/contrib/107489256839701150801/reviews?hl=zh-TW,5,True,260,菜色豐富，新鮮好吃，服務好，場地乾淨
 Robert Cheng ,https://www.google.com/maps/contrib/101116803258908009692/reviews?hl=zh-TW,5,True,161,餐廳清爽簡潔，菜色豐富，鹽焗雞滑嫩清甜，好吃。薑絲炒大腸也不錯。
 Chen Yung-Ti ,https://www.google.com/maps/contrib/110077732894703027928/reviews?hl=zh-TW,4,True,"1,094",價格平實，CP值高。豬腳值得一吃。
 灰灰 ,https://www.google.com/maps/contrib/110400228552177119620/reviews?hl=zh-TW,5,True,360,豐富的料理，多層次的口感，滿滿的菜色，值得再去的餐廳，沒有網紅店的裝飾，沒有新店面的人氣，但是老店的味道，卻是最為彌足珍貴，親切得招呼，讓人放鬆的用餐，不知不覺的在聊天中，把滿滿的美味菜肴放進肚子，這是多美好的回味。。。
 Leo Chen ,https://www.google.com/maps/contrib/111090219888101942944/reviews?hl=zh-TW,4,True,181,南港附近聚餐的好地方，服務佳，上菜速度快
 Mei Chan ,https://www.google.com/maps/contrib/109429549847953473556/reviews?hl=zh-TW,5,True,545,菜色豐富....料理可口...好吃噢！
 徐聖傑 ,https://www.google.com/maps/contrib/103273575121032335708/reviews?hl=zh-TW,5,False,32,"餐點豐富但味道要再加油
不像道地的客家味，反而有許多令人驚訝的餐點"
 林建良 ,https://www.google.com/maps/contrib/115496027646845968352/reviews?hl=zh-TW,4,True,158,老闆親自在廚房，品質有保障。
 日小惠 ,https://www.google.com/maps/contrib/113945981031411304424/reviews?hl=zh-TW,4,True,454,"聚餐的地點東西好吃
但人太多的聚會會比較吵"
 輕洋 ,https://www.google.com/maps/contrib/107647450926984110513/reviews?hl=zh-TW,4,True,144,我會再來吃的
 郭福亨 ,https://www.google.com/maps/contrib/113330191409583088909/reviews?hl=zh-TW,4,False,20,"價錢實在,又好吃的"
 謝秀珍 ,https://www.google.com/maps/contrib/100905807574762386917/reviews?hl=zh-TW,5,False,46,"客家菜、台菜，口味佳，老闆娘很親切，點菜會主動告知份量已經足夠，不夠再加，讓客人可以儘情享用餐點
很有人情味的餐廳"
 Hung Chia-Wei ,https://www.google.com/maps/contrib/115648588453760551807/reviews?hl=zh-TW,5,True,20,好吃，服務也親切
 chia chun Lee ,https://www.google.com/maps/contrib/104835358728997442950/reviews?hl=zh-TW,4,False,433,"館長陳榮國先生，於民國64年步入餐飲事業，期間跟隨港、台名廚精研南北各式美食已三十餘載，尤以客家小炒、薑絲大腸、豬腳料理等客家菜是為一絕。為與各界鄉親廣結善緣、也因畢生心願驅使下，於民國90年於台北市延平南路192巷2號(出入境管理局對面)創立了「三竹園客家小館」。
十年來深受鄉親好評、讚不絕口。也因如此，日日門庭若市、絡繹不絕，深感受限於場地狹窄，始有覓地擴大營業之衷。後經友人介紹，南港展覽館附近及南港經貿園區附近較需要團體聚餐之台式餐館，遂於民國100年下定決心，遷移至台北市南港路一段128號現址至今，現場可容納120人。數年來，承蒙南港鄉親情義相挺，餐館生意蒸蒸日上，舉凡家庭聚會、公司團體聚餐、過年年菜預訂、特殊節慶聚餐等，無不留下美好溫馨回憶。願續以客戶至上的服務及懷舊創新的美食，打造出三竹園的特色。三竹園是我家的餐廳，更也是你家的餐廳。

口味有特色好吃，與家人聚餐的好地方～"
 威志Oli ,https://www.google.com/maps/contrib/109156273537317804539/reviews?hl=zh-TW,5,False,1,"口味不錯，份量大，價格實在
三五好友吃飯喝酒聊天的好地方"
 kate lin ,https://www.google.com/maps/contrib/116375914583734926695/reviews?hl=zh-TW,3,False,19,外帶餐具有待加強，買了豆腐煲回家，結果不知是不是不夠耐熱，到家後發現盒底竟然破了，導致食物都漏出來了…有點無言，希望之後可以再注意~
 Sean Chen ,https://www.google.com/maps/contrib/107872194874261620664/reviews?hl=zh-TW,5,True,741,2019年12月原本只是騎車去拿過年外帶年菜菜單參考看看，一到店內跟櫃檯人員索取，就有服務人員拿出熱茶出來請來賓享用，當天天氣很冷，我也拿來飲用，真的很暖心，不只是飲料暖身，服務人員的親切也讓我很暖心，雖然沒有在此消費，服務人員的服務態度真的非常的值得讚美，謝謝。讓我在天氣冷的時候請我喝一杯熱茶。
