user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 jane fan ,https://www.google.com/maps/contrib/109036064077831313710/reviews?hl=zh-TW,5,True,109,"明太子雞腿飯上方一層明太子烤得很好吃，
麻辣雞腿也很入味!
丼飯的牛蒡也下飯!
串燒的甜不辣像魚蛋，非常Q嫩驚豔!!
杏鮑菇也很多汁，價格又合理平價!
現場還有味增湯跟麥茶、檸檬水無限喝！
非常不錯，值得再來!"
 Eunice Lu ,https://www.google.com/maps/contrib/118164783392619838132/reviews?hl=zh-TW,5,True,174,"👄大河屋
米塔齊下品牌，在台灣也是蠻多間連鎖，第一次實際踏進店內用餐。

店內空間舒適，服務生親切，且會熱心介紹菜單，店內自助區提供味增湯、麥茶、檸檬水，味增湯雖然免費料卻非常多！

絲瓜蛤蜊盅料多實在，湯也非常鮮甜，是下去再去會重複點的品項！

明太子雞腿丼飯，明太子份量給好給滿，每一口都吃得到炙燒過的明太子，旁邊的配菜也給的很滿，對於女生來說份量大份有點吃不完！
整體來說價格配上餐點品質及服務是在水準之上的！

🏠店家資訊（以店家公告為主）
台北市南港區經貿二路186號3樓C棟
營業時間：11:00-21:00"
 J me ,https://www.google.com/maps/contrib/104251081237334031483/reviews?hl=zh-TW,5,True,334,"🍢🍚吃飽喝足📍大河屋燒肉丼串燒-中信南港店

在南港經貿大樓裡面有很多餐廳的選擇，最後決定吃「大河屋燒肉丼串燒」，因為光看圖片就很豐盛了，於是乎點了雙人套餐來吃吃看。

2人定食套餐，選了：
🦐無敵海鮮盛和丼定食
🐟築地星鰻丼定食
🍗炙燒雞腿串
👍🏻炙燒秋刀魚
🥒絲瓜蛤蠣湯
🥬胡麻時蔬
🇰🇷韓式泡菜
🥤柚子茶
🍹蜂蜜檸檬

整盤吃光光，吃完真的好飽喔❗️真的是料多味美好滋味，海鮮丼還有吃到一顆大干貝➕兩隻蝦🦐🦐跟魷魚🦑，鰻魚也是一下就吃完了👍🏻

現場有飲料和味噌湯喝到飽喔～"
 Roxanne Wu ,https://www.google.com/maps/contrib/113811827433175127129/reviews?hl=zh-TW,3,False,62,以丼飯為主，串燒類選擇性較少，和預期的有些落差。建議單點，以免食物一起上涼了口感就嚐不出美味。餐廳座位的設計很日系
 Pei-Yu Hsieh ,https://www.google.com/maps/contrib/101310423972678981947/reviews?hl=zh-TW,4,True,49,餐點CP值蠻高的，但說不上美味，但已飽足感來說是不錯的，秋刀魚很乾不建議點
 Wei T ,https://www.google.com/maps/contrib/113564875800628805223/reviews?hl=zh-TW,2,True,304,"肉很乾，玉米很硬，甜不辣詭異的沒咬勁，湯旁邊的蔥花很乾，筷子沒有清潔乾淨。
服務人員態度很好。"
 史考特 ,https://www.google.com/maps/contrib/115625341527899464089/reviews?hl=zh-TW,2,True,201,"牛肉有點難咬
鰻魚有點薄但味道不錯
串燒雞肉有點乾，杏鮑菇、甜不辣…..乏善可陳
起士香菇、明太子洋芋普普
酒蒸蛤蜊酒味很重但沒有鹹味，蛤蜊肉很乾很小
飯上面的醬沒味道
價格偏貴

跟阪急下面的味道差很多⋯⋯"
 越南之花 ,https://www.google.com/maps/contrib/110413815618349222616/reviews?hl=zh-TW,5,True,16,"今日第一次用餐，點的是鹽蔥雞腿丼以及豬排丼；豬排不但皮薄薄的豬肉也非常紮實很好吃，鹽蔥雞腿則是雞腿很嫩，鹽蔥很下飯卻又不死鹹，吃起來很有質感。
店員們服務也都很好～訓練有素(⁎⁍̴̛ᴗ⁍̴̛⁎)"
 Emma ,https://www.google.com/maps/contrib/115565769047403726528/reviews?hl=zh-TW,4,True,56,"振興券套餐很實惠
主食與小菜算美味
味增湯可以無限續
有料也划算
服務態度不錯
有機會會再訪"
 Evelyn ,https://www.google.com/maps/contrib/106254064260401430163/reviews?hl=zh-TW,5,True,79,"明太子超多吃的很滿足
小菜也很好吃！！
味噌湯、麥茶、檸檬水無限暢飲
推推！"
