user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 YJ ,https://www.google.com/maps/contrib/103348568415144179619/reviews?hl=zh-TW,5,True,320,在南港吃了一直想試的素食當早餐，尊上炒的鐵板麵真是美味，蒸煙而上的熾熱鐵板合格了，白麵與醬汁完美融合在一起就是對的料理，素排是罪惡素火腿裹厚粉酥炸，聽說這道必點；而花生豆腐是自己愛吃，無甜的版本，雖然醬油膏有點太多，但上面的香椿醬讓整體多了獨特感，只要有香椿醬在的地方都是獨特的香椿形狀（同理，香菜亦然）臭豆腐炸出了我喜愛的外酥內軟，泡菜也給的不手軟；若無視素食料理爆糖爆澱粉危險程度，下次再來的機率是100%
 張家瑄 ,https://www.google.com/maps/contrib/100355318385137248265/reviews?hl=zh-TW,5,True,980,怎麼會這麼晚才發現這家好店？健康美味的蔬食料理。用餐環境寬敞舒適、很乾淨衛生。麻辣臭豆腐80，好大一盤，本來怕太辣，結果是淡淡的辣，豆腐嫩中帶Q，天然發酵的豆腐吸滿湯汁，太好吃了👍。再訪時點了藥膳鍋，食材蠻多的，凍豆腐就有好幾塊，但是凍豆腐有點刮嘴不是很愛，藥膳味比我預期的淡很多，所以要沾醬吃，份量很足。個人還是比較推麻辣臭豆腐👍
 JOYCE ,https://www.google.com/maps/contrib/113006926739621962687/reviews?hl=zh-TW,5,False,6,在住家附近，平常都會點麻辣臭豆腐跟炸的臭豆腐，每次去都必點，炸杏鮑菇也超好吃喔👍謝謝有那麼好吃的素食
 林宏翰 ,https://www.google.com/maps/contrib/116599051477277099428/reviews?hl=zh-TW,5,True,109,"90元的涼拌臭豆腐，養生軟嫩又順口，沒有油炸的熱量負擔，鋪上小黃瓜絲，淋上醬油，甘甜涼爽，極品！
100元南瓜麵經濟實惠，淡淡南瓜香，配上豆皮、大白菜、綠花椰，健康養生不油膩"
 043林玟含 ,https://www.google.com/maps/contrib/114748130716221986253/reviews?hl=zh-TW,5,True,127,價格合理很好吃會一直想來吃速食餐廳很少吃到這麼好吃的而且每一樣幾乎都不錯
 樂樂 ,https://www.google.com/maps/contrib/104703157751301976617/reviews?hl=zh-TW,5,True,186,"用餐環境舒服
座位區、醬料區整潔乾淨
餐具區配備消毒機器，讓人吃的安心

餐點可口
藥膳鍋$150、麻辣豆腐麵$90、香酥臭豆腐$70
份量充足，吃得盡興😋"
 Rainforest Ho ,https://www.google.com/maps/contrib/108757909563671663560/reviews?hl=zh-TW,5,True,422,以臭豆腐系列為主的素食餐坊，口味很棒，個人推薦大碗公飯、臭豆腐麵、炸臭豆腐。
 Yu-Ju Lin ,https://www.google.com/maps/contrib/112166303643651041297/reviews?hl=zh-TW,5,False,82,"麻辣臭豆腐、小菜都好吃
菜飯也好吃，已是愛店之一"
 家聿 ,https://www.google.com/maps/contrib/116266165252900954055/reviews?hl=zh-TW,1,False,13,"2012年10月19日
中午被氣飽~很久了，經過看到，到現在火都還沒消...

當天一進去沒人招呼,看到門口第一桌四人座有兩個空位，於是跟該桌的兩位小姐問可否併桌,對方ok
入座後自己去櫃檯拿點菜單and筆..

我回到位子上坐好,剛好併桌的那兩位小姐吃飽離開另外一位服務人員(1)過來收餐盤擦桌子，然後問我們是不是可以改坐2桌,跟另外兩位用餐的男士併桌，我說沒問題啊,併桌沒有關係

上菜速度沒有很慢,我朋友的素肉排鐵板麵先來，結果送餐來的服務人員(2)...講那句話真的炸到我~
她說:妳們換位子怎麼沒有講

挖哩咧~我火都上來,回她說:是妳們叫我們換位子的耶
她居然還回說:換位子要講啊!

這真的太扯了~口味,服務,環境怎樣我都無所謂，居然花錢被訓!!!要不是餐都上了,我可能馬上就跟她說不用上菜了,我不吃了

我去吃飯,不是去被[念]的耶...
基本的應對進退是這樣的?
那這樣就算餐點再好吃,我想誰都不會有胃口"
 Lucia Han ,https://www.google.com/maps/contrib/101142019445447571610/reviews?hl=zh-TW,4,True,353,"炸杏鮑菇超好吃
燙青菜也很清淡，不過鹹
泡菜鍋還可以，味道有點淡，可是料很多"
 Barbara Sung ,https://www.google.com/maps/contrib/117425004451699920802/reviews?hl=zh-TW,5,True,39,"花生豆腐綿密有入口即化感
鐵板麵很好吃醬鹹度再低一些更好
炸物拼盤炸的剛剛好口味很棒很推"
 germany0919 ,https://www.google.com/maps/contrib/117146490676512867355/reviews?hl=zh-TW,5,True,337,"這是一家平價又好吃的素食餐廳，生意好的時候高朋滿座經常客滿，所以要有和人同桌併位用餐的心理準備喔！不然就只好耐心地在門口等了，不過幸好出菜的速度也很快，感覺就不會等很久。

愛吃重口味的我點了素排鐵板麵，它的素排吃起來不僅沒有素料味，還很像滷排骨的味道，這倒是我第一次吃到實在很特殊。可惜炸豆腐的口感就比較普通,特製沾醬也只有幾滴而已...另外店家還備有自己煮的茉香綠茶，茶味香而且微甜很好喝，我們還去續杯呢！🍵😋

整體來說很推薦這家素食餐廳，希望下次還有機會再來「尊上食坊」用餐。😅😋😆"
 薇威德米德（阿斯特朗威根畢諾雅） ,https://www.google.com/maps/contrib/104982099621407158198/reviews?hl=zh-TW,5,False,14,"發酵豆腐料理高手！

試了「生臭豆腐」涼伴，驚豔。

秘香「麻辣臭豆腐」值得專程來吃。"
 妙妙 ,https://www.google.com/maps/contrib/107200430693158396333/reviews?hl=zh-TW,5,True,476,"好吃！平價！乾淨！
桌上有張紙，告知這是四人桌，應該是生意好時一位難求，希望能讓每個坐位都發揮效用吧？或許：相見即是有緣，雖然不認識，但何防同桌用餐。
我們用完餐時，店內已無空桌，還有人拿著價目表在等坐位了，可見這裏蠻熱門的，個人覺得CP值挺高的。"
 柯學宇 ,https://www.google.com/maps/contrib/100176877271269393416/reviews?hl=zh-TW,5,True,40,"麻辣豆腐冬粉煲$90配很美的茄子40$
乾淨衛生環境很舒服，價格實惠，醬料選擇多有腐乳醬跟花椒油以及豆瓣，適合逛完展覽館來歇腳用餐，重點還是相對難找的素食餐館，很棒。"
 Tosh ism ,https://www.google.com/maps/contrib/115416425632121437557/reviews?hl=zh-TW,4,True,170,"素排好吃！
臭豆腐普普但麵很Q我喜歡～

只不過店裡很多空位時還要併桌覺得有點不必要"
 黃敬軒 ,https://www.google.com/maps/contrib/107961444030274459610/reviews?hl=zh-TW,4,True,448,想吃素食的時候，是個好選擇，有特別的臭豆腐麵，滿推薦的，但有點略鹹。
 Huanny Lin ,https://www.google.com/maps/contrib/106404149146286401401/reviews?hl=zh-TW,3,True,20,今天是二訪，但覺得臭豆腐沒有印像中好吃，大碗公也是普普，價位還算合理。
 Vegan Momo (Formosa) ,https://www.google.com/maps/contrib/113079307165596581840/reviews?hl=zh-TW,5,True,153,"炸臭豆腐、涼拌臭豆腐、花生石腐都超好吃的！！！讚讚！小菜也都好好吃。
咖哩飯和湯麵是朋友點的，看起來也是不錯吃。^_^"
 Alan Juang ,https://www.google.com/maps/contrib/103065449203331668544/reviews?hl=zh-TW,3,True,139,"大概有一年沒來吃了，今天續點大碗公(原因無他，比較多蔬菜)...對一般素食者應該是家不錯選擇，但店家服務態度猶如許多人所評一樣，不太友善(除非你是熟客)。另，店家雖標榜健康蔬食，但裡面有些加工品，油炸類，有一樣菜的味道怪怪的(衛生度有點凸槌)...大多數食材烹煮方式，屬於一般傳統素食(失去食材多數的營養與滋味，也許我現在的標準較全面且提高了)，但真的稱不上健康(健康不能以完全沒有肉類來定義)。
2019/5/7update

⭕️以【健康】蔬食高標者論
#素食不一定等同健康，但想要健康無負擔，天然素食是上選。
#食材烹煮不過度才能保留天然養分，讓身體可以接受活力氣息，而衛生乾淨是餐飲的基本要求。"
 慈雲謙 ,https://www.google.com/maps/contrib/115314576412519772578/reviews?hl=zh-TW,5,True,200,"台北市_南港區尊上食坊

1.每次到南港看展、參展都會來光顧^0^，離展館很近，步行3、5分鐘就到了
1.素排鐵板麵、素排飯都好吃
1.1多樣小菜都讓人看了食指大動

2.店內空間不大、乾淨整潔
2.1店內未附有兒童座椅
2.2店員服務中規中矩
2.3座位約20位左右，用餐時段客源很多
2.4須付現，無刷卡消費服務
2.5菜單內容多元，平價，每樣都想吃吃看，展館周邊有這家店面真的好幸福))

3.無專用停車場，路邊停車不易，附近有多個停車場"
 YuHsuan Lee ,https://www.google.com/maps/contrib/105060052639366329372/reviews?hl=zh-TW,4,True,94,"鄰近捷運南港展覽館站，環境相當乾淨清幽，頗具中國風
以台北物價來說，相當經濟實惠，服務人員的態度也很好，餐點還算不錯👍
內用提供的茉香綠茶相當暖和好喝，天氣冷的時候喝下一杯都先暖和起來~"
 Chia-Chi Lin ,https://www.google.com/maps/contrib/115282431361888032642/reviews?hl=zh-TW,4,True,170,把素食料理做得很棒，尖峰內用時間需共桌。份量多，吃完很飽，整體來說很不錯！麻辣臭豆腐好吃，但不辣，旁邊有醬料區可以自行加辣油。藥膳鍋湯頭不錯
 璁賦謝 ,https://www.google.com/maps/contrib/117450309509957708839/reviews?hl=zh-TW,4,True,24,環境令人蠻舒服的，餐點好吃，這次點了大碗公飯，綜合炸物，鐵板麵都不錯😋
 Ben Yuan ,https://www.google.com/maps/contrib/103851027488309193731/reviews?hl=zh-TW,5,False,14,非常好吃的蔬食料理，老闆很用心在做，講究細節：如🥦去梗皮、用過濾水洗菜等。是我每天吃的餐廳，推薦大碗公飯+蛋、麻辣臭豆腐、綠花椰菜。
 山姆克 ,https://www.google.com/maps/contrib/108784218019953145106/reviews?hl=zh-TW,4,True,32,"他們的「素排」炸粉口感外酥內嫩，幾乎每桌必點，大推！
酥炸臭豆腐也不錯。鐵板麵則頗普通。"
 Duke Hsieh ,https://www.google.com/maps/contrib/110847498753457405629/reviews?hl=zh-TW,3,True,379,"素食者吃飯的好地方.推薦大碗公菜飯,炸臭豆腐鐵板麵.2018.08.01各品項均漲價."
 Aaliyah Tsuei ,https://www.google.com/maps/contrib/107220015589406643793/reviews?hl=zh-TW,4,True,419,"好吃、美味的素食，
種類繁，推薦大家來吃。"
 法小菈 ,https://www.google.com/maps/contrib/106221926815615291630/reviews?hl=zh-TW,5,False,92,"麻辣豆腐麵好吃😋炸臭豆腐好吃😋
香椿花生豆腐夏天吃滿清爽舒服
素燥飯醬汁多很下飯
價格實惠的優良店家👍👍"
 esther yeh ,https://www.google.com/maps/contrib/113427842971860564437/reviews?hl=zh-TW,5,True,108,很用心的蔬食店，用餐環境乾淨，香椿花生豆腐綿密Q彈
 Jessie Li ,https://www.google.com/maps/contrib/111411996054671335400/reviews?hl=zh-TW,5,True,67,"麻辣臭豆腐冬粉，湯頭100
大碗公菜飯，加點辣椒更對味"
 Chen Yung-Ti ,https://www.google.com/maps/contrib/110077732894703027928/reviews?hl=zh-TW,4,True,"1,094",份量很多，CP值高。綜合炸香菇很不錯。
 JD Chen ,https://www.google.com/maps/contrib/114587237139982566098/reviews?hl=zh-TW,4,True,138,口味偏鹹，環境舒適，有茶喝。平均價位80-100圓
 圓善 ,https://www.google.com/maps/contrib/102989953053837748710/reviews?hl=zh-TW,5,True,14,東西好吃份量有一點少
 張瑋珈 ,https://www.google.com/maps/contrib/115585423579901863675/reviews?hl=zh-TW,5,True,49,"用餐環境舒適，適合悠閒聊天
大碗公飯有多種配菜$70，
香酥臭豆腐$60不會很臭，cp值高
南港附近難得一見的素食餐廳"
 April 6 (三比八) ,https://www.google.com/maps/contrib/116687476781253339105/reviews?hl=zh-TW,5,True,8,鐵板麵的麵條很Q彈，好吃！而且份量很大，吃完覺得很飽。
 郭建宏 ,https://www.google.com/maps/contrib/105964250141244100232/reviews?hl=zh-TW,5,True,33,鐵板麵好吃，餐點選擇多樣
 許凱迪 ,https://www.google.com/maps/contrib/102247029773295307766/reviews?hl=zh-TW,5,True,53,鐵板麵和素鍋都很好吃，湯頭很清爽不油膩
 Leo Chu ,https://www.google.com/maps/contrib/115207461725893076908/reviews?hl=zh-TW,5,True,51,"鐵板麵跟外面其他家的很不一樣
挺特別的"
 Wenlin Chang ,https://www.google.com/maps/contrib/101034259292408328626/reviews?hl=zh-TW,5,False,15,平價，乾淨，鐵板麵對我來說比較鹹，但還是好吃的
 Aiya ,https://www.google.com/maps/contrib/109625161735569760553/reviews?hl=zh-TW,5,True,235,起司條讚讚✨🤤🤤下次再嘗試別的
 Joyce ,https://www.google.com/maps/contrib/109148086454739125360/reviews?hl=zh-TW,5,True,124,"媽媽茹素多年，去了很多素食店，評比下來，這間素食口味/環境，無論是飯、麵都好吃。
我喜歡點麻辣臭豆腐麵，再點個綜合炸物，但我沒吃過涼拌臭豆腐，感覺有障礙😂"
 Ting-Han Chou ,https://www.google.com/maps/contrib/112662223602699819014/reviews?hl=zh-TW,5,True,165,不貴、好吃
 Chance Chen ,https://www.google.com/maps/contrib/115133824957987203261/reviews?hl=zh-TW,4,True,206,物美價格好，餐點口味，都照顧到了各族群，麵飯小菜都有，有著路邊攤夜市的價格但是餐廳的環境，就在路邊，好找
 yulin ,https://www.google.com/maps/contrib/114595933502146650886/reviews?hl=zh-TW,5,True,415,環境乾淨整潔，茶水自取，淡淡的茶香，不苦很順口，餐點的調味不油不膩，份量剛好。內用的筷子還有經過殺菌消毒，自取的小菜也都有用透明罩蓋住，需要時再自行曲用，環境很讓人感到放心
 Wali Evans ,https://www.google.com/maps/contrib/116394159314900343062/reviews?hl=zh-TW,5,True,314,好吃的素食店家，交通方便，距離捷運南港站，南港火車站非常近
 ginger liu ,https://www.google.com/maps/contrib/100113186057759763618/reviews?hl=zh-TW,5,True,57,店裡的味道是舒服的無油煙味，第一次來點了3樣都好吃，會再訪!
 Paul Sun (MercyKen) ,https://www.google.com/maps/contrib/100958849921311587749/reviews?hl=zh-TW,3,True,15,店內客人很少，自己選位子，只有兩個人也不能坐大桌，服務態度不好，大碗公飯菜跟飯量偏少，稍貴。
 汪文俊 ,https://www.google.com/maps/contrib/109350526611714132830/reviews?hl=zh-TW,4,True,262,熱騰騰素排鐵板麵+蛋醬汁不錯、玉米條有點涼，炸金針菇有少部分太熟，但整體感覺還不錯，用餐環境舒適。
 Terry Wu ,https://www.google.com/maps/contrib/113494064611551474759/reviews?hl=zh-TW,4,True,95,鐵板麵不錯吃，有免費茶水。
 Rita T ,https://www.google.com/maps/contrib/109967591302750534830/reviews?hl=zh-TW,5,True,52,鐵板麵超。好。吃。必點！來南港必吃的素食美食
 JoAnn Lin ,https://www.google.com/maps/contrib/114406358514527099334/reviews?hl=zh-TW,4,True,353,麵條軟Q好吃，臭豆腐軟嫩但不臭，出餐快。
 Li Doris ,https://www.google.com/maps/contrib/114646627978377662300/reviews?hl=zh-TW,5,False,8,小吃店的價格，餐廳級的享受，用餐環境乾淨衛生，光是這點就讓人食欲增加，餐點不油不鹹兼顧健康及美味，以這個價格來說，已經很棒了。是個會讓人想一去再去的優質餐廳。
 謝東均 ,https://www.google.com/maps/contrib/103463734891985846554/reviews?hl=zh-TW,5,True,168,鐵板，豆腐都好好吃喔
 林亞宣 ,https://www.google.com/maps/contrib/106573634634812462029/reviews?hl=zh-TW,5,False,72,這家素食第一次去吃。
 蘇桂花 ,https://www.google.com/maps/contrib/107600719993888538541/reviews?hl=zh-TW,3,True,454,作為素食餐廳還不錯吃，但健康的選擇好像有點少。炸臭豆腐還不錯，稍貴。
 tien nightmare ,https://www.google.com/maps/contrib/107259477984582932941/reviews?hl=zh-TW,4,True,49,乾淨、好吃，服務態度有待加強。
 闕沐寬 ,https://www.google.com/maps/contrib/117612611952535826913/reviews?hl=zh-TW,5,True,232,種類多素食用餐的好地方
 HsinyinChang Nancy ,https://www.google.com/maps/contrib/104617581839965071986/reviews?hl=zh-TW,4,True,545,用餐環境舒適，餐點口味不錯
 yumi chen ,https://www.google.com/maps/contrib/113052387771031090470/reviews?hl=zh-TW,5,True,198,今天吃了素滷飯、麻辣臭豆腐、大碗公飯、燙青菜（大陸妹）、小菜（海帶+滷蛋），整體來說都不錯吃唷！店裡面有提供很多醬料可以自己去搭配，店內菜單有寫使用惠而浦過濾水，連白開水喝起來都覺得順口，他們也會提供免費茶類，今天就是免費的茉莉綠茶，我個人覺得他們的素滷飯蠻好吃的，整體來說都還不錯如果臭豆腐可以讓消費者選擇在辣度的話會更棒（我吃大辣），大碗公飯裡面的菜色也都很棒，會提供蔬菜豆腐和家常菜，有媽媽的味道唷！推薦給大家。另外有人說他的服務態度不好我覺得不會啊，他們收上一組客人吃完的碗筷速度很快而且很親切呢！
 彥伶陳 ,https://www.google.com/maps/contrib/103256461748448425740/reviews?hl=zh-TW,4,True,234,南港五星級優質素食餐廳！這方圓百里內想吃素食大概只想來這一家吧！就連平時不吃素食的小孩也愛吃這家店的炸杏鮑菇，杏鮑菇切的大小剛好一口，剛上桌時也太酥脆了，每次來用餐一定會點一盤，還有金針菇用炸的也是一絕，也是必點菜餚！還有嘴饞的時候可以點一盤臭豆腐，果然是美味可口啊！還有招牌素排飯，素排仿紅燒肉製作方式，幾可亂真啊！也有小火鍋單品……泡菜鍋，藥膳鍋，豆漿鍋，招牌鍋，每一種口味都想試一試，現場也有多樣小菜，涼拌小黃瓜，花椰菜，牛蒡絲，滷豆干等等，都非常爽口！還有鐵板麵，想到就口水直流，🤣🤣，美中不足的是，鐵板麵的麵條比較不搭，如果更換有嚼勁的麵條，那真的就是滿分囉！
 Huyền Cao Vũ Thảo ,https://www.google.com/maps/contrib/115331912613777540772/reviews?hl=zh-TW,5,True,173,麻辣臭豆腐麵和香酥臭豆腐超好吃的
 沈清標 ,https://www.google.com/maps/contrib/106042540615600447332/reviews?hl=zh-TW,3,True,23,這個店面雖不大，但還很雅緻，屬於適合大眾的簡餐、鐵板麵、小火鍋及其它他，還有第一次吃到的臭豆腐沙拉，非常特別有意思，價錢也適中，全素者可點無蛋者，實在還不錯！
 Handsome Kwan Kwan ,https://www.google.com/maps/contrib/118111541239502487112/reviews?hl=zh-TW,5,True,23,安靜又好吃的素食小店，菜色多元用餐環境佳，是附近素食的好選擇
 白白 ,https://www.google.com/maps/contrib/106924735633535037220/reviews?hl=zh-TW,4,True,63,"內用環境很乾淨
賣的不貴，適合附近生活圈的常常來吃
臭豆腐不夠味，但是醬油跟辣醬都不錯"
 于紫匠 ,https://www.google.com/maps/contrib/111161888600507029387/reviews?hl=zh-TW,5,True,352,"麻辣豆腐麵(滿推)圖片看似小碗,送來實是大碗,麵有Q度,麻辣豆腐不嗆清爽又有味道,平常不太吃辣的我接受度高。
炸物普普不推(份量不多)
店內茶飲好喝又不會太甜
大碗公飯,餓的時候吃剛剛好"
 楊忠世 ,https://www.google.com/maps/contrib/109314672366425184175/reviews?hl=zh-TW,2,False,10,口味馬馬虎虎，可選菜餐類別少的出奇，難怪生意～冷～啊！
 Cynthia CC ,https://www.google.com/maps/contrib/114605146842920700415/reviews?hl=zh-TW,5,True,381,"炸物系列都非常好吃。臭豆腐雖然醬不太多，但因為泡菜很好吃，所以還是會想再點。

麻辣豆腐麵並不會太辣，吃小辣的人也可以點。

豆腐麵麵跟排飯的份量都不少喔，所以其他炸物跟小菜要慎選。不然會吃不完。

Ps.很多東西都會加香菜，不吃的人記得跟店家講一下"
 Jason Wu ,https://www.google.com/maps/contrib/114527878325549607760/reviews?hl=zh-TW,5,False,16,"喜歡在尊上用餐,是因為小小的餐廳,有不錯的服務；好喝的茉莉花茶,自己動手倒,有乾淨杯子；筷子是消毒的；小火鍋的調味料,有五種選擇
重點是蠻好吃的,我和老婆大人都滿意"
 吳寬寬 ,https://www.google.com/maps/contrib/117571244514299419187/reviews?hl=zh-TW,5,True,867,"素食~
臭豆腐跟綜合炸盤都很好吃~"
 張玉涵 ,https://www.google.com/maps/contrib/101779146781143408145/reviews?hl=zh-TW,4,True,113,鐵板麵不錯
 Morris Chiu ,https://www.google.com/maps/contrib/116446246047641441626/reviews?hl=zh-TW,5,True,96,多樣化醬汁、酥脆炸物，給你不一樣的美味素食！
 邵慧娟 ,https://www.google.com/maps/contrib/101922472816942869367/reviews?hl=zh-TW,4,True,226,餐點品項不算多，份量夠，上餐速度快。香椿豆腐和豆漿鍋好吃！推薦～
 Lincy Lin ,https://www.google.com/maps/contrib/110011213902617168358/reviews?hl=zh-TW,3,True,76,東西談不上好吃，份量也不多，叫了餐吃完還額外再點素魯飯吃才沒那麼餓，座位也很擁擠，畢竟店面不大，又要塞入夠多的座位，也只能如此了，不過話說回來，這邊算南港週邊比較乾淨又非自助餐類的店了吧，想吃素又想換換口味的人來說，倒是可以來試試...
 王詩涵 ,https://www.google.com/maps/contrib/114150179429509720770/reviews?hl=zh-TW,5,False,11,"食物好吃素食卻沒有感覺在吃素
環境乾淨
還有免費茶水可以喝
很愛麻辣臭豆腐很下飯
怕辣的都可以接受
素排口感很好外酥內嫩👌
香椿臭豆腐很特別是老闆娘自己手工做的呢
也是很好吃⬆️"
 李晨嘉 ,https://www.google.com/maps/contrib/109950105354022548985/reviews?hl=zh-TW,4,True,82,鐵板麵不錯吃，不是番茄醬，價位也蠻親民的，咖哩飯也不錯，單點一份麻辣臭豆腐覺得有點鹹，不適合單吃，比較適合配飯，炸物份量不多但炸得不錯吃
 Ruo-Kai Lin 林若凱 (Kai) ,https://www.google.com/maps/contrib/106620325937345207610/reviews?hl=zh-TW,5,True,23,鐵板麵味道剛好，很好吃，大碗公飯的配菜常有古早味好吃的菜，也很好吃。擔仔麵份量很足，可以吃很飽喝很飽。炸豆腐、炸菇也很好吃，每次都想點很多種。有許多自製小菜可選。自製茶可以自己取用。
 Yucheng Yue ,https://www.google.com/maps/contrib/105186513100507587738/reviews?hl=zh-TW,5,True,478,點了大碗公飯，這家店的素食還滿乾淨的，而且大概在園區旁邊的緣故，上菜速度非常快。小菜的豆干都有點乾掉了。
